english               tune                          english parts                     tune parts
latitude              yinailutaigiz                 north + south + position          yin + lut + giz
laundry               -                             launder + thing                   ? + niv
lawful                xufwavup                      law + full                        xuf + vup
leader                lidwayug                      lead + agent                      lid + yug
leakage               -                             leak + ness                       farf + ?
learner               linwayug                      learn + agent                     lin + yug
legacy                legzwanep                     leg + nature                      legz + nep
legible               ridaifip                      read + able                       rid + fip
legislation           xufaimaftaiyez                law + carry + act                 xuf + maft + yez
lemma                 tipaiklem                     step + claim                      tip + klem
lemongrass            vargaigras                    lemon + grass                     varg + gras
lemur                 yitaimaqk                     night + monkey                    yit + maqk
length                nucaiyaj                      long + measure                    nuc + yaj
lengthen              darwamek                      length + make                     dar + mek
lentil                flataiColv                    flat + bean                       flat + Colv
leopard               malsaiwaldaiklat              spot + wild + cat                 mals + wald + klat
lessen                gefwamek                      less + make                       gef + mek
lesser                gefwayug                      less + agent                      gef + yug
lethal                dacaiyov                      death + of                        dac + yov
leukemia              wipaibloC                     white + blood                     wip + bloC
liability             mibzainiv                     owe + thing                       mibz + niv
liberate              kompaimek                     liberty + make                    komp + mek
licorice              skitaifebz                    sweet + root                      skit + febz
lid                   wepsaidjog                    container + closure               weps + djog
lighten               litwamek                      light + make                      lit + mek
likely                lakwakuq                      like + manner                     lak + kuq
limestone             wipairak                      white + rock                      wip + rak
limitation            zarfaiyez                     limit + act                       zarf + yez
linear                zobwalak                      line + like                       zob + lak
liner                 zobaiyug                      line + agent                      zob + yug
linguistic            garaiyov                      language + of                     gar + yov
lining                zobwayez                      line + act                        zob + yez
linkage               likaiyez                      link + act                        lik + yez
lipid                 wes                           fat                               wes
liter                 txiqwayug                     lice + agent                      txiq + yug
literal               -                             liter + like                      ? + lak
literature            rataimeqk                     write + art                       rat + meqk
livelihood            kibaiyat                      live + way                        kib + yat
liver                 kibwayug                      live + agent                      kib + yug
livestock             kibaibeps                     live + stock                      kib + beps
living                kibwayez                      live + act                        kib + yez
llama                 motaiwitsaihors               mountain + hump + horse           mot + wits + hors
localization          -                             localize + act                    ? + yez
location              fadjwayez                     locate + act                      fadj + yez
locust                sneCaipamp                    swarm + bug                       sneC + pamp
logarithm             fepaiwis                      power + inverse                   fep + wis
logic                 defwalak                      log + like                        def + lak
logical               defwalak                      log + like                        def + lak
lonely                rimpwakuq                     lone + manner                     rimp + kuq
longer                -                             grammar                           ?
longest               -                             grammar                           ?
longitude             rogaiwebaigiz                 east + west + position            rog + web + giz
longitudinal          daraiyov                      length + of                       dar + yov
lookup                lukaited                      look + up                         luk + ted
looter                glebaiyug                     loot + agent                      gleb + yug
loss                  guzaiyez                      lose + act                        guz + yez
lotus                 waCaidutx                     water + lily                      waC + dutx
louse                 fifaipamp                     hair + bug                        fif + pamp
lout                  djojaibuksaiyug               crude + rude + agent              djoj + buks + yug
lower                 -                             grammar                           ?
lowest                -                             grammar                           ?
lubrication           -                             friction + lower                  snum + ?
lumbar                -                             loin + of                         ? + yov
luminous              litaivup                      light + full                      lit + vup
lunar                 lunaiyov                      moon + of                         lun + yov
lunch                 yamaidarg                     day + meal                        yam + darg
lustful               yalfwavup                     lust + full                       yalf + vup
lymphatic             -                             lymph + of                        ? + yov
lynx                  smalaiwaldaiklat              small + wild + cat                smal + wald + klat
lyre                  desaifebaitul                 string + music + tool             des + feb + tul
lyric                 -                             lyre + like                       ? + lak
machinery             -                             machine + ness                    xin + ?
mackerel              smogaifrix                    stripe + fish                     smog + frix
macromolecule         brataimal                     big + molecule                    brat + mal
macroscopic           -                             big + scale + visible             brat + skal + ?
magazine              -                             news + book                       ? + vam
magician              gimwayug                      magic + agent                     gim + yug
magnetic              nampwalak                     magnet + like                     namp + lak
magnetism             nampwanalp                    magnet + practice                 namp + nalp
magnetite             nampaiklod                    magnet + ore                      namp + klod
magpie                vogaiwipaiwint                black + white + crow              vog + wip + wint
maintenance           zoqkaiyez                     maintain + act                    zoqk + yez
maize                 sips                          corn                              sips
majestic              malbaihugz                    grand + noble                     malb + hugz
maker                 mekwayug                      make + agent                      mek + yug
malevolent            -                             malice + like                     ? + lak
malice                futaikiv                      bad + intent                      fut + kiv
malignant             futailak                      bad + like                        fut + lak
malleable             depsaifip                     shape + able                      deps + fip
mammalian             snuzaiyov                     mammal + of                       snuz + yov
mammary               xampaiyov                     breast + of                       xamp + yov
management            piskaiyez                     manage + act                      pisk + yez
manager               piskwayug                     manage + agent                    pisk + yug
manatee               malcaivaqk                    sea + cow                         malc + vaqk
mandatory             fist                          require                           fist
mandible              -                             lower + jaw                       ? + grac
maneuver              zeqkaiwark                    hand + work                       zeqk + wark
mangrove              malcaidip                     sea + tree                        malc + dip
manner                nimwayug                      man + agent                       nim + yug
mantis                pamaipamp                     pray + bug                        pam + pamp
mantle                vataikovaigrof                body + cover + layer              vat + kov + grof
maple                 skitaiglomaidip               sweet + sap + tree                skit + glom + dip
marble                kindairak                     smooth + rock                     kind + rak
margin                norgairaj                     allow + range                     norg + raj
marine                malcaikib                     sea + live                        malc + kib
maritime              malcaiyov                     sea + of                          malc + yov
marker                wenwayug                      mark + agent                      wen + yug
marlin                luntaifrix                    spear + fish                      lunt + frix
mars                  gekaiglob                     war + planet                      gek + glob
marsupial             -                             pouch + mammal                    ? + snuz
martial               gekaiyov                      war + of                          gek + yov
maternal              mamaiyov                      mother + of                       mam + yov
maternity             -                             mother + ness                     mam + ?
math                  -                             mathematics                       ?
mathematical          -                             mathematics + of                  ? + yov
mathematics           linainiv                      learn + thing                     lin + niv
mattress              tufwafim                      matter + female                   tuf + fim
maturation            xolzaiyez                     mature + act                      xolz + yez
maxilla               -                             upper + jaw                       ? + grac
maximize              nofaimek                      most + make                       nof + mek
me                    -                             grammar                           ?
meaning               pizwayez                      mean + act                        piz + yez
means                 pizwamav                      mean + many                       piz + mav
medial                madaiyov                      middle + of                       mad + yov
medical               gorzaiyov                     medicine + of                     gorz + yov
medieval              madaihedjaiyov                middle + age + of                 mad + hedj + yov
meeting               mitwayez                      meet + act                        mit + yez
megastructure         nestaitok                     huge + structure                  nest + tok
memorize              gujwamek                      memory + make                     guj + mek
mental                -                             mind + oriented                   man + ?
mentor                titxaiyug                     teach + agent                     titx + yug
meow                  klataikar                     cat + call                        klat + kar
merchant              tredaiyug                     trade + agent                     tred + yug
mercury               fastaiglob                    fast + planet                     fast + glob
mermaid               dramaifrixaivataigoz          human + fish + body + join        dram + frix + vat + goz
mesa                  flataigagz                    flat + hill                       flat + gagz
messenger             mujaiyug                      message + agent                   muj + yug
metabolic             spovaiyov                     metabolism + of                   spov + yov
metabolite            spovainiv                     metabolism + thing                spov + niv
metallic              maltainuq                     metal + bond                      malt + nuq
metamorphic           xunairak                      change + rock                     xun + rak
metamorphose          vatainuntaixun                body + form + change              vat + nunt + xun
meteor                zuraistar                     fall + star                       zur + star
metric                carfwalak                     meter + like                      carf + lak
mic                   samaivucaifon                 sound + catch + device            sam + vuc + fon
mica                  vodjaikuqk                    sheet + crystal                   vodj + kuqk
microphone            samaivucaifon                 sound + catch + device            sam + vuc + fon
microscope            smalaivisaitul                small + see + tool                smal + vis + tul
microscopic           -                             small + scale + visible           smal + skal + ?
might                 -                             grammar                           ?
migration             -                             migrate + act                     ? + yez
migratory             -                             migrate + like                    ? + lak
millipede             metxaigralaifald              thousand + foot + worm            metx + gral + fald
mince                 dibzaixogz                    tiny + slice                      dibz + xogz
mine                  -                             grammar                           ?
mineralization        bromaiyez                     mineral + act                     brom + yez
miniature             smalailak                     small + like                      smal + lak
minimal               skimaiyov                     minimum + of                      skim + yov
minimize              zoqaimek                      least + make                      zoq + mek
minus                 -                             the noun of subtract              ?
mirage                rotaibalc                     false + vision                    rot + balc
misalign              raqaimok                      wrong + align                     raq + mok
mischief              raqwawob                      wrong + chief                     raq + wob
miscreant             raqaiduzaiyug                 wrong + do + agent                raq + duz + yug
mislead               raqwalid                      wrong + lead                      raq + lid
mission               titwayez                      miss + act                        tit + yez
mistake               raqwatek                      wrong + take                      raq + tek
misunderstand         raqwadas                      wrong + understand                raq + das
mite                  dibzaiCigz                    tiny + tick                       dibz + Cigz
mitochondrial         -                             mitochondrion + of                ? + yov
mixed                 -                             mix + done                        miks + ?
mixer                 miksainiv                     mix + thing                       miks + niv
mobility              -                             mobile + ness                     jotx + ?
mobilize              jotxwamek                     mobile + make                     jotx + mek
moderate              modaibagz                     mode + rate                       mod + bagz
modification          -                             modify + act                      ? + yez
modify                modwamek                      mode + make                       mod + mek
modular               partailak                     part + like                       part + lak
modulation            bivwayez                      module + act                      biv + yez
modulator             -                             modulate + thing                  ? + niv
molar                 grotaicutx                    grind + tooth                     grot + cutx
mole                  dortaidimp                    dirt + rat                        dort + dimp
molecular             malaiyov                      molecule + of                     mal + yov
monastery             -                             monk + house                      ? + puz
monetary              povaiyov                      money + of                        pov + yov
mongoose              hisaiklubairudj               snake + kill + weasel             his + klub + rudj
monk                  xuksaitxojaiyug               worship + devote + agent          xuks + txoj + yug
monomer               zanaigalp                     one + unit                        zan + galp
monsoon               renaidist                     rain + season                     ren + dist
moo                   vaqkaikar                     cow + call                        vaqk + kar
moose                 brataixars                    big + deer                        brat + xars
morpheme              mogaipart                     meaning + part                    mog + part
morphism              tokaideq                      structure + map                   tok + deq
morphological         -                             morphology + of                   ? + yov
mortality             -                             mortal + ness                     ? + ?
mosque                -                             worship + building                xuks + ?
mostly                nofwakuq                      most + manner                     nof + kuq
motility              -                             motile + ness                     ? + ?
motivation            zepswayez                     motive + act                      zeps + yez
movement              muvwayez                      move + act                        muv + yez
movie                 -                             moving picture                    ?
mucosa                frumaigrof                    mucus + layer                     frum + grof
mule                  miksaihors                    mix + horse                       miks + hors
multiplex             mavaifold                     many + fold                       mav + fold
multistable           mavaitabaidom                 many + stable + state             mav + tab + dom
municipal             -                             municipality + of                 ? + yov
muscular              suftaiyov                     muscle + of                       suft + yov
musculature           suftaigig                     muscle + set                      suft + gig
mushroom              draqaitif                     mush + room                       draq + tif
musician              febwayug                      music + agent                     feb + yug
mussel                nucaiwuft                     long + clam                       nuc + wuft
must                  -                             grammar                           ?
mutation              catwayez                      mud + act                         cat + yez
mutton                zigzaimak                     sheep + meat                      zigz + mak
mutualism             koraisintaiwort               both + benefit + relation         kor + sint + wort
mutually exclusive    -                             both + impossible                 kor + ?
mycelium              ploqairent                    fungus + thread                   ploq + rent
myself                -                             grammar                           ?
naked                 xoldaivat                     bare + body                       xold + vat
namespace             namaipas                      name + space                      nam + pas
narcotic              ruspaiyov                     numb + of                         rusp + yov
narrative             -                             narrate + thing                   ? + niv
nasal                 nozaiyov                      nose + of                         noz + yov
naturalized           gordaidepaidruv               introduce + self + sustain        gord + dep + druv
nautilus              txalaitxug                    shell + octopus                   txal + txug
navigation            txuxaiyez                     navigate + act                    txux + yez
nearby                lubainad                      near + place                      lub + nad
nebula                staraiklad                    star + cloud                      star + klad
necessity             narfwanep                     necessary + nature                narf + nep
necrosis              dacaidom                      death + state                     dac + dom
negate                masaimek                      not + make                        mas + mek
negative              nanwalak                      negate + like                     nan + lak
negligent             klexailak                     neglect + like                    klex + lak
neigh                 horsaikar                     horse + call                      hors + kar
neighbor              lubainar                      near + person                     lub + nar
neighborhood          lubainad                      near + place                      lub + nad
nephew                tataigag                      sibling + child                   tat + gag
nested                -                             nest + done                       nas + ?
nettle                Campaivalf                    sting + weed                      Camp + valf
neural                nurvaiyov                     nerve + of                        nurv + yov
neuron                nurvaimudz                    nerve + cell                      nurv + mudz
neutralize            nalaimek                      neutral + make                    nal + mek
neutron               nalairav                      neutral + particle                nal + rav
news                  gumpwamav                     new + many                        gump + mav
newspaper             -                             news + paper                      ? + yof
newt                  waCaizart                     water + lizard                    waC + zart
niece                 tataigag                      sibling + child                   tat + gag
nightingale           yitairemaibax                 night + sing + bird               yit + rem + bax
nineteen              feCaimamp                     ten + nine                        feC + mamp
ninety                mampaifeC                     nine + ten                        mamp + feC
ninth                 mampainord                    nine + order                      mamp + nord
nitrate               snucaitigz                    nitrogen + salt                   snuc + tigz
nitrite               snucaitigz                    nitrogen + salt                   snuc + tigz
nitrous               snucaiyov                     nitrogen + of                     snuc + yov
nocturnal             -                             night + active                    yit + ?
nodular               kragaiyov                     node + of                         krag + yov
nodule                kragaismal                    node + small                      krag + smal
noisy                 gobzwalak                     noise + like                      gobz + lak
nominal               namaiyov                      name + of                         nam + yov
nonexistence          -                             not + existence                   mas + ?
nonlinear             masaidrof                     not + proportion                  mas + drof
normalize             mebzwamek                     normal + make                     mebz + mek
northward             -                             north + oriented                  yin + ?
not touching          masaitatx                     not + touch                       mas + tatx
notable               maswafip                      not + able                        mas + fip
notify                maswamek                      not + make                        mas + mek
notion                maswayez                      not + act                         mas + yez
notochord             -                             first + spine                     ? + span
noun                  kaqaitod                      object + term                     kaq + tod
novice                gumpaiyug                     new + agent                       gump + yug
nuclear               klisailak                     nucleus + like                    klis + lak
nursery               gagaikriqainad                child + care + place              gag + kriq + nad
nutrition             -                             nutrient + act                    ? + yez
nymph                 waCaijan                      water + spirit                    waC + jan
oasis                 waCaidors                     water + desert                    waC + dors
obelisk               valdaismiC                    needle + pillar                   vald + smiC
obesity               -                             obese + ness                      ? + ?
objective             kaqwalak                      object + like                     kaq + lak
obligate              Cundaimek                     obligation + make                 Cund + mek
obligation            plafwayez                     oblige + act                      plaf + yez
observation           suvwayez                      observe + act                     suv + yez
observatory           watxaixumainad                watch + sky + place               watx + xum + nad
obsession             fromwayez                     obsess + act                      from + yez
obsidian              malzairak                     glass + rock                      malz + rak
obstruction           frutaiyez                     obstruct + act                    frut + yez
occasional            kodjwalak                     occasion + like                   kodj + lak
occlusion             -                             occlude + act                     ? + yez
occult                pedj                          hidden                            pedj
occupation            blogaiyez                     occupy + act                      blog + yez
occupational          -                             occupation + of                   ? + yov
occupied              -                             occupy + done                     blog + ?
occurrence            joftwayez                     occur + act                       joft + yez
octagon               fetaisardaideps               eight + side + shape              fet + sard + deps
ocular                xicaiyov                      eye + of                          xic + yov
odds                  baltwamav                     odd + many                        balt + mav
offensive             kotxwalak                     offense + like                    kotx + lak
offering              migzwayez                     offer + act                       migz + yez
officer               zopwayug                      office + agent                    zop + yug
oink                  pragaikar                     pig + call                        prag + kar
older                 -                             grammar                           ?
oldest                -                             grammar                           ?
olfactory             lugaiyov                      smell + of                        lug + yov
omission              -                             omit + act                        ? + yez
omnivore              kolaigabaiyug                 all + eat + agent                 kol + gab + yug
oneness               zanwanep                      one + nature                      zan + nep
onward                -                             on + oriented                     vun + ?
opacity               -                             opaque + ness                     prik + ?
opal                  palbaiblod                    shine + gem                       palb + blod
opening               zarkwayez                     open + act                        zark + yez
operation             ziftwayez                     operate + act                     zift + yez
operator              ziftaiyug                     operate + agent                   zift + yug
opossum               -                             night + pouch + animal            yit + ? + zul
optical               xicaiyov                      eye + of                          xic + yov
optimize              -                             best + make                       ? + mek
optional              huftwalak                     option + like                     huft + lak
oral                  mucaiyov                      mouth + of                        muc + yov
orchard               magaidipaigan                 fruit + tree + garden             mag + dip + gan
orchestra             febaihip                      music + group                     feb + hip
orchid                raraiflor                     rare + flower                     rar + flor
ordinal               tetxwalak                     ordinary + like                   tetx + lak
organelle             mudzaiCint                    cell + organ                      mudz + Cint
organic               Cintwalak                     organ + like                      Cint + lak
organization          -                             organize + act                    ? + yez
organize              Cintwamek                     organ + make                      Cint + mek
organized             -                             organize + done                   ? + ?
orientation           lijaiyez                      orient + act                      lij + yez
oriented              -                             orient + done                     lij + ?
orphan                nopaisasaigag                 no + parent + child               nop + sas + gag
orthodox              ricainuft                     straight + opinion                ric + nuft
oscillation           -                             oscillate + act                   ? + yez
osmosis               -                             solvent + diffuse + membrane      ? + stav + broq
ossification          brodaiyez                     bone + act                        brod + yez
ostrich               bratairinaibax                big + run + bird                  brat + rin + bax
otherwise             nezaidald                     other + wise                      nez + dald
otter                 narvairudj                    river + weasel                    narv + rudj
ought                 -                             grammar                           ?
ours                  -                             grammar                           ?
ourselves             -                             grammar                           ?
outer                 bukwayug                      out + agent                       buk + yug
outlaw                xufaigesaiyug                 law + outside + agent             xuf + ges + yug
outlier               suvaizadainez                 observe + far + other             suv + zad + nez
outpost               zadaibes                      far + base                        zad + bes
outsider              geswayug                      outside + agent                   ges + yug
outward               -                             out + oriented                    buk + ?
ovarian               flaqaiyov                     ovary + of                        flaq + yov
overcast              kolaiklad                     all + cloud                       kol + klad
overcome              djipaigum                     over + come                       djip + gum
overload              galainenailod                 too + much + load                 gal + nen + lod
override              djipairab                     over + ride                       djip + rab
overshoot             snotaibim                     exceed + target                   snot + bim
owner                 tikwayug                      own + agent                       tik + yug
ownership             -                             own + ness                        tik + ?
ox                    warkaivaqk                    work + cow                        wark + vaqk
oxalate               -                             oxalic + salt                     ? + tigz
oxidation             -                             oxidize + act                     ? + yez
oxide                 -                             oxygen + compound                 ? + Ceqk
oxidize               -                             oxygen + join                     ? + goz
oxygen                nogzaimesk                    breath + gas                      nogz + mesk
oyster                -                             pearl + clam                      ? + wuft
painful               muzwavup                      pain + full                       muz + vup
painter               pentaizan                     paint + one                       pent + zan
palace                fubaipuz                      king + house                      fub + puz
palatine              stacaiyov                     palate + of                       stac + yov
palp                  nagaidedj                     feel + appendage                  nag + dedj
pancreas              gutaismaq                     gut + gland                       gut + smaq
pancreatic            -                             pancreas + of                     ? + yov
panic                 golzaifroC                    sudden + fear                     golz + froC
panther               ramaiwaldaiklat               dark + wild + cat                 ram + wald + klat
papaya                dipaiweft                     tree + melon                      dip + weft
papillary             -                             papilla + of                      ? + yov
paradise              zumpwamek                     parade + make                     zump + mek
paragraph             toxaipart                     text + part                       tox + part
paranoid              juftaivuft                    suspicion + extreme               juft + vuft
paraphrase            palainib                      again + say                       pal + nib
parasitism            zanaisintaizanaidrakaiwort    one + benefit + one + harm + relationzan + sint + zan + drak + wort
parietal              medzaiyov                     wall + of                         medz + yov
parity                -                             par + ness                        rump + ?
parody                trutaidov                     imitate + mock                    trut + dov
parrot                takaibax                      talk + bird                       tak + bax
participation         wiskaiyez                     participate + act                 wisk + yez
partition             partwayez                     part + act                        part + yez
partly                partwakuq                     part + manner                     part + kuq
partnership           -                             partner + ness                    mind + ?
passion               pestwayez                     paste + act                       pest + yez
passionate            tindailak                     passion + like                    tind + lak
passive               yefwalak                      pass + like                       yef + lak
patent                futswayug                     pace + agent                      futs + yug
path dependence       lopaifont                     history + depend                  lop + font
pathogen              bidjaikaz                     disease + cause                   bidj + kaz
pathological          -                             pathology + of                    ? + yov
pathology             bidjainedz                    disease + study                   bidj + nedz
patience              -                             patient + ness                    marv + ?
payment               peqwayez                      pay + act                         peq + yez
peaceful              sizwavup                      peace + full                      siz + vup
peacock               gogzaitadaibax                fan + tail + bird                 gogz + tad + bax
peanut                mitsaihiks                    ground + nut                      mits + hiks
pearl                 txalaiblod                    shell + gem                       txal + blod
pebble                smalairakaifuf                small + rock + piece              smal + rak + fuf
pectoral              gitxaiyov                     chest + of                        gitx + yov
peel                  magaivedz                     fruit + covering                  mag + vedz
pelican               rodaigalkaibax                bag + throat + bird               rod + galk + bax
pencil                calbaifipaibart               erase + able + pen                calb + fip + bart
penetration           drebaiyez                     penetrate + act                   dreb + yez
penguin               halsaiwumaibax                ice + swim + bird                 hals + wum + bax
pentagon              komaisardaideps               five + side + shape               kom + sard + deps
percentage            beqkaibarg                    percent + amount                  beqk + barg
perception            sivaiyez                      perceive + act                    siv + yez
perch                 smalaijarf                    small + bass                      smal + jarf
percussion            nalcaiyez                     strike + act                      nalc + yez
perennial             mavaiyaraikib                 many + year + live                mav + yar + kib
perforation           -                             perforate + act                   ? + yez
performance           kudzwayez                     perform + act                     kudz + yez
periodic              dotxwalak                     period + like                     dotx + lak
peripheral            -                             periphery + like                  ? + lak
perish                porkwalak                     per + like                        pork + lak
permeability          -                             permeate + ability                pim + ?
permission            vaksaiyez                     permit + act                      vaks + yez
persistent            spimwayug                     persist + agent                   spim + yug
personality           rofwanep                      personal + nature                 rof + nep
personnel             narainiv                      person + thing                    nar + niv
persuasion            cebzaiyez                     persuade + act                    cebz + yez
petroleum             rakaigips                     rock + oil                        rak + gips
petty                 smalaitufaibitxaigalainen     small + matter + concern + too + muchsmal + tuf + bitx + gal + nen
pharmaceutical        -                             pharmacy + of                     ? + yov
pharmacy              gorzaimubz                    medicine + shop                   gorz + mubz
pharyngeal            -                             pharynx + of                      ? + yov
phenotype             xolaitret                     show + trait                      xol + tret
pheromone             tetailug                      signal + smell                    tet + lug
philosophy            jakailav                      wisdom + love                     jak + lav
phloem                gandaitub                     sugar + tube                      gand + tub
phoenix               foraibax                      fire + bird                       for + bax
phone                 -                             telephone                         ?
phosphate             friqaitigz                    phosphorus + salt                 friq + tigz
phosphoric            friqaiyov                     phosphorus + of                   friq + yov
photo                 -                             photograph                        ?
photograph            -                             photo + graph                     ? + zip
photography           -                             photograph + like                 ? + lak
photon                litairav                      light + particle                  lit + rav
phrase                dataihip                      word + group                      dat + hip
physician             vorsaizan                     heal + one                        vors + zan
physics               tufainedz                     matter + study                    tuf + nedz
physiological         -                             physiology + of                   ? + yov
piano                 -                             pianoforte                        ?
picky                 prukwalak                     pick + like                       pruk + lak
pigeon                suzaiyalv                     town + dove                       suz + yalv
pigmentation          -                             pigment + act                     ? + yez
pike                  nucaicutxaifrix               long + tooth + fish               nuc + cutx + frix
pilgrimage            mestaipugz                    holy + journey                    mest + pugz
pincer                lolfaiklan                    grasp + claw                      lolf + klan
pineapple             korbaimag                     cone + fruit                      korb + mag
pipeline              tidjaizob                     pipe + line                       tidj + zob
pistachio             pesaihiks                     green + nut                       pes + hiks
pitcher               haftainiv                     pour + thing                      haft + niv
placement             nadaiyez                      place + act                       nad + yez
placenta              dolbaiCint                    birth + organ                     dolb + Cint
placental             -                             placenta + of                     ? + yov
plane                 -                             airplane                          ?
plantain              nalfaifitx                    cook + banana                     nalf + fitx
plaster               tarfwayug                     plastic + agent                   tarf + yug
plastic deformation   -                             deform + remain                   ? + gugz
platypus              babzaimucaizul                duck + mouth + animal             babz + muc + zul
play                  pletwalak                     plate + like                      plet + lak
player                plarwayug                     play + agent                      plar + yug
playground            plaraimits                    play + ground                     plar + mits
plaza                 zarkaiskar                    open + square                     zark + skar
pleasant              plizwayug                     please + agent                    pliz + yug
