english,was,now,shape,source,state
force,ros,ros,CVC,hand,fixed
foreign,bubz,bubz,CVCC,fill,kept
foresee,stad,stad,CCVC,fill,kept
forest,varz,varz,CVCC,hand,fixed
forge,djit,djit,CCVC,fill,kept
forget,nul,nul,CVC,hand,fixed
forgive,wof,wof,CVC,short,kept
fork,xarg,xarg,CVCC,fill,kept
form,nunt,nunt,CVCC,fill,fixed
formal,xolp,xolp,CVCC,fill,kept
format,spud,spud,CCVC,fill,kept
formula,jisk,jisk,CVCC,fill,kept
fort,fort,fort,CVCC,hand,fixed
fortunate,xolv,xolv,CVCC,fill,kept
fortune,deft,deft,CVCC,fill,kept
fossil,smep,smep,CCVC,fill,kept
foul,hust,hust,CVCC,fill,kept
found,tot,tot,CVC,short,kept
fountain,Calf,Calf,CVCC,fill,kept
four,laf,laf,CVC,hand,fixed
fowl,vruq,vruq,CCVC,fill,kept
fox,pidz,pidz,CVCC,fill,kept
fraction,txag,txag,CCVC,fill,kept
fracture,remp,remp,CVCC,fill,kept
fragile,reft,reft,CVCC,fill,kept
fragment,trig,trig,CCVC,fill,kept
fragrance,spid,spid,CCVC,fill,kept
fragrant,vrog,vrog,CCVC,fill,kept
frail,smix,smix,CCVC,fill,kept
frame,fret,fret,CCVC,hand,fixed
frank,fit,fit,CVC,short,kept
free,pod,pod,CVC,hand,fixed
freeze,friz,friz,CCVC,hand,fixed
frenzy,txac,txac,CCVC,fill,kept
frequency,cint,cint,CVCC,fill,fixed
fresh,frax,frax,CCVC,hand,fixed
fret,trev,trev,CCVC,fill,kept
friction,snum,snum,CCVC,fill,kept
friend,dud,dud,CVC,hand,fixed
fright,drax,drax,CCVC,fill,kept
fringe,klaz,klaz,CCVC,fill,kept
frog,ran,ran,CVC,hand,fixed
from,pib,pib,CVC,short,kept
front,keg,keg,CVC,hand,fixed
frost,lemp,lemp,CVCC,fill,kept
frown,txad,txad,CCVC,fill,kept
fruit,mag,mag,CVC,hand,fixed
fry,xord,xord,CVCC,fill,kept
fuel,ful,ful,CVC,hand,fixed
fulfill,grig,grig,CCVC,fill,kept
full,vup,vup,CVC,short,kept
fumble,vrip,vrip,CCVC,fill,kept
fun,zed,zed,CVC,short,kept
function,fuq,fuq,CVC,hand,fixed
fund,fand,fand,CVCC,hand,fixed
funeral,gudj,gudj,CVCC,fill,kept
fungus,ploq,ploq,CCVC,fill,kept
funnel,spaf,spaf,CCVC,fill,kept
fur,xolt,xolt,CVCC,fill,kept
furnace,drud,drud,CCVC,fill,kept
furniture,harb,harb,CVCC,fill,kept
fuse,liqk,liqk,CVCC,fill,kept
fuss,Cisk,Cisk,CVCC,fill,kept
future,gak,gak,CVC,short,fixed
fuzz,trem,trem,CCVC,fill,kept
gag,Cetx,Cetx,CVCC,fill,kept
gain,zig,zig,CVC,hand,fixed
gall,txoz,txoz,CCVC,fill,kept
gallon,plif,plif,CCVC,fill,kept
gallop,stuz,stuz,CCVC,fill,kept
gamble,xadz,xadz,CVCC,fill,kept
game,gem,gem,CVC,hand,fixed
gang,dets,dets,CVCC,fill,kept
gap,wets,wets,CVCC,fill,kept
garage,duqk,duqk,CVCC,fill,kept
garden,gan,gan,CVC,hand,fixed
garment,smuc,smuc,CCVC,fill,kept
gas,mesk,mesk,CVCC,fill,kept
gasoline,cidz,cidz,CVCC,fill,kept
gate,glet,glet,CCVC,hand,fixed
gateway,txov,txov,CCVC,fill,kept
gather,gaC,gaC,CVC,hand,fixed
gauge,plom,plom,CCVC,fill,kept
gaze,blif,blif,CCVC,fill,kept
gear,kutx,kutx,CVCC,fill,kept
gel,klof,klof,CCVC,fill,kept
gem,blod,blod,CCVC,fill,kept
gender,drec,drec,CCVC,fill,kept
gene,djin,djin,CCVC,hand,fixed
general,Cef,Cef,CVC,short,fixed
generous,karf,karf,CVCC,fill,kept
genesis,txod,txod,CCVC,fill,kept
genius,gorg,gorg,CVCC,fill,kept
gentle,kogz,kogz,CVCC,fill,kept
genuine,xund,xund,CVCC,fill,kept
geometry,trav,trav,CCVC,fill,kept
germ,snop,frep,CCVC,fill,moved
gesture,jorg,jorg,CVCC,fill,kept
get,cit,cit,CVC,hand,fixed
ghost,gost,gost,CVCC,hand,fixed
giant,dudj,dudj,CVCC,fill,kept
giggle,klip,klip,CCVC,fill,kept
gill,klif,klif,CCVC,fill,kept
girl,pud,pud,CVC,short,kept
give,gif,gif,CVC,hand,fixed
glad,vof,vof,CVC,short,kept
glance,glop,glop,CCVC,fill,kept
gland,smaq,fron,CCVC,fill,moved
glass,malz,malz,CVCC,fill,fixed
glaze,sket,blop,CCVC,fill,moved
glide,glan,glan,CCVC,hand,fixed
global,caqk,caqk,CVCC,fill,kept
gloom,spix,spix,CCVC,fill,kept
glory,piks,piks,CVCC,fill,kept
gloss,smop,smop,CCVC,fill,kept
glow,flok,flok,CCVC,hand,fixed
glue,yist,yist,CVCC,fill,kept
glyph,run,run,CVC,hand,fixed
go,big,big,CVC,hand,fixed
goal,gol,gol,CVC,hand,fixed
goat,glot,glot,CCVC,hand,fixed
god,gad,gad,CVC,hand,fixed
gold,god,god,CVC,hand,fixed
gong,bluv,bluv,CCVC,fill,kept
good,taf,taf,CVC,hand,fixed
goods,veft,sosk,CVCC,fill,moved
goose,zarv,zarv,CVCC,fill,kept
gossip,jebz,jebz,CVCC,fill,kept
gourd,flup,flup,CCVC,fill,kept
govern,snut,snut,CCVC,fill,kept
grab,mend,mend,CVCC,fill,kept
grace,nuts,nuts,CVCC,fill,kept
grade,datx,vuft,CVCC,fill,moved
gradual,vref,vref,CCVC,fill,kept
graft,klob,klob,CCVC,fill,kept
grain,letx,nusp,CVCC,fill,moved
gram,bron,bron,CCVC,fill,kept
grand,malb,malb,CVCC,fill,fixed
grant,dind,dind,CVCC,fill,kept
grape,grep,grep,CCVC,hand,fixed
graph,bon,bon,CVC,short,fixed
grasp,lolf,lolf,CVCC,fill,kept
grass,gras,gras,CCVC,hand,fixed
grate,stiz,stiz,CCVC,fill,kept
gratitude,jeft,jeft,CVCC,fill,kept
grave,bint,bint,CVCC,fill,kept
gravity,Cotx,Cotx,CVCC,fill,kept
gray,petx,petx,CVCC,fill,kept
graze,vreb,vreb,CCVC,fill,kept
grease,Carg,Carg,CVCC,fill,kept
great,mac,mac,CVC,hand,fixed
greed,lend,lend,CVCC,fill,kept
green,pes,pes,CVC,hand,fixed
greet,yusk,yusk,CVCC,fill,kept
grid,grad,grad,CCVC,hand,fixed
grief,fidz,fidz,CVCC,fill,kept
grieve,griv,griv,CCVC,hand,fixed
grill,wind,wind,CVCC,fill,kept
grin,drub,drub,CCVC,fill,kept
grind,grot,grot,CCVC,fill,kept
grip,folc,folc,CVCC,fill,kept
grit,stuv,stuv,CCVC,fill,kept
groin,krin,krin,CCVC,fill,kept
groove,worg,worg,CVCC,fill,kept
gross,hesk,hesk,CVCC,fill,kept
ground,mits,mits,CVCC,fill,kept
group,hip,hip,CVC,hand,fixed
grove,gren,gren,CCVC,fill,kept
grow,grun,grun,CCVC,hand,fixed
grudge,wiqk,wiqk,CVCC,fill,kept
grumpy,prez,prez,CCVC,fill,kept
guarantee,busk,busk,CVCC,fill,kept
guard,moft,moft,CVCC,fill,kept
guess,gres,gres,CCVC,hand,fixed
guest,gest,gest,CVCC,hand,fixed
guide,gib,gib,CVC,hand,fixed
guilt,galt,galt,CVCC,hand,fixed
gull,spat,spat,CCVC,fill,kept
gulp,stap,stap,CCVC,fill,kept
gum,zibz,zibz,CVCC,fill,kept
gun,zaz,zaz,CVC,short,kept
gut,gut,gut,CVC,hand,fixed
guy,poq,poq,CVC,short,kept
habit,husp,husp,CVCC,fill,kept
habitat,plaq,plaq,CCVC,fill,kept
hail,vard,vard,CVCC,fill,kept
hair,fif,fif,CVC,short,kept
hall,niqk,niqk,CVCC,fill,kept
halo,smib,smib,CCVC,fill,kept
hammer,vent,vent,CVCC,fill,kept
hamper,smuf,smuf,CCVC,fill,kept
hand,zeqk,zeqk,CVCC,hand,fixed
handle,huv,huv,CVC,hand,fixed
hang,heq,heq,CVC,hand,fixed
happen,sak,sak,CVC,short,kept
happy,keq,keq,CVC,short,kept
harass,snej,snej,CCVC,fill,kept
harbor,vubz,vubz,CVCC,fill,kept
hard,kad,haf,CVC,short,moved
harm,drak,drak,CCVC,hand,fixed
harmony,maq,maq,CVC,hand,fixed
harp,brem,brem,CCVC,fill,kept
harsh,Cent,Cent,CVCC,fill,kept
harvest,grez,grez,CCVC,fill,kept
hash,moz,moz,CVC,hand,fixed
hasty,glab,glab,CCVC,fill,kept
hat,mark,mark,CVCC,fill,kept
hatch,zudj,zudj,CVCC,fill,kept
hate,zas,zas,CVC,short,kept
have,haz,haz,CVC,hand,fixed
hay,cetx,cetx,CVCC,fill,kept
hazard,greq,greq,CCVC,fill,kept
haze,smag,smag,CCVC,fill,kept
he,mik,mik,CVC,short,kept
head,had,had,CVC,hand,fixed
heal,vors,vors,CVCC,fill,kept
health,gisk,gisk,CVCC,fill,kept
heap,rutx,rutx,CVCC,fill,kept
hear,pub,pub,CVC,short,kept
heart,zif,zif,CVC,short,fixed
heat,hit,hit,CVC,hand,fixed
heave,glid,glid,CCVC,fill,kept
heaven,molk,molk,CVCC,fill,kept
heavy,nant,nant,CVCC,fill,fixed
heed,hut,hut,CVC,hand,fixed
heel,jump,jump,CVCC,fill,kept
height,xisp,bidz,CVCC,fill,moved
heir,rips,rips,CVCC,fill,kept
hell,nuj,nuj,CVC,hand,fixed
hello,grit,grit,CCVC,hand,fixed
helm,yolf,yolf,CVCC,fill,kept
help,neq,neq,CVC,short,kept
hen,djed,djed,CCVC,fill,kept
henry,wup,wup,CVC,short,kept
herb,rorb,rorb,CVCC,fill,kept
herd,Cedj,Cedj,CVCC,fill,kept
here,doz,doz,CVC,hand,fixed
heritage,bleg,bleg,CCVC,fill,kept
herring,djup,djup,CCVC,fill,kept
hertz,fraq,fraq,CCVC,fill,kept
hesitate,yorg,yorg,CVCC,fill,kept
hey,hem,hem,CVC,hand,fixed
hidden,pedj,pedj,CVCC,fill,fixed
hide,hud,hud,CVC,hand,fixed
hierarchy,frag,frag,CCVC,fill,kept
high,mol,mol,CVC,hand,fixed
hill,gagz,gagz,CVCC,fill,kept
hinge,flin,flin,CCVC,fill,kept
hint,hint,hint,CVCC,hand,fixed
hip,hebz,hebz,CVCC,fill,kept
hire,bedj,bedj,CVCC,fill,kept
hiss,fris,fris,CCVC,hand,fixed
history,lop,lop,CVC,short,kept
hit,sis,sis,CVC,short,fixed
hitch,wolv,wolv,CVCC,fill,kept
hive,staj,staj,CCVC,fill,kept
hmm,ham,ham,CVC,hand,fixed
hog,raqk,raqk,CVCC,fill,kept
hold,hoq,hoq,CVC,hand,fixed
holder,smip,smip,CCVC,fill,kept
hole,hatx,hatx,CVCC,hand,fixed
holiday,pegz,pegz,CVCC,fill,kept
hollow,vabz,vabz,CVCC,fill,kept
holy,mest,mest,CVCC,fill,kept
home,hom,hom,CVC,hand,fixed
honest,mitx,mitx,CVCC,fill,kept
honey,kav,kav,CVC,short,kept
honor,res,res,CVC,short,kept
hood,hets,hets,CVCC,fill,kept
hoof,klig,klig,CCVC,fill,kept
hook,huk,huk,CVC,hand,fixed
hooray,yest,yest,CVCC,fill,kept
hop,flap,flap,CCVC,hand,fixed
hope,hop,hop,CVC,hand,fixed
horizon,lutx,lutx,CVCC,fill,kept
horizontal,smad,smad,CCVC,fill,kept
hormone,snen,snen,CCVC,fill,kept
horn,peks,peks,CVCC,fill,kept
horse,hors,hors,CVCC,hand,fixed
hospital,xes,xes,CVC,short,kept
host,harf,harf,CVCC,fill,fixed
hostile,xaqk,xaqk,CVCC,fill,kept
hot,gep,gep,CVC,short,kept
hotel,yor,yor,CVC,short,kept
hour,hek,hek,CVC,hand,fixed
house,puz,puz,CVC,short,kept
hover,sped,sped,CCVC,fill,kept
how,hal,hal,CVC,hand,fixed
howl,txec,txec,CCVC,fill,kept
hue,smuC,smuC,CCVC,fill,kept
hug,temp,temp,CVCC,fill,kept
huge,nest,nest,CVCC,fill,kept
huh,tag,tag,CVC,short,kept
hull,wodz,wodz,CVCC,fill,kept
hum,libz,libz,CVCC,fill,kept
human,dram,dram,CCVC,hand,fixed
humble,foft,foft,CVCC,fill,kept
humid,skek,skek,CCVC,fill,kept
humiliate,wosk,wosk,CVCC,fill,kept
humility,prid,prid,CCVC,fill,kept
humor,kalf,kalf,CVCC,fill,kept
hump,wits,wits,CVCC,fill,kept
hundred,wef,wef,CVC,short,kept
hunger,huqk,huqk,CVCC,hand,fixed
hunt,hant,hant,CVCC,hand,fixed
hurry,vaz,vaz,CVC,short,kept
hurt,zis,zis,CVC,short,kept
hut,zamp,zamp,CVCC,fill,kept
hybrid,txav,txav,CCVC,fill,kept
hydrogen,brim,brim,CCVC,fill,kept
hypocrite,djik,djik,CCVC,fill,kept
hypothesis,skon,skon,CCVC,fill,kept
i,mim,mim,CVC,short,kept
ice,hals,hals,CVCC,hand,fixed
icon,klim,klim,CCVC,fill,kept
idea,miv,miv,CVC,hand,fixed
ideal,jubz,jubz,CVCC,fill,kept
identical,yond,yond,CVCC,fill,kept
identity,zut,zut,CVC,hand,fixed
idle,drog,drog,CCVC,fill,kept
idol,draC,draC,CCVC,fill,kept
if,kiz,kiz,CVC,hand,fixed
ignite,stam,stam,CCVC,fill,kept
ignore,torg,torg,CVCC,fill,kept
ill,pedz,pedz,CVCC,fill,kept
illusion,hun,hun,CVC,hand,fixed
image,madj,madj,CVCC,hand,fixed
imagine,xip,xip,CVC,hand,fixed
imitate,trut,trut,CCVC,fill,kept
immediate,volf,volf,CVCC,fill,kept
immune,weqk,weqk,CVCC,fill,kept
impact,xidj,xidj,CVCC,fill,kept
imply,druz,druz,CCVC,fill,kept
import,beg,beg,CVC,short,kept
impress,farp,farp,CVCC,fill,kept
improve,xudj,xudj,CVCC,fill,kept
impulse,yusp,yusp,CVCC,fill,kept
in,ras,ras,CVC,hand,fixed
inch,veks,veks,CVCC,fill,kept
include,dab,dab,CVC,short,kept
income,jolv,jolv,CVCC,fill,kept
incorporate,vrep,vrep,CCVC,fill,kept
increase,xalv,xalv,CVCC,fill,kept
independent,xitx,xitx,CVCC,fill,kept
index,bez,bez,CVC,short,kept
indicate,xolb,xolb,CVCC,fill,kept
individual,pip,pip,CVC,hand,fixed
induce,smit,smit,CCVC,fill,kept
indulge,drem,drem,CCVC,fill,kept
industry,vomp,vomp,CVCC,fill,kept
inertia,frob,frob,CCVC,fill,kept
inevitable,yarb,yarb,CVCC,fill,kept
infect,snub,snub,CCVC,fill,kept
infer,fliq,fliq,CCVC,fill,kept
infinite,git,git,CVC,hand,fixed
inflammation,frep,snop,CCVC,fill,moved
inflate,flox,flox,CCVC,fill,kept
influence,hogz,hogz,CVCC,fill,kept
inform,vips,vips,CVCC,fill,kept
information,vit,vit,CVC,hand,fixed
ingredient,brad,brad,CCVC,fill,kept
inhale,bif,bif,CVC,short,kept
inherit,gleg,gleg,CCVC,fill,kept
initiate,gluz,gluz,CCVC,fill,kept
inject,bluj,bluj,CCVC,fill,kept
injure,sted,sted,CCVC,fill,kept
ink,joqk,joqk,CVCC,fill,kept
inn,xorb,xorb,CVCC,fill,kept
innocent,muqk,muqk,CVCC,fill,kept
input,bik,bik,CVC,short,kept
inquire,klet,klet,CCVC,fill,kept
inquisitive,steb,steb,CCVC,fill,kept
insect,bag,bag,CVC,hand,fixed
insensitive,gron,gron,CCVC,fill,kept
insert,draf,draf,CCVC,fill,kept
inside,geb,geb,CVC,short,fixed
insight,vram,vram,CCVC,hand,fixed
inspect,blip,blip,CCVC,fill,kept
inspire,grid,grid,CCVC,fill,kept
install,stom,stom,CCVC,hand,fixed
instance,karv,karv,CVCC,fill,fixed
instant,fibz,fibz,CVCC,fill,kept
instinct,jant,jant,CVCC,fill,kept
institution,jetx,jetx,CVCC,fill,kept
instruct,klaq,klaq,CCVC,fill,kept
instrument,xudz,xudz,CVCC,fill,kept
insult,vemp,vemp,CVCC,fill,kept
insure,spub,spub,CCVC,fill,kept
integrate,vrix,vrix,CCVC,fill,kept
intellect,txit,txit,CCVC,fill,kept
intend,borb,borb,CVCC,fill,kept
intense,biz,biz,CVC,hand,fixed
intent,kiv,kiv,CVC,hand,fixed
interest,tris,tris,CCVC,hand,fixed
interfere,fust,fust,CVCC,fill,kept
interior,rigz,rigz,CVCC,fill,kept
intermittent,fleg,fleg,CCVC,fill,kept
internal,fodj,fodj,CVCC,fill,kept
interpret,blud,blud,CCVC,fill,kept
interrupt,talf,talf,CVCC,fill,kept
interval,skan,skan,CCVC,fill,kept
intervene,smux,smux,CCVC,fill,kept
intestine,stif,stif,CCVC,fill,kept
intimidate,klix,klix,CCVC,fill,kept
into,pef,pef,CVC,short,kept
introduce,gord,gord,CVCC,fill,kept
intrude,blez,blez,CCVC,fill,kept
intuition,tux,tux,CVC,hand,fixed
invade,djof,djof,CCVC,fill,kept
invent,lorf,lorf,CVCC,fill,kept
inverse,wis,wis,CVC,hand,fixed
invest,lamp,lamp,CVCC,fill,kept
investigate,xint,xint,CVCC,fill,kept
invisible,vesp,vesp,CVCC,fill,kept
invite,dant,dant,CVCC,fill,kept
invoke,stan,stan,CCVC,fill,kept
involve,cisk,cisk,CVCC,fill,kept
iodine,snox,snox,CCVC,fill,kept
iris,yuks,yuks,CVCC,fill,kept
iron,kitx,kitx,CVCC,fill,kept
irrigate,frot,frot,CCVC,fill,kept
island,gend,gend,CVCC,fill,kept
isolate,dric,dric,CCVC,fill,kept
issue,grap,grap,CCVC,hand,fixed
it,vax,vax,CVC,hand,fixed
itch,hutx,hutx,CVCC,hand,fixed
item,dev,dev,CVC,short,kept
jab,glud,glud,CCVC,fill,kept
jack,sus,sus,CVC,short,kept
jacket,golc,golc,CVCC,fill,kept
jagged,flig,flig,CCVC,fill,kept
jail,medj,medj,CVCC,fill,kept
jam,djam,djam,CCVC,hand,fixed
jaw,grac,grac,CCVC,hand,fixed
jealous,geks,geks,CVCC,fill,kept
jelly,Cift,Cift,CVCC,fill,kept
jerk,gubz,gubz,CVCC,fill,kept
jet,sift,sift,CVCC,fill,kept
jewel,djul,djul,CCVC,hand,fixed
jewelry,vudz,vudz,CVCC,fill,kept
job,goq,goq,CVC,hand,fixed
join,goz,goz,CVC,short,kept
joint,dolf,dolf,CVCC,fill,kept
joke,djok,djok,CCVC,hand,fixed
jolt,snib,snib,CCVC,fill,kept
journal,xaps,xaps,CVCC,fill,kept
journey,pugz,pugz,CVCC,fill,kept
joy,djaz,djaz,CCVC,hand,fixed
judge,wep,wep,CVC,short,kept
jug,breq,breq,CCVC,fill,kept
juice,djus,djus,CCVC,hand,fixed
jumbo,drej,drej,CCVC,fill,kept
jump,mets,mets,CVCC,fill,kept
junction,djuc,djuc,CCVC,fill,kept
jungle,bolc,bolc,CVCC,fill,kept
junk,heks,heks,CVCC,fill,kept
just,bof,bof,CVC,short,kept
justice,djas,djas,CCVC,hand,fixed
kangaroo,plim,plim,CCVC,fill,kept
keel,snuC,snuC,CCVC,fill,kept
keen,lubz,lubz,CVCC,fill,kept
keep,karp,karp,CVCC,hand,fixed
kelvin,kalv,kalv,CVCC,hand,fixed
kept,rux,rux,CVC,short,kept
key,cux,cux,CVC,hand,fixed
keyboard,kriz,kriz,CCVC,fill,kept
kick,kik,kik,CVC,hand,fixed
kid,kit,kit,CVC,short,kept
kidney,fund,fund,CVCC,fill,kept
kill,klub,klub,CCVC,hand,fixed
kin,west,west,CVCC,fill,kept
kind,nab,nab,CVC,short,kept
king,fub,fub,CVC,short,kept
kiss,xan,xan,CVC,short,kept
kit,kent,kent,CVCC,fill,kept
knee,holb,holb,CVCC,fill,kept
kneel,yudj,yudj,CVCC,fill,kept
knife,nabz,nabz,CVCC,fill,kept
knight,duks,duks,CVCC,fill,kept
knit,net,net,CVC,hand,fixed
knob,blox,blox,CCVC,fill,kept
knock,nak,nak,CVC,hand,fixed
knot,grox,grox,CCVC,fill,kept
know,num,num,CVC,hand,fixed
knowledge,nadj,nadj,CVCC,hand,fixed
known,xef,xef,CVC,short,kept
knuckle,snav,snav,CCVC,fill,kept
label,Cond,Cond,CVCC,fill,kept
labor,vaps,vaps,CVCC,fill,kept
lack,laks,laks,CVCC,hand,fixed
ladder,xemp,xemp,CVCC,fill,kept
lady,zat,zat,CVC,short,kept
lag,smon,smon,CCVC,fill,kept
lake,gals,gals,CVCC,fill,kept
lamb,fisk,fisk,CVCC,fill,kept
lame,fimp,fimp,CVCC,fill,kept
lamp,zunt,zunt,CVCC,fill,kept
land,lan,lan,CVC,hand,fixed
language,gar,gar,CVC,hand,fixed
lap,ziqk,ziqk,CVCC,fill,kept
large,giqk,gadz,CVCC,fill,moved
larva,larv,larv,CVCC,hand,fixed
larynx,spev,spev,CCVC,fill,kept
lash,klag,klag,CCVC,fill,kept
last,last,last,CVCC,hand,fixed
latch,txuk,txuk,CCVC,fill,kept
late,seg,seg,CVC,short,kept
lateral,smef,smef,CCVC,fill,kept
laugh,laft,laft,CVCC,hand,fixed
launch,puqk,puqk,CVCC,fill,kept
lava,glod,glod,CCVC,fill,kept
law,xuf,xuf,CVC,short,kept
lay,gled,gled,CCVC,hand,fixed
layer,grof,grof,CCVC,fill,kept
lazy,vops,vops,CVCC,fill,kept
lead,lid,lid,CVC,hand,fixed
leaf,lif,lif,CVC,hand,fixed
leak,farf,farf,CVCC,fill,kept
lean,fesp,fesp,CVCC,fill,kept
leap,Cubz,Cubz,CVCC,fill,kept
learn,lin,lin,CVC,hand,fixed
least,zoq,zoq,CVC,short,kept
leather,zind,zind,CVCC,fill,kept
leave,lurv,lurv,CVCC,hand,fixed
ledge,glag,glag,CCVC,fill,kept
leech,krov,krov,CCVC,fill,kept
left,bep,bep,CVC,hand,fixed
leg,legz,legz,CVCC,hand,fixed
legal,galf,galf,CVCC,fill,kept
legend,keks,keks,CVCC,fill,kept
legitimate,jalb,jalb,CVCC,fill,kept
leisure,bled,bled,CCVC,fill,kept
lemon,varg,varg,CVCC,fill,kept
lend,daq,daq,CVC,short,kept
length,dar,dar,CVC,short,kept
lenient,sken,sken,CCVC,fill,kept
lens,lalv,lalv,CVCC,fill,kept
lesion,frud,frud,CCVC,fill,kept
less,gef,gef,CVC,short,fixed
lesson,didj,didj,CVCC,fill,kept
let,lart,lart,CVCC,hand,fixed
letter,wit,wit,CVC,short,kept
level,nits,nits,CVCC,fill,kept
lever,djem,djem,CCVC,fill,kept
lewd,snon,snon,CCVC,fill,kept
liberty,komp,komp,CVCC,fill,kept
library,bolb,bolb,CVCC,fill,kept
lice,txiq,txiq,CCVC,fill,kept
license,dips,dips,CVCC,fill,kept
lie,zav,zav,CVC,hand,fixed
life,cad,cad,CVC,hand,fixed
lift,gorv,gorv,CVCC,fill,kept
light,lit,lit,CVC,hand,fixed
lightning,semp,semp,CVCC,fill,kept
like,lak,lak,CVC,hand,fixed
likely,bemp,bemp,CVCC,fill,kept
lily,dutx,dutx,CVCC,fill,kept
limb,larf,larf,CVCC,fill,kept
lime,djiq,djiq,CCVC,fill,kept
limit,zarf,zarf,CVCC,fill,fixed
limp,limp,limp,CVCC,hand,fixed
line,zob,zob,CVC,short,fixed
lineage,skob,skob,CCVC,fill,kept
linen,drik,drik,CCVC,fill,kept
linger,smot,smot,CCVC,fill,kept
link,lik,lik,CVC,hand,fixed
lion,groq,groq,CCVC,hand,fixed
lip,glip,glip,CCVC,hand,fixed
liquid,krid,krid,CCVC,hand,fixed
liquor,keps,keps,CVCC,fill,kept
list,list,list,CVCC,hand,fixed
listen,nix,nix,CVC,hand,fixed
little,nip,nip,CVC,short,kept
live,kib,kib,CVC,short,kept
lizard,zart,zart,CVCC,hand,fixed
load,lod,lod,CVC,hand,fixed
loaf,luft,luft,CVCC,fill,kept
loan,lon,lon,CVC,hand,fixed
lobe,trez,trez,CCVC,fill,kept
lobster,jups,jups,CVCC,fill,kept
local,ruv,ruv,CVC,hand,fixed
locate,fadj,fadj,CVCC,fill,kept
location,ruk,ruk,CVC,hand,fixed
lock,mols,mols,CVCC,fill,kept
lodge,Cudz,Cudz,CVCC,fill,kept
loft,gliq,gliq,CCVC,fill,kept
log,def,def,CVC,short,kept
lone,rimp,rimp,CVCC,fill,kept
lonely,gind,gind,CVCC,fill,kept
long,nuc,nuc,CVC,hand,fixed
look,luk,luk,CVC,hand,fixed
loop,lup,lup,CVC,hand,fixed
loose,txot,txot,CCVC,hand,fixed
loot,gleb,gleb,CCVC,fill,kept
lord,lor,lor,CVC,hand,fixed
lore,frim,frim,CCVC,fill,kept
lose,guz,guz,CVC,hand,fixed
lost,sen,sen,CVC,short,kept
lot,pug,pug,CVC,short,kept
loud,gift,gift,CVCC,fill,kept
love,lav,lav,CVC,hand,fixed
low,lem,lem,CVC,hand,fixed
loyal,varp,varp,CVCC,fill,kept
loyalty,vont,vont,CVCC,fill,kept
luck,fiv,fiv,CVC,short,kept
lucky,fog,fog,CVC,short,kept
luggage,vund,vund,CVCC,fill,kept
lump,gleq,gleq,CCVC,fill,kept
lung,xols,xols,CVCC,fill,kept
lure,womp,womp,CVCC,fill,kept
lust,yalf,yalf,CVCC,fill,kept
luxury,cugz,cugz,CVCC,fill,kept
machine,xin,xin,CVC,hand,fixed
mad,yeg,yeg,CVC,short,kept
magic,gim,gim,CVC,hand,fixed
magnesium,skeq,skeq,CCVC,fill,kept
magnet,namp,namp,CVCC,hand,fixed
magnificent,zand,zand,CVCC,fill,fixed
magnitude,smuq,smuq,CCVC,fill,kept
mail,garb,garb,CVCC,fill,kept
main,men,men,CVC,hand,fixed
maintain,zoqk,zoqk,CVCC,fill,kept
major,yaz,yaz,CVC,short,kept
make,mek,mek,CVC,hand,fixed
male,maf,maf,CVC,hand,fixed
mammal,snuz,snuz,CCVC,fill,kept
man,nim,nim,CVC,short,kept
manage,pisk,pisk,CVCC,fill,kept
mandate,smaf,smaf,CCVC,fill,kept
mane,frub,frub,CCVC,fill,kept
mania,stiv,stiv,CCVC,fill,kept
manifest,grud,grud,CCVC,fill,kept
manual,jind,jind,CVCC,fill,kept
manufacture,bluf,bluf,CCVC,fill,kept
many,mav,mav,CVC,hand,fixed
map,deq,deq,CVC,short,fixed
march,balv,balv,CVCC,fill,kept
mark,wen,wen,CVC,short,kept
marker,ridz,ridz,CVCC,fill,kept
market,gald,gald,CVCC,fill,kept
marriage,wov,wov,CVC,short,kept
marrow,djuz,stox,CCVC,fill,moved
marry,yav,yav,CVC,short,kept
marsh,glat,glat,CCVC,fill,kept
marvel,txuq,txuq,CCVC,fill,kept
masculine,blun,blun,CCVC,fill,kept
mask,mask,mask,CVCC,hand,fixed
mass,mars,mars,CVCC,hand,fixed
mast,klox,klox,CCVC,fill,kept
master,pik,pik,CVC,hand,fixed
mat,glaz,glaz,CCVC,fill,kept
match,gup,gup,CVC,short,fixed
mate,ment,ment,CVCC,hand,fixed
material,buts,buts,CVCC,fill,kept
matrix,grex,grex,CCVC,fill,kept
matter,tuf,tuf,CVC,short,kept
mature,xolz,xolz,CVCC,fill,kept
maximum,maks,maks,CVCC,hand,fixed
may,nax,nax,CVC,short,kept
maybe,morv,morv,CVCC,hand,fixed
maze,blit,blit,CCVC,fill,kept
meadow,plix,plix,CCVC,fill,kept
meal,darg,darg,CVCC,fill,kept
mean,piv,piv,CVC,short,kept
measure,yaj,yaj,CVC,hand,fixed
meat,mak,mak,CVC,hand,fixed
mechanic,rarf,rarf,CVCC,fill,kept
mechanism,groz,groz,CCVC,fill,kept
media,bups,bups,CVCC,fill,kept
medicine,gorz,gorz,CVCC,fill,kept
meditate,tam,tam,CVC,hand,fixed
medium,sit,sit,CVC,hand,fixed
meet,mit,mit,CVC,hand,fixed
melancholy,plum,plum,CCVC,fill,kept
