english                 tune    shape  role           uses  head  source
jug                     breq    ccvc   noun              1     1  fill
juice                   djus    ccvc   verb              7     6  hand
jumbo                   drej    ccvc   noun              1     0  fill
jump                    mets    cvcc   verb             18     6  fill
junction                djuc    ccvc   noun              0     0  fill
jungle                  bolc    cvcc   noun              0     0  fill
junk                    heks    cvcc   noun              0     0  fill
just                    bof     cvc    adverb            3     1  short
justice                 djas    ccvc   adjective         0     0  hand
kangaroo                plim    ccvc   noun              0     0  fill
keel                    snuC    ccvc   verb              0     0  fill
keen                    lubz    cvcc   adjective         3     1  fill
keep                    karp    cvcc   verb             27     6  hand
kelvin                  kalv    cvcc   noun              0     0  hand
kept                    rux     cvc    verb              2     0  short
key                     cux     cvc    verb             16     8  hand
keyboard                kriz    ccvc   noun              0     0  fill
kick                    kik     cvc    verb              1     0  hand
kid                     kit     cvc    verb              7     3  short
kidney                  fund    cvcc   noun              2     0  fill
kill                    klub    ccvc   verb             31    22  hand
kin                     west    cvcc   noun              1     1  fill
kind                    nab     cvc    adjective        94    66  short
king                    fub     cvc    noun              9     3  short
kiss                    xan     cvc    verb              1     1  short
kit                     kent    cvcc   noun              1     1  fill
knee                    holb    cvcc   noun              4     1  fill
kneel                   yudj    cvcc   verb              0     0  fill
knife                   nabz    cvcc   noun              8     7  fill
knight                  duks    cvcc   noun              2     0  fill
knit                    net     cvc    verb              2     0  hand
knob                    blox    ccvc   noun              2     2  fill
knock                   nak     cvc    verb              4     2  hand
knot                    grox    ccvc   noun              7     5  fill
know                    num     cvc    verb             39    31  hand
knowledge               nadj    cvcc   noun             28    23  hand
known                   xef     cvc    adjective         0     0  short
knuckle                 snav    ccvc   noun              1     1  fill
label                   Cond    cvcc   verb             12     8  fill
labor                   vaps    cvcc   verb              3     2  fill
lack                    laks    cvcc   verb             46     2  hand
ladder                  xemp    cvcc   noun              1     0  fill
lady                    zat     cvc    noun              5     5  short
lag                     smon    ccvc   verb              0     0  fill
lake                    gals    cvcc   noun              1     1  fill
lamb                    fisk    cvcc   noun              1     0  fill
lame                    fimp    cvcc   adjective         0     0  fill
lamp                    zunt    cvcc   noun              1     0  fill
land                    lan     cvc    verb             64    43  hand
language                gar     cvc    noun             11     6  hand
lap                     ziqk    cvcc   verb              0     0  fill
large                   giqk    cvcc   adjective        78     3  fill
larva                   larv    cvcc   noun              1     0  hand
larynx                  spev    ccvc   noun              0     0  fill
lash                    klag    ccvc   verb              1     1  fill
last                    last    cvcc   adjective        19     6  hand
latch                   txuk    ccvc   verb              1     1  fill
late                    seg     cvc    adjective         7     0  short
lateral                 smef    ccvc   adjective         2     0  fill
laugh                   laft    cvcc   verb              9     7  hand
launch                  puqk    cvcc   verb              3     1  fill
lava                    glod    ccvc   noun              0     0  fill
law                     xuf     cvc    noun             40    13  short
lay                     gled    ccvc   adjective        61    47  hand
layer                   grof    ccvc   noun              0     0  fill
lazy                    vops    cvcc   adjective         3     0  fill
lead                    lid     cvc    verb             56    43  hand
leaf                    lif     cvc    noun             20    12  hand
leak                    farf    cvcc   verb              4     1  fill
lean                    fesp    cvcc   adjective         9     2  fill
leap                    Cubz    cvcc   verb              1     0  fill
learn                   lin     cvc    verb             24    12  hand
least                   zoq     cvc    determiner        1     0  short
leather                 zind    cvcc   noun              1     1  fill
leave                   lurv           verb             33     2  hand
ledge                   glag    ccvc   noun              2     2  fill
leech                   krov    ccvc   verb              0     0  fill
left                    bep     cvc    adjective         0     0  hand
leg                     legz    cvcc   noun             23    17  hand
legal                   galf    cvcc   adjective        12     1  fill
legend                  keks    cvcc   noun              1     0  fill
legitimate              jalb    cvcc   adjective         0     0  fill
leisure                 bled    ccvc   noun              1     0  fill
lemon                   varg    cvcc   noun              2     0  fill
lend                    daq     cvc    verb              1     1  short
length                  dar     cvc    noun              0     0  short
lenient                 sken    ccvc   adjective         0     0  fill
lens                    lalv    cvcc   noun              2     0  fill
lesion                  frud    ccvc   noun              0     0  fill
less                    gef     cvc    noun             24     9  short
lesson                  didj    cvcc   noun              3     3  fill
let                     lart    cvcc   verb              6     0  hand
letter                  wit     cvc    noun             19    10  short
level                   nits    cvcc   verb             35    29  fill
lever                   djem    ccvc   noun              2     1  fill
lewd                    snon    ccvc   adjective         1     0  fill
liberty                 komp    cvcc   noun              0     0  fill
library                 bolb    cvcc   noun              1     0  fill
lice                    txiq    ccvc   noun              1     1  fill
license                 dips    cvcc   verb              1     0  fill
lie                     zav     cvc    verb             11     3  hand
life                    cad     cvc    noun            104    49  hand
lift                    gorv    cvcc   verb             22     8  fill
light                   lit     cvc    adjective       199    68  hand
lightning               semp    cvcc   noun              0     0  fill
like                    lak     cvc    verb             51    30  hand
likely                  bemp    cvcc   adjective         0     0  fill
lily                    dutx    cvcc   noun              0     0  fill
limb                    larf    cvcc   noun              6     6  fill
lime                    djiq    ccvc   noun              0     0  fill
lime                    djim    ccvc   noun              0     0  fill
limit                   zarf    cvcc   verb             20    15  fill
limp                    limp    cvcc   adjective         1     0  hand
line                    zob     cvc    verb            104    86  short
lineage                 skob    ccvc   noun              3     0  fill
linen                   drik    ccvc   noun              0     0  fill
linger                  smot    ccvc   verb              1     0  fill
link                    lik     cvc    verb             32    18  hand
lion                    groq    ccvc   noun              1     1  hand
lip                     glip    ccvc   noun              8     2  hand
liquid                  krid    ccvc   adjective        69    39  hand
liquor                  keps    cvcc   noun              1     0  fill
list                    list    cvcc   verb             27    18  hand
listen                  nix     cvc    verb             11     8  hand
little                  nip     cvc    adjective        53     0  short
live                    kib     cvc    adjective        58    17  short
lizard                  zart    cvcc   noun              3     2  hand
load                    lod     cvc    verb             20    17  hand
loaf                    luft    cvcc   noun              0     0  fill
loan                    lon     cvc    verb              3     1  hand
lobe                    trez    ccvc   noun              1     0  fill
lobster                 jups    cvcc   noun              0     0  fill
local                   ruv     cvc    adjective         8     1  hand
locate                  fadj    cvcc   verb              0     0  fill
location                ruk     cvc    noun              9     5  hand
lock                    mols    cvcc   verb             12     3  fill
lodge                   Cudz    cvcc   verb              1     0  fill
loft                    gliq    ccvc   noun              1     1  fill
log                     def     cvc    verb              4     4  short
lone                    rimp    cvcc   noun              1     0  fill
lonely                  gind    cvcc   adjective         0     0  fill
long                    nuc     cvc    adjective        67    15  hand
look                    luk     cvc    verb             94    67  hand
loop                    lup     cvc    noun              6     2  hand
loose                   txot    ccvc   adjective        11     1  hand
loot                    gleb    ccvc   verb              0     0  fill
lord                    lor     cvc    noun              2     2  hand
lore                    frim    ccvc   noun              0     0  fill
lose                    guz     cvc    verb             18     5  hand
lost                    sen     cvc    adjective         0     0  short
lot                     pug     cvc    noun              0     0  short
loud                    gift    cvcc   adjective        49     5  fill
love                    lav     cvc    verb             54    39  hand
low                     lem     cvc    adjective        54     3  hand
loyal                   varp    cvcc   adjective         5     4  fill
loyalty                 vont    cvcc   noun              4     1  fill
luck                    fiv     cvc    noun              7     6  short
lucky                   fog     cvc    adjective         6     2  short
luggage                 vund    cvcc   noun              2     0  fill
lump                    gleq    ccvc   verb              4     3  fill
lung                    xols    cvcc   noun              4     1  fill
lure                    womp    cvcc   noun              1     1  fill
lust                    yalf    cvcc   verb              0     0  fill
luxury                  cugz    cvcc   noun              2     0  fill
machine                 xin     cvc    noun             26    17  hand
mad                     yeg     cvc    adjective        13     6  short
magic                   gim     cvc    noun             12     5  hand
magnesium               skeq    ccvc   noun              0     0  fill
magnet                  namp    cvcc   noun              4     3  hand
magnificent             zand    cvcc   adjective         0     0  fill
magnitude               smuq    ccvc   noun              0     0  fill
mail                    garb    cvcc   verb              3     1  fill
main                    men     cvc    adjective        32     2  hand
maintain                zoqk    cvcc   verb              1     0  fill
major                   yaz     cvc    adjective         0     0  short
make                    mek     cvc    verb            426   182  hand
male                    maf     cvc    adjective        18     5  hand
mammal                  snuz    ccvc   noun              1     0  fill
man                     nim     cvc    noun             48    37  short
manage                  pisk    cvcc   verb             14     9  fill
mandate                 smaf    ccvc   verb              0     0  fill
mane                    frub    ccvc   noun              0     0  fill
mania                   stiv    ccvc   noun              1     1  fill
manifest                grud    ccvc   verb              0     0  fill
manual                  jind    cvcc   adjective         0     0  fill
manufacture             bluf    ccvc   verb              0     0  fill
many                    mav     cvc    adjective        80     4  hand
map                     deq     cvc    verb             13     6  short
march                   balv    cvcc   noun              3     3  fill
mark                    wen     cvc    noun             85    64  short
marker                  ridz    cvcc   noun              0     0  fill
market                  gald    cvcc   verb              5     1  fill
marriage                wov     cvc    noun             16    13  short
marrow                  djuz    ccvc   noun              0     0  fill
marry                   yav     cvc    verb              4     2  short
marsh                   glat    ccvc   noun              1     0  fill
marvel                  txuq    ccvc   noun              0     0  fill
masculine               blun    ccvc   adjective         1     1  fill
mask                    mask    cvcc   verb              5     2  hand
mass                    mars    cvcc   noun             16    10  hand
mast                    klox    ccvc   noun              1     1  fill
master                  pik     cvc    verb              3     2  hand
mat                     glaz    ccvc   noun              3     3  fill
match                   gup     cvc    verb             19    14  short
mate                    ment    cvcc   noun              5     4  hand
material                buts    cvcc   noun             22    22  fill
matrix                  grex    ccvc   noun              0     0  fill
matter                  tuf     cvc    verb             18    17  short
mature                  xolz    cvcc   adjective         2     1  fill
maximum                 maks    cvcc   adjective         0     0  hand
may                     nax     cvc    verb              1     0  short
maybe                   morv    cvcc   adverb            0     0  hand
maze                    blit    ccvc   noun              0     0  fill
meadow                  plix    ccvc   noun              0     0  fill
meal                    darg    cvcc   noun             35    24  fill
mean                    piv     cvc    adjective        44    30  short
mean                    pif     cvc    adjective        44    30  short
mean                    piz     cvc    adjective        44    30  short
measure                 yaj     cvc    verb             95    84  hand
meat                    mak     cvc    noun             27    14  hand
mechanic                rarf    cvcc   noun              1     0  fill
mechanism               groz    ccvc   noun              1     0  fill
media                   bups    cvcc   noun              0     0  fill
medicine                gorz    cvcc   noun             17     5  fill
meditate                tam     cvc    verb              1     0  hand
medium                  sit     cvc    adjective         3     2  hand
meet                    mit     cvc    verb             22    11  hand
melancholy              plum    ccvc   noun              0     0  fill
melody                  cigz    cvcc   noun              1     1  fill
melon                   weft    cvcc   noun              0     0  fill
melt                    jutx    cvcc   verb              8     2  fill
member                  mast    cvcc   noun             15    15  hand
membrane                broq    ccvc   noun              0     0  hand
memory                  guj     cvc    noun             14     2  hand
mend                    brav    ccvc   verb              0     0  fill
mention                 mont    cvcc   verb              3     2  fill
mercy                   mus     cvc    noun              3     3  hand
merge                   bas     cvc    verb              0     0  short
merit                   glum    ccvc   verb              0     0  fill
merry                   gedz    cvcc   adjective         0     0  fill
mesh                    vrum    ccvc   noun              4     1  fill
mess                    wog     cvc    verb             22     5  short
message                 muj     cvc    verb             38    23  hand
metabolism              spov    ccvc   noun              0     0  fill
metal                   malt    cvcc   noun             32    18  hand
metaphor                griz    ccvc   noun              0     0  fill
meter                   carf    cvcc   noun              6     6  fill
method                  dax     cvc    noun             13     8  short
middle                  mad     cvc    noun             29     3  hand
midnight                dalv    cvcc   noun              0     0  fill
mild                    lent    cvcc   adjective         1     0  fill
mile                    pesp    cvcc   noun              0     0  fill
military                gibz    cvcc   noun              3     1  fill
milk                    nudj    cvcc   verb              7     3  fill
million                 xak     cvc    value             5     1  short
mimic                   vrit    ccvc   verb              1     0  fill
mind                    tid     cvc    verb             46    25  short
mind                    man     cvc    verb             46    25  hand
mine                    meq     cvc    verb              2     1  hand
mineral                 brom    ccvc   noun              3     3  fill
minimum                 skim    ccvc   adjective         1     0  hand
minister                tuqk    cvcc   noun              1     1  fill
minor                   zubz    cvcc   adjective         2     0  fill
mint                    yorb    cvcc   noun              1     0  fill
minute                  duk     cvc    noun              0     0  hand
miracle                 duft    cvcc   noun              0     0  fill
mirror                  flek    ccvc   verb              1     0  hand
miss                    tit     cvc    verb             12     1  short
missile                 zatx    cvcc   noun              1     0  fill
mist                    glem    ccvc   noun             10     5  fill
mix                     miks    cvcc   verb             77    18  hand
mixture                 blok    ccvc   noun              0     0  fill
mmm                     muq     cvc    interjection      0     0  hand
mob                     zogz    cvcc   noun              2     1  fill
mobile                  jotx    cvcc   adjective         1     0  fill
mock                    dov     cvc    verb              7     0  short
mode                    mod     cvc    noun              1     1  hand
model                   mej     cvc    verb             11     5  hand
modern                  kint    cvcc   adjective         1     0  fill
modest                  yisk    cvcc   adjective         2     1  fill
module                  biv     cvc    noun              0     0  short
moist                   trug    ccvc   adjective         6     1  fill
moisture                snup    ccvc   noun              5     4  fill
mold                    wedj    cvcc   verb              3     2  fill
molecule                mal     cvc    noun              1     1  hand
moment                  ven     cvc    noun             12    12  short
momentum                klen    ccvc   noun              0     0  fill
money                   pov     cvc    noun             49    21  short
monitor                 zaft    cvcc   verb              0     0  fill
monkey                  maqk    cvcc   verb              0     0  hand
monopoly                draj    ccvc   noun              1     1  fill
monster                 gebz    cvcc   noun              2     2  fill
month                   mes     cvc    noun              9     3  hand
monument                plib    ccvc   noun              0     0  fill
mood                    mud     cvc    noun             20    16  hand
moon                    lun     cvc    noun              7     1  hand
mope                    vruf    ccvc   noun              1     0  fill
moral                   zint    cvcc   adjective         6     2  fill
more                    nis     cvc    adverb           22    12  short
morning                 tan     cvc    noun              5     0  short
mosquito                trun    ccvc   noun              0     0  fill
moss                    magz    cvcc   noun              0     0  hand
most                    nof     cvc    adjective         9     1  short
moth                    plem    ccvc   noun              0     0  fill
mother                  mam     cvc    noun              9     2  hand
motion                  miq     cvc    noun             18    14  hand
motive                  zeps    cvcc   noun              1     1  fill
motor                   zadj    cvcc   noun              0     0  fill
mound                   sman    ccvc   noun              5     5  fill
mount                   valc    cvcc   verb              1     1  fill
mountain                mot     cvc    noun              6     3  hand
mourn                   bleb    ccvc   verb              1     0  fill
mouse                   tedz    cvcc   noun              2     1  fill
mouth                   muc     cvc    verb             18    10  hand
move                    muv     cvc    verb            183   124  hand
much                    nen     cvc    determiner       29    24  short
mucus                   frum    ccvc   noun              1     0  fill
mud                     cat     cvc    noun              8     1  hand
mug                     Colb    cvcc   noun              1     1  fill
multiple                feqk    cvcc   adjective        32     0  fill
multiply                vak     cvc    verb              0     0  hand
mumble                  vrij    ccvc   verb              0     0  fill
murder                  yed     cvc    verb              7     7  short
murky                   froz    ccvc   adjective         0     0  fill
murmur                  stum    ccvc   noun              2     1  fill
muscle                  suft    cvcc   noun             26    11  fill
museum                  tunt    cvcc   noun              0     0  fill
mush                    draq    ccvc   noun              1     1  fill
music                   feb     cvc    noun             25     5  short
mutant                  glix    ccvc   noun              0     0  fill
mutual                  Cidj    cvcc   adjective         3     0  fill
muzzle                  smij    ccvc   noun              0     0  fill
my                      slur           noun              0     0  hand
mystery                 sod     cvc    noun              4     1  hand
myth                    Comp    cvcc   noun              0     0  fill
nail                    togz    cvcc   verb              4     2  fill
naive                   cemp    cvcc   adjective         1     0  fill
name                    nam     cvc    verb             56    39  hand
nap                     vidj    cvcc   noun              2     1  fill
narrow                  Ceft    cvcc   adjective        15     1  fill
nasty                   bump    cvcc   adjective         0     0  fill
nation                  pomp    cvcc   noun              4     3  fill
native                  xolk    cvcc   noun              5     0  fill
natural                 nups    cvcc   adjective         0     0  fill
nature                  nep     cvc    noun             39    20  hand
naughty                 faft    cvcc   adjective         1     0  fill
nausea                  pluz    ccvc   noun              1     0  fill
navel                   snun    ccvc   noun              0     0  fill
navigate                txux    ccvc   verb              0     0  fill
navy                    begz    cvcc   noun              3     0  fill
near                    lub     cvc    adjective        23     4  short
neat                    veqk    cvcc   adjective         4     4  fill
necessary               narf    cvcc   adjective         0     0  fill
neck                    mond    cvcc   noun              7     0  fill
nectar                  skik    ccvc   noun              0     0  fill
need                    nid     cvc    verb             32    24  hand
needle                  vald    cvcc   noun              2     0  fill
neglect                 klex    ccvc   verb              0     0  fill
negotiate               Cuqk    cvcc   verb              1     1  fill
neither                 meft    cvcc   determiner        0     0  fill
nerve                   nurv           noun             24     3  hand
nervous                 mant    cvcc   adjective         7     1  fill
nest                    nas     cvc    noun              2     1  hand
net                     hift    cvcc   verb             11     4  fill
network                 mix     cvc    verb              0     0  hand
neutral                 nal     cvc    adjective         3     0  hand
never                   nit     cvc    never            13     0  short
new                     gump    cvcc   adjective       120    16  hand
newton                  grog    ccvc   noun              0     0  fill
next                    fid     cvc    adjective        22     1  hand
nice                    nes     cvc    adjective        16     4  hand
niche                   skiz    ccvc   noun              0     0  fill
nickel                  xosk    cvcc   noun              0     0  fill
night                   yit     cvc    noun             19     6  hand
nine                    mamp    cvcc   value             3     1  fill
nipple                  drev    ccvc   noun              2     0  fill
nitrogen                snuc    ccvc   noun              0     0  fill
no                      nop     cvc    no              163     1  hand
noble                   hugz    cvcc   adjective        10     2  fill
nobody                  sed     cvc    noun              0     0  short
node                    krag    ccvc   noun              0     0  hand
noise                   gobz    cvcc   noun             51    50  fill
non                     grax    ccvc   non               4     0  fill
none                    yek     cvc    noun              0     0  short
noon                    kibz    cvcc   noun              3     0  fill
nor                     nork    cvcc   conjunction       0     0  hand
norm                    gluv    ccvc   noun              0     0  fill
normal                  mebz    cvcc   adjective        13     9  fill
north                   yin     cvc    adjective         1     0  hand
nose                    noz     cvc    noun              9     2  hand
nostalgia               vrek    ccvc   noun              0     0  fill
nostril                 vrup    ccvc   noun              0     0  fill
not                     mas     cvc    not            1077     3  short
notch                   glut    ccvc   noun              2     0  fill
note                    not     cvc    verb             25    20  hand
nothing                 him     cvc    noun              2     0  hand
notice                  mogz    cvcc   verb             15    11  fill
now                     xom     cvc    conjunction      14    10  hand
nucleus                 klis    ccvc   noun              2     1  hand
nude                    yisp    cvcc   adjective         0     0  fill
nuisance                djiC    ccvc   noun              1     0  fill
numb                    rusp    cvcc   adjective         2     2  fill
number                  dis     cvc    noun             58    32  hand
nurse                   nont    cvcc   verb              1     0  fill
nurture                 vron    ccvc   verb              0     0  fill
nut                     hiks    cvcc   noun              5     3  fill
nylon                   sneq    ccvc   noun              0     0  fill
oak                     yalb    cvcc   noun              1     0  fill
oar                     skud    ccvc   noun              1     1  fill
oat                     flez    ccvc   noun              1     0  fill
oath                    fogz    cvcc   noun              1     1  fill
obey                    xand    cvcc   verb              4     3  fill
object                  kaq     cvc    verb             52    35  hand
obligation              Cund    cvcc   noun              0     0  fill
oblige                  plaf    ccvc   noun              0     0  fill
obscure                 brum    ccvc   adjective         0     0  fill
observe                 suv     cvc    verb              1     1  hand
obsess                  from    ccvc   verb              1     0  fill
obstacle                brov    ccvc   noun              1     0  fill
obstruct                frut    ccvc   verb              0     0  fill
obtain                  grov    ccvc   verb              0     0  fill
obvious                 daqk    cvcc   adjective         3     1  fill
occasion                kodj    cvcc   noun              1     1  fill
occupy                  blog    ccvc   verb              2     2  fill
occur                   joft    cvcc   verb              3     2  fill
ocean                   vrun    ccvc   noun             28     2  hand
octopus                 txug    ccvc   noun              0     0  fill
odd                     balt    cvcc   adjective        10     1  fill
odor                    pran    ccvc   noun              5     5  fill
of                      yov     cvc    preposition      45     6  hand
off                     nev     cvc    preposition      53    36  hand
offend                  risp    cvcc   verb              1     0  fill
offense                 kotx    cvcc   noun              0     0  fill
offer                   migz    cvcc   verb             16     3  fill
office                  zop     cvc    noun              7     3  short
official                balf    cvcc   adjective         6     2  fill
offset                  flib    ccvc   verb              0     0  fill
offspring               blik    ccvc   noun              0     0  fill
often                   gug     cvc    adverb            6     3  short
oh                      pin     cvc    oh                0     0  short
oil                     gips    cvcc   verb             18    10  fill
ointment                kluq    ccvc   noun              1     1  fill
okay                    hok     cvc    okay              1     1  hand
old                     marg    cvcc   adjective        39     0  hand
omen                    klik    ccvc   noun              1     0  fill
on                      vun     cvc    preposition      50    24  hand
once                    kin     cvc    adverb            3     0  short
one                     zan     cvc    value            84    31  hand
oneself                 txiz    ccvc   noun              0     0  fill
onion                   wont    cvcc   noun              2     2  fill
only                    peb     cvc    adverb            0     0  short
onto                    garp    cvcc   preposition       1     1  fill
oops                    find    cvcc   interjection      0     0  fill
opaque                  prik    ccvc   adjective         0     0  hand
open                    zark    cvcc   adjective        72    36  hand
opening                 getx    cvcc   verb              0     0  fill
operate                 zift    cvcc   verb              0     0  fill
opinion                 nuft    cvcc   noun             10    10  fill
opponent                labz    cvcc   noun              0     0  fill
opportunity             gits    cvcc   noun              0     0  fill
oppose                  pluq    ccvc   verb              8     1  fill
opposite                hand    cvcc   adjective        12     0  fill
option                  huft    cvcc   noun              6     4  fill
or                      xat     cvc    conjunction       1     0  hand
oracle                  plag    ccvc   noun              0     0  fill
orange                  dej     cvc    adjective         1     0  hand
orb                     drot    ccvc   noun              0     0  fill
orbit                   brit    ccvc   verb              1     0  hand
order                   nord    cvcc   verb             52    42  hand
ordinary                tetx    cvcc   adjective         0     0  fill
ore                     klod    ccvc   noun              1     1  fill
organ                   Cint    cvcc   noun             12    11  fill
organism                txam    ccvc   noun              4     4  fill
orient                  lij     cvc    verb              0     0  hand
origin                  wimp    cvcc   noun              4     3  fill
original                dont    cvcc   adjective         4     1  fill
ornament                speb    ccvc   noun              4     2  fill
other                   nez     cvc    adjective        12     5  short
ouch                    vusk    cvcc   interjection      0     0  fill
our                     bliz    ccvc   noun              0     0  hand
out                     buk     cvc    preposition     222   149  short
outcome                 wutx    cvcc   noun              0     0  fill
output                  bip     cvc    noun              0     0  hand
outside                 ges     cvc    adjective        28     2  short
oval                    snij    ccvc   adjective         1     0  fill
ovary                   flaq    ccvc   noun              1     1  fill
oven                    xatx    cvcc   noun              1     1  fill
over                    djip    ccvc   adjective        47    25  hand
overlap                 flit    ccvc   verb              0     0  fill
ow                      molb    cvcc   interjection      0     0  fill
owe                     mibz    cvcc   verb              2     1  fill
owl                     yalp    cvcc   noun              1     0  fill
own                     tik     cvc    adjective        21     8  short
pace                    futs    cvcc   noun              3     2  fill
pack                    nolk    cvcc   verb              8     8  fill
package                 pak     cvc    verb              1     1  hand
packet                  blag    ccvc   noun              0     0  fill
pad                     xunt    cvcc   noun             10    10  fill
paddle                  graz    ccvc   noun              2     1  fill
page                    gadz    cvcc   noun              6     3  fill
pain                    muz     cvc    noun             39    27  hand
paint                   pent    cvcc   verb              6     4  hand
pair                    den     cvc    verb             11     4  short
pal                     morb    cvcc   noun              1     1  fill
palate                  stac    ccvc   verb              0     0  fill
pale                    xusk    cvcc   adjective         2     0  fill
palm                    zebz    cvcc   noun              2     1  fill
palsy                   flex    ccvc   noun              0     0  fill
pamper                  flab    ccvc   verb              1     0  fill
pan                     vamp    cvcc   verb              5     2  fill
panel                   Cimp    cvcc   noun              5     5  fill
pant                    stod    ccvc   noun              1     0  fill
pant                    stog    ccvc   noun              1     0  fill
paper                   yof     cvc    noun             26    19  short
par                     rump    cvcc   noun              0     0  fill
parade                  zump    cvcc   noun              1     1  fill
paradox                 snod    ccvc   noun              0     0  fill
parallel                wist    cvcc   verb              1     0  fill
paramount               pleq    ccvc   noun              0     0  fill
parasite                blop    ccvc   noun              1     0  fill
parcel                  snid    ccvc   noun              0     0  fill
pardon                  mart    cvcc   noun              2     2  fill
parent                  sas     cvc    noun              6     5  hand
park                    misp    cvcc   verb              1     0  fill
park                    mist    cvcc   verb              1     0  fill
parliament              plad    ccvc   noun              0     0  fill
part                    part    cvcc   verb            286   255  hand
partial                 ligz    cvcc   adjective         0     0  fill
participate             wisk    cvcc   verb              0     0  fill
particle                rav     cvc    noun             10     8  hand
particular              dobz    cvcc   adjective         2     0  fill
partner                 mind    cvcc   noun             15    11  fill
party                   zeb     cvc    verb              6     4  short
pascal                  spof    ccvc   noun              0     0  fill
pass                    yef     cvc    verb             24    14  short
passage                 jaqk    cvcc   noun              2     0  fill
passenger               fips    cvcc   noun              0     0  fill
passion                 tind    cvcc   noun              3     3  fill
past                    gez     cvc    verb             14     4  short
paste                   pest    cvcc   verb              0     0  hand
pastry                  txuv    ccvc   noun              1     0  fill
pasture                 smeC    ccvc   noun              0     0  fill
pat                     kimp    cvcc   noun              0     0  fill
patch                   patx    cvcc   verb              1     1  hand
path                    pac     cvc    noun             75    67  hand
patient                 marv    cvcc   adjective         5     4  fill
patter                  vroz    ccvc   noun              0     0  fill
pattern                 jom     cvc    noun              8     6  hand
pause                   yorf    cvcc   verb             10     3  fill
pavilion                stoz    ccvc   noun              0     0  fill
paw                     djac    ccvc   noun              0     0  fill
pay                     peq     cvc    verb             24    12  hand
pea                     griq    ccvc   noun              1     0  fill
peace                   siz     cvc    noun             15     7  hand
peach                   cesp    cvcc   noun              1     1  fill
peak                    yint    cvcc   verb              8     7  fill
peck                    glex    ccvc   noun              0     0  fill
pedal                   txaf    ccvc   noun              0     0  fill
pee                     kidj    cvcc   verb              3     1  fill
peer                    smec    ccvc   verb              0     0  fill
peg                     garv    cvcc   noun              0     0  fill
pellet                  snam    ccvc   noun              1     1  fill
pelvis                  txom    ccvc   noun              0     0  fill
pen                     bart    cvcc   verb              5     2  fill
penalty                 xedj    cvcc   noun              3     1  fill
penetrate               dreb    ccvc   verb              0     0  fill
peninsula               sniz    ccvc   noun              0     0  fill
penis                   zidj    cvcc   noun              1     1  fill
people                  ped     cvc    noun             44    29  short
pepper                  xard    cvcc   noun              0     0  fill
per                     pork    cvcc   preposition       0     0  hand
perceive                siv     cvc    verb              0     0  hand
percent                 beqk    cvcc   noun              0     0  fill
perfect                 kax     cvc    adjective         8     0  hand
perform                 kudz    cvcc   verb              6     4  fill
perhaps                 fov     cvc    adverb            0     0  short
period                  dotx    cvcc   noun             15    13  fill
permanent               yaq     cvc    adjective         1     0  hand
permeate                pim     cvc    verb              0     0  hand
permit                  vaks    cvcc   verb              1     0  fill
perpendicular           parp    cvcc   adjective         0     0  hand
persist                 spim    ccvc   verb              0     0  fill
person                  nar     cvc    noun            377   358  hand
personal                rof     cvc    adjective         8     1  short
perspective             xolf    cvcc   noun              0     0  fill
persuade                cebz    cvcc   verb              2     2  fill
pest                    dred    ccvc   noun              4     1  fill
pet                     polb    cvcc   verb              4     1  fill
petal                   skaq    ccvc   noun              0     0  fill
phase                   vest    cvcc   verb              2     2  fill
pheasant                vrin    ccvc   noun              0     0  fill
phenomenon              lolv    cvcc   noun              0     0  fill
phew                    txep    ccvc   interjection      0     0  fill
phosphorus              friq    ccvc   noun              0     0  fill
physical                dak     cvc    adjective         7     2  hand
pick                    pruk    ccvc   verb             11     5  hand
picture                 foz     cvc    noun             58    46  short
piece                   fuf     cvc    noun             98    92  short
pierce                  bent    cvcc   noun              3     0  fill
pig                     prag    ccvc   noun              6     1  hand
pile                    zagz    cvcc   verb              7     6  fill
pill                    valk    cvcc   noun              1     1  fill
pillar                  smiC    ccvc   adjective         0     0  fill
pillow                  vost    cvcc   noun              0     0  fill
pilot                   dust    cvcc   noun              2     1  fill
pimple                  klav    ccvc   noun              1     0  fill
pin                     koft    cvcc   verb              9     3  fill
pinch                   corg    cvcc   noun              1     1  fill
pine                    comp    cvcc   verb              0     0  fill
ping                    djig    ccvc   verb              0     0  fill
pink                    dalb    cvcc   adjective         1     1  fill
pipe                    tidj    cvcc   verb             16    10  fill
pit                     zesp    cvcc   verb              4     3  fill
pitch                   hend    cvcc   noun              0     0  fill
pity                    botx    cvcc   verb              1     1  fill
place                   nad     cvc    verb            289   257  short
plain                   pint    cvcc   adjective         4     0  fill
plain                   pind    cvcc   adjective         4     0  fill
plait                   flen    ccvc   noun              1     0  fill
plan                    plan    ccvc   verb             53    42  hand
plane                   rag     cvc    noun              5     2  short
plane                   rev     cvc    noun              5     2  short
planet                  glob    ccvc   noun              1     0  hand
plank                   txax    ccvc   noun              0     0  fill
plant                   dorf    cvcc   verb             66    34  fill
plasma                  rorv    cvcc   noun              0     0  fill
plastic                 tarf    cvcc   adjective         4     2  fill
plate                   plet    ccvc   noun              8     8  hand
plateau                 flik    ccvc   noun              0     0  fill
platform                cogz    cvcc   noun              6     5  fill
platinum                bluc    ccvc   noun              0     0  fill
