english               tune                          english parts                     tune parts
thymus                gitxaismaq                    chest + gland                     gitx + smaq
thyroid               galkaismaq                    throat + gland                    galk + smaq
thyroiditis           -                             thyroid + swell                   ? + parb
tibia                 djopaibrod                    shin + bone                       djop + brod
titanium              livaitom                      strong + atom                     liv + tom
tobacco               smokailifaidorf               smoke + leaf + plant              smok + lif + dorf
toenail               vintaitogz                    toe + nail                        vint + togz
tomato                gicaisaftaimag                red + soft + fruit                gic + saft + mag
tomography            -                             slice + writing                   xogz + ?
tonsil                galkaismaq                    throat + gland                    galk + smaq
torch                 maftaiflem                    carry + flame                     maft + flem
torpedo               waCaimudj                     water + bomb                      waC + mudj
transaminase          -                             amine + move + enzyme             ? + muv + spug
transduction          roqailid                      across + lead                     roq + lid
transferase           palfaispug                    transfer + enzyme                 palf + spug
transfusion           bloCaihaft                    blood + pour                      bloC + haft
translocation         roqainadaimuv                 across + place + move             roq + nad + muv
transplant            roqaidorf                     across + plant                    roq + dorf
travertine            dempaidjim                    spring + lime                     demp + djim
tricolor              -                             three + colour                    suC + ?
triphosphate          -                             three + phosphate                 suC + ?
trough                nucaives                      long + vessel                     nuc + ves
truck                 veftaixets                    goods + cart                      veft + xets
tryptophan            -                             amino + acid                      ? + falf
tuff                  praxaiston                    ash + stone                       prax + ston
tulip                 nipsaiflor                    cup + flower                      nips + flor
tungsten              wolfaitom                     wolf + atom                       wolf + tom
turmeric              buxaifebz                     yellow + root                     bux + febz
turnip                mapsaifebz                    round + root                      maps + febz
turpentine            compaigips                    pine + oil                        comp + gips
tyrosine              -                             amino + acid                      ? + falf
ulna                  -                             lower + arm + bone                ? + marb + brod
ultrasound            numpaisam                     beyond + sound                    nump + sam
ultraviolet           numpaikoj                     beyond + violet                   nump + koj
underground           betaimits                     under + ground                    bet + mits
unilateral            zanaisardaiyov                one + side + of                   zan + sard + yov
upgrade               tedaidatx                     up + grade                        ted + datx
uptake                tedaitek                      up + take                         ted + tek
uranium               geqaitom                      break + atom                      geq + tom
urea                  waCaimusp                     water + waste                     waC + musp
ureter                fundaitub                     kidney + tube                     fund + tub
urethra               waCaitub                      water + tube                      waC + tub
urogenital            -                             urine + genital                   cidj + ?
urticaria             -                             nettle + rash                     ? + ?
uveitis               xicainuspaiparb               eye + coat + swell                xic + nusp + parb
uvula                 galkaidrap                    throat + drop                     galk + drap
vaccine               titxaivataisom                teach + body + drug               titx + vat + som
vacuole               mudzaijimp                    cell + bubble                     mudz + jimp
valine                -                             amino + acid                      ? + falf
vamp                  palaipatx                     again + patch                     pal + patx
vanadium              bataitom                      beauty + atom                     bat + tom
vanilla               skitailugaipard               sweet + smell + pod               skit + lug + pard
varnish               kadaismopainusp               hard + gloss + coat               kad + smop + nusp
vasculitis            vesaiparb                     vessel + swell                    ves + parb
veneer                porvaifesaigrof               thin + face + layer               porv + fes + grof
ventricle             zifaitif                      heart + room                      zif + tif
vermilion             dinaigic                      bright + red                      din + gic
vesicle               smalaisnaz                    small + sac                       smal + snaz
vest                  marbaigefainusp               arm + less + coat                 marb + gef + nusp
villus                gutaifif                      gut + hair                        gut + fif
vinegar               yedzaimalv                    sour + wine                       yedz + malv
violet                sifaismalaiflor               purple + small + flower           sif + smal + flor
violin                pobzaidesaibraz               bow + string + box                pobz + des + braz
volvulus              gutaivits                     gut + twist                       gut + vits
vulva                 -                             outer + sex + part                ? + fed + part
walnut                foldaihiksaidip               fold + nut + tree                 fold + hiks + dip
wan                   xuskaislok                    pale + weak                       xusk + slok
warfare               gekaicond                     war + fare                        gek + cond
warfarin              bloCaitruzaigiks              blood + clot + block              bloC + truz + giks
water lily            flotaiwaCaiflor               float + water + flower            flot + waC + flor
watermelon            gicaiwaCaimag                 red + water + fruit               gic + waC + mag
weed                  masaiwantaidorf               not + want + plant                mas + want + dorf
wheat                 dalfailetx                    bread + grain                     dalf + letx
willow                yotxaiwaCaidip                weep + water + tree               yotx + waC + dip
wisteria              heqaisifaiflor                hang + purple + flower            heq + sif + flor
wreath                florairop                     flower + ring                     flor + rop
wrench                vitsaitul                     twist + tool                      vits + tul
xenon                 kebzaitom                     alien + atom                      kebz + tom
xylene                -                             double + methyl + benzene         ? + ? + ?
yam                   giqkaifebz                    large + root                      giqk + febz
yarrow                flataiwipaiflor               flat + white + flower             flat + wip + flor
yew                   -                             red + seed + conifer              gic + sid + ?
ytterbium             gujaitom                      memory + atom                     guj + tom
yttrium               wuskaitom                     bulb + atom                       wusk + tom
yucca                 bibzailifaidorf               sword + leaf + plant              bibz + lif + dorf
zinc                  snimaitom                     brittle + atom                    snim + tom
zinnia                dinaimapsaiflor               bright + round + flower           din + maps + flor
zirconium             prikaitom                     opaque + atom                     prik + tom
