term,score,round,why
leech,2006.106,13,chosen
text,2000.011,13,chosen
opinion,2000.01,13,chosen
bunch,2000.006,13,chosen
stout,2000,13,chosen
ski,1999.998,13,chosen
hillock,1999.998,13,chosen
month,1994.253,13,chosen
allege,1993.992,13,chosen
suck,1980.219,13,chosen
vascular,1973.273,13,chosen
invisible,1970.659,13,chosen
shock,1962.978,13,chosen
hear,1962.015,13,chosen
torch,1961.465,14,chosen
clock,1957.161,14,chosen
gap,1954.549,14,chosen
par,1952.715,14,chosen
custom,1952.473,14,chosen
wish,1950.053,14,chosen
save,1950.014,14,chosen
soar,1950,14,chosen
emerald,1949.798,14,chosen
apricot,1948.148,14,chosen
sixty,1947.247,14,chosen
mist,1944.704,14,chosen
term,1944.154,14,chosen
coyote,1942.941,14,chosen
wrestling,1934.434,14,chosen
business,1931.93,14,chosen
web,1922.932,14,chosen
bolt,1921.873,14,chosen
oasis,1918.868,14,chosen
privet,1917.716,14,chosen
roll,1916.414,14,chosen
soak,1916.03,14,chosen
cure,1914.195,14,chosen
fragrance,1914.015,14,chosen
entangled,1912.361,14,chosen
ford,1911.91,14,chosen
lift,1909.022,14,chosen
political,1909,14,chosen
volcano,1900.899,14,chosen
screw,1898.067,14,chosen
scrap,1897.348,14,chosen
kneel,1895.479,14,chosen
caught,1886.885,14,chosen
capture,1886.094,14,chosen
glory,1882.184,14,chosen
retreat,1876.875,14,chosen
rail,1874.13,14,chosen
porcupine,1864.263,14,chosen
route,1859.017,14,chosen
laugh,1856.184,14,chosen
parrot,1853.391,14,chosen
sure,1850.014,14,chosen
drag,1850.003,14,chosen
multitude,1850,14,chosen
league,1848.847,14,chosen
fertile,1848.048,14,chosen
imitate,1841.015,14,chosen
bishop,1837.587,14,chosen
tame,1832.514,14,chosen
hostel,1830.829,14,chosen
moat,1830.729,14,chosen
germ,1828.645,14,chosen
consider,1828.132,14,chosen
shallow,1827.725,14,chosen
eel,1827.427,14,chosen
peg,1825.423,14,chosen
rigid,1823.223,14,chosen
gelding,1818.817,14,chosen
fabric,1817.014,14,chosen
detail,1808.023,14,chosen
otter,1804.753,14,chosen
manage,1800.014,14,chosen
emotion,1800.011,14,chosen
social,1800.007,14,chosen
underlayer,1800,14,chosen
midpoint,1800,14,chosen
strife,1800,14,chosen
lyre,1797.045,14,chosen
pacify,1796,14,chosen
opal,1793.943,14,chosen
islet,1790.746,14,chosen
page,1788.63,14,chosen
maid,1785.986,14,chosen
storm,1767.774,14,chosen
decorate,1765.009,14,chosen
contorted,1761.11,14,chosen
plank,1760.11,14,chosen
layer,1750.206,14,chosen
ivory,1749.447,14,chosen
strawberry,1749.047,14,chosen
pin,1745.454,14,chosen
weave,1745.335,14,chosen
curtailed,1745.194,14,chosen
thyrsus,1740,14,chosen
remote,1736.558,14,chosen
mule,1736.139,14,chosen
uniform,1735.386,14,chosen
mane,1728.928,14,chosen
lentil,1727.176,14,chosen
bake,1714.565,14,chosen
cease,1714.002,14,chosen
sale,1709.687,14,chosen
marble,1709.299,14,chosen
bound,1703,14,chosen
roost,1701.65,14,chosen
armpit,1700.037,14,chosen
garum,1700,14,chosen
arise,1700,14,chosen
street,1696.766,14,chosen
chin,1694.144,14,chosen
bloom,1688.791,15,chosen
cathedral,1682.681,15,chosen
standard,1677.635,15,chosen
contest,1677.179,15,chosen
pyramidal,1674.323,15,chosen
ride,1672.011,15,chosen
vertical,1670.671,15,chosen
pier,1662.654,15,chosen
feed,1658.127,15,chosen
door,1654.31,15,chosen
ventricose,1653.152,15,chosen
badge,1651.252,15,chosen
mangrove,1650.243,15,chosen
fujian,1650,15,chosen
henry,1649.648,15,chosen
pasture,1645.226,15,chosen
scythe,1644.643,15,chosen
residential,1636.635,15,chosen
thesis,1634.734,15,chosen
tomorrow,1634.382,15,chosen
mat,1634.237,15,chosen
cruel,1633.041,15,chosen
steppe,1630.03,15,chosen
bazaar,1624.623,15,chosen
bold,1624.437,15,chosen
hawthorn,1623.723,15,chosen
suit,1619.429,15,chosen
conference,1616.615,15,chosen
question,1616.018,15,chosen
barbarian,1616.016,15,chosen
pomp,1615.165,15,chosen
hawk,1611.65,15,chosen
disk,1607.059,15,chosen
listen,1607.018,15,chosen
lung,1605.059,15,chosen
mosquito,1604.091,15,chosen
method,1602.015,15,chosen
furrow,1600.732,15,chosen
label,1600.012,15,chosen
sex,1600.011,15,chosen
activity,1600.008,15,chosen
title,1600.008,15,chosen
grasp,1600.007,15,chosen
odor,1600.005,15,chosen
wizard,1600.001,15,chosen
goosefoot,1600,15,chosen
calf,1598.477,15,chosen
escape,1592.249,15,chosen
hare,1589.639,15,chosen
bidentate,1585.284,15,chosen
aurochs,1582.182,15,chosen
dung,1581.476,15,chosen
mistletoe,1575.725,15,chosen
lioness,1574.774,15,chosen
fallow,1568.815,15,chosen
aurora,1568.567,15,chosen
jacket,1568.54,15,chosen
sponge,1557.239,15,chosen
satisfy,1555.263,15,chosen
abbey,1550.549,15,chosen
tick,1550.3,15,chosen
drip,1550.006,15,chosen
deity,1550.003,15,chosen
fastigiate,1542.992,15,chosen
awning,1538.387,15,chosen
mute,1537.336,15,chosen
yoghurt,1535.534,15,chosen
stare,1534.434,15,chosen
urban,1533.483,15,chosen
colony,1533.432,15,chosen
tape,1532.935,15,chosen
stable,1527.234,15,chosen
noon,1520.522,15,chosen
ibis,1516.515,15,chosen
virtue,1516.016,15,chosen
bath,1515.464,15,chosen
cast,1514.035,15,chosen
grunt,1513.013,15,chosen
aim,1508.315,15,chosen
jar,1504.633,15,chosen
pasturage,1504.254,15,chosen
leap,1501.04,15,chosen
rouge,1500.049,15,chosen
buckwheat,1500,15,chosen
hunger,1499.401,15,chosen
document,1498.306,15,chosen
transverse,1497.446,15,chosen
parsnip,1488.342,15,chosen
lobster,1487.486,15,chosen
private,1486.389,15,chosen
he,1486,15,chosen
insult,1482.233,15,chosen
dear,1480.882,15,chosen
mango,1480.73,15,chosen
nurse,1475.832,15,chosen
breach,1475.474,15,chosen
strangle,1474,15,chosen
soot,1470.469,15,chosen
beloved,1465.414,15,chosen
relative,1452.001,15,chosen
raven,3739.979,16,chosen
kin,1450.001,16,chosen
pal,1450.001,16,chosen
moor,1449.067,16,chosen
gay,1448.447,16,chosen
finch,1446.146,16,chosen
inlet,1445.695,16,chosen
javelin,1440.189,16,chosen
parsley,1438.602,16,chosen
trinity,1435.434,16,chosen
acid,1435.043,16,chosen
injure,1434.188,16,chosen
stitch,1429.03,16,chosen
gear,1419.335,16,chosen
mock,1416.223,16,chosen
itch,1415,16,chosen
loin,1411.111,16,chosen
dumpling,1409.409,16,chosen
season,1409.008,16,chosen
expand,1406.057,16,chosen
crucified,1403.853,16,chosen
sulphur,1403.003,16,chosen
council,1401.272,16,chosen
silkworm,1400.822,16,chosen
steady,1400.016,16,chosen
display,1400.012,16,chosen
team,1400.011,16,chosen
stress,1400.01,16,chosen
grip,1400.007,16,chosen
weavers,1400,16,chosen
shuttle,1400,16,chosen
肉豆蔻,1400,16,chosen
nutmeg,1400,16,chosen
eucalyptus,1400,16,chosen
japonica,1400,16,chosen
wort,1400,16,chosen
misfortune,1399.249,16,chosen
queen,1399.247,16,chosen
dome,1399.099,16,chosen
felt,1394.094,16,chosen
barn,1392.391,16,chosen
alligator,1389.238,16,chosen
minnow,1388.188,16,chosen
govern,1385.387,16,chosen
gulf,1385.384,16,chosen
journey,1383.143,16,chosen
weight,1382.181,16,chosen
revenge,1380.132,16,chosen
solitary,1378.277,16,chosen
yard,1376.327,16,chosen
site,1375.561,16,chosen
urge,1374.036,16,chosen
macaw,1370.369,16,chosen
prison,1365.56,16,chosen
drunk,1354.359,16,chosen
forecastle,1354.353,16,chosen
temple,1352.933,16,chosen
mole,1350.299,16,chosen
valerian,1348.297,16,chosen
mint,1348.199,16,chosen
coast,1347.376,16,chosen
canine,1347.044,16,chosen
modified,1343.993,16,chosen
stomach,1342.401,16,chosen
uncovered,1341.841,16,chosen
done,1341.191,16,chosen
video,1340.021,16,chosen
wheelwright,1339.338,16,chosen
catalpa,1337.037,16,chosen
turtle,1336.636,16,chosen
sessile,1336,16,chosen
insert,1334.287,16,chosen
dove,1330.023,16,chosen
marginal,1329.078,16,chosen
navy,1325.327,16,chosen
zither,1324.024,16,chosen
cedar,1322.271,16,chosen
leak,1322.176,16,chosen
guest,1321.325,16,chosen
pike,1321.237,16,chosen
carpenter,1318.337,16,chosen
soldier,1314.864,16,chosen
unseen,1312.962,16,chosen
loop,1310.766,16,chosen
meter,1310.047,16,chosen
rodeo,1308.307,16,chosen
earliest,1307.256,16,chosen
parasite,1306.906,16,chosen
dispute,1306.008,16,chosen
savage,1305.355,16,chosen
reef,1304.032,16,chosen
approve,1302.108,16,chosen
roast,1300.489,16,chosen
mora,1300.087,16,chosen
cock,1300.001,16,chosen
coal,1299.622,16,chosen
metro,1299.298,16,chosen
flint,1298.147,16,chosen
echo,1294.911,16,chosen
spray,1294.101,16,chosen
student,1293.631,17,chosen
ache,1289.28,17,chosen
quarry,1289.221,17,chosen
barrier,1288.492,17,chosen
vulture,1284.461,17,chosen
pavement,1284.283,17,chosen
almond,1283.654,17,chosen
toward,1283.17,17,chosen
alcohol,1283.089,17,chosen
cylinder,1280.38,17,chosen
unstained,1280.279,17,chosen
plague,1275.975,17,chosen
lamb,1274.024,17,chosen
unknown,1269.268,17,chosen
bile,1266.58,17,chosen
arena,1265.265,17,chosen
tent,1259.515,17,chosen
rook,1259.258,17,chosen
role,1258.064,17,chosen
camera,1254.062,17,chosen
funereal,1252.201,17,chosen
restharrow,1252.051,17,chosen
covering,1250.579,17,chosen
freeze,1250.013,17,chosen
talent,1250.005,17,chosen
concern,1250.002,17,chosen
andron,1250,17,chosen
stockade,1250,17,chosen
crazy,1248.615,17,chosen
stock,1238.69,17,chosen
grind,1232.288,17,chosen
trunk,1232.063,17,chosen
appendage,1231,17,chosen
oyster,1229.228,17,chosen
shirt,1229.184,17,chosen
diverging,1228.978,17,chosen
nice,1228.444,17,chosen
mealy,1226.826,17,chosen
surgery,1226.032,17,chosen
buckthorn,1223.706,17,chosen
breeze,1220.962,17,chosen
duty,1216.006,17,chosen
bachelor,1215.915,17,chosen
jagged,1215.164,17,chosen
brave,1212.624,17,chosen
brine,1210.159,17,chosen
tissue,1209.021,17,chosen
spouse,1209.016,17,chosen
lap,1204.053,17,chosen
spend,1200.013,17,chosen
sorrow,1200.011,17,chosen
scare,1200.009,17,chosen
spell,1200.008,17,chosen
flavor,1200.007,17,chosen
program,1200.006,17,chosen
flap,1200.001,17,chosen
gradual,1200.001,17,chosen
unaccustomed,1197.146,17,chosen
altar,1195.345,17,chosen
culture,1195.202,17,chosen
coffee,1194.145,17,chosen
relief,1192.346,17,chosen
strait,1191.09,17,chosen
homestead,1189.159,17,chosen
triumph,1188.187,17,chosen
hellebore,1187.387,17,chosen
sovereign,1186.036,17,chosen
dough,1182.833,17,chosen
dragoness,1181.731,17,chosen
history,1179.083,17,chosen
woodland,1172.291,17,chosen
siege,1172.072,17,chosen
lamp,1171.598,17,chosen
candidate,1169.168,17,chosen
cling,1168.518,17,chosen
tub,1166.269,17,chosen
sausage,1165.902,17,chosen
adjoining,1163.813,17,chosen
scratch,1163.454,17,chosen
lace,1162.451,17,chosen
fortress,1161.01,17,chosen
adjacent,1159.909,17,chosen
humble,1158.162,17,chosen
tortoise,1153.503,17,chosen
domain,1152.151,17,chosen
gentleman,1150.051,17,chosen
expect,1150.009,17,chosen
gull,1150.001,17,chosen
hypericon,1150,17,chosen
ooze,1150,17,chosen
fund,1144.149,17,chosen
purslane,1142.692,17,chosen
canoe,1139.088,17,chosen
guy,1137.739,17,chosen
reptile,1136.242,17,chosen
reform,1135.134,17,chosen
butcher,1134.934,17,chosen
merchant,1130,17,chosen
deadnettle,1128.578,17,chosen
squad,1127.126,17,chosen
debt,1164.295,18,chosen
cuttlefish,1125.402,18,chosen
vapor,1125.125,18,chosen
fellow,1122.114,18,chosen
clam,1120.02,18,chosen
bench,1115.915,18,chosen
ounce,1111.711,18,chosen
melt,1111.019,18,chosen
vow,1110.513,18,chosen
yesterday,1109.959,18,chosen
interior,1105.104,18,chosen
log,1103.228,18,chosen
comparative,1102.752,18,chosen
success,1100.058,18,chosen
brief,1100.009,18,chosen
theater,1100.003,18,chosen
scorpion,1100,18,chosen
caryopteris,1100,18,chosen
divaricata,1100,18,chosen
hack,1100,18,chosen
slab,1098.097,18,chosen
ferry,1097.647,18,chosen
guava,1094.109,18,chosen
ore,1093.854,18,chosen
banco,1093.092,18,chosen
candy,1091.431,18,chosen
ripe,1091.041,18,chosen
mess,1086.108,18,chosen
scene,1086.009,18,chosen
benefit,1083.088,18,chosen
jug,1076.803,18,chosen
boss,1071.023,18,chosen
magpie,1070.52,18,chosen
sambuca,1068,18,chosen
ember,1067,18,chosen
peninsula,1066.015,18,chosen
glance,1065.07,18,chosen
float,1064.071,18,chosen
laboratory,1064.037,18,chosen
excellent,1063.213,18,chosen
annex,1060.059,18,chosen
brood,1059.048,18,chosen
eave,1058.008,18,chosen
melia,1051,18,chosen
quarrel,1050.25,18,chosen
messenger,1050.049,18,chosen
lukewarm,1050,18,chosen
glutinous,1050,18,chosen
peeled,1050,18,chosen
orchard,1046.793,18,chosen
mimic,1046.739,18,chosen
myrrh,1046.646,18,chosen
tomb,1046.599,18,chosen
cheat,1045.998,18,chosen
perennial,1044.544,18,chosen
rage,1043.024,18,chosen
column,1040.24,18,chosen
slim,1039.493,18,chosen
rat,1034.717,18,chosen
moustache,1033.983,18,chosen
radiant,1033.733,18,chosen
mockery,1031.03,18,chosen
indigo,1028.628,18,chosen
judgment,1027.026,18,chosen
widow,1024.324,18,chosen
polje,1024.023,18,chosen
coltsfoot,1023.973,18,chosen
august,1022.972,18,chosen
quadrangular,1021.671,18,chosen
fleabane,1019.819,18,chosen
sauce,1019.346,18,chosen
struggle,1019.207,18,chosen
chart,1019.026,18,chosen
wasteland,1010.742,18,chosen
midday,1006,18,chosen
rescue,1004.006,18,chosen
commune,1004.003,18,chosen
baneberry,1001.301,18,chosen
explain,1001.009,18,chosen
seal,1000.172,18,chosen
poll,1000.075,18,chosen
reduce,1000.022,18,chosen
10^3,1000.015,18,chosen
vote,1000.011,18,chosen
religion,1000.01,18,chosen
vision,1000.009,18,chosen
usual,1000.009,18,chosen
regret,1000.008,18,chosen
ahead,1000.007,18,chosen
infect,1000.006,18,chosen
version,1000.006,18,chosen
panel,1000.005,18,chosen
knob,1000.002,18,chosen
scholar,1000.002,18,chosen
compete,1000.001,18,chosen
demon,1000,18,chosen
phenomenon,1000,18,chosen
duckweed,1000,18,chosen
beakstalk,1000,18,chosen
rhomboidal,997.597,18,chosen
oread,997.197,19,chosen
restaurant,994.994,19,chosen
bellows,993.793,19,chosen
stalemate,991.991,19,chosen
cottage,989.954,19,chosen
corroded,983.633,19,chosen
grant,981.035,19,chosen
collapse,980.782,19,chosen
tap,980.186,19,chosen
fetter,980.13,19,chosen
bagatelle,979.979,19,chosen
tire,977.041,19,chosen
commercial,976.976,19,chosen
unusual,975.575,19,chosen
superior,973.061,19,chosen
dagger,970.47,19,chosen
bipinnate,969.369,19,chosen
fee,969.174,19,chosen
floccose,966.566,19,chosen
plug,965.028,19,chosen
lame,964.614,19,chosen
remain,961.317,19,chosen
tide,961.069,19,chosen
pregnant,958.759,19,chosen
spelt,957.587,19,chosen
dive,955.108,19,chosen
snare,951.951,19,chosen
burnet,951.501,19,chosen
challenge,951.074,19,chosen
product,951.055,19,chosen
presiding,950.418,19,chosen
dip,950.004,19,chosen
courteous,950,19,chosen
overflow,950,19,chosen
forerunner,950,19,chosen
shepherd,947.775,19,chosen
garment,947.38,19,chosen
exchange,945.152,19,chosen
drain,945.048,19,chosen
fever,944.795,19,chosen
calvary,938.938,19,chosen
marigold,935.285,19,chosen
evil,933.394,19,chosen
granary,932.732,19,chosen
width,930.137,19,chosen
pose,925.7,19,chosen
mirage,923.923,19,chosen
youth,923.823,19,chosen
train,923.031,19,chosen
kindled,920.919,19,chosen
turbine,920.061,19,chosen
brake,919.035,19,chosen
stupid,915.716,19,chosen
balm,915.517,19,chosen
miserable,914.514,19,chosen
engine,913.318,19,chosen
neon,912.162,19,chosen
loyal,912.117,19,chosen
corn,911.527,19,chosen
chess,910.01,19,chosen
oven,904.705,19,chosen
cue,904.655,19,chosen
disaster,903.505,19,chosen
additionally,902.902,19,chosen
spark,902.504,19,chosen
deceit,902.356,19,chosen
drama,901.703,19,chosen
salad,901.702,19,chosen
perform,900.035,19,chosen
patient,900.005,19,chosen
pious,900,19,chosen
esteem,900,19,chosen
visit,898.302,19,chosen
burdock,898.298,19,chosen
inn,897.152,19,chosen
anvil,894.694,19,chosen
brick,892.343,19,chosen
chaff,892.242,19,chosen
neat,890.094,19,chosen
garret,889.439,19,chosen
mullah,888.888,19,chosen
latticed,888.788,19,chosen
globule,888.738,19,chosen
bucket,886.586,19,chosen
jet,886.103,19,chosen
hermitage,879.879,19,chosen
lever,875.127,19,chosen
phile,873,19,chosen
furnace,871.672,19,chosen
cream,870.342,19,chosen
paste,870.32,19,chosen
couple,867.469,19,chosen
vulgar,867,19,chosen
chat,865.845,19,chosen
flaw,865.269,19,chosen
hatch,864.666,19,chosen
zoo,861.861,19,chosen
spire,861.061,19,chosen
satyr,857.857,19,chosen
argue,855.007,19,chosen
chew,853.004,20,chosen
guardian,852.202,20,chosen
courage,850.005,20,chosen
tension,850.004,20,chosen
swear,850.003,20,chosen
persuade,850.002,20,chosen
yield,850.002,20,chosen
gardenia,850,20,chosen
trot,849.787,20,chosen
conquer,849.65,20,chosen
known,848.759,20,chosen
devil,846.846,20,chosen
blacksmith,843.843,20,chosen
hostile,843.644,20,chosen
arc,843.246,20,chosen
grotto,839.839,20,chosen
supervise,839.442,20,chosen
mania,839.001,20,chosen
pyramid,837.787,20,chosen
verse,832.086,20,chosen
moisture,831.036,20,chosen
colonial,830.83,20,chosen
pottery,826.276,20,chosen
relax,826.126,20,chosen
groove,823.374,20,chosen
grease,823.174,20,chosen
savanna,822.822,20,chosen
harp,822.623,20,chosen
organism,821.025,20,chosen
depot,820.82,20,chosen
lightning,817.557,20,chosen
fossil,817.22,20,chosen
woven,816.566,20,chosen
bloc,815.815,20,chosen
geometer,813.813,20,chosen
medina,813.813,20,chosen
comfort,813.18,20,chosen
fashion,813.007,20,chosen
wick,811,20,chosen
aspen,809.809,20,chosen
heel,809.61,20,chosen
attitude,808.012,20,chosen
anal,802.802,20,chosen
ancestor,802.203,20,chosen
invite,801.005,20,chosen
hayrack,801,20,chosen
beribboned,800.75,20,chosen
choose,800.013,20,chosen
blend,800.009,20,chosen
clash,800.006,20,chosen
option,800.006,20,chosen
situation,800.006,20,chosen
snack,800.006,20,chosen
gauge,800.005,20,chosen
mate,800.005,20,chosen
temperature,800.005,20,chosen
ceremony,800.005,20,chosen
alloy,800.004,20,chosen
earn,800.004,20,chosen
pretty,800.004,20,chosen
sac,800.004,20,chosen
status,800.004,20,chosen
dart,800.001,20,chosen
census,800,20,chosen
luxuriant,800,20,chosen
pennycress,800,20,chosen
curry,796.299,20,chosen
threat,796.007,20,chosen
mortar,795.645,20,chosen
absolute,794.062,20,chosen
lava,792.492,20,chosen
pelican,789.789,20,chosen
pus,789.19,20,chosen
fleetfooted,786.536,20,chosen
lost,785.485,20,chosen
bast,784.784,20,chosen
hazelnut,784.001,20,chosen
oregano,782.482,20,chosen
germane,781.781,20,chosen
alkali,780.48,20,chosen
antiderivative,779.779,20,chosen
gamble,779.118,20,chosen
fry,773.002,20,chosen
tag,771.076,20,chosen
currency,770,20,chosen
geeky,767.767,20,chosen
aqueduct,767.667,20,chosen
warrior,766.516,20,chosen
feast,765.113,20,chosen
irrigate,765,20,chosen
unguiculate,761.511,20,chosen
current,761.071,20,chosen
raphe,759.559,20,chosen
ledge,759.361,20,chosen
sport,759.334,20,chosen
nunatak,757.757,20,chosen
strict,757.058,20,chosen
decussated,756.706,20,chosen
morphine,756.006,20,chosen
breed,755.308,20,chosen
dandy,755.256,21,chosen
arable,754.672,21,chosen
diet,754.106,21,chosen
linen,750.2,21,chosen
flip,750.003,21,chosen
saffron,750,21,chosen
angle.,750,21,chosen
bosom,750,21,chosen
anhui,750,21,chosen
dichotomous,750,21,chosen
evergreen,750,21,chosen
enmesh,750,21,chosen
leucaena,750,21,chosen
skull,748.35,21,chosen
potato,746.204,21,chosen
sought,744.644,21,chosen
spar,743.093,21,chosen
pocket,742.543,21,chosen
distress,741.141,21,chosen
investigate,737.188,21,chosen
snarl,737,21,chosen
woodpecker,736.586,21,chosen
welcome,730.137,21,chosen
debate,729.031,21,chosen
chair,728.079,21,chosen
unite,726.001,21,chosen
glacier,725.725,21,chosen
hyacinth,725.725,21,chosen
vest,721.721,21,chosen
destitute,721.671,21,chosen
frank,720.708,21,chosen
campanile,719.719,21,chosen
cellar,719.669,21,chosen
woad,719.319,21,chosen
unpleasant,718.468,21,chosen
fracture,716.166,21,chosen
sum,715.101,21,chosen
orphan,714.664,21,chosen
excavated,713.713,21,chosen
insatiable,713.013,21,chosen
funnel,712.563,21,chosen
ebb,711.195,21,chosen
flash,711.017,21,chosen
march,710.113,21,chosen
consume,708.209,21,chosen
cairn,707.707,21,chosen
cooperate,707.657,21,chosen
sect,707.058,21,chosen
stipulated,704,21,chosen
cereal,701.002,21,chosen
final,700.092,21,chosen
ic,700,21,chosen
arborophila,700,21,chosen
commerce,700,21,chosen
carassius,700,21,chosen
auratus,700,21,chosen
boulevard,698.698,21,chosen
week,697.102,21,chosen
robot,693.295,21,chosen
sheikh,692.692,21,chosen
athlete,692.493,21,chosen
cruise,691.691,21,chosen
pestle,691.541,21,chosen
aunt,691.391,21,chosen
gazebo,690.69,21,chosen
hospital,690.571,21,chosen
grudge,686.487,21,chosen
relay,683.683,21,chosen
prostitute,683.531,21,chosen
conceal,683.438,21,chosen
associate,682.483,21,chosen
excite,681.034,21,chosen
sharpened,680.48,21,chosen
sample,680.086,21,chosen
dune,678.678,21,chosen
mignonette,678.528,21,chosen
daphne,677.077,21,chosen
reserve,675,21,chosen
beaver,674.674,21,chosen
loss,673.673,21,chosen
sweat,673.078,21,chosen
sacrament,672.672,21,chosen
spurge,669.269,21,chosen
cricket,668.306,21,chosen
ling,667.667,21,chosen
concord,665.665,21,chosen
toilet,663.067,21,chosen
chimney,662.662,21,chosen
ape,662.262,21,chosen
gong,661.361,21,chosen
discharge,660.66,21,chosen
sexual,660.163,21,chosen
roar,659.169,21,chosen
tobacco,656.299,21,chosen
helleborine,655.155,21,chosen
inverted,654.554,21,chosen
ugly,652.352,21,chosen
priest,651.599,21,chosen
rampart,650.976,21,chosen
crag,650.35,21,chosen
upset,650.006,22,chosen
viscous,650,22,chosen
meridian,649.649,22,chosen
steam,649.35,22,chosen
marten,648.436,22,chosen
ebony,647.497,22,chosen
cavern,647.197,22,chosen
popular,646.348,22,chosen
flute,646.146,22,chosen
stab,646.005,22,chosen
umbilicate,645.645,22,chosen
pledge,645.147,22,chosen
bias,642.046,22,chosen
opera,641.474,22,chosen
fleece,639.239,22,chosen
premiere,637.637,22,chosen
rifle,634.236,22,chosen
wreath,632.232,22,chosen
couch,631.559,22,chosen
hyperborean,630.48,22,chosen
resin,627.417,22,chosen
corridor,627.027,22,chosen
manure,625.525,22,chosen
reward,625.131,22,chosen
submerge,625,22,chosen
doll,624.624,22,chosen
bull,623.606,22,chosen
fright,622.073,22,chosen
roughened,620.42,22,chosen
statue,614.415,22,chosen
skunk,613.613,22,chosen
industry,613.294,22,chosen
employ,612.015,22,chosen
fault,612.015,22,chosen
nasal,610.61,22,chosen
panorama,610.61,22,chosen
font,610.361,22,chosen
hurry,610.207,22,chosen
author,610.004,22,chosen
accident,609.212,22,chosen
surprise,609.018,22,chosen
identical,608.608,22,chosen
cashew,607.523,22,chosen
scallop,606.206,22,chosen
coconut,603.393,22,chosen
recommend,602.002,22,chosen
pomelo,601.001,22,chosen
signal,600.605,22,chosen
henna,600.6,22,chosen
partridge,600.47,22,chosen
factor,600.134,22,chosen
proper,600.022,22,chosen
spoil,600.011,22,chosen
symbol,600.01,22,chosen
fail,600.009,22,chosen
puzzle,600.009,22,chosen
conflict,600.008,22,chosen
information,600.006,22,chosen
sore,600.005,22,chosen
virus,600.005,22,chosen
adjust,600.004,22,chosen
computer,600.004,22,chosen
demand,600.004,22,chosen
impact,600.004,22,chosen
worship,600.004,22,chosen
mystery,600.004,22,chosen
allergy,600.003,22,chosen
gender,600.003,22,chosen
lesson,600.003,22,chosen
passion,600.003,22,chosen
skirt,600.002,22,chosen
comply,600.001,22,chosen
profane,600,22,chosen
rip,600,22,chosen
proliferous,600,22,chosen
furze,600,22,chosen
agitation,600,22,chosen
brigade,597.597,22,chosen
buoy,595.595,22,chosen
jack,593.086,22,chosen
walnut,592.957,22,chosen
squamulose,589.439,22,chosen
rake,587.237,22,chosen
refuse,587.044,22,chosen
buzzard,586.586,22,chosen
dredge,585.035,22,chosen
squeeze,584.091,22,chosen
estate,583.479,22,chosen
substitute,583.434,22,chosen
flexible,581.481,22,chosen
disperse,581.031,22,chosen
oar,580.315,22,chosen
eclectic,579.579,22,chosen
coma,578.578,22,chosen
colonel,578.578,22,chosen
forget,578.031,22,chosen
fundamental,577.577,22,chosen
drift,577.002,22,chosen
amulet,575.575,22,chosen
solo,571.572,22,chosen
palmita,571.571,23,chosen
riddle,570.57,23,chosen
deceive,570.298,23,chosen
mica,566.566,23,chosen
marquis,566.516,23,chosen
cheek,565.456,23,chosen
collar,565.171,23,chosen
mixture,564.164,23,chosen
barrel,563.563,23,chosen
mama,563.313,23,chosen
monster,562.123,23,chosen
soda,561.511,23,chosen
reddening,561.411,23,chosen
ngo,560.56,23,chosen
buzz,559.56,23,chosen
arrondissement,559.559,23,chosen
ceiling,558.258,23,chosen
caribou,557.557,23,chosen
truth,557.146,23,chosen
independence,554.554,23,chosen
immersed,554.404,23,chosen
habitat,551.451,23,chosen
slime,550.55,23,chosen
watt,550.152,23,chosen
fireplace,550.083,23,chosen
slight,550.006,23,chosen
regular,550.004,23,chosen
relationship,550.004,23,chosen
pellet,550.001,23,chosen
accumulate,550,23,chosen
pheasant,550,23,chosen
pudendum,550,23,chosen
acacia,550,23,chosen
bewitch,550,23,chosen
martagon,550,23,chosen
radon,550,23,chosen
genkwa,550,23,chosen
tatars,550,23,chosen
tan,548.488,23,chosen
plinth,546.446,23,chosen
sigh,546.296,23,chosen
macho,544.544,23,chosen
quadrangle,542.242,23,chosen
nephew,541.541,23,chosen
content,541.144,23,chosen
chaparral,540.54,23,chosen
kindergarten,540.54,23,chosen
terror,540.341,23,chosen
ascent,539.539,23,chosen
idiot,539.489,23,chosen
thought,538.238,23,chosen
pita,535.535,23,chosen
maritime,534.534,23,chosen
hajj,532.532,23,chosen
tributary,532.532,23,chosen
liana,530.53,23,chosen
perch,530.28,23,chosen
truncated,530.18,23,chosen
mold,530.133,23,chosen
pride,526.078,23,chosen
stroll,526.002,23,chosen
frankincense,524.524,23,chosen
serpent,524.11,23,chosen
habit,524.076,23,chosen
pebble,523.423,23,chosen
panther,520.404,23,chosen
mask,520.125,23,chosen
bounce,519.125,23,chosen
friar,518.518,23,chosen
bolivar,518.518,23,chosen
brand,518.002,23,chosen
bot,517.517,23,chosen
public,517.085,23,chosen
accuse,517.021,23,chosen
develop,516.12,23,chosen
accent,516.117,23,chosen
sibling,516.018,23,chosen
temper,515.016,23,chosen
spade,514.001,23,chosen
weather,513.074,23,chosen
abundance,509.409,23,chosen
sculpture,507.507,23,chosen
phase,507.109,23,chosen
account,506.058,23,chosen
lunulate,505.505,23,chosen
quartz,505.505,23,chosen
corregimiento,505.505,23,chosen
