term,parts,occurrences,forms
hailstone,hail tone,7,3
flowing around,flow around,7,3
shoulder blades,shoulder blade,7,3
battle cry,battle cry,7,3
disinherit,die inherit,7,3
bandage,band age,7,2
west wind,west wind,7,2
chased away,chase away,7,4
be mixed,be mix,7,4
corn-measure,corn measure,7,2
relationship,relation hip,7,2
fame loving,fame love,7,2
four-year-old,four year old,7,4
dipping,dip ping,7,3
having approached,have approach,7,4
stopping,stop ping,7,4
female slave,female slave,7,4
drinking vessel,drink vessel,7,3
pantile,pan tile,7,4
evil-eyed,evil eye,7,4
sheepskin,sheep kin,7,3
soured-milk food,sour milk food,7,4
cowpea,cow pea,7,4
pondweed,pond weed,7,4
earthward,earth ward,7,5
haircloth,hair cloth,7,5
thank-offering,thank offer,7,3
close together,close together,7,4
hunting-spear,hunt spear,7,5
spring-blooming,spring bloom,7,3
public service,public service,7,3
disappear,die appear,7,5
having measure,have measure,7,5
flowing into,flow into,7,5
overlooked,over look,7,4
peaceably,peace able,7,6
eleven times,eleven time,7,6
outlaw,out law,7,5
potable,pot able,7,7
without pain,without pain,6,1
suitable,suit able,6,1
sweet-flag-like,sweet flag like,6,1
winter clothing,winter cloth,6,1
growing dusky,grow dusk,6,1
distribute,die tribute,6,1
iron-bearing,iron bear,6,1
watchman,watch man,6,1
all-producing,all produce,6,1
earpick,ear pick,6,1
panysus,pan sue,6,1
palm grove,palm grove,6,1
likewise,like wise,6,1
sailboat,sail boat,6,2
milk sister,milk sister,6,2
partnership,partner hip,6,2
tenfold,ten fold,6,2
bite off,bite off,6,2
having oars,have oar,6,2
good news,good new,6,2
somehow,some how,6,2
stripping,strip ping,6,2
winnow,win now,6,2
collected together,collect together,6,2
having feasted,have feast,6,3
castrated,cast rat,6,2
chinstrap,chin trap,6,2
quick-traveling,quick travel,6,2
hornstone,horn tone,6,3
godfather,god father,6,3
respectable,respect able,6,3
slavelet,slave let,6,2
rubbed,rub bed,6,3
somehow,some how,6,3
tradesman,trade man,6,3
patchwork,patch work,6,3
precious stone,precious stone,6,3
far-shooting,far shoot,6,3
disgrace,die grace,6,3
afterpiece,after piece,6,4
carrying out,carry out,6,4
fernbrake,fern brake,6,3
be strong,be strong,6,4
newborn,new born,6,3
afterborn,after born,6,3
vine leaf,vine leaf,6,2
left hand,left hand,6,3
rough ground,rough ground,6,4
may persuade,may persuade,6,3
footwear,foot wear,6,3
swift-sailing,swift sail,6,4
rampant,ram pant,6,4
washing away,wash away,6,5
woodcock,wood cock,6,3
run around,run around,6,3
leadership,leader hip,6,4
dewlap,dew lap,6,4
never yet,never yet,6,5
stone chip,stone chip,6,4
snowfall,snow fall,6,4
arm-branched,arm branch,6,4
moving forward,move forward,6,4
antipathy,anti path,5,1
ground pea,ground pea,5,1
yes man,yes man,5,1
two-day,two day,5,1
kinship,kin hip,5,1
lookout,look out,5,1
council-house,council house,5,1
ragbag,rag bag,5,1
honorable,honor able,5,1
armour,arm our,5,1
hopyard,hop yard,5,1
lampstand,lamp stand,5,1
warehouse,ware house,5,1
wasting away,waste away,5,1
one-stringed,one string,5,1
stepmotherly,step mother,5,1
purple-edged,purple edge,5,1
horse-loving,horse love,5,1
little pipe,little pipe,5,1
be with,be with,5,1
small needle,small needle,5,2
aeschines,a chin,5,2
two-way opening,two way opening,5,2
onion bed,onion bed,5,2
she-goat,she goat,5,2
rockrose,rock rose,5,2
undertaking,under take,5,2
heathen,heat hen,5,2
screw pine,screw pine,5,2
war chant,war chant,5,2
ancient city,ancient city,5,2
you put,you put,5,2
you make,you make,5,2
little axe,little axe,5,2
having raised,have raise,5,2
zedoary,z oar,5,2
many-flowered,many flower,5,2
prickly-flowered,prick flower,5,2
goatgrass,goat grass,5,2
sulfur bacteria,sulfur bacteria,5,3
axe-bearing,axe bear,5,3
anyway,any way,5,3
love vine,love vine,5,2
headgear,head gear,5,2
shopwoman,shop woman,5,3
rained upon,rain upon,5,2
be silent,be silent,5,2
be broken,be broken,5,2
pendent,pen dent,5,2
small mouth,small mouth,5,2
towline,tow line,5,3
seven-hilled,seven hill,5,2
sestos,see to,5,3
thunderstone,thunder tone,5,4
big boy,big boy,5,3
cry out,cry out,5,3
disinherited,die inherit,5,4
fruit-losing,fruit lose,5,3
milk-white,milk white,5,4
storehouse,store house,5,4
vomiting fire,vomit fire,5,4
restrained,rest rain,5,3
shipwreck,ship wreck,5,3
eightfold,eight fold,5,4
palm-bearing,palm bear,5,4
seaworthy,sea worth,5,4
rose-colored gem,rose color gem,5,3
overanxious,over anxious,5,3
as much,as much,5,5
chordates,chord at,5,5
may seem,may seem,5,5
with oneself,with oneself,5,5
binding below,bind below,5,5
considerable,consider able,4,1
hand-to-hand,hand to hand,4,1
precious stone,precious stone,4,1
carmania,car mania,4,1
gold-helmed,gold helm,4,1
vine leaf,vine leaf,4,1
overlooking,over look,4,1
dragon-born,dragon born,4,1
wave-breaking,wave break,4,1
sister-in-law,sister in law,4,1
one-shoed,one shoe,4,1
bringing victory,bring victory,4,1
all-bearing,all bear,4,1
all-seeing,all see,4,1
furrow,fur row,4,1
purple-born,purple born,4,1
robbing,rob be,4,1
bend forward,bend forward,4,1
four-oared vessel,four oar vessel,4,1
flowback,flow back,4,1
holding back,hold back,4,1
sacred herbs,sacred herb,4,1
walked around,walk around,4,1
wedge-shaped,wedge shape,4,1
breathable,breath able,4,1
poured over,pour over,4,1
sweetmeat,sweet meat,4,1
trembling-footed,tremble foot,4,1
dining room,dine room,4,1
young-leaved,young leave,4,1
goat-horned,goat horn,4,2
port town,port town,4,2
beebread,bee bread,4,2
nosebag,nose bag,4,2
sundress,sun dress,4,2
cornwall,corn wall,4,2
sunday,sun day,4,2
waiting for,wait for,4,2
bellowing,bell ow,4,2
dumbbells,dumb bell,4,2
at night,at night,4,2
elbow point,elbow point,4,2
traveling about,travel about,4,2
very heavy,very heavy,4,2
may say,may say,4,2
potidea,pot idea,4,2
wavering,wave ring,4,2
fish slice,fish slice,4,2
stepchild,step child,4,2
somewhere,some where,4,3
fastenable,fasten able,4,3
archangel,arch angel,4,2
war-sound,war sound,4,2
baking dish,bake dish,4,3
sheath-winged,sheath wing,4,3
dog-headed ape,dog head ape,4,3
workman,work man,4,2
hairy-chested,hair chest,4,3
ten-year-old,ten year old,4,3
having bargained,have bargain,4,3
red sea,red sea,4,3
may carry,may carry,4,2
drinking cup,drink cup,4,3
loud-sounding,loud sound,4,3
drywall,dry wall,4,2
six-stranded,six strand,4,3
elsewhere,else where,4,3
open-air,open air,4,3
fiery-haired,fire hair,4,2
i left,i left,4,3
having flattered,have flatter,4,3
palm-bearing,palm bear,4,2
bedfellow,bed fellow,4,2
whitewash,white wash,4,3
breakfasted,break fast,4,3
fourfold,four fold,4,3
inducing sleep,induce sleep,4,2
tread on,tread on,4,3
draft animal,draft animal,4,3
look up,look up,4,3
rough up,rough up,4,3
flyable,fly able,4,3
sunday,sun day,4,4
greedily,greed i,4,4
herdsman,herd man,4,4
brandis,bran die,4,4
be distant,be distant,4,4
buildable,build able,3,1
airplane,air plane,3,1
create stars,create star,3,1
honey cake,honey cake,3,1
shield-bearing,shield bear,3,1
goat stall,goat stall,3,1
downflowing,down flow,3,1
gold alloy,gold alloy,3,1
swordbelt,sword belt,3,1
shouted at,shout at,3,1
lead out,lead out,3,1
doorpost,door post,3,1
shadow-casting,shadow cast,3,1
lowborn,low born,3,1
victory song,victory song,3,1
yellow flower,yellow flower,3,1
hook-shaped,hook shape,3,1
far-working,far work,3,1
saddlebag,saddle bag,3,1
noisy-footed,noise foot,3,1
profitable,profit able,3,1
port town,port town,3,1
sandy soil,sand soil,3,1
swim away,swim away,3,1
north-east wind,north east wind,3,1
partake,par take,3,1
fortify,fort if,3,1
nameable,name able,3,1
south wind,south wind,3,1
occurred,occur red,3,1
hornstone,horn tone,3,1
fruitcake,fruit cake,3,1
suitable,suit able,3,1
very difficult,very difficult,3,1
clansman,clan man,3,1
full moon,full moon,3,1
very old,very old,3,1
thunderstorm,thunder storm,3,1
distend,die tend,3,1
wing-footed,wing foot,3,1
large statue,large statue,3,1
patch-shaped,patch shape,3,1
pillage,pill age,3,1
farthing,far thing,3,1
four-lettered,four letter,3,1
four-faced,four face,3,1
bag-carrying,bag carry,3,1
bearable,bear able,3,1
long absent,long absent,3,2
headache,head ache,3,2
disregard,die regard,3,2
black liquid,black liquid,3,2
cloudborn,cloud born,3,2
drinkable,drink able,3,2
east wind,east wind,3,2
accountant,account ant,3,2
fallacy,fall ace,3,2
smokehouse,smoke house,3,2
chestnut,chest nut,3,2
black sea,black sea,3,2
born together,born together,3,2
having descended,have descend,3,2
dripping,drip ping,3,2
right opposite,right opposite,3,2
learnable,learn able,3,2
sufferable,suffer able,3,2
twelve times,twelve time,3,2
early-born,early born,3,2
outward,out ward,3,2
falsehood,false hood,3,2
artace,art ace,3,2
henhouse,hen house,3,2
from below,from below,3,2
rainbow,rain bow,3,2
precious stone,precious stone,3,2
be extravagant,be extravagant,3,2
cloud-chasing,cloud chase,3,2
joined together,join together,3,2
giving birth,give birth,3,2
godmother,god mother,3,2
five-mouthed,five mouth,3,2
morning star,morning star,3,2
how often,how often,3,2
having fished,have fish,3,2
overturned,over turn,3,2
witchcraft,witch craft,3,2
four-door,four door,3,2
oak-forested,oak forest,3,2
small file,small file,3,2
dew-bringing,dew bring,3,2
aftermath,after math,3,2
crossbar,cross bar,3,2
long-pointed,long point,3,2
foreign ship,foreign ship,3,2
crossbeam,cross beam,3,2
powerfully,power full,3,2
blameworthy,blame worth,3,2
heartily,heart i,3,2
go out,go out,3,3
one-year-old,one year old,3,3
flower garden,flower garden,3,3
wave-tossed,wave toss,3,3
pitfall,pit fall,3,3
however,how ever,3,3
meanwhile,mean while,3,3
nine times,nine time,3,3
very few,very few,3,3
drying powder,dry powder,3,3
citizenship,citizen hip,3,3
damask,dam ask,3,3
suitable,suit able,2,1
goat-faced,goat face,2,1
weighed down,weigh down,2,1
somewhat,some what,2,1
elsewhere,else where,2,1
elsewhere,else where,2,1
high-sounding,high sound,2,1
gold mines,gold mine,2,1
gemstone,gem tone,2,1
turning about,turn about,2,1
storehouse,store house,2,1
left hand,left hand,2,1
approving smile,approve smile,2,1
joint disease,joint disease,2,1
pallet,pal let,2,1
spiny lobster,spine lobster,2,1
gemstone,gem tone,2,1
nightshade,night shade,2,1
runaway,run away,2,1
two-wheeled,two wheel,2,1
cowshed,cow he,2,1
herdsman,herd man,2,1
good time,good time,2,1
poll tax,poll tax,2,1
dissolution,die solution,2,1
hold down,hold down,2,1
pallet,pal let,2,1
gemstone,gem tone,2,1
watchman,watch man,2,1
lifestyle,life style,2,1
care for,care for,2,1
pitied,pit i,2,1
poundable,pound able,2,1
godfather,god father,2,1
several times,several time,2,1
sing together,sing together,2,1
fellow citizen,fellow citizen,2,1
flow together,flow together,2,1
flock together,flock together,2,1
touchstone,touch tone,2,1
crystalline,crystal line,2,1
blameworthy,blame worth,2,1
carry away,carry away,2,1
toothpick,tooth pick,2,1
drive down,drive down,2,1
absolute power,absolute power,2,1
sweetly sounding,sweet sound,2,1
twofold,two fold,2,1
allied,all i,2,1
divinely inspired,divine inspire,2,1
wave-born,wave born,2,1
treetop,tree top,2,1
waylaying,way lay,2,1
seashell,sea hell,2,1
saltbox,salt box,2,1
membrane-winged,membrane wing,2,1
having imagined,have imagine,2,1
beginning,beg inn,2,1
meanwhile,mean while,2,1
having entered,have enter,2,1
discard,die card,2,1
bestow,be tow,2,1
bandage,band age,2,1
lily bed,lily bed,2,1
long-lived,long live,2,1
having dared,have dare,2,1
royal paper,royal paper,2,1
dry land,dry land,2,1
moderately,mode rate,2,1
blackcap,black cap,2,1
black gem,black gem,2,1
having changed,have change,2,1
mean-spirited,mean spirit,2,1
military service,military service,2,1
piecemeal,piece meal,2,1
longnose,long nose,2,1
in debt,in debt,2,1
combatant,combat ant,2,1
all-night,all night,2,1
everywhere,every where,2,1
comb-like,comb like,2,1
very easy,very ease,2,1
very cold,very cold,2,1
nine-year,nine year,2,1
purple dye,purple dye,2,1
fishpond,fish pond,2,1
arrowhead,arrow head,2,1
plantar,plan tar,2,1
water vessel,water vessel,2,1
may sell,may sell,2,1
discourse,die course,2,1
purple-born,purple born,2,1
moreover,more over,2,1
cut through,cut through,2,1
crossroads,cross road,2,1
little kidney,little kidney,2,1
butterfly,butter fly,2,1
fellowship,fellow hip,2,1
year-round,year round,2,1
white clay,white clay,2,1
self-control,self control,2,1
sweetmeats,sweet meat,2,1
bestowed,be tow,2,1
in waves,in wave,2,1
anywhere,any where,2,1
burden-bearing,burden bear,2,1
fly away,fly away,2,1
jealous woman,jealous woman,2,1
overflow,over flow,2,2
small egg,small egg,2,2
screech owl,screech owl,2,2
sunshine,sun shine,2,2
water-born,water born,2,2
white-toothed,white tooth,2,2
packsaddle,pack saddle,2,2
posthorse,post horse,2,2
four-limbed,four limb,2,2
taking honey,take honey,2,2
tapeworms,tape worm,2,2
contradictory,contradict or,2,2
weeping bitterly,weep bitter,2,2
with difficulty,with difficult,2,2
barefoot,bare foot,2,2
sometimes,some time,2,2
moderately,mode rate,2,2
well-melted,well melt,2,2
humour,hum our,2,2
ash grove,ash grove,2,2
having advanced,have advance,2,2
stand erect,stand erect,2,2
disorder,die order,2,2
overhead,over head,2,2
rushbed,rush bed,2,2
lengthwise,length wise,2,2
penis worms,penis worm,2,2
booklet,book let,2,2
sailorlike,sail or,2,2
shortlived,short live,2,2
after tomorrow,after tomorrow,2,2
portable,port able,2,2
guarded against,guard against,2,2
expectant,expect ant,2,2
crooked-walking,crooked walk,2,2
combatant,combat ant,2,2
profitable,profit able,2,2
fifteen times,fifteen time,2,2
slavering,slave ring,2,2
pack-bearing,pack bear,2,2
overthrow,over throw,2,2
dog star,dog star,2,2
curved-tailed,curve tail,2,2
undermined,under mine,2,2
adjustable,adjust able,2,2
thirteen times,thirteen time,2,2
three-banked,three bank,2,2
three-year,three year,2,2
water meadow,water meadow,2,2
one-handed,one hand,2,2
earring,ear ring,1,1
ward off,ward off,1,1
cattle stealing,cattle steal,1,1
withdraw,with draw,1,1
without dance,without dance,1,1
paired date,pair date,1,1
approachable,approach able,1,1
be ill,be ill,1,1
oversight,over sight,1,1
white-tailed eagle,white tail eagle,1,1
sometimes,some time,1,1
elsewhere,else where,1,1
everlasting,ever last,1,1
loved one,love one,1,1
bringing delight,bring delight,1,1
sea-navel,sea navel,1,1
underage,under age,1,1
apple-bearing,apple bear,1,1
door frame,door frame,1,1
antibes,anti be,1,1
antiquity,anti quit,1,1
freedman,free man,1,1
rainmaking,rain make,1,1
taxmaster,tax master,1,1
waterpot,water pot,1,1
silver coin,silver coin,1,1
breakfast,break fast,1,1
earrings,ear ring,1,1
cup-shaped,cup shape,1,1
having escorted,have escort,1,1
headstrong,head strong,1,1
turnable,turn able,1,1
dance music,dance music,1,1
grow beard,grow beard,1,1
barytone,bar tone,1,1
baseball,base ball,1,1
red-thighed,red thigh,1,1
slipper,slip per,1,1
bidwill,bid will,1,1
two-sided,two side,1,1
two-month,two month,1,1
leap year,leap year,1,1
palmys,pal my,1,1
earthquake,earth quake,1,1
boxwood,box wood,1,1
heaven-supporting,heaven support,1,1
reed pen,reed pen,1,1
lime-burning,lime burn,1,1
island group,island group,1,1
i bend,i bend,1,1
singable,sing able,1,1
goat-footed,goat foot,1,1
ancient city,ancient city,1,1
outcry,out cry,1,1
downflow,down flow,1,1
in groups,in group,1,1
watchman,watch man,1,1
lipfoot,lip foot,1,1
wintry,win try,1,1
gemstone,gem tone,1,1
bile-containing,bile contain,1,1
farmyard,farm yard,1,1
looking around,look around,1,1
ride around,ride around,1,1
drinking-cup,drink cup,1,1
pillar tax,pillar tax,1,1
partnership,partner hip,1,1
schoolmate,school mate,1,1
sleep soundly,sleep sound,1,1
fate-bound,fate bound,1,1
considerable,consider able,1,1
fellowship,fellow hip,1,1
disquiet,die quiet,1,1
hornify,horn if,1,1
chief town,chief town,1,1
heathen,heat hen,1,1
disposition,die position,1,1
sloping-snouted,slope snout,1,1
telltale,tell tale,1,1
disclose,disc lose,1,1
outline,out line,1,1
disused,die use,1,1
overhead,over head,1,1
disfiguring,die figure,1,1
discourse,die course,1,1
watered wine,water wine,1,1
disjoin,die join,1,1
sweetly-stringed,sweet string,1,1
be allowed,be allow,1,1
shapeable,shape able,1,1
struggle out,struggle out,1,1
correctable,correct able,1,1
move out,move out,1,1
breathe into,breathe into,1,1
pour in,pour in,1,1
from within,from within,1,1
earthshaking,earth shake,1,1
bring on,bring on,1,1
bringing in,bring in,1,1
very fertile,very fertile,1,1
lovemaking,love make,1,1
testable,test able,1,1
flatten,flat ten,1,1
funeral rites,funeral rite,1,1
deceitfully,deceit full,1,1
spreading reports,spread report,1,1
grain-filled,grain fill,1,1
fearlessly,fear less,1,1
glowing heat,glow heat,1,1
ant-filled,ant fill,1,1
breakable,break able,1,1
blind alley,blind alley,1,1
plowman,plow man,1,1
be captured,be capture,1,1
handball,hand ball,1,1
manhood,man hood,1,1
weaving room,weave room,1,1
portray,port ray,1,1
all purple,all purple,1,1
joint call,joint call,1,1
armoury,arm our,1,1
wholesome,whole some,1,1
shortcoming,short come,1,1
fish-glue,fish glue,1,1
disgraced,die grace,1,1
discredited,die credit,1,1
not sloping,not slope,1,1
disordered,die order,1,1
disgraced,die grace,1,1
having explained,have explain,1,1
inventory,invent or,1,1
arrow-pouring,arrow pour,1,1
hip disease,hip disease,1,1
forcemeat,force meat,1,1
breakfast,break fast,1,1
stud farm,stud farm,1,1
false reading,false read,1,1
little side,little side,1,1
law-giving,law give,1,1
white-armed,white arm,1,1
reduced wine,reduce wine,1,1
they loosed,they loose,1,1
heartily,heart i,1,1
mastaura,mast aura,1,1
greedily,greed i,1,1
paymaster,pay master,1,1
pitchfork,pitch fork,1,1
between rivers,between river,1,1
bloodthirsty,blood thirst,1,1
thoroughly cooked,thorough cook,1,1
anywhere,any where,1,1
moderately,mode rate,1,1
carry out,carry out,1,1
many times,many time,1,1
by order,by order,1,1
wreckage,wreck age,1,1
portable,port able,1,1
self-supporting,self support,1,1
somewhat,some what,1,1
norman,nor man,1,1
so-called,so call,1,1
having traded,have trade,1,1
that day,that day,1,1
freely-offered,free offer,1,1
eighty times,eight time,1,1
wild-vine,wild vine,1,1
fungus-like,fungus like,1,1
workshop,work hop,1,1
barred,bar red,1,1
mountain-guard,mountain guard,1,1
may see,may see,1,1
sacred object,sacred object,1,1
shamefully,shame full,1,1
wheel part,wheel part,1,1
countryman,country man,1,1
very absurd,very absurd,1,1
very fortunate,very fortunate,1,1
suitable,suit able,1,1
flow through,flow through,1,1
very necessary,very necessary,1,1
having endured,have endure,1,1
descendant,descend ant,1,1
lie-loving,lie love,1,1
red-feathered,red feather,1,1
light-bearing,light bear,1,1
large intestine,large intestine,1,1
fish pond,fish pond,1,1
polygamy,pole game,1,1
seafaring,sea far,1,1
black sea,black sea,1,1
port duty,port duty,1,1
foreskin,for kin,1,1
passing by,pass by,1,1
trembling greatly,tremble great,1,1
private bill,private bill,1,1
throw down,throw down,1,1
stepchild,step child,1,1
antiquity,anti quit,1,1
grandfather-in-law,grandfather in law,1,1
protestant,protest ant,1,1
false brother,false brother,1,1
dog-headed,dog head,1,1
homeborn,home born,1,1
flax-leaved,flax leave,1,1
false witness,false witness,1,1
oakwood,oak wood,1,1
however,how ever,1,1
accountant,account ant,1,1
boiling over,boil over,1,1
repairable,repair able,1,1
fly back,fly back,1,1
horn cup,horn cup,1,1
rubicon,rub icon,1,1
oversee,over see,1,1
wittily,wit tile,1,1
giving health,give health,1,1
be wise,be wise,1,1
lengthily,length i,1,1
headmaster,head master,1,1
chamber pot,chamber pot,1,1
tallowy,tall ow,1,1
six-fingered,six finger,1,1
traffic light,traffic light,1,1
seven-mouthed,seven mouth,1,1
sixfold,six fold,1,1
forcefully,force full,1,1
will buy,will buy,1,1
jaw muscles,jaw muscle,1,1
nuttall,nut tall,1,1
fattened,fat ten,1,1
sleep-bringing,sleep bring,1,1
fallacy,fall ace,1,1
sisterhood,sister hood,1,1
displace,die place,1,1
apetals,ape tale,1,1
dropping,drop ping,1,1
flute case,flute case,1,1
thereafter,there after,1,1
supported by,support by,1,1
from above,from above,1,1
self-hanging,self hang,1,1
goatherd,goat herd,1,1
craftswoman,craft woman,1,1
testify,test if,1,1
weaving shop,weave shop,1,1
firearm,fire arm,1,1
fish-market,fish market,1,1
see through,see through,1,1
may run,may run,1,1
three-staked,three stake,1,1
threefold,three fold,1,1
dessert fruits,dessert fruit,1,1
profit-greedy,profit greed,1,1
everywhere,every where,1,1
holding heaven,hold heaven,1,1
usefully,use full,1,1
if only,if only,1,1
otherwise,other wise,1,1
wasteland,waste land,1,1
dayroom,day room,1,1
