term,gloss,forms,occurrences
"spear","spear (long stick with a sharp tip)",20,55
"town","a town in interior Lucania, situated near the city of Venusia",16,55
"enjoyment","use, enjoyment",18,55
"move","move (change of dwelling)",27,55
"river","a river of the Roman province of Mauretania Tingitana, probably the Tensift in modern Morocco",28,55
"empty","to be empty, void",24,55
"to deny","to deny",22,55
"rose","rose (usually Rosa gallica)",27,55
"cart","car, cart",1,54
"sun","sun",1,54
"horned","kerato- (horned; horn-like).",3,54
"herb","herb said to grow over truffles and mark the spot where they are",4,54
"aid","aid, succour",6,54
"box","coffer, box, chest",2,54
"carp","carp",7,54
"melting","melting, dissolving",8,54
"town","one of the twelve ancient towns of Attica",2,54
"king","A king of the Cimmerians",3,54
"opposite","opposite (to), facing.",3,54
"gem","a gem (further details are uncertain)",7,54
"flowering","flowering, giver of all bloom",4,54
"pole","A long pole.",5,54
"lamp","light, lamp (hung from the ceiling)",9,54
"stake","A stake, a vine-prop",13,54
"jug","a jug for holding liquids",5,54
"river","A river of Assyria and tributary of the Tigris",15,54
"calmed","allayed, calmed, appeased",3,54
"turn","to turn, turn oneself, direct one's way, to turn about, turn around, revolve",17,54
"released","released",5,54
"ruler","Name of various rulers of Syracuse",7,54
"corrupted","perverted, corrupted",7,54
"town","A town of Palestine mentioned by Pliny",10,54
"sweet","delightful, sweet (of voice)",7,54
"extension","A stretching out, extension",10,54
"fleeing","fleeing",8,54
"shore","beach; shore",10,54
"prepared","prepared; arranged",8,54
"strike","to strike, hit",19,54
"whip","strap, lash, whip",17,54
"large","large, chief in size",8,54
"perform","to carry out an undertaking",17,54
"ship","ship, boat, vessel; a fleet in the plural",15,54
"peninsula","peninsula",15,54
"handle","a handle, a grip",24,54
"friction","friction",16,54
"axe","axe, cleaver, large knife with which cattle were slain",17,54
"fat","fat, grease",17,54
"cart","cart, wagon",18,54
"project","to stand forth, stand out, project",16,54
"elevation","elevation, lifting (the act of lifting or raising up)",36,54
"town","A town of the Vaccaei in Hispania Tarraconensis, situated between Asturica and Caesaraugusta",23,54
"join","to join together, connect",20,54
"healthy","sound; healthy; hearty; strong",24,54
"chamber","small room or chamber",6,53
"abundant","Sumptuous, bountiful, plentiful, abundant.",6,53
"cat","Cat.",5,53
"tribe","A tribe dwelling on the shores of the Red Sea, mentioned by Pliny",5,53
"reason","reason, reasoning, explanation, ground, motive, rationality, rationale, purpose",8,53
"cucumber","cucumber",5,53
"garden","of or belonging to a garden, garden-",7,53
"tribe","An ancient tribe of Asia Minor",3,53
"public","of or belonging to all the people, public",4,53
"mountain","A mountain on the island of Chios",10,53
"virgin","A virgin, with the lappet of her toga thrown back over her shoulder",7,53
"flowing","flowing.",9,53
"infinite","immeasurable, boundless, endless, vast, immense",9,53
"lily","made from lilies",5,53
"stone","pebble, stone",11,53
"wagon","wagon(s), carriage(s)",4,53
"nature","the nature, quality, substance or essence of a thing",15,53
"singed","singed (half-burnt)",4,53
"hope","hope, expectation, belief that something will happen",4,53
"surrounded","surrounded, encircled",5,53
"linen","kind of linen cloth mentioned in the Periplus of the Erythraean Sea",9,53
"witnessed","having been a witness to, having testified",10,53
"spider","Spider.",18,53
"ignorant","ignorant, inexperienced, unskilful",9,53
"leaning","inclined, leaning",12,53
"row","row of vines or fruit trees",19,53
"cake","A kind of cake",9,53
"oak","kind of oak",18,53
"carry","Doric and Locrian form of φέρω (phérō)",17,53
"small","Used with taxon names to form other taxon names, usually for a morphologically similar taxon differing only in size",23,53
"raft","A kind of boat made of tree trunks",23,53
"box","a casket, small box",18,53
"go","The command to start; used regardless of language of the participants; in the sequence ""en garde, prêt, aller"".",21,53
"finely","finely",35,53
"wither","to begin to wither, pine away; to grow feeble",2,52
"hairy","very hairy, bushy",2,52
"worship","worship of and festivals in celebration of Bacchus or Jupiter",2,52
"order","Good arrangement, good condition.",2,52
"arrow","a little arrow",5,52
"statue","an image of carved wood, an image, statue, especially of a god; xoanon",4,52
"burning","flaming, blazing, burning",6,52
"timely","appropriate to the times, timely; according to the age; proper to the season, seasonable; trendy, fashionable, contemporary",3,52
"blocked","blocked",8,52
"covering","A covering, a clothing; the covering of a shield",11,52
"free","gratuitous, free of charge",5,52
"fleshy","Made of flesh, fleshy",13,52
"vessel","A kind of drinking vessel",10,52
"declare","to declare, state, affirm",11,52
"fishing","of or belonging to fisherman, piscatory, piscatorial",4,52
"active","active, busy, energetic",5,52
"mountain","A mountain of Crete",4,52
"fall","to fall down",6,52
"cord","small rope, cord or thread",6,52
"recognized","recognized, realized, discerned",9,52
"attached","applied, attached",6,52
"glow","to glow, gleam",14,52
"sensitive","sensitive, sensible; endowed with sensation",11,52
"down","woolly substance, the down of plants, of youthful cheeks, etc.",4,52
"male","masculine, male (of humans or animals)",6,52
"city","an ancient city in Latium",12,52
"jokes","jokes, jests",16,52
"accidental","accidental",5,52
"hut","a hut, cottage, shack; any primitive dwelling",8,52
"grace","grace",8,52
"support","an erection of stone or wood for fixing net poles",14,52
"breaking","breaking something to pieces",14,52
"tool","some agricultural tool, such as a pruning-hook, mattock or hoe",16,52
"embryo","embryo.",17,52
"now","now, at this moment",16,52
"speech","speech",20,52
"town","A town of Phoenicia not far from Tripolis",19,52
"name","a female given name, the Alan mother of the late Roman Emperor Maximinus Thrax (c. 173–238)",15,52
"eagle","kind of eagle",17,52
"king","Spoken by a player during a match with one or more visually impaired players to indicate a king in algebraic notation.",18,52
"hat","conical hat with broad brim",21,52
"mark","to mark, sign",23,52
"beam","beam, pole, stake, plank, particularly the poles supporting a lectica, a Roman litter",19,52
"returning","returning, restoring, repaying",19,52
"eyes","eyes",22,52
"chiefly","chiefly, mainly, mostly",22,52
"delight","to delight, charm, please (+ accusative the person, who is delighted)",2,51
"ceramic","made of clay, ceramic, pottery, earthenware",5,51
"abroad","away from home, abroad",9,51
"murderer","murderer, killer",11,51
"harm","loss, damage, harm",9,51
"free","unhindered, unhampered, unimpeded, unencumbered, liberated",7,51
"luck","fortune, luck",2,51
"braid","plait, braid",10,51
"sickly","sickly, diseased",12,51
"joke","joke, jest",10,51
"excluded","removed, banished, exempted",7,51
"shade","to shade, cover with shade",16,51
"educated","instructed, educated, cultivated, enlightened, learned",7,51
"send","to send to",7,51
"yellow","yellow, sallow, of the color of the fustic",8,51
"town","a town in Picenum situated on the Adriatic coast, now still called Numana",17,51
"coin","coin; coinage",13,51
"ghost","phantom, apparition, ghost",14,51
"angry","angry, irate, angered, enraged, furious, wrathful",12,51
"straw","straw, litter",17,51
"plow","to plow; to till",25,51
"strong","strong, mighty, stout",7,51
"excellently","excellently, eminently",23,51
"lies","third-person singular present middle indicative of κεῖμαι (keîmai)",25,51
"builder","builder, constructer",1,50
"island","An island situated at the mouth of the Indus",2,50
"well","pertaining to a well",3,50
"round","Of round form.",3,50
"to strike","to strike",4,50
"general","A Spartan general and defensor of Syracusae",3,50
"confusion","confusion",6,50
"stony","of stone",6,50
"barbed","barbed, pointed",5,50
"museum","a home of music or poetry",4,50
"military","of or belonging to a troop or squadron",5,50
"lady","mistress; lady",7,50
"palm","flat of the hand",12,50
"base","foot of a vase",7,50
"little","how little, small or trifling",7,50
"elevated","raised, lifted",7,50
"clumsy","awkward, clumsy",5,50
"sober","sober, not inebriated",6,50
"raising","a raising up, lifting",8,50
"tribe","An ancient tribe of Lycia",6,50
"joined","united, joined, coupled",10,50
"fearless","fearless, unshaken, undaunted, intrepid",4,50
"ignorant","ignorant, unaware, not knowing",6,50
"irony","irony",11,50
"pastry","a type of pastry",16,50
"bud","to bud, put forth buds",10,50
"darted","third-person singular aorist active indicative of ᾱ̓ῑ̈́σσω (āī̈́ssō) with movable nu",18,50
"foreseeing","foreseeing",11,50
"agitated","thoroughly moved, agitated or disturbed; restless, unceasing",9,50
"serious","grave; earnest; serious",10,50
"generously","munificently, generously, liberally.",17,50
"tribe","Sacae, a Scythian tribe",30,50
"town","A town of the Aequi in Latium",17,50
"beer","[3rd C. BC–AD 4th C.] alternative spelling of ζῦθος (zûthos, ""Egyptian beer brewed with barley"")",26,50
"contradicting","future active participle contracted of ἀντιλέγω (antilégō)",22,50
"bruise","a bruise",33,50
"period","a period",2,49
"can","third-person singular present mediopassive indicative of δῠ́ναμαι (dŭ́namai)",2,49
"weaver","weaver (female)",3,49
"assembled","convened, assembled, having been convened.",3,49
"melody","melody",2,49
"cleaned","cleaned, cleansed",4,49
"owl","a kind of owl",5,49
"guard","guard, sentinel, watchman",3,49
"press","to press, squeeze close, stamp down",5,49
"match","to match, vie with, emulate",6,49
"traversed","traversed, passed through",3,49
"copper","Of or pertaining to copper.",9,49
"horny","made of horn",6,49
"stones","stone(s)",4,49
"contact","contact",3,49
"beak","bill or beak of a bird",8,49
"rule","rule, bar",16,49
"hooked","bent in, hooked",9,49
"report","message, news, report",9,49
"colonic","suffering in the colon",6,49
"fragrant","sweetsmelling, fragrant",6,49
"spear","a spear (whether used for throwing or thrusting)",13,49
"harsh","discordant, harsh",8,49
"portion","portion (of bread) ?",13,49
"shield","the aegis, or shield. See Aegis; αἰγίς.",12,49
"round","to make circular, round, curved",19,49
"cubic","cubic (all senses), cubical",10,49
"cry","cry, shout, both of victor and vanquished",18,49
"act","deed, act, fact",16,49
"ring","to ring, rattle, crash, crack",15,49
"zinc","zinc",21,49
"vain","in vain, fruitlessly",21,49
"card","to card (wool)",19,49
"tend","to be accustomed, to tend to",20,49
"funnel","a funnel",22,49
"tribe","A tribe settled on the left bank of the Tigris.",1,48
"town","A town of Thessaly, on the borders of Dolopia",1,48
"town","A town of Lycia situated not far from the sources of the Xanthus",1,48
"purple","purple (in color)",1,48
"exceeding","exceeding (a limit), surpassing, towering above",4,48
"wanderer","pilgrim, traveler, traveller, someone who travels about",4,48
"remain","to remain, to still remain, to be left, left over",3,48
"hair","or (dark, beautiful) hair",4,48
"sloth","sloth, sluggishness, laziness, indolence",3,48
"slenderness","slenderness, thinness, meagerness",4,48
"part","part, portion",9,48
"bar","a bar, band, bolt",12,48
"ship","ship",13,48
"open","gaping, split, cleft, opened, open; cracked",5,48
"spasm","cramp, convulsion, spasm",11,48
"greatness","greatness, size",6,48
"obscurely","obscurely",9,48
"accusation","An accusation, indictment, complaint.",14,48
"old","old, veteran",8,48
"stale","stale, a day old, kept till the morrow",11,48
"handle","to handle, work with one's hands, knead",9,48
"point","sharp point, as of a rock",11,48
"crack","cleft, fissure, crack",11,48
"general","An Athenian general",7,48
"to bury","to bury",13,48
"remedy","remedy",13,48
"madness","craze, mania, madness",19,48
"potion","a potion or posset consisting of barley-meal, grated cheese, and Pramnian wine, among other things",22,48
"skilled","having been taught, instructed, trained, learned, skilled, versed, experienced in any thing",13,48
"hair","hair or hairiness",20,48
"to hire","to hire",19,48
"pain","pain, suffering, death",16,48
"jolt","to shake or jolt violently",22,48
"river","a river in Gallia Narbonensis, now Drôme",27,48
"there","that way, that side, there, along that path, in that direction, over there",26,48
"interpreter","one who answers: interpreter, expounder",1,47
"flower","the flower of the wild pomegranate",2,47
"perpendicular","perpendicular",2,47
"to burn","to burn",4,47
"scrape","to smooth or polish by scraping, planing, filing etc.",5,47
"flowing","A flowing or falling off or down",6,47
"cowardly","unmanly; cowardly",6,47
"orderly","well-ordered, orderly",7,47
"dangerous","dangerous, hazardous, perilous",3,47
"compass","A tool similar to a pair of compasses used to draw a circle",6,47
"laughing","laughing",4,47
"devoted","vowed, promised, dedicated, having been vowed, devoted",6,47
"stormy","stormy, turbulent",7,47
"comic","comic; comedy",9,47
"scattered","dispersed; scattered; strewn; torn, driven or thrown apart; broken up",9,47
"canon","canon",3,47
"bell","a bell, specifically a tintinnabulum.",10,47
"zero","zero",4,47
"approach","an approach, a drawing near (in time)",7,47
"rooster","cock, rooster",8,47
"known","known (from experience), having been known; recognised, having been recognised; acquainted, having been acquainted",11,47
"curtain","curtain",10,47
"stone","to stone, throw stones at",12,47
"shaking","shaking; shock",10,47
"knife","semicircular knife used by cobblers",14,47
"until","as far as",19,47
"rigidity","stiffness, rigidity",18,47
"arranged","arranged (taken care of)",19,47
"sausage","a type of sausage",16,47
"created","created, having been created, made, having been made, produced, having been produced",23,47
"walker","A person that walks about; walker.",4,46
"explorer","an explorer",4,46
"cover","to spread over",10,46
"common","not separate or distinct, mixed; mutual, shared",3,46
"great","considerable, great",5,46
"hide","to conceal, hide",11,46
"stated","spoken, stipulated",9,46
"weaver","weaver (male)",6,46
"flow","uncontracted third-person singular present active infinitive of ῥέω (rhéō)",11,46
"girl","young girl, lass",3,46
"maturing","growing up, maturing",4,46
"river","a river in Etruria, now the Cecina",9,46
"arrangement","the act of putting together or setting up; arrangement, placing, collocation",5,46
"crotch","inside of the thighs, crotch, perineum",5,46
"pan","pan",12,46
"chalk","chalk",7,46
"town","a town in Aquitania situated on the road from Mediolanum Santonum to Burdigala",11,46
"adjacent","thrown, laid, placed or brought under or near, having been thrown, laid, placed or brought under or near; adjacent",6,46
"toothless","that cannot bite, toothless",7,46
"glued","glued, pasted, fastened",5,46
"herbal","pertaining to herbs",8,46
"hide","to conceal, hide, lie hidden, lurk, skulk",14,46
"wicked","wicked, villainous, criminal, abominable",7,46
"shameless","shameless",13,46
"town","a town in Epirus situated in the south of Chaonia",13,46
"charm","allure, charm, delight",16,46
"form","something formed, figure, image",11,46
"indicate","to show, point out, indicate, demonstrate",12,46
"flow","contracted second-person plural present active indicative of ῥέω (rhéō)",13,46
"mountains","A range of mountains which form the northern boundary of Mesopotamia",7,46
"group","a set of people or other beings",17,46
"shield","of a shield, belonging to a shield",14,46
"city","a city of the Allobroges in Gallia Narbonensis, now Vienne",10,46
"extend","to spread out, extend, dilate",21,46
"safe","safe",15,46
"madness","madness, insanity (the state of being out of one's senses)",20,46
"continent","A geologic and geographic region of a celestial body which is a highland analogous to a continent or large landmass.",18,46
"fat","well-fed, fat",13,46
"there","there, thither (location or movement)",21,46
"lie","first-person singular present mediopassive indicative of ψεύδω (pseúdō)",24,46
"barking","barking, roaring",1,45
"excellent","preeminent, distinguished, excellent",2,45
"useless","idle, useless, futile, vain",2,45
"city","a city in Bruttium situated near Croton",4,45
"eating","eating, biting or swallowing",5,45
"follower","follower, pursuer",5,45
"lash","thong of a whip",6,45
"delightful","very pleasing etc",3,45
"dimness","dimness",6,45
"interrupted","intercepted, interrupted",4,45
"problem","problem, puzzle, enigma, question proposed for solution.",10,45
"steep","steep, sheer, precipitous",6,45
"binding","Binding together, setting of stones, tying in bundles.",4,45
"selected","selected, chosen, recruited, elected",7,45
"ancient","of a great age, aged, ancient, long-lived",6,45
"timely","timely, opportune, fitting",4,45
"harpy","One of the harpies.",16,45
"adjacent","adjacent",9,45
"care","care, thought, solicitude",5,45
"bed","bed, resting place",15,45
"cobalt","cobalt (chemical element 27)",10,45
"departed","departed",8,45
"ignited","set on fire",11,45
"sadly","sadly",22,45
"gum","the gum of the tree called bdellium",5,45
"lustful","lewd, lustful (of women)",16,45
"erect","erect, having a hard-on with the foreskin drawn back as a result",19,45
"class","any one of the five divisions into which Servius Tullius divided the Roman citizenry",11,45
"abyssal","full of abysses",9,45
"mad","of or relating to madness, mad",18,45
"shady","shady, giving shade, in the shade",13,45
"plug","Plug of lint twisted into an oval shape like a pinecone.",11,45
"link","a bond, tie, band or other connecting item",10,45
"look","to look at, look into, stare at, view",21,45
"painter","plasterer, painter, wall decorator",16,45
"citizen","one of the Quirites; a Quiris",16,45
"ration","a day's provisions; ration for a day.",15,45
"flow","flow, flux",16,45
"left","Left; on the left; toward the left.",19,45
"tube","Tube; tubal: any of various tubes.",18,45
"mountain","a mountain in Liguria",19,45
"justly","justly",27,45
"becoming","becoming; happening",24,45
"yeller","yeller, screamer; one who shouts",2,44
"uncertain","hesitating, uncertain",3,44
"gem","gem",5,44
"knowledge","wisdom, knowledge, learning",6,44
"confused","confused, confounded",3,44
"fish","Hesychius gives the definition as: ἰχθύς ποιός κητώδης (ikhthús poiós kētṓdēs, literally ""kind of whale-like fish"").",5,44
"place","Lycastus, Crete, Greece",6,44
"bow","to make in the form of a bow, bend or curve like a bow",12,44
"rusty","rusty",4,44
"user","user",9,44
"city","an ancient city in Latium, Italy, whose exact position is unknown.",5,44
"city","a city of Phocis situated upon a lofty rock near Lilaea",6,44
"man","Hesychius gives the definition as: ἄνθρωπος (ánthrōpos, ""man"").",8,44
"mixed","mixed; assorted; miscellaneous (combining various elements)",6,44
"tiller","tiller, the handle of the rudder",7,44
"skilled","skillful, skilled, expert, experienced, practised (+ genitive or in + ablative or ad + accusative)",4,44
"soft","soft, tender, delicate",5,44
"contracted","contracted form of ἀγχίνοος (ankhínoos)",11,44
"scrape","to scrape away, pare",6,44
"mountainous","mountainous, full of mountains",6,44
"awaited","awaited, waited for, longed for; having been awaited, etc.",4,44
"rowing","rowing (with oars), oarage",12,44
"bruised","Having been beaten black and blue; having been insulted; having been bruised",6,44
"tax","A forest tax for the support of players",11,44
"skin","piece of old or wrinkled skin",8,44
"praised","praised, lauded, having been praised.",5,44
"leveled","balanced, leveled, having been made horizontal.",6,44
"wordy","wordy, talkative, loquacious",9,44
"town","A town of Macedonia, whose exact position is still unknown",5,44
"completed","made out, worked out, completed, finished, accomplished, made, having been worked out",9,44
"junction","joining, junction, fitting, arrangement",4,44
"white","Hesychius gives the definition as: λευκόν (leukón, ""white""), πολιόν (polión, ""grey""), ῥυσόν (rhusón, ""wrinkled"").",11,44
"shield","The sacred shield said to have fallen from heaven in the reign of Numa. It was the palladium of Rome.",17,44
"seasoning","condiment, seasoning",13,44
"straight","straightforward, right onwards, straight, direct",21,44
"abundant","copious, abundant",14,44
"fresh","fresh, unsalted",11,44
"cement","cement",12,44
"help","to be useful or of use, do good, help, benefit, profit",19,44
"delayed","detained, delayed",12,44
"palm","palm, hand",15,44
"turkey","Turkey.",15,44
"beast","beast, monster",26,44
"shark","cartilaginous fish, shark",19,44
"tower","tower",20,44
"bony","made of bones",17,44
"town","a town in Picenum",38,44
"king","The name of some kings of Paphlagonia",1,43
"extend","to stretch or thrust forth or out",4,43
"lawless","acting contrary to law and custom, lawless, violent",2,43
"turning","of or pertaining to a turn or change",3,43
"staff","staff, walking stick",4,43
"ferry","ferry",4,43
"redness","redness",6,43
"leech","A leech.",5,43
"separated","having gone apart from, having separated oneself from",3,43
"shoot","twig, shoot",6,43
"swift","hasty, quick, speedy",3,43
"wagon","wagon",7,43
"tribe","One of the most powerful Alpine tribes, who occupied the territory of Valle d'Aosta",3,43
"lustful","libidinous, licentious, lecherous",3,43
"bear","to bear, to give birth to",11,43
"guide","conductor, guide",9,43
"bark","bark",10,43
"debating","arguing, reasoning, discussing, debating",10,43
"poisonous","toxic, poisonous",4,43
"sinking","subsidence, sinking",9,43
"useless","useless, unprofitable",11,43
"dart","to move quickly, dart, shoot",11,43
"properly","suitably, properly, duly",7,43
"suck","to suck, to suckle",10,43
"path","trodden or beaten way, path",14,43
"guard","a guard of soldiers",9,43
"aged","Of old men or old animals, very old",9,43
"pond","pond, pool",7,43
"robed","Dressed in a robe of state, a trabea.",4,43
"burden","burden, load, weight [Homer]",9,43
"glue","to glue (together)",16,43
"herd","to herd (cattle)",11,43
"fasting","without food, fasting",15,43
"cause","to cause; to effect; to accomplish",15,43
"lure","enticement, lure",14,43
"left","left (opposite of right)",10,43
"stem","The straight stem of a plant",10,43
"collapse","a falling down, collapse, ruin, destruction",18,43
"mint","mint (Mentha viridis)",7,43
"loving","present mediopassive participle of ἐράω (eráō)",10,43
"ignorant","ignorant (not knowing); unaware",12,43
"ruling","present active participle uncontracted of κρατέω (kratéō)",16,43
"daric","daric (a gold coin from the Persian Empire)",20,43
"stable","a stable",17,43
"flute","to play on the flute",13,43
"town","a town in interior Lucania situated on the road from Consentia to Nerulum",19,43
"hunger","hunger, famine, starvation",18,43
"toil","toil, trouble",22,43
"recovered","taken, retaken, regained, recovered",23,43
"hide","Skin when taken off, hide.",1,42
"river","a river in Hispania Tarraconensis, now identified with the river Mijares",2,42
"plant","a plant also called cacalia",3,42
"vine","the plant of the woodland grape (Vitis vinifera subsp. sylvestris)",4,42
"bowl","a deep vessel for serving up or cooking food; a large bowl, dish, or plate",2,42
"connected","connected, continued",3,42
"crow","crow",5,42
"travel","to travel, to fare",3,42
"remain","third-person singular present active optative of μένω (ménō)",4,42
"flying","flying, winged",9,42
"remaining","staying, remaining.",8,42
"ambiguous","equivocal, ambiguous",3,42
"spit","To spit upon (with contempt).",3,42
"pot","An earthen vessel, a pot",7,42
"compress","to crowd or press together, compress",9,42
"fighter","fighter, combatant",6,42
"bank","bank (of a river)",3,42
"waxy","of the colour of wax",6,42
"eager","eager, willing",5,42
"palm","Of or made from the palm tree.",12,42
"glance","A look, a glance",13,42
"compared","compared",3,42
"aggregation","drawing or crowding together",9,42
"immediately","at once; immediately; forthwith",6,42
"city","a city in southern Sicily, situated at the mouth of the river Hipparis",10,42
"wild","of or belonging to wild animals",4,42
"dearness","dearness",12,42
"eight","The number eight",7,42
"remaining","remaining or left (to be done)",7,42
"twining","twining",15,42
"moment","A little while",9,42
"exhaust","to wear out, waste, consume, exhaust, impoverish",12,42
"pot","a cooking pot",13,42
"desire","to wish eagerly, strive, yearn, desire",14,42
"cool","to make cool, to cool",11,42
"plank","A plank, crosspiece supported on trestles so as to form a bank",13,42
"examine","to examine, explore",9,42
"tribe","A Celtic tribe of Gallia Lugdunensis, whose chief town was Juliobona",9,42
"imitate","to imitate, copy, mimic",11,42
"stink","to stink, be rotten, putrid",14,42
"soot","soot",13,42
"present","on the spot, at hand",21,42
"homer","Homer, the Greek poet",14,42
"space","space, room, extent",24,42
"tribe","An important tribe of Hispania Tarraconensis, whose capital was Juliobriga",16,42
"branch","branch torn off of a tree (especially a palm frond)",14,42
"dish","a dish on which delicacies or dessert is served; any small dish",12,42
"air","air, breath",17,42
"four","the number four",18,42
"river","river Brongus; West Morava, Serbia",17,42
"elevated","lifted up on high",29,42
"pour","contracted third-person singular present active imperative of χέω (khéō)",19,42
"fasten","to fasten, fix, set, especially drive, sink, force in",18,42
"islands","a group of islands located near Cos",1,41
"citizen","citizen; freeman",1,41
"custom","old, established law or custom",1,41
"weak","Powerless, weak, feeble, impotent, helpless, puny.",3,41
"opposed","set opposite, adverse, having been set against.",3,41
"alluring","alluring, enticing, seductive",2,41
"to conceal","to hide or conceal oneself",2,41
"grooved","pipe-shaped, grooved",2,41
"challenger","challenger (in combat)",3,41
"conveying","conveying etc.",5,41
"musical","skilled in music",5,41
"delicate","fine, delicate",4,41
"town","a town in Noricum",8,41
"nightly","by night, nightly, nocturnal",14,41
"compressed","contracted, compressed, induced",5,41
"legal","legal",8,41
"mixed","mixed, mingled with",7,41
"flat","very level, flat, even",3,41
"inevitable","unavoidable, inevitable",2,41
"wandered","having rambled, having wandered",8,41
"fearing","fearing",10,41
"indicated","shown, pointed out, indicated, having been pointed out, etc.",3,41
"hive","beehive, hive",9,41
"tribe","A Gaulish tribe, whose territory lay between the Rhodanus and the Isara",8,41
"linen","fine linen cloth",11,41
"fixed","fastened, fixed, implanted",6,41
"pressure","pressure (downward push)",5,41
"burden","load, burden",7,41
"sacrificed","magnified or piled up with for sacrifice; burned, sacrificed, having been sacrificed",10,41
"fox","fox (Vulpes vulpes)",9,41
"glide","to slip or glide away",18,41
"sleeping","sleeping",7,41
"roll","a rolling or tossing motion",14,41
"delicate","Hesychius gives the definition as: ἁβρόν (habrón, ""delicate""), ἐλαφρόν (elaphrón, ""light""), ἄκρον (ákron, ""high"").",16,41
"connection","connection (binding or joining together)",18,41
"magnet","magnet, magnetic, magnetism",19,41
"occupy","to busy oneself with",11,41
"heal","to heal, cure, remedy, be good for or against a disease",15,41
"beside","sitting beside (as at a table); near (to)",12,41
"raising","raising; elevation",15,41
"river","A river of Hispania Tarraconensis mentioned by Pliny",14,41
"sweat","sweat; perspiration",17,41
"work","work",20,41
"city","The second most important city of Corinthia, situated between Corinth and Mycenae",20,41
"town","A town of Boeotia situated near Mount Helicon",1,40
"destroyer","destroyer (person), ravager",2,40
"lineage","stock, race, family, lineage",2,40
"stocking","stocking (? presumably)",3,40
"general","A Persian general, defeated by Pausanias",5,40
"obeying","obeying",6,40
"furnace","a furnace, oven, kiln",3,40
"complaint","complaint, protest, grievance",5,40
"king","A king of Numidia during the second Punic war",4,40
"spleen","milt, spleen",7,40
"snatched","snatched away, having been snatched away",8,40
"favor","to be favorable, to be well disposed or inclined towards, to favor, promote, befriend, countenance, protect",9,40
"snowy","of or belonging to snow",4,40
"brave","courageous/full of courage, brave, bold, undaunted",3,40
"cut","cut, hewn, felled; having been cut, hewn, felled",4,40
"mound","hill, mound, especially a sepulchral mound",11,40
"soothed","soothed, appeased, calmed",6,40
"officer","officer, prefect, superintendent, official, commander, captain",5,40
"owner","owner, possessor",6,40
"watery","dewy, watery",15,40
"harmal","harmal (Peganum harmala)",3,40
"to return","to return",11,40
"straight","straight, not curved",15,40
"kneeling","on bended knee, falling on the knee",7,40
"boundless","boundless, unlimited, endless",9,40
"width","width, spaciousness, roominess",6,40
"abortion","abortion, miscarriage",12,40
"opposing","opposing",7,40
"wiped","wiped",7,40
"pilot","Helmsman or pilot of a boat.",6,40
"praying","praying",3,40
"writer","writer, scribe, secretary, clerk",5,40
"river","a small river in Bruttium, now the river Crocchio",13,40
"blinking","blinking",7,40
"weave","to bend or twist, plait, weave",11,40
"care","attendance, care",15,40
"climb","to climb, ascend, mount",7,40
"joined","sewn, bound or fastened together",15,40
"chase","A botanical plant name author abbreviation for botanist Mary Agnes Chase (1869-1963).",13,40
"measured","having measured out",14,40
"buckler","light shield, buckler",13,40
"exposed","exposed, exhibited, shown",11,40
"strayed","strayed; dispersed",13,40
"layer","layer; lamina",11,40
"nature","innate or natural quality, natural character; nature",14,40
"devices","counsels, plans, arts, whether good or bad",19,40
"pour","second-person singular present/aorist active subjunctive of χέω (khéō)",24,40
"plain","plain, plateau",17,40
"poured","poured out, having been poured out, shed, having been shed",1,39
"complete","complete in all parts, entire, perfect",2,39
"mastic","mastic",4,39
"melting","melting, liquefying",3,39
"wander","to wander, to roam",6,39
"send","third-person singular aorist active subjunctive of ῑ̔́ημῐ (hī́ēmĭ) with movable nu",8,39
"creeping","low, near the ground, creeping",12,39
"sprout","to put forth shoots",5,39
"greened","made green, greened",3,39
"beaker","drinking-cup, beaker",6,39
"summon","to send for, invite, summon, call for, fetch",11,39
"river","A river of Boeotia",4,39
"whisper","whisper",5,39
"arched","having arches; arched, vaulted",4,39
"accompany","to join someone as an attendant; accompany, attend, follow; guard, escort; serve",8,39
"wolf","wolf",5,39
"snowy","snow-bearing, covered with snow",9,39
"pure","unsullied, undefiled",4,39
"remote","remote, out-of-the-way.",5,39
"river","a small river situated in the territory of the Sabines, of uncertain identification",7,39
"fool","zany, fool, buffoon",10,39
"town","A town of Umbria mentioned only by Pliny",7,39
"river","A river of Susiana which flows into the Tigris",11,39
"hotel","Alternative letter-case form of Hotel of the ICAO/NATO radiotelephony alphabet.",13,39
"river","A river of Elymais mentioned by Pliny",9,39
"town","A town of Macedonia situated upon the coast of the peninsula of Sithonia",16,39
"to ask","to ask",8,39
"spur","a goad, prick",13,39
"boastful","boastful; pretentious",15,39
"muzzle","muzzle for dogs, calves",16,39
"firm","firm, steadfast, secure",13,39
"arrival","arrival, coming, approach, advent",11,39
"bend","to bend, curve or bow",19,39
"punish","to punish, to sentence, to fine [with ablative]",13,39
"fixed","stuck in; fixed",15,39
"mountain","a mountain in the territory of the Sabines in modern Italy",15,39
"city","an ancient city in Latium, originally of the Ausones",21,39
"around","around; about",18,39
"knowing","having knowledge of a thing; acquainted with a thing., skillful, practiced",13,39
"before","formerly, before",17,39
"island","An island situated in front of cape Itanum in Crete",11,39
"race","the act of running; race",24,39
"property","private property (originally in the form of cattle, but later in the form of savings)",24,39
