term,occurrences,forms
rave,35,11
garum,35,14
nerthus,35,9
perinthus,35,6
easily,35,16
linden,35,5
dolopian,35,7
inheritance,35,12
beet,35,17
sculptor,35,10
quirinus,35,20
crataeis,35,11
segre,35,15
apocopic form,35,17
acacia,34,1
white nape,34,1
shrilly,34,1
eurytus,34,1
inspector,34,1
axillary,34,1
ossicle,34,2
clary sage,34,2
parallax,34,2
regillus,34,2
cynosura,34,2
boron,34,4
deciduous,34,3
fabian,34,4
domitius,34,4
was persuaded,34,3
league,34,2
prodigality,34,6
hog fennel,34,5
heron,34,6
bartholomew,34,4
serapis,34,6
driven,34,6
lyre,34,3
lunar,34,5
sycamore,34,2
carystus,34,4
warrior,34,6
eccentric,34,8
cloven-hooved,34,4
ischaemia,34,7
nausithous,34,3
tedious,34,3
hyrtacus,34,7
thyrsus-bearing,34,6
wadjet,34,7
historian,34,3
half-full,34,6
lampedusa,34,6
wrestler,34,6
rejoiced,34,7
cloaked,34,3
hungarians,34,8
textile,34,6
buried,34,5
artemis,34,9
crematorium,34,8
cisalpine,34,3
cockerell,34,9
bristling,34,6
unfeeling,34,6
thapsus,34,6
sheepskinned,34,4
untimely,34,7
enchantment,34,6
bovine,34,9
amyclean,34,8
naphtha,34,13
origination,34,9
egyptian,34,9
german tribe,34,19
amyzon,34,14
plunder,34,16
unskinned,34,8
having remeasured,34,8
fertility,34,9
islam,34,16
chromium,34,17
jujube fruit,34,14
prostate,34,14
talc,34,15
unfortunate,34,19
mosaic tile,33,1
spiny dogfish,33,1
funereal,33,1
galilean,33,1
hypocist,33,1
pollute,33,1
white thistle,33,1
pikeman,33,2
coronea,33,2
theognis,33,2
disgusting,33,2
numitor,33,3
germander,33,5
further,33,2
silver-bow bearer,33,3
robin,33,3
laconian,33,5
lint,33,4
einsteinium,33,4
lime quarry,33,10
impassable,33,6
undefined,33,2
cleanliness,33,2
prytane,33,3
eclipse,33,5
javelin,33,5
mingle,33,3
lollius,33,7
parsnip,33,6
mathematician,33,5
lick,33,3
dried up,33,4
torn,33,12
romulus,33,3
ejected,33,6
messala,33,2
phocaea,33,7
picenum,33,6
captor,33,8
messapus,33,5
ominous,33,3
calyx,33,15
pulmonary vessels,33,11
sheatfish,33,7
uncle,33,7
bathycles,33,7
civic,33,7
weaned,33,6
whiskers,33,8
bought,33,7
balneal,33,9
fief,33,11
vesoul,33,12
double,33,14
hastati,33,15
carpathians,33,17
halve,33,15
dicebox,33,14
hasten,33,20
saône,33,15
lotharing,33,13
nitrosyl,33,18
cub,33,17
pannonian,33,16
calpurnia,32,1
corcyraean,32,1
clothes-stealer,32,2
fawn,32,2
eunuch,32,3
pine resin,32,3
kestrel,32,3
immovable,32,3
lingual,32,3
medication,32,6
sophist,32,3
expeller,32,6
triumphal,32,4
destructive,32,3
mithra,32,8
paved,32,3
rulerless,32,7
equipped,32,4
boot,32,5
helvetia,32,5
monaco,32,4
senility,32,5
ful,32,7
unmarried,32,4
osijek,32,9
boxing glove,32,7
unknown,32,3
renewed,32,3
dinner,32,9
buried,32,3
bridegroom,32,12
co-singer,32,6
ethiopia,32,6
flight,32,15
taken,32,6
bugle,32,7
basket,32,6
famine,32,11
triune,32,10
acidophilic,32,3
promontory,32,10
ubii,32,13
venomous spider,32,12
vandal,32,10
darius,32,14
thyatira,32,12
seen,32,12
twig,32,8
alluvial,32,13
arrow meteor,32,10
constantine,32,13
ribbon,32,11
muse,32,16
played,32,15
blanket,32,12
mortar,32,15
nile perch,32,17
bohemia,32,15
celtic,31,1
mysia,31,1
cocceius,31,1
persephone,31,1
dorylaeum,31,2
buoyant,31,2
seated,31,2
pacified,31,2
amulet,31,3
arbaces,31,4
caryatid,31,3
were selling,31,5
strengthening,31,5
ommatidium,31,6
ardent,31,5
tiresias,31,5
catarrh,31,4
placia,31,5
mussel,31,6
publication,31,5
mussel,31,4
eaves,31,4
sacrificial,31,5
vasconia,31,7
hypsipyle,31,4
icarius,31,6
alcyone,31,7
devour,31,3
orphan,31,2
cinnamon,31,2
pacify,31,6
asphodel,31,10
effigy,31,4
architect,31,4
baal,31,4
steatopygous,31,7
bilgewater,31,12
antelope,31,6
tame,31,10
fetid,31,7
vascular,31,9
jonah,31,9
juliett,31,9
hyrgis,31,12
singara,31,8
bath,31,9
baltimore,31,10
decade,31,9
sigh,31,11
caieta,31,13
pacify,31,12
avenging,31,8
licking,31,10
indian,31,9
budium,31,15
pindar,31,10
occupied,31,10
wealth,31,13
centaur,31,16
stride,31,20
exultation,30,1
chicory,30,1
hydromancer,30,1
ionian,30,1
thesean,30,1
poet,30,2
haggler,30,3
chrysothemis,30,3
peleus,30,2
unwieldy,30,3
opheltes,30,3
damocles,30,4
venison,30,6
sitting,30,3
historian,30,4
lessening,30,3
mercenary,30,4
chilly,30,4
pennyroyal,30,4
small necklace,30,4
dyscrasy,30,5
pepperwort,30,2
ichneumon,30,4
atargatis,30,4
supplicatory,30,2
hierodule,30,5
serpent handler,30,4
palpebral,30,5
bridesmaid,30,5
motherwort,30,6
summer solstice,30,5
fabulous,30,5
orcin,30,7
flinty,30,3
etruria,30,5
averted,30,5
banished,30,5
poultice,30,7
undeserved,30,4
bedstead,30,7
carried,30,3
trojan,30,7
canary islands,30,9
samothrace,30,5
nuptial song,30,8
illyrian tribe,30,4
persuasive,30,7
dagger,30,5
thrown,30,6
strengthened,30,6
loincloth,30,6
ashkelon,30,6
horsetail habitat,30,5
drunkard,30,13
nearby,30,8
arcadia,30,4
tightened,30,9
spurious,30,8
surpass,30,11
expelled,30,6
heracles,30,10
executioner,30,6
atonement,30,11
reclined,30,13
small basket,30,7
aurelius,30,11
pelasgian,30,7
melicertes,30,9
purgative bark,30,9
freemartin,30,16
trout,30,12
intact,30,8
mende,30,13
francolin,30,13
hanno,30,12
celandine,30,8
physician,30,16
priestess,30,14
sprig,30,11
wether,30,17
annul,30,16
redshank,30,16
abdomen,30,24
thirty,30,21
onyx,30,27
beautiful-cheeked,29,1
queen,29,1
irritable,29,1
titan,29,1
serrated-leaved,29,1
promontory,29,1
inflowing,29,2
jew,29,2
curtian,29,2
alpine chough,29,2
busiris,29,3
goddess,29,3
initial,29,2
pylades,29,2
isosceles,29,4
arcadian,29,4
miserable,29,2
cracovian,29,2
hither,29,4
fibre,29,4
dittany,29,3
cecilia,29,7
curvature,29,6
hip rafter,29,4
excerpt,29,5
pupa,29,3
wallachia,29,4
phlegyas,29,4
steadfast,29,7
thirty,29,7
pactolus,29,6
paean,29,7
clodia,29,5
architrave,29,8
small temple,29,5
naval port,29,8
melete,29,6
warranty,29,5
retreating,29,8
baer,29,13
water serpent,29,6
funny,29,7
membraniferous,29,4
treacherous,29,3
heptagonal,29,5
eightieth,29,4
miscarriage,29,5
immateriality,29,6
fiancée,29,8
wattled,29,9
entanglement,29,14
coltsfoot,29,6
formative,29,8
psamathus,29,10
ambassador,29,11
gaul,29,8
sitting,29,12
weimar,29,14
fortified,29,5
rheum,29,7
malaga,29,13
enclose,29,9
soothsayer,29,10
greek play,29,9
animating,29,18
lapith,29,7
parnes,29,13
for provisions,29,14
cimon,29,13
soapwort,29,11
precede,29,16
rugged,29,12
blanch,29,11
spewed,29,12
however much,29,16
dolt,29,17
upper arm,29,19
baneful,29,9
sarissa,29,14
carnelian,29,16
danaid,28,1
epirotic,28,1
eumenid,28,1
mycerinus,28,1
often married,28,1
athenian,28,1
guffaw,28,2
phallus,28,2
expedition,28,3
aethilla,28,2
soaring,28,3
typhon,28,3
half-mule,28,3
intermediary,28,5
goddess,28,2
plum-shaped,28,3
roving,28,2
pelican,28,5
sospita,28,3
softening,28,5
carnelian,28,4
adamant,28,5
nymph,28,4
publishing,28,7
to notify,28,4
stylite,28,5
multitude,28,6
cloak,28,10
unknown,28,5
malabathrum,28,4
terrible,28,4
bramble thicket,28,7
ravage,28,6
academic,28,4
quarrel,28,8
trophy,28,5
larded,28,4
mithridates,28,5
tripod,28,6
syringe,28,5
mouflon,28,6
paenula-wearing,28,4
burnt,28,8
dagger,28,9
corrode,28,4
first,28,8
mangler,28,10
paragoge,28,6
thoth,28,9
eryngo,28,11
mincemeat,28,8
haemus,28,9
inexperience,28,7
defecated,28,11
embolus,28,11
carolingian,28,10
lawrence,28,12
topaz,28,14
bubon,28,12
india,28,11
unbridled,28,8
sybaris,28,16
oblique,28,12
millstone,28,14
ciliate,28,15
cultivator,28,13
algic,28,11
clogs,28,11
lotuswood,28,15
basilic,27,1
you might,27,1
wily,27,1
chameleon thistle,27,1
limpet-shaped cup,27,1
laden,27,1
sublobate,27,1
taproban,27,1
cithaeron,27,2
prophetess,27,2
broker,27,2
flimsy,27,2
sri lanka,27,2
remmian,27,2
vase,27,3
perinthus,27,3
testiculate,27,5
towel,27,5
memorial,27,2
cheops,27,2
janitor,27,6
washed underneath,27,4
plataea,27,5
caesarea,27,3
finished,27,4
helos,27,4
megara,27,3
oxytone,27,5
brenae,27,5
carnivorous,27,3
detractor,27,5
kosovo,27,5
bean trefoil,27,4
plucked,27,6
remembrance,27,6
tyrannous conduct,27,3
stolen,27,2
baal,27,7
inhabiting,27,10
corcyra,27,6
incautious,27,4
metic,27,5
eion,27,6
wrestling school,27,4
citharize,27,3
gael,27,7
surveyed,27,4
pilferer,27,8
orontes,27,10
porcian,27,5
severan,27,3
spiritus asper,27,6
servant,27,3
mole,27,8
imbuing,27,5
dauphine,27,6
telesia,27,8
scandinavia,27,8
squirting cucumber,27,14
imposed,27,8
ficine,27,10
harmonious,27,8
ahasuerus,27,14
pursuit,27,10
unseemly,27,7
abel,27,11
colonnade,27,10
forecourt,27,11
idiom,27,10
farcy,27,13
vex,27,9
unfolding,27,14
household deity,27,14
eighteen,27,15
rhizus,27,12
moselle,27,13
scrapings,27,10
isonzo,27,18
ticinus,27,18
black turnip,26,1
flower-crowned,26,1
hellenizing,26,1
botany,26,1
embezzler,26,1
pullet,26,1
goddess,26,2
leucothea,26,3
libitina,26,3
pleurisy,26,3
lamented,26,3
regalia,26,5
sacrificial victim,26,5
unfaithful,26,4
innumerable,26,2
panthous,26,4
untangled,26,3
glomerulus,26,4
knapsack,26,3
kite,26,6
porcupine,26,5
romeo,26,3
competition,26,5
water-pourer,26,4
pubic,26,7
sage,26,6
cabeiri,26,6
bathtub,26,3
erotic,26,6
jasmine,26,6
stripped,26,5
undiminished,26,3
pompeian,26,7
bocarus,26,8
cranii,26,6
short-sleeved tunic,26,5
sedentary,26,3
phaestus,26,4
piscine,26,6
brutalized,26,4
american,26,7
niobid,26,7
tragic,26,4
morsel,26,8
anointing,26,7
laozi,26,6
imaginary,26,3
sow,26,7
immersed,26,4
hazel,26,5
depleted,26,6
moabite woman,26,6
jar,26,3
rooflet,26,6
seeress,26,4
intoxicated,26,8
antioch,26,6
alliance,26,4
quince,26,5
thither,26,6
injurious,26,6
isaiah,26,10
dowry,26,6
amber-coloured,26,3
abnormal,26,6
cyclamen,26,9
medlar,26,11
companion,26,6
utensil,26,12
armenian king,26,11
aplustre,26,8
lippe,26,6
nymph,26,12
burgundian,26,11
coracoid process,26,8
mayor,26,12
strongyle,26,9
nestling,26,9
uproar,26,7
coltsfoot,26,10
clarified,26,14
doum palm,26,15
nodded,26,10
occiput,26,13
basket,26,9
investigator,26,12
rumour,26,12
poetize,26,12
reap,26,16
cantabri,26,11
porridge,26,14
to threaten,26,18
supplement,26,17
andromache,25,1
bronze,25,1
cutilia,25,1
theophrastus,25,1
sevillian,25,1
felloe,25,1
marpessa,25,1
proceed,25,1
tragic,25,2
greek hay,25,2
quarter,25,2
samian,25,2
acropolis,25,2
byzantes,25,2
dermatitis,25,2
inguinal,25,2
thick-skinned,25,3
troilus,25,3
cecrops,25,3
samson,25,4
sedge,25,3
lixus,25,2
inarime,25,4
francolin,25,3
cellar,25,3
storm petrel,25,2
gladiator,25,4
sexual intercourse,25,6
messiah,25,3
poplar grove,25,3
chafed,25,4
litra,25,4
hinder,25,3
wanton,25,5
olive-oiled,25,7
pluck,25,3
jehohash,25,5
bupalus,25,8
hermitic,25,3
renewed,25,4
crook,25,2
pastoral,25,3
credulous,25,4
cloak,25,5
fetid,25,4
flaminian,25,3
ratified,25,4
bathtub,25,4
medma,25,4
unmarried,25,4
economise,25,9
somewhat curly,25,3
thrice,25,9
theonoe,25,2
silas,25,4
munich,25,6
sedentary,25,4
fabella,25,3
unwilling,25,5
verdict tablet,25,4
caspian sea,25,5
copper pyrites,25,5
sculptor,25,4
eleutherae,25,4
philosopher,25,4
unharmed,25,7
beverage,25,9
caliph,25,3
jerusalem,25,8
vial,25,11
itself,25,8
sea nymph,25,9
thence,25,8
pestilential ulcer,25,10
lilied,25,8
sexvir,25,8
wife,25,8
light-bringer,25,5
tripod,25,6
cronid,25,7
castor,25,14
varnish,25,8
phlegm,25,7
swine,25,11
canoe,25,8
creator,25,14
provisions,25,11
pyramus,25,13
equally,25,19
mandrake,25,9
recline,25,14
chufa,24,1
cathedral,24,1
plover,24,1
vicinity,24,1
polycrates,24,1
sabine,24,1
prosper,24,2
bird cherry,24,2
imitator,24,2
malicious,24,2
decision,24,3
flaxen-haired,24,3
persistence,24,3
brambles,24,2
epiglottis,24,3
spindleshanks,24,2
niconium,24,2
demigod,24,3
bronchial,24,3
foundation,24,2
lebedus,24,3
supernumerary,24,3
timoleon,24,2
darnel,24,3
unteachable,24,3
issus,24,3
quarrel,24,3
thronged,24,3
to encrust,24,3
emetic,24,3
courier,24,5
stockholm,24,4
meges,24,4
vernacular,24,5
lute,24,4
untamed,24,5
porpoise,24,5
cape,24,6
seville,24,5
excessive,24,3
aquitaine,24,6
abducted,24,2
unhurt,24,4
eighth,24,9
befriend,24,6
beetle,24,12
bifid,24,8
purple swamphen,24,2
confluence,24,4
specimen,24,6
colophon,24,5
jocasta,24,4
crown,24,7
gythium,24,6
violent,24,4
foresight,24,4
himera,24,5
rough terrain,24,9
ubiquity,24,10
erotic,24,4
eurus,24,8
griffin,24,6
plums,24,7
related,24,12
crop,24,9
chergui,24,11
gela,24,8
foxtail millet,24,9
guinea,24,7
mooing,24,9
leister,24,9
ale,24,10
marble quarry,24,10
spondee,24,9
porous,24,10
wealth,24,11
argos,24,11
cadmean,24,10
karpathos,24,12
anglo,24,18
celtic tribe,24,14
sleeplessness,23,1
nymph,23,1
decimus,23,1
strait,23,1
calynda,23,1
attica,23,2
nuptial,23,2
pellitory,23,2
piso,23,2
sarcocolla,23,2
swedish,23,2
goddess,23,2
anarchy,23,2
manservant,23,2
hipparch,23,2
plausible,23,2
periwinkle,23,2
litharge,23,3
prasiae,23,4
cerebral,23,3
eye-salve,23,4
punctate,23,4
climax,23,3
lustral,23,4
mouse-dropping,23,4
pip,23,3
addax,23,3
calydon,23,2
very beautiful,23,4
anaphe,23,5
ambrosial,23,3
medicinal plant,23,4
saturnian,23,4
meilichios,23,5
braggart,23,2
providence,23,4
solitude,23,4
vulture-like,23,4
close kinship,23,4
crippled,23,2
intact,23,3
evildoer,23,2
colicky,23,5
withdrawn,23,7
bethlehem,23,7
british,23,6
held back,23,4
sunken,23,4
unknown,23,3
amphinomus,23,4
stryme,23,5
admitted,23,4
articulate,23,8
baldness,23,5
grizzled,23,3
clotho,23,10
iron discus,23,5
horrible,23,3
shrew,23,6
priest,23,4
cave-dweller,23,2
alesiaeum,23,6
beekeeper,23,7
creusa,23,7
tame,23,4
marathon,23,9
quebec,23,8
helmet,23,6
greek,23,3
promontory,23,7
exiled,23,6
diarrhea,23,4
hecuba,23,4
proverb,23,7
hungry,23,6
cygnine,23,5
greek,23,5
waddling,23,8
xiphoid,23,5
eupolis,23,5
negotiator,23,4
phidon,23,7
anterior,23,4
groom,23,6
delimit,23,11
dwelt,23,8
majestic,23,9
jointfir,23,11
remission,23,10
rochet,23,11
ploughwoman,23,8
came,23,9
andus,23,13
rhetorician,23,8
stern,23,9
third,23,15
unfaithful,23,10
amaranth,23,11
chasm,23,9
quarry stone,23,10
thalamae,23,12
flanders,23,8
hock,23,11
tuberculosis,23,13
nay,23,12
hypnic,23,10
cripple,23,16
hyde,23,15
syntax,22,1
satrap,22,1
geganius,22,1
medical,22,1
wretched,22,1
murderess,22,1
foretold,22,1
very powerful,22,1
poet,22,1
thrice-cloven,22,1
be ashamed,22,2
thessalian,22,2
crook-footed,22,2
bronze-fitted,22,2
hippasus,22,2
hippodamia,22,3
unharmed,22,3
talkative,22,3
postern,22,2
litotes,22,3
stenographer,22,2
oregon,22,4
parabolic,22,3
syracuse,22,3
ouessant,22,3
cedarberg,22,2
incarceration,22,2
thestiad,22,2
fortress,22,4
bilingual,22,5
bilious,22,4
garlanded,22,3
postmeridian,22,3
statira,22,5
susiana,22,4
tarquinian,22,2
cadurci,22,2
fifth,22,4
mortar,22,3
half-shaved,22,3
inscribing,22,5
propagules,22,5
wood pigeon,22,3
demosthenes,22,5
haemon,22,3
freedom,22,4
memphite,22,3
compliant,22,2
recurrent,22,2
antagonistic,22,2
marmarica,22,6
oleaster,22,5
foal,22,7
polichna,22,4
incense,22,6
therasia,22,3
ursa minor,22,3
esteem,22,8
levite,22,10
optative,22,4
rout,22,7
pallid,22,7
mallow-leafed,22,5
mason,22,2
oppress,22,6
attentive,22,7
porker,22,3
led,22,5
greater adjutant,22,5
annular,22,3
constantius,22,8
novelty,22,5
envious,22,3
legionary,22,4
mortar,22,7
bashful,22,5
asclepius,22,6
clemente,22,5
datum,22,5
intact,22,5
pebbles,22,5
untangle,22,5
tyrannical,22,3
limed twig,22,6
freighter,22,6
deforming,22,10
incitement,22,4
proclaimed,22,4
laurel-like,22,5
dawson-related,22,9
pythagoras,22,6
richardson,22,6
masseur,22,7
crataeis,22,7
senegal,22,10
dissonant,22,6
germans,22,10
hyettus,22,8
zebras,22,9
mecca,22,9
spectre-bearing,22,3
zodiacal,22,4
barbel,22,10
youth,22,6
greek,22,7
logical,22,15
physca,22,10
simeon,22,10
traveller,22,10
affirmation,22,9
cotta,22,7
creston,22,13
desisting,22,8
ecbatana,22,7
taught,22,9
teucrian,22,8
edict,22,7
prim,22,11
kameiros,22,11
charcoal,22,11
reuter,22,14
copse,22,11
cierium,22,13
orpheus,22,14
praenomen,22,13
omana,22,12
creator,22,19
syllium,22,13
ox,22,15
whittle,22,12
zoilus,22,14
anacreon,21,1
colocynth,21,1
aergia,21,1
mighty,21,1
luminescent,21,1
murderess,21,1
seducible,21,1
exedra,21,1
thargelion,21,1
veretilla,21,1
chatterer,21,2
arab,21,2
syllogism,21,2
black swallow-wort,21,2
maniple,21,2
wailer,21,2
orator,21,2
omit,21,2
morpheus,21,2
myrtle grove,21,2
portuguese,21,3
banquet,21,3
integral,21,2
freckle,21,2
pettifogger,21,3
azenia,21,3
burgundy,21,5
brook,21,2
nymph,21,4
memphis,21,2
nocturnal,21,3
buffoonlike,21,3
tardigrades,21,5
possession,21,2
calingae,21,5
rhosus,21,5
debtor,21,2
callithrix,21,4
foresight,21,3
growth promoting,21,3
aphrodisiac,21,2
forbidden,21,3
inwards,21,5
mandane,21,6
resurrection,21,3
water-inspector,21,3
arpi,21,7
debauchee,21,4
avenger,21,4
perfume,21,8
cyclamen graecum,21,5
laxative,21,5
obligated,21,3
paeon,21,7
protectress,21,6
leonidas,21,4
be accustomed,21,5
trifling,21,3
white-spotted,21,6
sarangae,21,7
thisbe,21,4
bronze-footed,21,6
belisarius,21,6
observable,21,4
stripped off,21,6
eradication,21,5
miletus,21,6
pentane,21,6
aorist,21,6
callipygian,21,5
monastery,21,6
oesyma,21,9
unbridled,21,4
emancipation,21,7
immovable,21,3
inhabited,21,4
tantalum,21,9
enervated,21,5
marsian,21,6
flexibility,21,5
titian,21,5
arsenius,21,8
cloak,21,7
palar,21,11
porous,21,6
poplar,21,9
athos,21,11
blond,21,10
pastress,21,7
physician,21,8
eyelid,21,10
autumn crocus,21,15
aramean,21,11
redden,21,11
versus,21,11
virility,21,10
froth,21,8
terrestrial,21,10
viceroy,21,13
dunn,21,11
speckled,21,7
tertiary,21,12
steam bath,21,8
dicte,21,11
dirge,21,12
styx,21,11
mulberry coloured,21,12
saffron,21,13
razor,21,10
diagon,21,16
utica,21,12
venus,21,14
apelles,20,1
philosopher,20,1
euryclea,20,1
hortensian,20,1
laestrygonian,20,1
balsam,20,1
five twelfths,20,1
abhorring,20,2
maiden,20,2
drunkenness,20,2
prudence,20,2
predecessor,20,2
cannibal,20,2
presider,20,2
selinus,20,3
californium,20,4
ewer,20,2
hathor,20,3
miserable,20,3
scabbard,20,2
charcoal pile,20,4
belgae,20,2
cedar,20,3
sieve,20,3
amber,20,4
halitherses,20,3
inachus,20,5
portionless,20,4
remindable,20,3
perinthus,20,4
quiver,20,4
spatula,20,5
instigator,20,2
beechen,20,5
agile,20,3
piracy,20,3
inclination,20,5
sagulate,20,2
crotalus,20,6
tainaron,20,4
jersey,20,7
grammarian,20,3
eileithyia,20,4
calydon,20,7
propelled,20,5
sybota,20,4
cannae,20,8
encircled,20,2
legae,20,4
copenhagen,20,4
indistinct,20,4
patriotic,20,3
published,20,3
tendinous,20,5
mandaean,20,7
apollonia,20,7
armillary sphere,20,7
mash,20,3
coffer,20,7
sibyl,20,6
confluence,20,6
heretical,20,3
squinting,20,4
phoenicia,20,8
earthen jar,20,5
gift,20,9
hernia,20,7
adad,20,6
chaldean,20,6
hare,20,5
empedocles,20,6
heraclius,20,5
brass,20,4
spittle,20,3
sent,20,7
juliett,20,4
immortal,20,4
tangible,20,6
aiton,20,8
puppy,20,7
olive tree,20,7
prominence,20,9
jenkins,20,5
pylorus,20,8
spree,20,10
alaric,20,10
caietan,20,8
clinch,20,9
rejoice,20,9
valens,20,11
thousandfold,20,8
promontory,20,7
technical,20,5
cretan savory,20,7
maggiore,20,8
hare,20,8
aegeus,20,6
grumium,20,9
iapyx,20,16
slime,20,10
linden,20,6
glutton,20,9
twigs,20,12
butane,20,11
nod,20,12
jair,20,11
caesarean,20,15
umbilical,20,14
boot,19,1
diverted,19,1
orderliness,19,1
decachord,19,1
asyndeton,19,1
odysseus,19,1
suffruticose,19,1
sadyattes,19,1
sophistic,19,1
dipteran,19,2
hawksbeard,19,2
circular incision,19,2
comrade,19,2
water-carrier,19,2
prune,19,3
gerenia,19,3
unmanageable,19,2
lisbonian,19,2
parturient,19,3
assyrian,19,4
self-sufficient,19,3
versify,19,4
spoken,19,2
pellene,19,4
stimulated,19,2
glorified,19,2
mockery,19,4
finished,19,2
pious,19,3
unskilful,19,3
abdera,19,4
floral,19,6
breach,19,5
recede,19,2
eczema,19,4
elephantiasis,19,3
anchovy,19,5
triangular,19,5
adamant,19,5
antron,19,5
talkative,19,5
led forth,19,5
surveyor,19,8
gens,19,3
astonished,19,3
patriarch,19,5
tyrant,19,4
soldered,19,5
solar,19,4
sonora,19,5
strophius,19,3
tetrahedral,19,5
blanford,19,4
water serpent,19,2
nightmare,19,5
ishmael,19,3
persepolis,19,5
maple fungus,19,5
stoic,19,4
vicenza,19,6
apiary,19,5
arminius,19,3
asinine,19,6
subterranean,19,3
mighty,19,3
to sprinkle,19,3
riobamba,19,4
chaste tree,19,5
devourer,19,7
violent,19,3
amulet,19,4
tenth,19,8
tamed,19,5
youth,19,3
auditorium,19,4
haste,19,7
hindering,19,8
banquet,19,7
mussel,19,5
replied,19,5
spectacle,19,5
shook,19,6
panemus,19,7
overtaken,19,3
aeschylus,19,4
antiochus,19,5
barcelona,19,8
interposed,19,9
testator,19,7
legendary,19,7
onager,19,7
praetorian,19,6
admonished,19,7
conferva,19,6
fabian,19,10
semitone,19,6
molossus,19,7
fenugreek,19,6
compendious,19,8
leaden,19,6
fire salamander,19,4
brighten,19,5
exalted,19,6
penelope,19,6
kykeon,19,9
germanicus,19,7
maire,19,9
salary,19,7
bovine,19,9
chosen,19,5
black nightshade,19,10
scapula,19,6
plethora,19,7
samaritan,19,7
sidyma,19,6
charcoal-filled,19,8
covid,19,12
favoured,19,11
macir,19,9
superbus,19,15
strengthen,19,11
thousand,19,11
olbia,19,12
uneven,19,15
undissolved,18,1
adorable,18,1
anglican,18,1
aster,18,1
dissembler,18,1
diuretic,18,1
gladiatress,18,1
consulate,18,1
petrify,18,1
orsilochus,18,1
dictionary,18,1
perrhaebia,18,1
pulmonary,18,1
ruan-sur-egvonne,18,1
hairdresser,18,2
buttock,18,2
seated,18,2
small sickle,18,2
savin,18,3
kestrel,18,2
phrixa,18,2
amarynthus,18,2
arbor,18,2
turquoise,18,3
editor,18,4
vile,18,3
belus,18,2
volano,18,4
chaffy,18,2
pelagic,18,2
parchment,18,2
perpetual,18,4
suitor,18,3
parch,18,3
pulverized,18,2
didian,18,3
styptic,18,3
stay near,18,3
papian,18,4
secular,18,3
thicket,18,3
equality,18,4
lagina,18,6
lynxstone,18,3
scholastic,18,3
atilius,18,4
cebes,18,5
befitting,18,3
crisis,18,5
priest,18,5
shirvan,18,4
stuhlmann,18,4
publish,18,7
promenade,18,6
cottage,18,5
summed up,18,3
alope,18,5
disgraceful,18,4
mesopotamia,18,2
narbonne,18,3
abominable,18,4
ravage,18,4
barracuda,18,6
wifely,18,3
plough,18,3
borne,18,7
hysterical,18,3
isaac,18,8
gnashing,18,8
metic,18,4
maid,18,5
recently,18,6
salm,18,4
baptist,18,7
steadfast,18,3
numerous,18,7
drachma,18,7
drunken,18,4
epeius,18,4
lovingly,18,4
mezentius,18,5
peloponnese,18,7
contrivance,18,8
emery,18,7
dirge,18,7
lyre,18,7
corrector,18,5
crepidate,18,3
crotopus,18,6
equipment,18,5
intact,18,8
infundibulum,18,5
nobelium,18,5
drudge,18,5
picenum,18,8
surgeon,18,4
khosrow,18,10
hastened,18,5
boar,18,9
played,18,7
lawyer,18,6
venerate,18,9
argive,18,9
osam,18,6
balcony,18,7
gory,18,7
pitane,18,7
cherub,18,7
sea-mussel,18,6
mundane,18,5
twelfth,18,13
celt,18,7
hispania,18,6
booty,18,7
missionary,18,6
caprine,18,10
oedipus,18,8
mute,18,9
poverty,18,10
pteria,18,14
rome,18,5
hound,18,5
unholy,18,8
marine,18,9
gaeson,18,9
unaware,18,10
lanthanum,18,9
uncle,18,12
pegasus,18,8
solder,18,12
mackerel,18,11
tallow,18,9
comic poet,18,11
oppress,18,12
gisco,18,12
cleavable,18,9
erat,18,9
tripod,18,13
saar,18,11
tanis,18,11
volition,18,11
agis,17,1
unfinished,17,1
basket,17,1
playmate,17,1
promontory,17,1
tithe,17,1
bronze,17,1
hippopotamus,17,1
unobstructed,17,1
pegae,17,1
petronian,17,1
pneumonia,17,1
quicken,17,2
bridle,17,2
elpenor,17,2
eretria,17,2
justification,17,2
aristophanes,17,2
hipparchus,17,2
legalize,17,2
guardian,17,2
unfinished,17,2
equal,17,2
aqueduct,17,2
dutiful,17,2
papirius,17,2
trifle,17,3
salinity,17,2
plunderer,17,2
agrippina,17,2
messenger,17,2
callirrhoe,17,3
quail,17,3
double company,17,3
abound,17,3
homonymous,17,3
metrodorus,17,3
wether,17,4
polydamas,17,2
third,17,2
winnowing basket,17,4
gladdening,17,3
casinian,17,4
copperas,17,4
hamadryas,17,5
unseen,17,3
breadth,17,2
ulcinj,17,2
bittern,17,4
rutherfordium,17,2
tail-wagging,17,3
enoch,17,5
florence,17,5
parlour,17,3
ladler,17,4
kausia,17,6
busy,17,3
ecclesiastical,17,2
treadle pump,17,4
pigsty,17,5
holmi,17,3
florius,17,6
public revenue,17,3
thapsus,17,4
scythia,17,6
err,17,2
astyages,17,3
choisy,17,5
inflection,17,6
gobryas,17,3
hesiodic,17,5
martyrdom,17,4
kansas,17,4
roaming everywhere,17,3
pandrosus,17,5
phlegmy,17,3
advertised,17,4
cloacal,17,6
etruria,17,3
meander,17,4
fanning,17,7
excavated,17,2
marten-skin,17,5
striven,17,2
negotiator,17,6
nephew,17,4
