english,tune
Snow crunched under her feet and quickly soaked her gear.,zuna kransuta sage gesa fotmisa gim gansmena sokslsuta gesa grena
It was at the beginning of winter.,hina miq kide dan begreCi dige winta
"Nature was at her peak, blending the wild blooms with various shades of green.",noxa miq kide gesa peksa blinreCi dan glok blomi wime vrolmisa dronmisa dige gunu
It lies in a hilly well-wooded landscape above the valley of the small river.,hina znarmisa nute med probmena wolsa Cidsuta lonlabda suze dan valsa dige dan xib mimba
The birds saw the little girl who was walking among the trees and flew down to greet her.,dan ximlmisa vislsuti dan wibza grala fip miq wokreCi maga dan tralmisa gim flarsuti dote nime grata gesa
She glanced down at the bird's nest in her hand.,gesa glansuta dote kide dan ximfiva nesa nute gesa hana
She studied the berry-like seeds that grew in a cluster at the top of the bush.,gesa stadsuta dan brala like sidmisa Cat hidsuti nute med klesa kide dan tuba dige dan biksa
"The yard of the super old house was completely covered with plants, rocks, and animals.",dan yorda dige dan spora kif flica miq kombmena yibdsuti wime ripi rakmisa gim yimlmisa
There was not a breath of wind to stir the young leaves on the trees.,kema miq pim med ruca dige wuna nime farpa dan yon lifmisa neve dan tralmisa
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.",dan klama miq sogzmena hutu gim daru nute zmara hiz dan winta dempa miq malta gim plesa
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.",win travreCi pibe dan konta yara visi viga nisplreCa mantmisa starmisa valsmisa gim liksmisa
It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.,hina miq Cim losi nime dan tigza Cat Cat fip smiksuti nute hina gin yidi dan gebdmisa conkal yugzreCa zife dan bleqa
The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.,dan wotlona miq cin sigda wime rolsreCa gun vefsmisa talvlsuta kize klormisa sadja znora
The ocean breeze brought that familiar scent back.,dan snola breza briqsuti Cat zbusa senta goke
The warm sun shined on the tall powerful trees and drew out all their fragrance.,dan wit sana diqgsuti neve dan tals poqfala tralmisa gim drulsuta tine con Cefa fraga
It was very pleasant out in the shady woods.,hina miq cin plesa tine nute dan xetsa Cidmisa
They were sitting around the fire and trying to keep each other warm.,Cefa miq setsreCi wibe dan giba gim trolwareCa nime kugzi tega kora witu
She opened her eyes and blinked at the sunlight streaming through the forest.,gesa ponsuti gesa haqmisa gim blonsuta kide dan sanziba starlreCa pibe dan farsa
An old man decides it's time to get a new rock for his collection.,med kif mansa galgmisa miq kala nime gemi med hiv raka vore bima loka
"One day in spring, three men were riding together along a country road.",med yama nute spara dem mansmisa miq vrodreCa teksa jife med kanta plega
She walked for half an hour until the rain began to trickle through the tree tops.,gesa woksuti vore hula med harsa xiz dan rexa begsuti nime troka pibe dan toka tubmisa
The soothing sound of water running over stones greeted them as they neared the creek.,dan siksreCa suma dige wota rinreCi riqe zedzmisa gratsuta Cefa sive Cefa nensute dan kroka
The old creaking tree spread a blanket of shade in the grass beside the pond.,dan kif krekreCa toka hugza med blena dige hufta nute dan gara bese dan benda
I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.,musta lovi dan batslfala spara puk dan pliCreCi tralmisa gim dan blasreCa fulmisa miq Cim banta
"Whenever my aunt comes to visit, she brings some good gifts for my family.",freva musta molza kamsmisa nime vesta gesa briqi lin tav giftmisa vore musta fama
He took his children far away to a green valley.,bima vogsuti bima kikmisa fada nibe nime med gun valsa
I am pleased because I love the warm sunshine and the fragrant flowers.,musta miq blizlsut puk musta lovi dan wit sandiqga gim dan frega fulmisa
"After a while, they were riding around the side of a steep hill through tall grass.",fape med hiz Cefa miq vrodreCa wibe dan zada dige med stap vefsa pibe tals gara
Old meadows provide a home for many colorful plants.,kif pregmisa prova med homa vore viga glorfala ripi
The warm sun had melted most of the snow from the path.,dan wit sana hav moltsuta miz dige dan zuna zige dan paca
She glanced back over her shoulder at the huge rock on the hill.,gesa glansuta goke riqe gesa vidja kide dan hats raka neve dan vefsa
The sun peeked over the desert horizon to the east.,dan sana jolslsuta riqe dan darwalona truva nime dan roga
Ahead was nothing but a narrow dirt path lined with mature trees and bushes.,begda miq siza bat med solk darda paca linslsuta wime djoza tralmisa gim biksmisa
We shall all live together in a small place near one of the lakes beyond the forest.,wola clota con smiki teksa nute med xib paka nene med dige dan liksmisa bune dan farsa
I took a scenic ride through the ever infinite land.,musta vogsuti med snaka vroda pibe dan vrala gixa lona
He imagined the way the ocean breeze zipped straight into their tent.,bima xigsuta dan taqa dan snola breza zepslsuta vreka nute Cefa tenta
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.",nute dan yamneqa wola wul woki nute dan yorda gim sorzi dan garhaplmisa gim flatbuglmisa
The sun set too early on that autumn day.,dan sana zeta mip ralsa neve Cat heska yama
The valleys within the hill ranges are fragrant with aromatic shrubs.,dan valsmisa nute dan vefsa gespmisa miq frega wime magz bitxmisa
He skipped a stone across the pond.,bima skapsuta med mifa seCe dan benda
"She glanced up at her friend, who was sitting against a tree watching her.",gesa glansuta tede kide gesa vrina fip miq setsreCi zife med toka wutreCi gesa
Have you ever seen a rainbow?,hav yara vrala visdoni med rexraksa
"Yesterday, I had a chance to view a rainbow.",beflyama musta hav med daksa nime labda med rexraksa
The rainbow was far and high but neither thick nor full.,dan rexraksa miq fada gim tiku bat dalba skin praqa fal
I will be lucky to see a rainbow again.,musta wul miq klisa nime visi med rexraksa gon
This evening we might see a beautiful double rainbow.,kim yamneqa wola bip visi med batslfala doba rexraksa
I heard the animals chewing grass.,musta yidsuti dan yimlmisa flaqreCa gara
I looked at the many birds along the path.,musta lugsuti kide dan viga ximlmisa jife dan paca
"The birds made short, high pitched sounds.",dan ximlmisa meksuti gis tik biftsuta sumlmisa
I was very tired after the long day deep in the forest.,musta miq cin trulsuta fape dan len yama dapu nute dan farsa
We did not have enough energy to play games.,wola tim pim hav trexa xiqa nime puli gamsmisa
"Still, we were asked to see how far we could throw these rocks.",zota wola miq zoksuta nime visi niq fada wola gin kroli kim rakmisa
"He loudly counted one, two, three to start the game.",bima vrofmen ciksuti med noc dem nime sami dan gimsa
We could dig some soil and build a mountain.,wola gin promi lin risa gim balti med manta
We even jumped out because it was not very high.,wola vonsa djamsuti tine puk hina miq pim cin tiku
I just felt that we must again go to this forest for another fun time.,musta sic jiksuti Cat wola mez gon higi nime kim farsa vore medkor fansa kala
It was too late when we came back home.,hina miq mip litsa win wola komsuti goke homa
"Later in the calm of the night, when you get a chance.",litsmora nute dan kamu dige dan fida win yara gemi med daksa
I also saw the moon in the sky.,musta lus vislsuti dan luna nute dan xuma
"The stars looked very small, yet they did flicker.",dan zitmisa lugsuti cin xib drola Cefa tim flika
It's pretty hard to see stars on a cloudy day.,miq pret haru nime visi zitmisa neve med klada yama
Where did the stars and the moon go?,mik tim dan zitmisa gim dan luna higi
I went to sleep late at night.,musta higsuti nime zuli litsa kide fida
What a pretty rabbit it is!,wec med pret rabda hina miq
She hopped out of her burrow.,gesa hapsuta tine dige gesa bruna
Her eyes look all around eagerly.,gesa haqmisa lugi con wibe grulmena
She perches on her toes and keeps her ears sharp and steady.,gesa pardmisa neve gesa kiCmisa gim kugzi gesa nifmisa zbida gim stida
"There was a breeze, then the rain followed.",kema miq med breza riz dan rexa florsuti
"Like a hunter, she looks around.",like med henta gesa lugi wibe
She licks her ears and rubs her paws.,gesa loksmisa gesa nifmisa gim stekmisa gesa vugdmisa
Then there seemed to be gold in the rock.,riz kema semslsuti nime miq guma nute dan raka
"They do not stop or give up, and instead continue to go ahead.",Cefa tim pim sopi pik gevi tede gim clona koza nime higi begda
"Hence, they never stop, going on all day seemingly forever.",hensa Cefa naf sopi higreCi neve con yama jorvmena conkal
The digging in the middle of the tunnel does not stop.,dan promreCi nute dan moda dige dan yansa tim pim sopi
"Even when one rabbit stops to rest, others take over and continue the process.",vonsa win med rabda sopi nime reqa kormisa vogi riqe gim koza dan pora
"If it rains heavily, how can they continue?",jid hina rexmisa hevmenu niq gin Cefa koza
Then they will have to stay home.,riz Cefa wul hav nime stuli homa
It rains.,hina rexmisa
What should I do next?,wec gas musta tim gena
The day is ending.,dan yama miq neqreCi
Sun is sinking and the moon is becoming visible.,sana miq sekreCa gim dan luna miq nofsreCi vispa
"So, the rabbit has to take shelter and go to sleep.",Cim dan rabda hav nime vogi cidza gim higi nime zuli
It is still so dark.,hina miq zota Cim ramu
I woke up from my sleep to see the next bright day.,musta weksuta tede zige musta zuli nime visi dan gena mar yama
I wonder why you hardly ever see that in real life.,musta wenti won yara harmen vrala visi Cat nute rala vita
I told my friends about my dream.,musta talta musta vrinmisa dije musta drimi
The sun rises and falls in a seemingly endless cycle.,dan sana rezi gim zori nute med jorvmena neqlami rola
"Finally, there is no more moon for us to see.",krismena kema miq pim mor luna vore wola nime visi
Where did the moon go?,mik tim dan luna higi
What is left but a tree containing endless fruit?,wec miq bepa bat med toka tonreCa neqlami viqa
"Yes please, let's do it!",yas bliz lid tim hina
"Okay, if you think that is the best path.",mutxa jid yara cibi Cat miq dan tavmiz paca
The bird seems to be flying upside down.,dan xima semsi nime miq flarlreCi zboca dote
I don't see why that tree needs to be so tall.,musta pim visi won Cat toka niCi nime miq Cim talsu
I often lose myself in the beauty of the forest.,musta cagda loma mustsefa nute dan batsa dige dan farsa
"Since we last walked here, the tree has grown by quite a lot.",zinsa wola lasa woksuti hema dan toka hav hidldoni kize zalga med zbeqa
"However, it would be a lot more interesting to just jump in ourselves.",civ hina wul miq med zbeqa mor kebdreCa nime sic djami nute wolsefa
This is basically the way trees grow.,kim miq baskmena dan taqa tralmisa hidi
Put in a good word for me.,pudi nute med tav worda vore musta
We will be together until the end.,wola wul miq teksa xiz dan neqi
I love late night walks.,musta lovi litsa fida woki
Will you love me forever?,wul yara lovi musta conkal
She loves the color of the sky in the early morning.,gesa fotxmisa dan glora dige dan xuma nute dan ralsa yambega
"The tree has black leaves, long, slender, and beautiful.",dan toka hav bul lifmisa len frova gim batslfala
Flowers roses grew all around the house.,fulmisa volsmisa hidsuti con wibe dan flica
Look at that clear blue sky!,lugi kide Cat klar bag xuma
Purple flowers everywhere!,pin fulmisa conpak
"The way he moved, he made it look so easy.",dan taqa bima muvlsuti bima meksuti hina lugi Cim noqgu
The rain was falling down hard.,dan rexa miq zorlreCi dote haru
How high can trees grow amongst other trees in the forest?,niq tiku gin tralmisa hidi peska kora tralmisa nute dan farsa
Lower your voice.,lorsa yara voza
I was living on a big piece of land when I was young.,musta miq smikreCi neve med big nebda dige lona win musta miq yonu
That tree is pretty darn big.,Cat toka miq pret drana bigu
My imagination runs wild sometimes.,musta xenta rini glok linkala
The forest was full of wild flowers.,dan farsa miq fal dige glok fulmisa
The lake is calm today.,dan laksa miq kamu kimlyam
Sitting still helps me stay calm when I am having a bad day.,setsreCi zota halbmisa musta stuli kamu win musta miq clumreCa med vat yama
We wanted to get closer to the wild animals because they were so beautiful.,wola wensuti nime gemi klasa nime dan glok yimlmisa puk Cefa miq Cim batslfala
Don't stand so close to the fire.,pim stoni Cim losi nime dan giba
The storm is far away from here thankfully.,dan crola miq fada nibe zige hema legzmena
This is the oldest tree on the land.,kim miq dan kifmiz toka neve dan lona
This forest is full of very old trees.,kim farsa miq fal dige cin kif tralmisa
"The season is currently changing, as you can see since the leaves are getting brown.",dan xeqa miq krenmena mifsreCa sive yara gin visi zinsa dan lifmisa miq gemreCi bronu
It was as hard as rock.,hina miq sive haru sive raka
Sun is a huge source of energy.,sana miq med hats kosa dige xiqa
She felt energy rushing through her.,gesa jiksuti xiqa riksreCi pibe gesa
"If you follow this dirt path that way, you will reach a small forest.",jid yara flori kim darda paca Cat taqa yara wul flimi med xib farsa
I have good feeling about this.,musta hav tav jikreCi dije kim
My father is a really good man.,musta rodja miq med ralmena tav mansa
What is your sibling's name?,wec miq yara zbulfiva nama
"Go to sleep, sweet child.",higi nime zuli xic kika
Family matters.,fama golgmisa
Welcome to our small but loving family.,wolga nime wola xibu bat lovreCi fama
"Peace be with you, friend.",hima miq wime yara vrina
"One kiss, one hug and one smile is all that it takes.",med glefa med flega gim med smoli miq con Cat hina tiksmisa
For two years I dreamed of climbing that mountain.,vore noc yezmisa musta drimsuti dige klimreCi Cat manta
Knock three times.,betxa dem timsmisa
Where is your favorite place?,mik miq yara groba paka
"He jumped around the field, trying to catch a butterfly.",bima djamsuti wibe dan cuva trolwareCa nime sorzi med flatbuga
We need to dig a hole and plant this seed.,wola niCi nime promi med djoqa gim ripi kim sida
Do you have a plan for the adventure?,tim yara hav med blana vore dan snuCa
I could hear interesting sounds like a song traveling through the night across the beautiful sea.,musta gin yidi kebdreCa sumlmisa like med gita travreCi pibe dan fida seCe dan batslfala tigza
"If you look carefully around you, you will find beauty everywhere.",jid yara lugi karfmena wibe yara yara wul fani batsa conpak
Who do you see in the lake?,fip tim yara visi nute dan laksa
Come and find me.,komi gim fani musta
Find your true path.,fani yara toca paca
She could not resist the call of the wild.,gesa gin pim matxa dan kugi dige dan gloku
Call me tomorrow.,kugi musta faplyama
I hope so too.,musta hopi Cim mip
"Aside from being pretty, this flower is also rare.",jarza zige miq pretu kim fula miq lus rinsu
Rain is falling once again.,rexa miq zorlreCi jubda gon
"We must leave, otherwise we will snowed in.",wola mez skimi vemsa wola wul zunsuta nute
"It is very cold outside, hence I am wearing a coat.",hina miq cin wisu tiqe hensa musta miq skozreCa med zbapa
This was a rich forest a while ago.,kim miq med kimsa farsa med hiz pabda
Go straight ahead and you will find it.,higi vreka begda gim yara wul fani hina
She was hiding behind the giant bush.,gesa miq glazreCa giqe dan ginta biksa
Birds are flying over the land.,ximlmisa miq flarlreCi riqe dan lona
I will plant a tree right here.,musta wul ripi med toka poba hema
There are many animals in this forest.,kema miq viga yimlmisa nute kim farsa
What is all this?,wec miq con kim
This is totally my favorite place.,kim miq cegdmena musta groba paka
May I have some water please?,bip musta hav lin wota bliz
How long will this storm last?,niq lenu wul kim crola lasa
"In the middle of the forest, you can see an old log rotting away into the ground.",nute dan moda dige dan farsa yara gin visi med kif bloba rotsreCa nibe nute dan grana
Sunrise is one of the beautiful parts of the day.,sanreza miq med dige dan batslfala parmisa dige dan yama
Let's stay here for an hour longer.,lid stuli hema vore med harsa lenmoru
Every year I go and walk by the lake.,Ciq yeza musta higi gim woki kize dan laksa
The bird is still sitting still on the branch.,dan xima miq zota setsreCi zota neve dan Ciga
Don't wander off too far.,pim wunti vone mip fada
Tell me if you can see the moon tonight.,duli musta jid yara gin visi dan luna kimfid
I was eating the fruit but then I decided that I want to eat something else.,musta miq binreCi dan viqa bat riz musta Castsuta Cat musta weni nime bini linkin lisa
Who planted the big tree over there?,fip ripsuti dan big toka riqe kema
What will happen to the grass when winter comes?,wec wul xabzi nime dan gara win winta kamsmisa
I know where bunnies hide.,musta nomi mik bansmisa glaza
I always wondered why water has no taste.,musta conkal wentsuti won wota hav pim vrexa
How did you sleep?,niq tim yara zuli
Sometimes I like to travel far away from home.,linkala musta like nime travi fada nibe zige homa
Love is not just a word.,lovi miq pim sic med worda
"We must take care of this planet, to be honest.",wola mez vogi krala dige kim plana nime miq hinsu
If I plant five trees maybe at least one will grow.,jid musta ripi ten tralmisa mub kide leza med wul hidi
I never saw such wonderful river in my entire life.,musta naf vislsuti cit wentfali mimba nute musta borpa vita
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.",riqe kala noxa yispsuta gim gara tralmisa gim yimlmisa pamslsuta dan brana darda
Sundown is another beautiful part of my day.,sunda miq medkor batslfala para dige musta yama
I like to sit down on soft and bright green grass.,musta like nime setsi dote neve zofu gim mar gun gara
Snow was falling all night and in the morning everything was white.,zuna miq zorlreCi con fida gim nute dan yambega conkin miq wiqu
Oceans are just too big!,snolmisa miq sic mip bigu
"Seven years ago, I saw a huge owl right there.",heq yezmisa pabda musta vislsuti med hats drefa poba kema
We like swimming in the river.,wola like slovreCi nute dan mimba
Stars shine bright tonight.,zitmisa diqgi maru kimfid
A little wolf is playing with the wooden stick.,med wibza wolva miq pulwareCi wime dan zdaxa stiga
Sand on this beach is totally black.,wiza neve kim semba miq cegdmena bulu
"The light in the sky was blue and green, moving slowly, like magic.",dan zibu nute dan xuma miq bagu gim gun muvreCi tixmenu like muja
I can see the trees growing along the shore.,musta gin visi dan tralmisa hidreCi jife dan bleqa
"The air is crisp and fresh, and the night sky is clear.",dan piza miq krasu gim friku gim dan fida xuma miq klaru
There is one last leaf left hanging from the barren tree.,kema miq med lasa lifa bepa kutxreCa zige dan brin toka
This summer my family is going on a long walk around the lake.,kim zmara musta fama miq higreCi neve med len woki wibe dan laksa
One of his eyes was purple and the other one was blue.,med dige bima haqmisa miq pinu gim dan kora med miq bagu
It seems like it used to rain almost every day when I was a child.,hina semsi like hina yuzlsuta nime rexa lamsa Ciq yama win musta miq med kika
The sea covers a larger part of the earth.,dan tigza yibdi med largmora para dige dan ruga
"The bushes surround the forest, creating a boundary that protects the landscape.",dan biksmisa talva dan farsa bamreCa med boda Cat cormisa dan lonlabda
The bees love to suck on the nectar of flowers.,dan kliqmisa lovi nime skula neve dan rolva dige fulmisa
"These type of red rocks are rarely found, you have to be extremeley patient while digging.",kim tapa dige red rakmisa miq rinsmen fonda yara hav nime miq crena puftu hiz promreCi
Ocean waves were very high that day years back.,snola gebdmisa miq cin tiku Cat yama yezmisa goke
"Dark clouds part, allowing the suns rays to enter once again.",ram diCmisa para lesklreCa dan sanmisa duftmisa nime neba jubda gon
Sunshine in the northern part of the country seems a lot different from the south.,sandiqga nute dan xaska para dige dan kanta semsi med zbeqa difa zige dan luta
Shrubs are pretty much always seen growing all over the forest floor.,bitxmisa miq pret cruja conkal visdoni hidreCi con riqe dan farsa marpa
Did you ever climb up that super tall hill behind that one tree?,tim yara vrala klimi tede Cat spora tals vefsa giqe Cat med toka
"It's too far, we cannot walk there now, it's too late.",miq mip fada wola pim woki kema xoma miq mip litsa
"I like making this place mine, keeping it clean and fresh for anyone who comes by.",musta like mekreCi kim paka musta kugzreCi hina glinu gim friku vore nectida fip kamsmisa kize
"Look, the fire is blue right now, that is so cool!",lugi dan giba miq bag poba xoma Cat miq Cim gulu
Have you ever tried making a fire all on your own?,hav yara vrala trolsuta mekreCi med giba con neve yara pleja
"You never actually see trees growing, they grow too slowly.",yara naf vrasmena visi tralmisa hidreCi Cefa hidi mip tixmenu
And so I kept dreaming like it was real life.,gim Cim musta kugzlsuti drimreCi like hina miq rala vita
