tune,english
nilod,neon
nilom,restraint
niluk,wage war
nimen,depression
ninuk,justification
nipot,sift
nipuz,smashing
nirat,neutron
nirax,inertia
niron,extinguish
nisak,damage
nisan,necessary
nisec,anesthetize
nisob,proportion
nisug,recession
nitax,nip
nitoz,usage
nival,harp
nivus,nervous
nixan,herring (fish)
nixas,ugly
nizar,remember suddenly after having forgotten
nobol,nibble
nobud,noble
nodot,note
nogek,neck
nokan,nick
nolak,nook
nolen,area
noliq,neigh
nolul,forget
nomiq,anomaly
nonex,annunciate
norad,farenheit
noram,normal
noris,nursery
norok,nor
noron,knee
noros,having some aspects of (-ish)
norum,normal (math)
norux,nourish
nosag,steer
nosal,proceed
nosan,nuisance
noseb,passenger
nosik,skeptic
nosot,embed
notar,sodium
notit,annotate
notux,rural
noval,novel
nozol,nuzzle
nudar,nutrient
nudij,nude
nukes,nut
nukit,ursidae
numan,numb
numet,enumerate
nunaq,none
nunok,bear (animal)
nupop,no
nuref,vowel large U sound
nuriC,nutrition
nurod,order
nutal,newt
nutan,newton (force)
nuziz,distribute
paban,vicious
pabul,pebble
pabup,pop
paCar,prefer
pacun,pass through
padab,palatable
padaj,edge
padam,lotus
padar,original nature
padek,partake
paden,prance
padid,partridge
padol,puddle
padon,partner
pados,prosecute
padov,perturb
padur,pat
padut,simmer
pafet,rugged
pafin,modulate
pagal,digest
pagis,populate
pagor,pact
paguv,seduce
pajak,project (task)
pakef,overtake
pakim,drift
pakit,pocket
pakol,confiscate
pakov,prevent
pakur,displace
pakux,puncture
palad,pound (measure)
palam,plump
palaq,nifty
palar,play
palem,plummet
palet,pilot
palex,polish
palig,plastic
palin,plan
palis,police
paliv,repulsive
palok,pluck
palol,plow
palon,hostile
palos,compassion
palov,fur
palum,ply
palur,power
palux,accomplish
pamap,pomp
pamem,dim
pamet,punt
pamin,coach
pamor,pamper
pamul,pummel
pamun,bell
panad,upon
panam,pendulum
panaq,paw
panar,pen
panax,punish
panen,pearl
panes,penis
panic,panther
panim,pint
paniq,penalty
panit,delight
panok,pine
panol,panel
panon,companion
panoz,pond
panum,pan (move)
panur,palindrome
papar,poplar
papat,pipe
papoz,propose
paraf,perfume
paral,brittle
paran,purr
parap,perpendicular
paraz,p sound
pareg,poppy
paren,apparent
pares,pressure
parev,involve
parib,parable
parij,enclosure
parim,permit
pariq,parody
parod,pod
paroj,propulsion
parom,pile
paroq,prod
paror,proper
paruk,park (car)
parul,parabola
parun,prop (setting)
parus,press (force)
paruv,prove
pasab,possible
pasar,sparrow
pasek,interval
pases,persist
pasij,passage
pasof,pacify
pasol,idol
pason,period (mark)
pasur,prowl
pasut,posture
pataf,envelop
patal,petal (flower)
patan,patent
patap,polytope
pataz,gush
patet,soar
patex,hammer
patis,pout
pator,encircle
patul,patrol
pavam,pavement
pavar,pave
pavat,secure
pavib,proverb
pavur,ventilate
pawit,improvise
paxar,confirm
paxep,posh
payam,implement
payon,plunge
pazal,pastel
pazan,peasant
pazeq,pause
pazik,cite
paziv,disappoint
pazor,ban
pazot,repository
pebop,property (of object)
pedag,propaganda
pedal,pedal
pedan,apprentice
pedaz,president
pedoj,purge
pedor,herd
pedot,topple
pedun,pretend
pedup,rundown
pedus,produce
pegar,peg
pegoz,10^5
pejut,pit
pekid,official
pekiq,peck
pekom,pay back
pelaf,tame
pelak,placate
pelal,paralyze
pelan,pollen
pelaz,present (show)
pelin,discipline
pelip,poll
pelis,policy
peliv,sweat
pelom,froth
pelor,steel
pelul,lute
pelun,plunder
pelus,pulse
pemam,they (communicating-agent-external-reference-focus)
penak,punk
penas,torch
penid,paint
peniq,ink
penor,penetrate
penul,peninsula
perad,period
peram,primordial
peraq,parallel
perar,paragraph
perax,perish
peric,pristine
perij,prejudice
perim,prime (primative)
periq,preen
perit,pour
perof,puff
perok,per
perol,preview
peron,imprison
peroz,for/purpose
perub,perturbation
peruj,projection
perum,broad
perur,preserve
pesal,pedestal
pesor,pester
pesot,post (content)
petam,epitomize
petar,patron
petax,patch
petis,pant
petol,toll
petoz,explosion
petur,patter
pevit,distort
pezat,grind
pezin,pie
pibar,peep
pibep,individual
pidal,practical
pidan,principle
pidaz,injury
pidet,capitulate
pidoj,pigeon
piduk,preclude
pigat,predicate
pigax,picture
pigen,pigment
pigum,scaffolding
pigur,lag
pikot,implicate
pilaf,pilfer
pilag,plug
pilal,pepper
pilan,plant
pilaz,please
pilek,their
pilen,plane (geometry)
piles,pulsate
pilev,block/prevent
piloc,peel
piloj,pillage
piloq,plea
pilor,prescribe
pilot,blame
pilun,pretense
pilup,plop
pilus,plaster
pimez,pea (vegetable)
pinal,penalize
pinas,pine (tree)
pinor,pin
pinot,peanut
pinox,pinch
pipan,pee
pirab,probable
piraC,prick
piram,beloved
piraq,undo
pirar,prepare
pirax,ash
pired,part
pirej,appreciate
pirem,presume
pireq,pertain
pirof,prevail
pirog,grant
pirol,busy
piron,print
piroz,pack
piruj,percussion
pirum,publication
pirur,entrepreneur
pirut,proton
pisan,piss
pisas,precise
piset,paste
pisod,fan (person)
pisor,pest
pitam,nipple
pitar,petrify
pitax,pitch (sound)
pitek,predict
pitol,twist
pitoz,fragment
pitut,chatter
pixot,asceticism
pizad,preside
pizen,rash
pizum,chorus
podak,protect
podal,ramp
podan,porcupine
podas,percent
poded,free
podej,shabby
podip,property (object)
podiz,lull
podun,opportune
pogit,park (place)
pokal,pretty
poket,poke
polal,perhaps
polan,pool
polap,glottal stop
polas,placenta
polef,proliferate
poleg,plague
polen,pull off
polim,poem
polix,replenish
polod,implode
polom,promote
polor,ploy
poluk,persecute
polul,percolate
polun,pion
pomop,pump
ponet,torment
ponex,punch
ponin,component
ponis,pencil
ponod,pander
ponus,pounce
poram,prompt (message)
poraq,pore
porar,program
porat,pirate
poreb,prohibit
porem,primate
poreq,parley
porex,precious
porik,opaque
porin,suidae
poris,role/as
poriv,provision
porol,portal
poron,porn
porop,purpose
poros,personal
porov,perform
porud,apart
porum,pass
porur,procure
porux,land (perch)
posak,pascal (measurement)
posal,postulate
posun,postpone
potar,portray
potat,impotent
potix,poach
potud,post (in the ground)
potux,pi
povas,profess
pozar,pose
pozut,prostitute
pudad,prudent
pudep,perplex
pudit,practice
pudok,product
pufan,poof
puget,packet
pukar,pick up
pukat,pork
pulam,fluff
pular,polar
pulat,plate
pulax,pulp
pulem,forsake
pulif,proofread
pulik,plight
pulin,cheap
pulof,platform
pulon,plateau
pulop,poop
pumag,pumice
punat,hit
punen,sentient
purag,pig
pural,prolong
puran,pomegranate
puras,persuade
purav,profession
puref,perforate
purek,pick
puren,prune
purez,prize
purid,pervade
purim,promise
puriq,parse
purix,perch
purom,proto
puror,purport
purot,important
purox,parachute
pusit,pus
puson,thump
putas,pluto
putot,dimension
putox,pot
puvek,vex
puxam,potion
rabal,rebel
rabap,ride
rabet,rabbit
rabor,rob
rabuk,rebuke
rabus,rhombus
racis,spray
racun,wrath
raCur,rather
radaq,cart
radar,rare
radat,eradicate
radax,radish
radud,shallow (depth)
rafak,raisard
rafal,mist
rafed,rife
rafor,rough
raful,ruffle
ragal,wrangle
ragan,rag
ragav,rot
ragul,ring (shape)
rajas,registry
rakek,guard
raken,bow
rakid,arachnid
rakol,wrinkle
rakut,rocket
ralar,reward
raled,revile
ralog,relegate
ralon,interview
ralur,roar
ramaz,rim
ramed,romp
ramip,r sound
ramob,ramble
ramus,trample
ramuv,remove
ranam,random
ranaq,grime
ranek,rank
ranen,rain
ranez,ram
ranid,rind
ranog,runt
ranos,ransack
ranut,rant
rapad,pad
rapar,rupture
rapit,interest (banking)
rapix,rap
rapok,wrap up
rapol,repeal
rarak,rear
rasaj,rouse
rasat,furnish
rasef,hover
rasol,messenger
rason,rust
rasop,rasp
rasos,in
ratak,rhetoric
ratan,ratify
rated,write
ratiz,flicker
rator,raptor
ratox,vowel a sound
ratun,rat
ratuz,race (event)
ravaC,drizzle
raven,revenue
ravev,particle
ravij,ravish
ravit,raft
ravok,profut
raxam,crime
raxen,rational
raxut,permission
razal,wrestle
razan,resonance
razas,ruse
razet,rice
razin,resin
razod,reside
razom,rhizome
razuk,reminiscent of (-esque)
razun,residue
razuz,consonant
rebar,rib
rebip,rich
rebiv,reprieve
rebub,logarithm
reCas,recess
recin,rage
recis,sliver
reCor,irrational (number)
redan,radian (measurement)
redim,redeem
rediq,rate
redit,radiate
redod,red
refar,refrain
refof,success
refut,refute
regac,wreck
regar,regular
regin,reign
regiz,prerequisite
regov,wring
rejat,register
rejin,zeal
rekan,recognize
rekav,ingredient
rekib,perpetrate
rekul,recluse
rekup,recoup
relan,relent
relas,rile
relif,relief
relik,calendar
reliz,reel
relot,riot
remik,rhyme
renag,renege
renan,wren (bird)
renaz,earnest
renim,citizen
reniq,rein
renix,ray
renor,render
repal,republic
repob,republican
repor,report
repus,10^39
resan,restaurant
resap,respond
resiq,raise
resit,race
resor,rehearse
resuk,vowel english r sound
resuv,street
retaq,enthusiasm
retar,retract
retik,fascinate
retin,ready
retut,rattus
retux,rate (change)
revak,revoke
reval,rival
revav,lot (amount)
rezar,resurrect
reziz,rise
rezur,razor (tool)
ribab,ribbit
ribar,rebar
ribon,rule (control)
ribuc,intermediate
ribur,reproach
ribut,reputation
riCak,sway
ricek,restrict
ridak,irradiate
ridan,region
ridas,righteous
rided,raid
rideq,rid
ridom,frank
ridor,redirect
ridox,recharge
ridul,riddle
ridun,redo
rifam,revamp
rifar,refresh
rifat,rivet
rifen,refine
rifof,close (near)
rifol,reef
rifon,refund
rifoz,refuse
rifum,reform
rifur,flutter
rigad,regard
rigar,require
rigen,rig
rigol,wriggle
rigov,clod of earth
rigur,recruit
rijon,origin
rijos,rejoice
rikal,recline
rikap,recap
rikas,relax
riket,racket (tool)
rikor,recur
rikox,reaction
rikuk,up
rikul,recoil
rikuz,concentration
rilal,relation
rilan,rewind
rilap,relapse
rilas,release
rilen,relay
rimar,remark
rimat,remote (distance)
rimen,remain
rimoz,revise
rinan,grace
rinem,folk
rinet,rinse
rinex,ductile
rinoq,artificial
rinul,renew
rinun,renounce
rinus,rhinoceros
ripal,repulse
ripan,repent
ripaz,reap
ripom,rip
ripor,repair
ripot,repute
ripul,ripple
ripus,fault
riraj,rearrange
risak,moisture
risan,rescind
rised,recede
risex,purchase
risor,resource
ritam,reach
ritar,retire
ritat,soil
ritez,floor
ritur,retort
ritux,ring (math)
rival,revolve
rivav,revive
rivoC,algorithm
rivor,revert
rivot,rift
rivun,review
rixet,net
rixom,record
rizek,risk
rizen,resent
rizum,resume
rizur,research
rizut,reset
rizux,asset
robaq,bank (river)
roCik,velocity
rodan,dictator
rodot,FALSE
rogar,rug
rogog,thirteen
rokak,rock
rokug,this
rolak,rally
rolij,religion
roliq,rail
rolul,cycle
romar,roam
romit,remit
ronak,apt
ronal,row (boat)
roned,french r sound
ropet,replicate
rosik,mash
rosot,past (distance)
rotar,rote
rotax,rite
rotev,sauce
rotit,rotate
rovuv,copper
rozat,rest (remainder)
rozoz,rose
rubal,robe
rubas,robust
rubor,rubber
rudar,root
rudid,read
rufan,roof
rukim,radiant
rulet,relate
rulin,ruin
ruman,ruminant
rumet,ruminate
rumig,room
rumor,rumor
runad,gnaw
rupaq,outward appearance
rupop,right (time)
rutet,tremble
rutex,route
rutin,routine
ruxam,impression
ruzot,slim
sabak,supplier
sabal,splash
saban,say
sabas,spice
sabed,subdivide
sabej,subject
sabem,polite
sabin,spawn
sabom,submerge
sabor,patient
sabul,supply
sabun,soap
sabuz,subsume
saCur,smother
sadad,bow down in respect
sadaj,beside
sadam,sincere
sadar,cedar
saden,sudden
sadep,strap
sadim,equipment
sadit,strict
sadix,stash
sadok,salt
sadol,saddle
sadon,steward
sadum,stump (tree)
sadur,tidy
sadux,stature
safag,safeguard
safal,bench
safan,savanna
safas,sigh
safav,silver
safik,suffix
safor,sapphire
safot,soft
sagaf,scoff
sagal,scale
sagan,intrigue
sagap,skip
saget,segregate
sagig,snack
sagin,scan
sagis,prosper
sagiv,scavenge
sagod,scowl
sagoj,psychology
sagom,scum (muck)
sagor,swagger
sagul,scuttle
sagun,squander
sakam,swamp
sakar,square
sakat,socket
sakeg,squat
saken,blade
sakim,sham
sakix,squash
sakol,succulent
sakon,sack
sakop,scrap
sakos,scarce
sakud,seclude
sakum,scheme
sakur,scare
salaj,soldier
salam,salamander
salaq,sling
salar,slur
salat,insulate
saleb,celebrate
saleC,seal
salem,slap
saleq,salary
salex,slash
salik,circle
salin,silly
salis,faint (light)
saliv,salvation
salol,swaddle
salon,slant
salop,slop
salos,cellulose
salov,solvent
salud,slide
salum,seldom
saluq,swallow
salur,my
samag,smug
samal,small
saman,partial (semi-)
samas,course
samej,smudge
sameq,summary
samik,sign
samin,reminiscient
samor,summer
samot,simultaneous
samox,smash
samul,smile
samun,summon
samup,sentence (text)
sanam,sentiment
sanaq,bulk
sanar,snare (drum)
sanat,senate
sanax,snatch
saneg,snug
sanes,since
sanev,swallow (bird)
sanib,snob
saniq,snare (trap)
sanol,snuggle
sanon,snipe
sanop,snap
sanud,sand
sanur,snarl
sapab,present (now)
sapam,spam
sapar,barber
sapax,speck
sapek,respect
sapen,spine
sapes,suppress
sapid,subsidy
sapim,submissive
sapof,specify
sapol,spot
sapon,spend
sapoz,suppose
sapuq,spa
sapur,spark
saput,meal
saraf,certify
sarag,snore
saral,swirl
saran,surround
saraz,feature
sarek,discern
saren,axle
sares,potent
sarev,entire
sarid,side
sariq,sorry
sarom,swerve
sarot,certain
sarun,surrender
sarup,syrup
sarus,sarcasm
sasaC,hone
sasad,suicide
sasar,subscribe
sasen,assassinate
sasep,suspend
sataf,stuff
satag,stagger
satal,stall
satan,stand
sateb,stab
satem,rigid
sateq,stalk
satex,such
satik,astringent
satin,stunning
satis,saturn
sativ,steady
satoj,storage
satom,stammer
sator,star
satot,stat
satul,subtle
satun,reverberate
satup,stupid
satus,ostracize
savaj,savage
savam,welcome
savar,several
savek,knife
saven,savant
savix,sufficient
savon,flavor
savuq,grape/berry
savur,very
savut,subvert
saxat,gleam
sayut,10^9
sazan,size
sebar,spiral
sebik,speak
sebin,spin
sebol,spout
sebon,sprain
sebur,react
sebut,substitute
sedak,soda
sedal,sideline
sedan,straigten (reverse)
sedid,stage (action)
sediq,setting
sedoj,sage (person)
sedom,sediment
sedor,strong
sedul,straddle
sedun,sage (plant)
sefar,sphere
sefat,stave
sefin,symphony
segad,sacred
segam,segment
segar,scrape
segax,section
segin,squint
segol,sculpture
segub,scab
segur,saw (cut)
sekal,sculpt
sekap,scape (scenery)
sekim,minimum
sekiq,ski
sekit,sweet
sekix,switch
sekod,skate
sekom,scamper
sekor,score
sekuk,around/surround
sekul,scalar (math)
selan,silt
selap,slope
selig,swell
selin,cylinder
selis,slice
seliv,salvage
selod,solid
seloq,slay
selor,slurp
seluk,weak
selun,slip
seluv,consecutive
semar,smart
semat,wholesome
semin,meson
semol,mile
semon,seminar
senan,conscientious
senas,snot
senic,synthetic
senij,singe
senit,insinuate
senor,sane
senox,censure
senuk,snicker
senun,sentence (ruling)
senuz,essence
sepag,spectacle
sepal,spill
sepan,spy
sepas,coherent
sepor,spread
sepot,support
sepul,speckle
sepun,sponge (animal)
sepup,swipe
seram,creep
serat,stability
serof,surface
serol,sale
seron,circumvent
seroz,series
sesak,sex
sesim,fraction
setaC,slate
setam,stem
setaq,strangle
setar,satire
setat,status
setax,stretch
setig,scent
setin,stain
setis,cetacea
setiv,stay
setof,safe
setol,stale
seton,station
setop,pomegranite
setud,sad
setuj,stranger
setum,stamp
setur,stray
seval,civil
sevor,savor
sevuv,save
sewit,silhouette
sexit,satiate
seyot,slight
sezis,sass
sezoz,also
sibar,sweep
sibat,mackerel
siben,seep
sibol,splinter
sibon,spear
sibud,spearhead
sibur,spring (tool)
siCag,seethe
siCan,page
siCor,truncate
sidal,still
sidan,obsidian
sidem,streamline
sideq,sting
sidex,situate
sidor,string
sidot,asymptote
sidul,sterile
sidup,steep
sidus,insidious
sifam,service
sifar,hypothesis
sifov,perceive
sigab,scribble
sigam,scream
sigar,swig
sigax,sink
sigek,percept
sigen,subsequent
sigur,cigarette
sigut,execute
sikaf,sycophant
sikak,seek
sikal,skill
sikan,skin
sikaz,squeeze
siked,cicada
sikex,sanction
sikoj,skit
sikor,screen (display)
sikul,squeal
sikuv,refusal
silak,select
silan,seal (connect)
silen,silence
silep,sleep
siles,pardon
silob,garment
siloj,bush
silom,submit
siloq,ceiling
silor,slaughter
silug,slog
silun,science
simad,smidgin
simaq,seem
simar,similar
simen,simultaenous
simep,simplex
simol,smell
simon,indicate
simos,symbiosis
sinak,sneak
sinal,assimilate
sinan,sneer
sinas,synthesize
sined,saint
sinom,syndrome
sinor,senior
sinuf,sniff
sinug,disintegrate
sipal,split
sipan,sip
sipap,asleep
sipas,cypress
sipet,spit
sipod,contest
sipor,tale
sipuk,complication
sipul,splutter
sipun,deck
siraC,slither
sirad,sardonic
sirar,circumscribe
siret,rent
sirok,circuit
sirol,cereal
siron,carcinogenesis
siroz,sear
sisal,sizzle
sisan,easy-going
sisor,cyst
sisot,sister
sitad,precipitate
sitam,steam
sitaq,stink
sitar,city
sitax,second (time)
siten,stringent
sitep,stripe
sites,citrus
sitof,stifle
sitok,stick (plant)
sitol,still (motion)
situb,stipulate
situm,stump (baffle)
situr,slack
siveC,roast
sivor,sever
sivuv,spinning top
siyan,slender
sizat,persistence
sizen,season (period)
sizol,fringe
sizoz,peace
sobad,subside
sobar,sob
sobes,substance
sobit,swab
sobol,splatter
sobub,I
sobur,spatter
soCal,weld
sodal,stoic
sodap,stereotype
sodej,suggest
sodet,pierce
sodod,startle
sodor,saunter
soduk,stomach
sodun,stand out
sofar,saffron
sofek,suffocate
sogam,convenient
sogar,squirrel
sogat,boast
sogeg,reason
sogur,scorn
sokal,skulk
sokan,sciuridae (squirrel)
sokeq,scurry
sokik,psychic
sokin,spectate
sokoC,opinion
sokoq,cease
sokor,soak
sokot,difficult
sokox,scorch
sokul,school
sokun,skew
sokup,scoop
sokuz,excuse
solag,slug (animal)
solan,swollen
solas,celsius
solek,torn
solen,silk
solez,slosh
soliC,therefore
solid,swing
soliq,sew
solix,wish
solom,slow
solor,swarm
solot,nightmare
solox,slouch
solun,soon
solup,swap
somab,resemble
somar,smirk
somax,assumption
somek,smack
somid,smite
somog,smuggle
somol,smilodon
sonag,snag
sonal,snub
sonan,blank
sonex,accentuate
sonik,sink (down)
sonis,sensitive
sonom,snow
sonor,s sound
sonot,snort
sonus,censor
sopak,spike
sopal,spoil
sopan,spur
sopaz,surprise
soped,rivalry
sopin,spurn
sopis,species
sopor,sperm
sopul,splendor
soram,surmise
sored,serenade
sorem,sun month
sorin,surgery
soris,exorcise
sorog,recent
soros,current (river)
sorum,some
sorur,out
sorut,search
soset,solicit
sosuk,conflict
sotab,stub (toe)
sotam,stomata
sotar,stark
sotek,mistake
soten,send off
sotid,seed
sotim,strum
sotix,astonish
sotol,stroll
soton,stone
sotuC,coefficient
sotum,install
sotur,storm
sotut,stationary
sotux,set (math)
soxal,social
sozok,bass (fish)
subal,sublet
subet,spurt
subis,splice
subod,subsidize
subor,spar
suCiq,sooth
sudar,starve
sudat,sled
sudij,stochastic
sudol,stew
sudon,somewhat (pseudo-)
sudop,strip
sufis,speculate
sugag,beyond (extra- or hyper-)
sugal,scald
sugan,scrutinize
sugin,scrutiny
sugor,sue
sugot,surrogate
sukam,scrotum
sukar,scrawl
sukax,keen
suken,screw
sukid,succeed (come next)
sukol,scroll
sulab,slab
sulin,swoon
sulip,swoop
suliz,trivial
sulog,slug
sulon,slew
sumak,smoke
sumal,shock
suman,sum (addition)
sumeC,smooth
sunam,soy
sunar,charming
sunef,snuff
sunek,sign up
sunid,neat
sunix,sandwich
supad,sap (tree)
supam,supervise
supar,sprout
supit,throb
supok,spoke (wheel)
supol,supplant
supon,sponsor
surak,stare
sural,circulate
suran,sour
suras,face (surface)
surav,survive
suren,servant
surep,surpass
surit,tape
susib,associate
sutak,strike
sutal,stealth
sutan,stow
sutas,soot
suted,stride
sutip,stocky (build)
sutob,stubble
sutom,stomp
sutor,story
suvar,relish
suxov,dear
tabal,spice (action)
tabis,tapestry
tabob,stable
taboc,gazelle
taCar,apologize
tadad,term
tadar,develop
tadax,touch
taden,tarnish
tadep,trapezoid
tades,transpire
tadev,chide
tadij,experiment
tadit,sibling
tadol,tattle
tadon,trunk (tree)
tafik,duty
tagal,toggle
tagan,tack
tagap,adopt
tagav,comment
taget,tact
tagin,fry
tagiz,budget
tagod,corporation
tagor,tug
tagul,compensation
tagun,antagonize
tajal,material
tajan,chance
tajas,check in
tajeq,pale
tajet,future
tajin,migrate
tajod,dismal
tajor,charge (electricity)
tajox,soggy
tajuk,check out
tajul,tide
tajun,propagate
takar,investigate
takat,interrogate
takax,chisel
taken,correct
takes,ceremony
takev,take off
takij,talk over
takim,respect (object)
takol,tackle
takon,octopus
takur,incident
talaC,spell (charm)
talaq,talent
talat,toilet
talax,tout
talik,twirl
talin,tally
taliz,translate
talon,towel
talop,satisfy
talur,tire (car)
tamal,transcribe
taman,price
tamem,meditate
tamik,incentive
tamin,contaminate
tamis,stimulate
tamor,date (fruit)
tamot,tumultuous
tamul,lyrics
tamun,tampon
tamup,temperature
tanaq,candid
tanat,twin
taneg,transduction
tanen,attention
tanez,naive
tanib,fir (tree)
tanim,sweet (emotion)
taniq,snoop
tanix,elastic
tanol,tunnel
tanon,tendency
tanos,tense
tanum,wire
tanur,tensor
tapar,apple
tapek,topic
tapim,coordinate (action)
tapur,tamper
tarag,10^42
taral,trail
taras,torus
tarav,travel
tarek,track (path)
taren,neutrino
tarez,reptile
tariC,truce
tarid,cod (fish)
tarim,hibernation
tariq,truss
tarix,sketch
tarom,translation
taroq,triangle
taror,terror
tarot,tolerate
tarox,torsion
tarul,trot
tarun,transform
tarup,topology
taruz,thrush (bird)
tasaj,toss
tasam,testament
tasar,churn
tasim,delineate
tasit,tacit
tasok,lake
tasol,tassel
tasos,task
tatag,turtle
tatal,spade
tatej,taunt
tatik,contradict
tator,totter
tatox,attach
tatul,tattoo
tavur,sanitation
tavut,tuck
taxam,moon month
taxaq,reimburse
taxar,item
taxat,chart
taxeg,chug
taxen,chant
taxez,100
taxib,chub
taxim,charm
taxiq,mild
taxix,gasp
taxol,shell
taxon,confess
taxop,chip
taxos,huddle
taxud,menu
taxum,tissue
taxuq,admit
taxux,intuition
tazak,intersect
teCor,tether
tedal,equator
tedan,transcend
tedas,tend (to tend to)
tedic,tread
tedid,vowel i sound
tediq,livid
tefar,stitch
tegin,technique
tegok,dare
tegol,tangle
tejad,outcast
tejaq,frail
tejar,shrill
tejin,premise
tejip,chop
tejok,chocolate
tejon,legacy
tejur,char
tejux,statement
tekal,twinkle
tekan,standard
tekas,rodentia
tekiq,take care of
tekit,aim
tekod,trek
tekuk,caribou
telan,fin
telap,bid
telas,tall
telig,dodge
telin,defiant
teliz,transfix
telod,t sound
telom,abyss
telor,tailor
teluf,phone
teluk,chin
telun,rail (track)
temat,intimidate
temop,tempo
temur,temper
tenal,potential
tenan,tenant
tenit,tiny
tenor,taint
tenuk,tank (do bad)
tenul,turbulent
tepor,taper
tepot,teleport
tepup,impure
teraj,trudge
teram,trauma
teraq,tranquil
terar,rumble
terat,deteriorate
teriq,tea
terix,tetration
terol,terrible
teron,tyrrany
terop,interpolate
teros,trace
terov,turn on
terud,west
terum,trombone
terur,tractor
terux,tortuous
tesak,tesseract
tesal,tessellation
tesan,fig
tesim,symptom
tetaj,sharp
tetar,tatter
tetig,treaty
tetuq,ache
tetux,quit
texaf,deficient
texal,reassure
texan,defect
texap,chipper
texaz,precursor
texim,dreary
texiq,q sound
texit,shit
texix,bias
texod,thorough
texom,chamber
texoq,commit
texor,moreover
texuk,garage
texul,mastermind
texun,chasten
texus,chase
tezik,frustrate
tibar,tip
tidag,trigger
tidas,tedious
tidec,tint
tidot,signal
tifof,trickle
tigek,take
tigos,tiger
tigur,odd
tigut,intricate
tijab,innocent
tijam,strange
tijaq,jiggle
tijar,cherry
tijen,chicken
tijon,bronze
tijuq,frivolity
tijur,flimsy
tijut,cheat
tikak,tick (sound)
tikal,tickle
tikan,slit
tiked,extricate
tikul,tweak
tilak,strategy
tilan,bother
tilor,minor
timad,timid
timaq,teem
tinak,toy
tined,teenager
tinem,tin
tinoj,tinge
tipet,pungent
tipor,trip (fall)
tipul,tiptoe
tipun,case (law)
tirad,towards
tiraj,treasure
tiram,triumph
tirar,TRUE
tirem,terminate
tiret,trait
tirex,treat
tirok,slam
tirol,trial
tiron,noob
tiros,interest
tirux,trash
tisal,tesla (measurement)
tisan,testify
tisup,intersperse
titar,titration
titum,pose (question)
titux,teach
tixaf,diligent
tixak,check
tixaz,resign
tixeq,tick (step)
tixex,charity
tixoj,lasting
tixor,cheer
tixug,undulate
tixul,gear
tixus,climate
tizur,tease
todal,channel
todan,turn down
todap,introspect
todaz,turd
todet,acquire
todig,tardigrada
todin,turn up
todoq,nudge
todus,introduce
tofef,tap
tojar,chirp
tojim,reek
tokal,chuckle
tokik,structure
tokus,easy
tolan,trance
tolen,turn off
tolot,twilight
tolul,excellence
tolun,transmute
tomut,anguish
tonal,flux
toniz,blanket
torab,tribe
toram,speculation
toraq,uncountably large
tored,trade
torej,tear (paper)
torem,term (language)
torin,tour
torip,trap
toriz,concentrate
torol,trouble
toron,turn
toruj,interject
torum,spectrum
toruq,tart
torur,turf
torut,tight
tosap,trespass
toset,taste
tosig,plover (bird)
tosuk,retrieve
totiq,sympathy
tovak,moose
toxag,supervisor
toxal,traverse
toxan,prospect
toxas,perspire
toxeb,differential
toxem,clever
toxif,differentiate
toxik,chuck
toxin,seat
toxiz,skirt
toxom,pursue
toxoq,pet
toxor,saturate
toxot,loose
toxox,longevity
toxul,actual
toxun,sneeze
toxup,rude
toxuz,choose
tozoz,position (cardinal)
tubet,tabulate
tuCen,set off
tucig,set up
tudat,incite
tudim,schematic
tufan,tuff (rock)
tufor,interfere
tugik,ivory
tujal,chill
tujan,powder
tujik,dispose
tujin,correspond
tujis,chastity
tujor,charter
tujot,chew
tukid,torque
tukol,flinch
tukon,technology
tular,totalitarian
tulin,competition
tulos,torso
tunar,tow
tupad,torpedo
turaf,prey
turak,trick
tural,exercise
turaz,tear (cry)
turep,tarp
tures,trust
turoj,trajectory
tusat,toast (action)
tutal,total
tuxab,rowdy
tuxaq,bit (small amount)
tuxar,cheer up
tuxax,tribute
tuxek,reserve
tuxen,originality
tuxes,trend
tuxid,ascertain
tuxim,spring (water)
tuxiq,substantiate
tuxol,flood
tuxon,mellow
vabal,confuse
vacik,catch up
vadar,descent
vadek,verdict
vagak,multiply
vagis,vaccine
vagor,vine
vakad,avocado
vaken,crooked
vakiq,vie
vakit,evacuate
valad,valid
valam,its
valar,volunteer
valem,valley
valet,evaluate
valex,embarrass
valig,flag
valol,vial
valon,venus
valov,evolve
valum,volume (math)
vanad,vandalize
vanar,veneer
vanax,adventure
vanep,vane
vanit,archaea
vanok,cow
vanol,vinyl
vapaq,interface (computing)
vapar,evaporate
varan,vibrant
varaz,forest
varen,vary
varim,stop
varod,elevate
varoj,average
varom,circumference
varuk,syllable
varun,ocean
vasar,disperse
vasax,stir
vasek,vascular
vasen,breadth
vases,aspect
vasev,genuine
vasid,vice
vasum,wealth
vasut,vast
vatal,revitalize
vataz,reinforce
vatet,validate
vatig,vet
vatuv,vault
vavix,vivacious
vawit,domesticate
vazor,visor
vedaz,vent
vedoj,vegetable
vegin,vague
vekak,lemming
vekix,vacation
velan,valence
vemip,vampire
venak,venue
venal,eventual
venas,vein
venor,venerate
venox,venture
vepor,vapor
veram,vomit
verit,ward (off)
verok,electron
veron,variation
vesan,vest (let sit)
vesas,versus
vetar,vector (math)
