head,marks,gloss
刨,6,"carpenter's plane"
攤,6,"spread something out"
痘,6,"smallpox"
鞘,6,"scabbard"
馏,6,"distill"
蓬,6,"type of raspberry"
煩,6,"agitated"
痰,6,"phlegm"
療,6,"treat"
脓,6,"pus"
鳚,6,"general term of a kind of fish"
鹨,6,"Anthus species"
汞,6,"mercury"
傻,6,"foolish"
啉,6,"stupid"
驼,6,"a camel"
抽,6,"draw out"
渴,6,"thirsty"
烏,6,"crow"
唧,6,"chirping of insects"
苞,6,"a variety of rush"
攘,6,"seize"
獨,6,"alone"
黎,6,"numerous"
夢,6,"dream"
圃,6,"garden"
坎,6,"pit"
坯,6,"dam"
欄,6,"railing"
崩,6,"die - of an emperor"
埕,6,"a large"
廠,6,"shack"
某,6,"certain thing or person"
臟,6,"internal organs"
谣,6,"sing"
梳,6,"comb"
縫,6,"sew"
孩,6,"baby"
惹,6,"irritate"
爺,6,"father"
牯,6,"cow"
續,6,"continue"
煎,6,"fry"
肋,6,"ribs"
鳍,6,"fin"
檐,6,"eaves of house"
韻,6,"sweet music"
皱,6,"wrinkles"
紋,6,"line"
枋,6,"sandalwood"
姦,6,"evil"
晦,6,"dark"
帳,6,"tent"
帚,6,"broom"
秧,6,"rice seedlings"
鮮,6,"seafood"
朔,6,"first day of lunar month"
矾,6,"alum"
杏,6,"almond"
脯,6,"dried meat"
庐,6,"hut"
箬,6,"cuticle of the bamboo a broad-leaved bamboo"
履,6,"footwear"
焊,6,"weld"
渍,6,"soak"
狸,6,"fox"
棕,6,"hemp palm"
獾,6,"badger"
醬,6,"sauce or paste made of fermented beans"
但,5,"only"
够,5,"enough"
睛,5,"eyeball"
冒,5,"risk"
朵,5,"cluster of flowers"
择,5,"select"
找,5,"find"
傅,5,"tutor"
均,5,"equal"
泼,5,"pour"
竟,5,"finally"
励,5,"strive"
绸,5,"silk cloth"
央,5,"center"
旬,5,"ten-day period"
享,5,"enjoy"
胁,5,"ribs"
践,5,"trample"
锐,5,"sharp"
摄,5,"take in"
挤,5,"squeeze"
豫,5,"relaxed"
烛,5,"candle"
吵,5,"argue"
沛,5,"abundant"
扭,5,"turn"
俭,5,"temperate"
侨,5,"sojourn"
诫,5,"warn"
尝,5,"taste"
叨,5,"talkative"
肆,5,"indulge"
协,5,"be united"
屿,5,"island"
旱,5,"drought"
启,5,"open"
拓,5,"expand"
滚,5,"turn"
缚,5,"tie"
侠,5,"chivalrous person"
抹,5,"smear"
辖,5,"linchpin of wheel"
哑,5,"dumb"
怯,5,"lacking in courage"
谬,5,"error"
御,5,"drive"
恕,5,"forgive"
宰,5,"slaughter"
措,5,"place"
佑,5,"help"
毅,5,"resolute"
贿,5,"bribe"
贩,5,"peddler"
鹅,5,"goose"
蕴,5,"collect"
慌,5,"nervous"
贞,5,"virtuous"
赐,5,"give"
拒,5,"ward off with hand"
敛,5,"draw back"
涡,5,"swirl"
荫,5,"shade"
畔,5,"boundary path dividing fields"
愈,5,"more and more"
涛,5,"large waves"
继,5,"continue"
蕾,5,"buds"
窍,5,"hole"
槛,5,"threshold"
維,5,"tie"
亥,5,"twelfth earthly branch"
巳,5,"sixth earthly branch"
酉,5,"a wine vessel"
峦,5,"mountain range"
砧,5,"anvil"
缴,5,"deliver"
貢,5,"pay tribute"
倾,5,"upset"
崽,5,"a child"
幫,5,"sides of an object"
锚,5,"anchor"
濟,5,"cross a river"
盡,5,"end"
肖,5,"look like"
該,5,"contain"
詳,5,"detailed"
適,5,"go"
戌,5,"eleventh earthly branch"
醚,5,"ether"
髻,5,"hair rolled up in a bun"
坚,5,"hard"
韩,5,"fence"
饱,5,"eat heartily"
乌,5,"crow"
從,5,"follow"
鸫,5,"thrush"
希,5,"rare"
乖,5,"rebel"
戾,5,"perverse"
窜,5,"run away"
钵,5,"earthenware basin"
淨,5,"pure"
鍋,5,"cooking pot"
仑,5,"logical reasons"
霄,5,"sky"
絕,5,"break off"
纏,5,"wind"
炙,5,"roast"
渎,5,"ditch"
敷,5,"spread"
姜,5,"ginger"
俠,5,"chivalrous person"
錶,5,"watch"
賤,5,"cheap"
蝕,5,"corrode"
亩,5,"Chinese land measure"
墒,5,"wet"
齡,5,"age"
譽,5,"fame"
鴿,5,"pigeon"
買,5,"buy"
厭,5,"be satisfied"
轧,5,"crush by weight"
執,5,"hold in the hand"
歡,5,"happy"
竊,5,"steal"
睨,5,"look askance at"
鹫,5,"condor"
錐,5,"awl"
戟,5,"halberd with crescent blade"
莱,5,"goosefoot"
遭,5,"come across"
樽,5,"goblet"
赘,5,"unnecessary"
僕,5,"servant"
廁,5,"toilet"
總,5,"collect"
鳴,5,"cry"
疚,5,"chronic disease"
踝,5,"ankle"
鲽,5,"flatfish"
掛,5,"hang"
橇,5,"a sledge for transportation"
僵,5,"stiff and motionless"
惶,5,"fearful"
巡,5,"patrol"
螂,5,"mantis"
莫,5,"do not"
頸,5,"neck"
桨,5,"oar"
減,5,"decrease"
囟,5,"top of the head"
終,5,"end"
腊,5,"year-end sacrifice"
剿,5,"destroy"
蘿,5,"creeping or trailing plants"
遽,5,"suddenly"
蹤,5,"footprint"
六,5,"six"
燭,5,"candle"
芬,5,"fragrance"
薑,5,"ginger"
梭,5,"weaver's shuttle"
荽,5,"coriander"
駝,5,"camel"
锣,5,"gong"
鄰,5,"neighbor"
宣,5,"declare"
刹,5,"temple"
逗,5,"tempt"
嚷,5,"shout"
獸,5,"beast"
惱,5,"be angered"
卓,5,"profound"
璧,5,"piece of jade with hole in it"
儀,5,"ceremony"
構,5,"form"
胚,5,"embryo"
喃,5,"keep talking"
笨,5,"foolish"
噸,5,"Classifier for metric ton."
岫,5,"mountain peak"
喘,5,"pant"
軟,5,"soft"
鬆,5,"disheveled"
沒,5,"not have"
蛆,5,"maggots"
揣,5,"put things under clothes"
漲,5,"rise"
篱,5,"bamboo or wooden fence"
鲹,5,"a horse mackerel"
拖,5,"haul"
鋪,5,"spread out"
疽,5,"ulcer"
褥,5,"mattress"
拗,5,"pull"
準,5,"water-level"
倌,5,"assistant in wine shop"
舆,5,"cart"
鴉,5,"crow"
雉,5,"pheasant"
啤,5,"beer"
酚,5,"carbolic acid"
阑,5,"door screen"
嬸,5,"paternal aunt"
銃,5,"blunderbuss"
鹏,5,"fabulous bird of enormous size"
馅,5,"pastry filling"
黛,5,"blacken eyebrows"
誕,5,"be born"
姬,5,"beauty"
侍,5,"serve"
紗,5,"yarn"
遺,5,"lose"
孜,5,"be as diligent as possible"
孤,5,"orphan"
蟻,5,"ant"
轿,5,"sedan-chair"
翰,5,"writing brush"
荆,5,"thorns"
驻,5,"be stationed at"
槭,5,"maple"
樱,5,"cherry"
鸿,5,"species of wild swan"
鉤,5,"hook"
邃,5,"profound"
蔓,5,"creeping plants"
掇,5,"collect"
隐,5,"hide"
蚌,5,"oysters"
