char,english,pinyin,hsk,total,as_head,as_mark,role
伐,"cut down, subjugate, attack",fá,6,5,0,5,mark only
糠,"chaff, bran, husks",kāng,,5,0,5,mark only
贫,"poor, impoverished, needy",pín,6,5,0,5,mark only
刻,"carve, engrave",kè,2,5,0,5,mark only
芬,"fragrance, aroma",fēn,,5,0,5,mark only
劝,"recommend, advise, urge",quàn,5,5,0,5,mark only
弧,"arc",hú,,5,0,5,mark only
耿,"bright, shining",gěng,,5,0,5,mark only
季,"quarter of year",jì,3,5,0,5,mark only
箐,"draw a bamboo bow or crossbow",qìng,,5,0,5,mark only
页,"page",yè,1,5,0,5,mark only
楚,"name of feudal state",chǔ,3,5,0,5,mark only
啮,"bite, gnaw",niè,,5,0,5,mark only
敏,"fast, quick, clever, smart",mǐn,5,5,0,5,mark only
俯,"bow down, face down, look down",fǔ,6,5,0,5,mark only
洮,"cleanse",táo,,5,0,5,mark only
耐,"endure, bear",nài,7,5,0,5,mark only
庄,"village, hamlet",zhuāng,6,5,0,5,mark only
图,"chart, map, picture",tú,3,5,0,5,mark only
遵,"obey, comply with, follow",zūn,5,5,0,5,mark only
紧,"tense, tight, taut",jǐn,3,5,0,5,mark only
冕,"crown",miǎn,,5,0,5,mark only
左,"left",zuǒ,1,5,0,5,mark only
法,"law, rule, regulation, statute",fǎ,4,5,0,5,mark only
姚,"handsome, elegant",yáo,,5,0,5,mark only
绥,"soothe, appease, pacify",suī,,5,0,5,mark only
埔,"plain, arena",bù,,5,0,5,mark only
浚,"dredge",jùn,,5,0,5,mark only
章,"chapter",zhāng,6,5,0,5,mark only
漾,"overflow",yàng,,5,0,5,mark only
濞,"a county in Yunnan",bì,,5,0,5,mark only
成,"completed, finished, fixed",chéng,2,5,0,5,mark only
污,"filthy, dirty, impure, polluted",wū,4,5,0,5,mark only
萎,"wither, wilt",wěi,6,5,0,5,mark only
肇,"begin, commence, originate",zhào,,5,0,5,mark only
正,"upright",zhèng,1,5,0,5,mark only
宇,"house",yǔ,6,5,0,5,mark only
并,"equal to",bìng,3,4,2,2,both
昂,"rise, raise",áng,6,4,2,2,both
凯,"triumphant",kǎi,,4,1,3,both
桧,"Chinese cypress, Chinese juniper",guì,,4,1,3,both
范,"bee-like insect",fàn,5,4,2,2,both
残,"injure, spoil",cán,7,4,1,3,both
瓢,"ladle made from dried gourd",piáo,,4,1,3,both
护,"protect, guard, defend, shelter",hù,6,4,3,1,both
蔻,"肉豆蔻 nutmeg, 豆蔻 cardamon",kòu,,4,4,0,head only
性,"sex",xìng,3,4,2,2,both
馥,"fragrance, scent, aroma",fù,,4,2,2,both
嘉,"excellent",jiā,5,4,2,2,both
麟,"female of Chinese unicorn",lín,,4,2,2,both
鳔,"swimming bladder of fish",biào,,4,3,1,both
翻,"flip over, upset, capsize",fān,4,4,1,3,both
鸢,"kite",yuān,,4,3,1,both
时,"time, season",shí,2,4,2,2,both
涧,"brook, mountain stream",jiàn,,4,2,2,both
蔹,"wild vine, Vitis pentaphylla",liǎn,,4,3,1,both
霸,"rule by might rather than right",bà,6,4,1,3,both
见,"see, observe, behold",jiàn,1,4,3,1,both
链,"chain",liàn,5,4,3,1,both
蝗,"kind of locust",huáng,,4,4,0,head only
狸,"fox",lí,,4,2,2,both
舞,"dance",wǔ,5,4,3,1,both
料,"consider, conjecture",liào,6,4,2,2,both
卢,"cottage, hut",lú,,4,1,3,both
菁,"flower of leek family",jīng,,4,1,3,both
冻,"freeze",dòng,5,4,1,3,both
望,"look at, look forward",wàng,6,4,1,3,both
飘,"whirlwind, cyclone",piāo,5,4,2,2,both
莞,"smiling",guǎn,,4,2,2,both
蜈,"centipede",wú,,4,2,2,both
蚣,"centipede",gōng,,4,2,2,both
芙,"hibiscus",fú,,4,4,0,head only
鼓,"drum",gǔ,5,4,2,2,both
业,"profession, business",yè,6,4,1,3,both
獐,"roebuck, hornless river deer",zhāng,,4,3,1,both
熟,"well-cooked",shú,2,4,2,2,both
娘,"young girl",niáng,7,4,3,1,both
画,"painting",huà,2,4,3,1,both
雁,"wild goose",yàn,,4,1,3,both
偃,"cease, lay off, lay down",yǎn,,4,1,3,both
屈,"bend, flex",qū,5,4,4,0,head only
串,"string",chuàn,6,4,1,3,both
己,"self, oneself",jǐ,3,4,3,1,both
檗,"a cork tree",bò,,4,2,2,both
委,"appoint, send, commission",wěi,5,4,2,2,both
棣,"Kerria japonica, Japanese rose",dì,,4,2,2,both
枇,"loquat",pí,,4,1,3,both
杷,"loquat",pá,,4,1,3,both
积,"accumulate, store up, amass",jī,7,4,2,2,both
感,"feel, perceive, emotion",gǎn,4,4,1,3,both
留,"stop, halt",liú,2,4,1,3,both
奶,"woman's breasts",nǎi,1,4,3,1,both
患,"suffer, worry about",huàn,6,4,3,1,both
茱,"dogwood",zhū,,4,4,0,head only
槿,"hibiscus",jǐn,,4,4,0,head only
苘,"Indian mallow",qǐng,,4,3,1,both
梧,"Chinese parasol tree, Sterculia platanifolia",wú,,4,1,3,both
沉,"sink",chén,4,4,1,3,both
葶,"Draba nemerosa",tíng,,4,3,1,both
槲,"type of oak",hú,,4,2,2,both
阜,"mound",fù,,4,1,3,both
治,"govern, regulate, administer",zhì,4,4,1,3,both
息,"rest, put stop to, end, cease",xī,2,4,3,1,both
贞,"virtuous, chaste, pure",zhēn,,4,1,3,both
络,"enmesh, wrap around",luò,5,4,1,3,both
腹,"belly",fù,,4,2,2,both
脐,"abdominal area of crab",qí,,4,2,2,both
过,"pass, pass through, go across",guò,1,4,1,3,both
橐,"a sack, a bag opening at both ends",tuó,,4,3,1,both
蟹,"crab",xiè,,4,3,1,both
书,"book",shū,1,4,1,3,both
嵌,"inlay, set in",qiàn,6,4,1,3,both
钓,"fish",diào,5,4,1,3,both
市,"market, fair",shì,2,4,1,3,both
笠,"bamboo hat",lì,,4,1,3,both
态,"manner, bearing, attitude",tài,4,4,0,4,mark only
史,"history, chronicle, annals",shǐ,3,4,0,4,mark only
姆,"child's governess",mǔ,,4,0,4,mark only
饰,"decorate, ornament, adorn",shì,5,4,0,4,mark only
急,"quick, quickly",jí,2,4,0,4,mark only
臧,"good, right, generous",zāng,,4,0,4,mark only
汤,"soup",tāng,3,4,0,4,mark only
纺,"spin, reel, weave",fǎng,6,4,0,4,mark only
晚,"late",wǎn,1,4,0,4,mark only
插,"insert, stick into",chā,5,4,0,4,mark only
漳,"name of a river in Henan",zhāng,,4,0,4,mark only
堂,"hall",táng,7,4,0,4,mark only
荡,"pond, pool",dàng,6,4,0,4,mark only
砻,"grind, sharpen",lóng,,4,0,4,mark only
蕙,"species of fragrant orchid",huì,,4,0,4,mark only
畔,"boundary path dividing fields",pàn,6,4,0,4,mark only
班,"class, group, grade",bān,1,4,0,4,mark only
桥,"bridge",qiáo,3,4,0,4,mark only
痂,"scab",jiā,,4,0,4,mark only
谦,"humble, modest",qiān,5,4,0,4,mark only
承,"inherit, receive",chéng,5,4,0,4,mark only
坤,"earth",kūn,,4,0,4,mark only
赣,"Jiangxi province",gàn,,4,0,4,mark only
之,"marks preceding phrase as modifier of following phrase",zhī,4,4,0,4,mark only
奥,"mysterious, obscure, profound",ào,6,4,0,4,mark only
扬,"scatter, spread",yáng,7,4,0,4,mark only
吐,"spit",tǔ,5,4,0,4,mark only
场,"open space, field, market",chǎng,2,4,0,4,mark only
莽,"thicket, underbrush",mǎng,,4,0,4,mark only
植,"plant, trees, plants",zhí,4,4,0,4,mark only
谋,"plan, scheme",móu,6,4,0,4,mark only
侏,"small, little, tiny, dwarf",zhū,,4,0,4,mark only
迟,"late, tardy",chí,4,4,0,4,mark only
碟,"small dish, plate",dié,,4,0,4,mark only
柬,"letter, invitation",jiǎn,6,4,0,4,mark only
胎,"unborn child, embryo, fetus",tāi,7,4,0,4,mark only
觉,"wake up from sleep",jué,6,4,0,4,mark only
荣,"glory, honor",róng,5,4,0,4,mark only
务,"affairs, business",wù,2,4,0,4,mark only
施,"grant, bestow",shī,5,4,0,4,mark only
砾,"gravel, pebbles",lì,,4,0,4,mark only
潞,"a county in Yunnan",lù,,4,0,4,mark only
愉,"pleasant, delightful",yú,4,4,0,4,mark only
伸,"extend, stretch out, open up",shēn,5,4,0,4,mark only
楷,"model style of Chinese writing",kǎi,,4,0,4,mark only
潮,"wet",cháo,4,4,0,4,mark only
骞,"raise, hold high",qiān,,4,0,4,mark only
坑,"pit",kēng,6,4,0,4,mark only
炭,"charcoal",tàn,7,3,2,1,both
姿,"one's manner, carriage, bearing",zī,,3,1,2,both
缝,"sew",fèng,7,3,1,2,both
荟,"luxuriant, flourishing, abundant",huì,,3,3,0,head only
墙,"wall",qiáng,2,3,3,0,head only
睡,"sleep",shuì,1,3,3,0,head only
算,"count, calculate, figure",suàn,2,3,2,1,both
朴,"simple, unadorned",pǔ,6,3,2,1,both
依,"rely on, be set in",yī,7,3,2,1,both
柃,"Eurya japonica",líng,,3,1,2,both
檫,"sassafras tzumu",chá,,3,3,0,head only
健,"strong, robust, healthy",jiàn,3,3,1,2,both
蓿,"clover, lucerne",xu,,3,3,0,head only
肺,"lung",fèi,5,3,3,0,head only
沿,"follow a course, go along",yán,5,3,3,0,head only
龄,"age",líng,4,3,1,2,both
丫,"forked",yā,,3,1,2,both
洼,"hollow",wā,,3,1,2,both
菝,"Smilax",bá,,3,1,2,both
葜,"various species of the genus Smilax",qiā,,3,1,2,both
斛,"dry measure equal to some five or ten dou",hú,,3,3,0,head only
股,"thighs, haunches, rump",gǔ,6,3,3,0,head only
钳,"pincers, pliers, tongs",qián,,3,1,2,both
巢,"nest",cháo,6,3,1,2,both
炬,"torch",jù,,3,2,1,both
槌,"hammer, mallet",chuí,,3,1,2,both
笋,"bamboo shoots",sǔn,,3,3,0,head only
屎,"excrement, shit, dung",shǐ,,3,3,0,head only
芍,"peony",sháo,,3,1,2,both
勾,"hook, join, connect",gōu,7,3,2,1,both
蚊,"mosquito",wén,,3,3,0,head only
榼,"wine glass",kē,,3,1,2,both
兵,"soldier, troops",bīng,4,3,1,2,both
萌,"bud, sprout",méng,6,3,1,2,both
矿,"mine",kuàng,6,3,2,1,both
鹦,"parrot",yīng,,3,1,2,both
斧,"axe, hatchet",fǔ,,3,1,2,both
驴,"donkey",lǘ,,3,2,1,both
豌,"peas",wān,,3,2,1,both
腿,"leg",tuǐ,2,3,2,1,both
柊,"holly",zhōng,,3,3,0,head only
拂,"shake off, brush away",fú,,3,3,0,head only
薹,"Cyperus rotundus, nut grass",tái,,3,3,0,head only
篱,"bamboo or wooden fence",lí,,3,3,0,head only
毯,"rug, carpet, blanket",tǎn,5,3,2,1,both
蔗,"sugar cane",zhè,,3,2,1,both
模,"model, standard, pattern",mó,5,3,2,1,both
礼,"social custom",lǐ,5,3,2,1,both
筱,"dwarf bamboo",xiǎo,,3,2,1,both
竺,"India",zhú,,3,2,1,both
知,"know, perceive, comprehend",zhī,2,3,1,2,both
疮,"tumor, boil, sore, wound",chuāng,,3,3,0,head only
翁,"old man",wēng,,3,2,1,both
耧,"drill for sowing grain",lóu,,3,2,1,both
破,"break",pò,3,3,3,0,head only
桠,"forking branch of a tree",yā,,3,1,2,both
蔷,"rose",qiáng,,3,2,1,both
矾,"alum",fán,,3,2,1,both
葎,"Humulus japonicus",lǜ,,3,1,2,both
构,"frame, building, structure",gòu,5,3,3,0,head only
鹊,"magpie",què,,3,3,0,head only
糯,"glutinous rice",nuò,,3,2,1,both
瓟,"bottle-gourd",bó,,3,3,0,head only
响,"make sound, make noise",xiǎng,2,3,1,2,both
拐,"kidnap, abduct",guǎi,6,3,3,0,head only
力,"power, capability, influence",lì,3,3,1,2,both
芫,"Daphne genkwa",yán,,3,3,0,head only
桉,"eucalyptus",ān,,3,2,1,both
橄,"olive",gǎn,,3,1,2,both
栌,"supporting block",lú,,3,2,1,both
栾,"name of tree",luán,,3,1,2,both
茵,"a cushion, mattress",yīn,,3,1,2,both
棯,"jujube tree",rěn,,3,2,1,both
蚬,"a variety of bivalves",xiàn,,3,1,2,both
苈,"Draba nemorosa",lì,,3,2,1,both
菔,"turnip",fú,,3,1,2,both
菥,"pennycress",xī,,3,3,0,head only
蓂,"lucky place",míng,,3,3,0,head only
柚,"pomelo, grapefruit",yòu,,3,3,0,head only
杖,"cane, walking stick",zhàng,6,3,2,1,both
笼,"cage-like basket",lóng,6,3,2,1,both
钉,"nail",dīng,7,3,2,1,both
贼,"thief, traitor",zéi,6,3,2,1,both
咖,"coffee",kā,2,3,2,1,both
啡,"morphine",fēi,2,3,2,1,both
扣,"knock, strike, rap, tap",kòu,6,3,3,0,head only
止,"stop, halt, desist",zhǐ,5,3,1,2,both
牵,"drag, pull, lead by hand",qiān,5,3,3,0,head only
梣,"Chinese ash",chén,,3,1,2,both
幌,"curtain, cloth screen",huǎng,,3,2,1,both
茫,"vast, boundless, widespread",máng,6,3,1,2,both
薷,"Elshotria paltrini",rú,,3,1,2,both
薰,"a medicinal herb",xūn,,3,2,1,both
鬃,"mane",zōng,,3,1,2,both
把,"hold, take",bǎ,3,3,2,1,both
简,"simple, terse, succinct, a letter",jiǎn,3,3,1,2,both
迭,"repeatedly, frequently",dié,,3,1,2,both
雌,"female",cí,6,3,1,2,both
枪,"gun",qiāng,5,3,1,2,both
号,"mark, sign",hào,1,3,3,0,head only
照,"shine, illumine, reflect",zhào,3,3,1,2,both
莳,"transplant",shí,,3,1,2,both
芎,"a kind of herb",xiōng,,3,3,0,head only
蒡,"burdock, herb",bàng,,3,2,1,both
雏,"chick, fledging",chú,,3,1,2,both
凋,"be withered, fallen",diāo,,3,1,2,both
名,"name, rank, title, position",míng,2,3,1,2,both
紊,"confused, disorder",wěn,6,3,1,2,both
续,"continue, carry on",xù,7,3,2,1,both
败,"be defeated, decline, fail",bài,4,3,1,2,both
酱,"any jam-like or paste-like food",jiàng,6,3,1,2,both
满,"full",mǎn,2,3,1,2,both
扫,"sweep",sǎo,3,3,1,2,both
如,"if, supposing",rú,5,3,1,2,both
硫,"sulfur",liú,,3,1,2,both
芨,"Chinese ground orchid",jī,,3,2,1,both
迦,"character for transliteration",jiā,,3,1,2,both
炮,"large gun, cannon",pào,6,3,1,2,both
底,"bottom, underneath, underside",dǐ,4,3,1,2,both
瀑,"waterfall, cascade",pù,6,3,1,2,both
蚌,"oysters, mussels",bàng,,3,1,2,both
挪,"move, shift on one side",nuó,6,3,0,3,mark only
舒,"open up, unfold, stretch out",shū,3,3,0,3,mark only
幽,"quiet, secluded, tranquil",yōu,4,3,0,3,mark only
蠕,"squirm, wriggle",rú,,3,0,3,mark only
勃,"suddenly, sudden, quick",bó,6,3,0,3,mark only
莫,"do not, is not, can not",mò,6,3,0,3,mark only
倾,"upset, pour out, overflow",qīng,6,3,0,3,mark only
容,"looks, appearance",róng,3,3,0,3,mark only
司,"take charge of, control, manage",sī,2,3,0,3,mark only
浩,"great, numerous, vast, abundant",hào,,3,0,3,mark only
副,"assist",fù,5,3,0,3,mark only
祖,"ancestor, forefather",zǔ,6,3,0,3,mark only
资,"property",zī,4,3,0,3,mark only
论,"debate",lùn,4,3,0,3,mark only
甫,"begin",fǔ,,3,0,3,mark only
挝,"beat",wō,,3,0,3,mark only
槁,"wither",gǎo,,3,0,3,mark only
盟,"swear",méng,6,3,0,3,mark only
谢,"thank",xiè,1,3,0,3,mark only
筐,"bamboo basket or chest",kuāng,6,3,0,3,mark only
喇,"horn, bugle",lǎ,6,3,0,3,mark only
砚,"inkstone",yàn,,3,0,3,mark only
世,"generation",shì,3,3,0,3,mark only
凭,"lean on, depend on, rely on",píng,5,3,0,3,mark only
丕,"great, grand, glorious, distinguished",pī,,3,0,3,mark only
枕,"pillow",zhěn,6,3,0,3,mark only
匿,"hide",nì,,3,0,3,mark only
伴,"companion, comrade, partner",bàn,7,3,0,3,mark only
蔡,"species of tortoise",cài,,3,0,3,mark only
敦,"esteem",dūn,,3,0,3,mark only
烈,"fiery, violent, vehement, ardent",liè,5,3,0,3,mark only
裕,"abundant, rich, plentiful",yù,6,3,0,3,mark only
畸,"odd, fractional, remainder, odds",jī,,3,0,3,mark only
忽,"suddenly, abruptly",hū,5,3,0,3,mark only
韧,"strong and pliable, resilient",rèn,6,3,0,3,mark only
则,"rule, law, regulation",zé,5,3,0,3,mark only
沁,"soak into, seep in, percolate",qìn,,3,0,3,mark only
走,"go",zǒu,1,3,0,3,mark only
穹,"high and vast",qióng,,3,0,3,mark only
起,"rise, stand up",qǐ,1,3,0,3,mark only
箨,"bamboo sheath, bamboo shoots",tuò,,3,0,3,mark only
竖,"perpendicular, vertical",shù,6,3,0,3,mark only
超,"jump over, leap over",chāo,5,3,0,3,mark only
荏,"beans",rěn,,3,0,3,mark only
迪,"enlighten, advance",dí,,3,0,3,mark only
卓,"profound, brilliant, lofty",zhuó,6,3,0,3,mark only
堆,"heap",duī,5,3,0,3,mark only
经,"classic works",jīng,7,3,0,3,mark only
邛,"in distress",qióng,,3,0,3,mark only
崃,"mountain in Sichuan province",lái,,3,0,3,mark only
楣,"crossbeam above or under gate",méi,,3,0,3,mark only
扎,"stab",zhā,6,3,0,3,mark only
哀,"sad, mournful, pitiful",āi,6,3,0,3,mark only
牢,"prison",láo,6,3,0,3,mark only
柠,"lemon",níng,,3,0,3,mark only
牦,"tail",máo,,3,0,3,mark only
崂,"Laoshan, mountain in Shandong",láo,,3,0,3,mark only
蒗,"Ninglong Yi Autonomous County in Yunnan",làng,,3,0,3,mark only
政,"government, political affairs",zhèng,5,3,0,3,mark only
崩,"die - of an emperor",bēng,6,3,0,3,mark only
匀,"equal",yún,5,3,0,3,mark only
耗,"consume, use up",hào,7,3,0,3,mark only
沅,"name of a river in western Hunan that flows into",yuán,,3,0,3,mark only
枹,"drumstick",bāo,,3,0,3,mark only
漓,"short name for Guangxi province",lí,,3,0,3,mark only
癞,"leprosy, scabies, mange",lài,,3,0,3,mark only
游,"swim",yóu,2,3,0,3,mark only
彝,"Yi",yí,,3,0,3,mark only
庙,"temple, shrine",miào,7,3,0,3,mark only
衡,"measure, weigh, judge, consider",héng,5,3,0,3,mark only
峡,"gorge, strait, ravine",xiá,6,3,0,3,mark only
悦,"pleased",yuè,6,3,0,3,mark only
习,"practice",xí,1,3,0,3,mark only
配,"match, pair",pèi,3,3,0,3,mark only
遂,"comply with, follow along",suì,,3,0,3,mark only
婺,"a river and county in Jiāngxī",wù,,3,0,3,mark only
艺,"art",yì,4,3,0,3,mark only
秉,"grasp, hold",bǐng,,3,0,3,mark only
滔,"overflow",tāo,6,3,0,3,mark only
巍,"high, lofty, majestic, eminent",wēi,,3,0,3,mark only
痕,"scar",hén,6,3,0,3,mark only
嫩,"soft, tender, delicate",nèn,5,3,0,3,mark only
岚,"mountain mist, mountain haze",lán,,3,0,3,mark only
皋,"high land along a river",gāo,,3,0,3,mark only
芜,"luxurious growth of weeds",wú,,3,0,3,mark only
客,"guest, traveller",kè,1,3,0,3,mark only
邢,"state in today's Hebei",xíng,,3,0,3,mark only
渝,"change",yú,,3,0,3,mark only
宪,"constitution, statute, law",xiàn,6,3,0,3,mark only
友,"friend, companion",yǒu,1,3,0,3,mark only
厂,"factory, workshop",chǎng,3,3,0,3,mark only
汁,"juice, liquor, fluid, sap, gravy, sauce",zhī,7,3,0,3,mark only
筛,"sieve, filter, screen",shāi,7,2,2,0,head only
夭,"young, fresh-looking",yāo,,2,1,1,both
命,"life",mìng,5,2,1,1,both
逆,"disobey, rebel",nì,7,2,1,1,both
栅,"fence",zhà,,2,1,1,both
服,"clothes",fú,6,2,2,0,head only
买,"buy",mǎi,1,2,1,1,both
莼,"Brasenia schreberi",chún,,2,1,1,both
蕺,"Houttuynia cordata, fish mint",jí,,2,1,1,both
吹,"blow",chuī,2,2,2,0,head only
澄,"purify water by allowing sediment to settle",chéng,6,2,1,1,both
鳄,"alligator",è,,2,2,0,head only
魔,"demon, evil spirits",mó,6,2,2,0,head only
黛,"blacken eyebrows",dài,,2,1,1,both
麒,"legendary auspicious animal",qí,,2,2,0,head only
菘,"celery, cabbage",sōng,,2,2,0,head only
苜,"clover",mù,,2,2,0,head only
菅,"coarse grass, Themedia forskalii",jiān,,2,2,0,head only
手,"hand",shǒu,1,2,2,0,head only
烧,"burn",shāo,4,2,2,0,head only
吻,"kiss",wěn,5,2,2,0,head only
骕,"name of a famous horse",sù,,2,1,1,both
檵,"fringe flower , evergreen shrub",ji4,,2,1,1,both
唢,"flute-like musical instrument",suǒ,,2,2,0,head only
呐,"raise voice, yell out loud, shout",nà,,2,2,0,head only
锁,"lock",suǒ,5,2,2,0,head only
省,"province",shěng,2,2,2,0,head only
决,"decide, determine, judge",jué,3,2,2,0,head only
楹,"column, pillar",yíng,,2,2,0,head only
骆,"a white horse with black mane",luò,,2,2,0,head only
蝙,"bat",biān,,2,2,0,head only
蝠,"bat",fú,,2,2,0,head only
耀,"shine, sparkle, dazzle",yào,6,2,2,0,head only
拔,"uproot, pull out",bá,5,2,1,1,both
黧,"a dark, yellowish colour",lí,,2,1,1,both
饿,"hungry",è,1,2,2,0,head only
排,"row",pái,2,2,2,0,head only
翡,"kingfisher",fěi,,2,1,1,both
榈,"palm",lǘ,,2,2,0,head only
芭,"plantain or banana palm",bā,,2,1,1,both
涌,"surge up, bubble up, gush forth",yǒng,7,2,1,1,both
荸,"water chestnut",bí,,2,2,0,head only
割,"cut",gē,6,2,2,0,head only
箬,"cuticle of the bamboo a broad-leaved bamboo",ruò,,2,2,0,head only
穇,"deccan grass, a barnyard grass",cǎn,,2,1,1,both
求,"seek",qiú,2,2,2,0,head only
荩,"a kind of weed",jìn,,2,2,0,head only
以,"by means of",yǐ,4,2,2,0,head only
粱,"better varieties of millet",liáng,,2,2,0,head only
乱,"confusion, state of chaos, revolt",luàn,3,2,1,1,both
粽,"dumpling made of glutinous rice",zòng,,2,1,1,both
伪,"false, counterfeit, bogus",wěi,6,2,2,0,head only
锋,"point of spear, sharp point",fēng,6,2,1,1,both
摩,"rub, scour, grind",mó,5,2,1,1,both
秤,"balance, scale, steelyard",chèng,6,2,2,0,head only
盏,"small cup or container",zhǎn,7,2,2,0,head only
菟,"dodder",tù,,2,2,0,head only
栏,"railing, balustrade",lán,6,2,1,1,both
栒,"cross bar",xún,,2,1,1,both
颓,"ruined, decayed",tuí,,2,1,1,both
签,"sign, endorse",qiān,5,2,2,0,head only
颜,"face, facial appearance",yán,2,2,2,0,head only
苎,"china grass, ramie",zhù,,2,1,1,both
枥,"type of oak",lì,,2,1,1,both
橡,"chestnut oak",xiàng,4,2,1,1,both
守,"defend, protect, guard, conserve",shǒu,4,2,2,0,head only
柞,"oak",zhà,,2,2,0,head only
旌,"banner or flag adorned with feathers",jīng,,2,1,1,both
檨,"mango",shē,,2,1,1,both
杧,"mango",máng,,2,2,0,head only
韶,"music of the emperor Shun",sháo,,2,2,0,head only
瘿,"swelling, goiter",yǐng,,2,1,1,both
担,"carry, bear, undertake",dān,7,2,2,0,head only
胖,"fat, obese",pàng,3,2,1,1,both
荛,"fuel, firewood",ráo,,2,1,1,both
忍,"endure, bear, suffer",rěn,5,2,1,1,both
垒,"rampart, military wall",lěi,,2,1,1,both
娑,"dance, frolic",suō,,2,2,0,head only
蔊,"Nasturtium montanum",hǎn,,2,1,1,both
群,"group",qún,3,2,2,0,head only
涩,"astringent",sè,6,2,1,1,both
柽,"type of willow",chēng,,2,1,1,both
娃,"baby",wá,6,2,2,0,head only
膏,"grease, fat",gāo,4,2,1,1,both
孩,"baby, child",hái,2,2,2,0,head only
缬,"patterned silk",xié,,2,2,0,head only
珙,"precious stone",gǒng,,2,1,1,both
考,"examine, test",kǎo,1,2,1,1,both
柿,"persimmon",shì,4,2,1,1,both
藦,"edible mushrooms",mó,,2,2,0,head only
犀,"rhinoceros",xī,,2,1,1,both
皿,"shallow container",mǐn,,2,1,1,both
蛾,"moth",é,,2,1,1,both
鸳,"male mandarin duck",yuān,,2,1,1,both
鸯,"female mandarin duck",yāng,,2,1,1,both
麝,"musk deer",shè,,2,1,1,both
枯,"dried out, withered, decayed",kū,6,2,1,1,both
芩,"Phragmites japonicus",qín,,2,1,1,both
苁,"Cistanche deserticola, desert-broomrape",cōng,,2,2,0,head only
肝,"liver",gān,6,2,1,1,both
音,"sound, tone, pitch, pronunciation",yīn,3,2,2,0,head only
消,"vanish, die out",xiāo,7,2,2,0,head only
梁,"beam",liáng,6,2,1,1,both
党,"political party, gang, faction",dǎng,6,2,2,0,head only
腔,"chest cavity",qiāng,7,2,1,1,both
尚,"still, yet",shàng,7,2,2,0,head only
珀,"amber",pò,,2,1,1,both
还,"also",hái,1,2,2,0,head only
术,"art, skill, special feat",shù,4,2,1,1,both
莴,"lettuce",wō,,2,2,0,head only
茼,"Chrysanthemum coronarium",tóng,,2,2,0,head only
荬,"a plant name",mǎi,,2,2,0,head only
卤,"salt",lǔ,,2,2,0,head only
戴,"wear on top",dài,4,2,1,1,both
蟛,"a land-crab",péng,,2,2,0,head only
蜞,"a kind of crab",qí,,2,2,0,head only
联,"connect, join",lián,4,2,1,1,both
驱,"spur a horse on",qū,6,2,1,1,both
蘋,"water clover; clover fern",pín,,2,2,0,head only
峭,"steep, precipitous, rugged",qiào,6,2,1,1,both
了,"finish",le,1,2,1,1,both
缀,"patch together, link, connect",zhuì,6,2,2,0,head only
瓮,"earthen jar",wèng,,2,1,1,both
织,"weave, knit",zhī,6,2,1,1,both
狄,"tribe from northern China",dí,,2,1,1,both
龟,"turtle or tortoise",guī,7,2,1,1,both
电,"electric",diàn,1,2,1,1,both
许,"allow, permit",xǔ,7,2,0,2,mark only
集,"assemble, collect together",jí,5,2,0,2,mark only
娇,"seductive and loveable",jiāo,6,2,0,2,mark only
佐,"assist, aid, second",zuǒ,,2,0,2,mark only
曹,"ministry officials",cáo,,2,0,2,mark only
父,"father",fù,4,2,0,2,mark only
滴,"drip",dī,5,2,0,2,mark only
幼,"infant, young child",yòu,5,2,0,2,mark only
迈,"take a big stride",mài,6,2,0,2,mark only
崛,"towering, eminent",jué,,2,0,2,mark only
椆,"species of tree resistant to cold weather",chóu,,2,0,2,mark only
沐,"bathe, cleanse, wash, shampoo",mù,6,2,0,2,mark only
刨,"carpenter's plane",páo,7,2,0,2,mark only
册,"book, volume",cè,5,2,0,2,mark only
攸,"distant, far",yōu,,2,0,2,mark only
鹞,"sparrow hawk",yào,,2,0,2,mark only
弗,"not, negative",fú,,2,0,2,mark only
叭,"trumpet",bā,6,2,0,2,mark only
勺,"spoon, ladle",sháo,6,2,0,2,mark only
歌,"song",gē,1,2,0,2,mark only
纯,"pure, clean, simple",chún,4,2,0,2,mark only
零,"zero",líng,1,2,0,2,mark only
余,"surplus, excess, remainder",yú,7,2,0,2,mark only
区,"zone",qū,3,2,0,2,mark only
熊,"bear",xióng,4,2,0,2,mark only
铲,"spade, shovel, trowel, scoop",chǎn,7,2,0,2,mark only
邓,"a county in Henan",dèng,,2,0,2,mark only
銮,"bells hung on horse",luán,,2,0,2,mark only
绯,"scarlet, dark red, crimson",fēi,,2,0,2,mark only
令,"command, order",lìng,5,2,0,2,mark only
詹,"talk too much, verbose",zhān,,2,0,2,mark only
洁,"clean, purify, pure",jié,6,2,0,2,mark only
巩,"bind",gǒng,6,2,0,2,mark only
茧,"callus, blister",jiǎn,,2,0,2,mark only
衔,"bit",xián,6,2,0,2,mark only
圈,"circle",quān,4,2,0,2,mark only
媚,"charming, attractive",mèi,,2,0,2,mark only
竟,"finally, after all, at last",jìng,7,2,0,2,mark only
斋,"vegetarian diet",zhāi,,2,0,2,mark only
圭,"jade pointed at top",guī,,2,0,2,mark only
绛,"deep red",jiàng,,2,0,2,mark only
从,"from",cóng,1,2,0,2,mark only
髓,"bone marrow",suǐ,,2,0,2,mark only
