gloss,uses,forms,sayable
"sulfur, brimstone",54,1,1
"hinterland, undeveloped land",54,1,1
"bombo, bombo criollo",54,1,0
tele- (over a distance),54,1,1
"a little, bit",54,1,1
turquoise (a semi-precious gemstone),54,1,1
ending of the future active participle,54,1,1
"smell, odor, odour",54,1,1
female equivalent of ultimo,54,1,1
cow (bovine),54,1,1
"vaucluse (a department of provence-alpes-côte d'azur, france)",54,1,1
"venetian, of venice",54,1,1
"executioner, hangman (official person who carries out the capital punishment of a criminal)",54,1,1
present subjunctive analytic of buain,54,2,1
alum (an astringent salt),54,2,1
bailiff,54,2,0
"a male given name from latin, equivalent to english emil",54,2,1
definite natural masculine singular of forn,54,2,1
nominative/accusative/genitive plural chicken of huhn,54,2,1
"suffixed to some adverbs and prepositions, meaning "some"",54,2,1
to gas (exterminate using gas),54,2,1
"line, queue (straight sequence of people or items)",54,2,1
"to take, capture",54,2,1
aloe vera,54,2,1
"brush, e.g. small, round paintbrush",54,2,1
tetra pak,54,2,0
small bay,54,2,1
mortar (hollow vessel used with a pestle),54,2,1
"western, west",54,2,1
"arcas, a mythical son of jupiter and callisto; the greatest hunter and legendary eponymous king of arcadia in ancient greece",54,2,1
"want, distress, affliction, austerity, privation",54,2,1
sexual intercourse,54,2,1
"beet, turnip",54,2,1
verbal noun of رَاحَ (rāḥa) (form i),54,2,1
tell,54,2,1
a foundation or base; the bottom of a building.,54,2,1
forms gerund nouns from verbs,54,2,1
a fox,54,2,1
a member of the dutch royal family,54,2,1
sami,54,2,0
spree (a river in eastern germany),54,2,1
"one who descends, especially to a watering place",54,2,1
fish (especially while alive),54,2,1
"lock (for a door, etc.)",54,2,1
violet (plant),54,2,1
a surname from german,54,2,1
"dog, canine",54,2,1
voice (sound uttered by the mouth),54,3,1
first-person singular past historic of peler,54,2,1
"bakmi, wheat noodles",54,3,1
a running blade (prosthetic limb used for running),54,2,1
a comb for grooming hair,54,3,1
forms certain sound-symbolic or diminutive nouns.,54,3,1
"pea (plant, pisum sativum, syn. lathyrus oleraceus)",54,3,1
heaven,54,2,1
top; shirt or garment covering the upper body,54,2,1
"to shimmer, to twinkle, to glimmer, to flicker",54,3,1
"to soak, to wetten",54,3,1
a type of kibbeh prepared in the mexican state of yucatan.,54,3,1
hypatos,54,3,0
"a spouse, a husband, a married man (mostly referring to a specific relation)",54,3,1
old latin form of sit,54,2,1
derives verbs.,54,2,1
greedy,54,3,1
"mestizo, person of mixed european and various degrees of amerindian descent, especially if the person is poor",54,3,1
luso-,54,2,0
fifty korunas (50 units of czech currency),54,2,1
left-handed,54,3,1
first-person singular preterite indicative of libar,54,3,1
"sebum, suet",54,3,0
"larp, claiming to be a fan of a piece of media without directly consuming the source material.",54,3,1
"forms certain nouns, particularly those describing tools or implements.",54,3,1
herring,54,3,1
duck (also as a food),54,3,1
assimilated form of -gan after the vowels a / i / o / u.,54,3,1
"fresh (recently produced, unspoiled)",54,3,1
"poo, poop (excrement)",54,4,1
"week, period of seven days",54,3,1
a stream or river; a watercourse (regardless of size),54,3,1
jerky (air-dried meat),54,3,1
"vain, useless, idle",54,4,1
an ore [since 1400–1425],54,4,1
"rial (currency of iran, oman, yemen and saudi arabia)",54,3,1
turban,54,3,0
"wax, beeswax, honeycomb",54,4,1
sight (device through which the person aiming looks at the intended target),54,3,1
greetings,54,3,0
"snake, squamate of the suborder serpentes",54,3,1
one of the federal states of germany,54,3,1
"acoetes, an attendant of bacchus",54,4,1
driven snow,54,3,1
"inya (a tributary of the ob in kemerovo oblast and novosibirsk oblast, russia)",54,4,1
"clock, watch",54,4,1
"not hungry, satiated, full, done",54,5,1
"without roughness or unevenness: smooth; sleek, slick; even; clean (of a shave or cut); straight (of hair)",54,4,1
: cola,54,4,1
"cup, glass (for drinking out of)",54,5,1
animate masculine plural past active participle of dít,54,5,1
"verbal noun of غَنِجَ (ḡanija); any enticement from a female by her voice, a woman's retentive messaging or even female copulatory vocalization specifically",54,4,1
fist (a hand with the fingers clenched or curled inward),54,4,1
sling (weapon),54,4,1
an evil being,54,5,1
"frequent, occurring often",54,5,1
"combining form used to form prefixed perfective verbs, with the approximate meaning "to say".",54,5,1
small farm,54,5,1
overrefined,53,1,0
amaranth (color),53,1,1
amole,53,1,0
"antenna, aerial",53,1,1
"a village in álava, basque country, spain",53,1,1
applet (a small program module that runs under the control of a larger application),53,1,1
"to make rough or uneven, roughen",53,1,1
quagmire,53,1,0
endorsement,53,1,0
"a bank (underwater area of higher elevation, a sandbank)",53,1,1
"opener, gate",53,1,1
basra (a port city in southeastern iraq),53,1,1
to bless,53,1,1
beast (non-human animal),53,1,1
blunt (marijuana cigarette),53,1,1
second-person singular past historic of bomber,53,1,1
bushman,53,1,0
fall (act of falling),53,1,1
candlestick,53,1,0
first-person singular past synthetic of can,53,1,1
a product that a seller forcibly bundles onto a scarce product,53,1,1
the name of the latin script letter v/v.,53,1,1
termite,53,1,1
female equivalent of delfim,53,1,1
derrick,53,1,0
disney (walt disney company),53,1,1
tamed,53,1,0
internet,53,1,1
elephant (any mammal of the order proboscidea),53,1,1
female equivalent of espião,53,1,1
"experiment, trial, test",53,1,1
"artisan, craftsman, architect, creator, maker, artificer, forger, smith, carpenter",53,1,1
european portuguese standard spelling of facção,53,1,1
"gay lad, jolly youth",53,1,0
"pharmacy ("shop"), chemist's, drugstore",53,1,1
persian (iranian language),53,1,1
"final, expressing purpose",53,1,1
fuel oil,53,1,1
to argue,53,1,1
ellipsis of ilhas galápagos,53,1,1
"a surname, gault",53,1,0
"the chief town of the vocontii in gallia narbonensis, now vaison-la-romaine",53,1,1
gimlet (cocktail),53,1,0
lap (of a person),53,1,1
"belt, girth, waistband",53,1,1
"giant, hulk (tall man, typically also muscular)",53,1,1
pre-reform spelling (used until 1943 in brazil and 1911 in portugal) of jeová,53,1,1
verbal noun of جَاهَدَ (jāhada) (form iii),53,1,1
"shy, timid, embarrassed",53,1,1
"viburnum, guelder rose, any shrub of genus viburnum",53,1,1
field maple (acer campestre),53,1,1
"covering, roofing",53,1,1
spokeshave,53,1,0
kennel,53,1,0
an act of rubbing one's face on someone or something to spread pheromones,53,1,1
swamp meadow; a wet peat meadow,53,1,1
košice (a city in slovakia),53,1,1
licker (someone or something who licks),53,1,1
"lehri (a village in khenifra province, morocco)",53,1,1
"clothes, raiment, vestment, dress",53,1,1
various villages in poland:,53,1,1
lolita,53,1,0
"lucknow (the state capital of uttar pradesh, india)",53,1,1
manitoba (a province in western canada),53,1,1
"marshland, swamp",53,1,1
martha (biblical character),53,1,1
matsuyama (a city in japan),53,1,1
"going along, passing, traversing",53,1,1
several songs strung together,53,1,1
mole cricket,53,1,1
to mark strips of land for sowing (seeds),53,1,1
transfer market,53,1,1
"to exterminate, to kill with the help of a poison",53,1,1
naomi (biblical figure),53,1,1
female equivalent of nene: baby girl,53,1,1
"noble, honourable",53,1,1
obelisk,53,1,1
tent (portable lodge),53,1,1
picket (soldiers or troops placed on a line forward of a position to warn against an enemy advance),53,1,1
guatemalan fir (abies guatemalensis),53,1,1
laziness; sloth (unwillingness to do work),53,1,1
pretoria (the capital city of south africa),53,1,1
verbal noun of قَبِلَ (qabila) (form i),53,1,1
"bow, curve, twist",53,1,1
record (most extreme known value of some achievement),53,1,1
"a surname, a variant of rojas mostly found in the philippines",53,1,1
something principal; something chief; something foremost,53,1,1
to emit smoke,53,1,1
containing unpleasant substances such as dirt or grime; dirty; unclean,53,1,1
"firm, stiff, solid",53,1,1
more southerly,53,1,1
the tobacco plant,53,1,1
verbal noun of ثَبَتَ (ṯabata) (form i),53,1,1
verbal noun of طَبَخَ (ṭabaḵa) (form i),53,1,1
"cross with small but sturdy and very versatile motorcycles, cars or bicycles",53,1,1
"a surname, trudel",53,1,0
heritage (inherited cultural values or achievements; traditions),53,1,1
"turbid, cloudy, murky, muddy",53,1,1
"a falcon, bird of the family falconidae, in particular of the genus falco",53,1,1
venezuela (a country in south america),53,1,1
"vietka, vetka (a town in belarus, near gomel)",53,1,1
"awake, watching, alert",53,1,1
settlement formed by migrants from another one,53,1,1
one of the sixteen mayorships (alcaldías) of the mexico city,53,1,1
"a municipality of jutiapa department, guatemala",53,1,1
the zarma group of languages,53,1,1
a .22 caliber firearm,53,2,0
caraway or its seed.,53,2,1
angora (all senses),53,2,1
"little, small; poor, lacking",53,2,1
manure,53,2,0
landau,53,2,0
"bath, pool",53,2,1
"to raise, to lift",53,2,1
the two final tercets of an italian sonnet,53,2,1
"main, principal",53,2,1
zagreb (the capital and largest city of croatia),53,2,1
architecture,53,2,0
curia (all meanings),53,2,1
verbal noun of demek,53,2,1
"a neighbourhood of overbetuwe, gelderland, netherlands",53,2,1
"a girl or young woman, a maiden, especially a handmaiden or maid",53,2,1
"to adhere, cling [with la 'to']",53,2,1
"the great, as in alexander the great ("alessandro magno") or charlemagne ("carlo magno")",53,2,1
swimmer,53,2,0
swazi (language),53,2,1
"fetter, chain, bond",53,2,1
"frisia (a traditionally frisian-speaking coastal western europe, politically split between netherlands and germany)",53,2,1
"to chop, to hack",53,2,1
rancher (person who operates a ranch),53,2,1
tellurium,53,2,0
"action, deed",53,2,1
"a surname, silin",53,2,0
wasteland,53,2,0
genius,53,2,1
"kinsman, relative",53,2,1
pelican,53,2,1
eye dialect spelling of petit,53,2,1
"fresh baltic herring (baltic herring that is sold fresh, i.e. not salted, smoked, pickled or preserved in any other way)",53,2,1
gemsbok (oryx gazella),53,2,0
castries (the capital city of saint lucia),53,2,1
"to pinch (to steal, usually of something almost trivial or inconsequential)",53,2,1
dorade box,53,2,1
"chief, chieftain (of a tribe)",53,2,1
"a term of address for a male. mate, dude, man",53,2,1
"city walls, battlements",53,3,1
"a plural marker used ironically for masculine or neuter nouns, to draw attention to something being feminine or diminutive.",53,2,1
"a male given name, equivalent to english thomas",53,2,1
agreeable,53,2,0
"beginner, novice",53,3,1
to be older than,53,2,1
pity; mercy,53,3,1
briton (native or inhabitant of britain),53,2,1
thru-hole,53,3,1
distance,53,3,1
"sign, mark",53,2,1
thorium (chemical element),53,2,1
forms adjectives meaning "times" or "parts"; -fold.,53,3,1
holy,53,2,1
"competition, games",53,3,1
daytime,53,3,0
grunt,53,3,0
only used in à ufa,53,3,1
cork (bark of the cork oak),53,3,1
"drool, saliva",53,2,1
hours (of),53,3,1
a small island,53,3,1
"to equip, to arm",53,2,1
a small storage space (often a room for keeping cleaning equipment); a broom closet,53,3,1
id card (id card issued in brazil),53,3,1
saxaul (haloxylon gen. et spp.),53,2,0
malic,53,3,0
a harsh slap across the face with an open palm,53,3,1
"schoolmaster snapper, a fish of species lutjanus apodus",53,3,1
lag,53,3,1
"court, square, area, open space",53,3,1
thuya,53,2,0
"wonder, miracle",53,3,1
verbal noun of yemek,53,2,1
"field, plain, area (of level ground)",53,3,1
butter (soft foodstuff made from milk),53,3,1
growth,53,2,1
"hall, hallway",53,3,1
list (enumeration or compilation of items),53,3,1
taxi,53,3,1
small coin (small amount of money),53,3,1
"effort, attempt",53,4,1
"marijuana cigarette, joint",53,3,1
"a wooden shoe, clog",53,3,1
"a zero-interest bond, used as a provisory currency, issued by the province of la rioja, argentina in 2024",53,3,1
"girl, woman;",53,3,1
first/second-person singular past historic of croître,53,3,1
"widow, widower",53,4,1
claw (horny nail),53,4,1
rainbow (optical phenomenon),53,3,1
first-person singular preterite indicative of adiar,53,3,1
pre-reform spelling (used until 1971 in brazil and 1945 in portugal) of bolo,53,3,1
"snow (frozen, crystalline state of water that falls as precipitation; sometimes also similar frozen forms of other substances)",53,4,1
macchia,53,3,0
guillemot (or similar bird),53,4,1
"a city and municipality of overijssel, netherlands",53,3,1
bitter; painful; severe,53,3,1
combining form of ei: non-,53,3,1
"a river in gorj, romania, tributary to the tismana",53,4,1
masturbation,53,4,0
female equivalent of ñengo,53,3,1
peri,53,3,0
salad,53,3,1
to elect someone (something honourable); to present someone (with an honour) [with zu],53,4,1
pre-1918 spelling of се́но (séno).,53,4,1
tau cross,53,4,1
ram (male domestic sheep),53,4,1
side (various senses),53,3,1
crossover,53,4,0
"to love, to have a strong affection for (someone or something)",53,4,1
"affairs, matters",53,4,1
iwan,53,4,0
masculine singular present transgressive of dmout,53,5,1
"haulm, straw",53,4,1
hiv (human immunodeficiency virus),53,5,1
third-person singular single-possession of ip,53,4,1
"cock, prick (slang for penis)",53,5,1
"loud, boisterous, wild",53,4,1
rowan trees,53,5,1
"smooth, flat and large boulder",53,5,1
"a town in the middle franconia region, bavaria; official name: roth bei nürnberg",53,5,1
"piffle, rubbish, nonsense",53,5,1
aguapanela,52,1,0
"amphitheatre, amphitheater",52,1,0
"angers (a city, the prefecture of maine-et-loire department, pays de la loire, france)",52,1,1
"appomattox (a town in virginia, united states)",52,1,1
autograph (a manuscript or document written in its author's or composer's hand),52,1,1
azure (blue in colour),52,1,1
banyan (tropical indian fig tree),52,1,1
"tip, head, point",52,1,1
beauty (the quality of being beautiful),52,1,1
"torch, firebrand",52,1,0
"in medieval times, a nef: a lockable casket containing a person's table requisites, cutlery, etc., often in the form of a ship.",52,1,1
"a she-goat or kid, nanny-goat",52,1,1
a type of peasant's house in the veneto,52,1,1
chador (robe),52,1,0
"enjoyable, pleasurable, attractive thing",52,1,1
buffalo (north american bison),52,1,1
suffix indicating the second-person singular indicative preterite of -ar verbs.,52,1,1
crevasse,52,1,0
"dahlia, plant of the genus dahlia",52,1,1
"a coastal town in seine-maritime department, normandy, france",52,1,1
sleep (act of sleeping),52,1,1
"leader, guide",52,1,1
second (following after the first one),52,1,1
"elsinore (a city in northern zealand, denmark)",52,1,1
bramble (or similar thorny bush),52,1,1
compartment,52,1,0
"a group of gardens, elysium, eden, heaven, heaven, paradise",52,1,1
a diminutive of the male given name gábor,52,1,1
hard shower of rain,52,1,1
hippodrome,52,1,0
"to rot, to putrefy",52,1,1
"a french surname, joly",52,1,0
"order, discipline",52,1,1
verbal noun of كَدِرَ (kadira) (form i),52,1,1
crank (rotating arm mechanism),52,1,1
carat (unit of weight for precious stones and pearls),52,1,1
"a city in värmland, west-central sweden",52,1,1
"an art (a liberal art, to make artworks)",52,1,1
"beautiful, decorated, pretty",52,1,1
"country house (uk), villa (large, luxury residence in a campestral or semirural environment)",52,1,1
grayling,52,1,0
lomé (the capital city of togo),52,1,1
"cut, clipped",52,1,1
past indicative analytic of gair,52,1,1
"a surname, most associated with panaman president and dictator manuel noriega",52,1,1
"a wreck (remains of a vehicle, vessel, aircraft or other piece of machinery)",52,1,1
"navel, belly button (remnant of umbilical cord)",52,1,1
"pard, leopard, panther",52,1,1
female equivalent of peregrino,52,1,1
"a surname, most associated with the conquistador of the inca empire, francisco pizarro",52,1,1
do drugs,52,1,1
"butcher, slaughterer",52,1,1
foxlike in colour,52,1,1
"a neighborhood of nijkerk, gelderland, netherlands",52,1,1
"reute (a municipality of baden-württemberg, germany)",52,1,1
"dissipation, waste",52,1,1
to broadcast; to transmit,52,1,1
"sector; section (part, piece, subdivision of anything)",52,1,1
chiffon,52,1,0
steakhouse,52,1,0
tank (water or fuel),52,1,1
"the causing of oneself to be wary or aware, being consciously cautious, the state of being on one's guard or actively watching out.",52,1,1
telecom,52,1,0
tenacious,52,1,0
"skin, thin peel, outer part of something",52,1,1
female equivalent of toter: female cadaver; female corpse,52,1,1
toucan (any bird from the family ramphastidae; usually excluding aracaris),52,1,1
toque (knit cap),52,1,1
"drummer, percussionist",52,1,0
a (scenic) view,52,1,1
water (clear liquid essential for life),52,1,1
"sledgehammer, maul",52,2,0
key (object that opens and closes a lock),52,2,1
buffelgrasses (cenchrus gen. et spp.),52,2,0
"sovetsk (a city in kaliningrad oblast, russia)",52,2,1
awl (pointed instrument for piercing),52,2,1
bondu (former state in present-day senegal),52,2,1
account,52,2,1
"to caw, to croak",52,2,1
gilan (a province of iran),52,2,1
silt,52,2,1
ava (denomination of guarani),52,2,1
-gene,52,2,1
"a floating piece of ice; floe, iceberg",52,2,1
thrush (any of numerous species of songbirds of the cosmopolitan family turdidae),52,2,1
"joyful, gleeful, merry, gay",52,2,1
herbaceous,52,2,1
clay ground,52,2,1
"diss, scorn",52,2,1
government,52,2,1
"speech, utterance, statement",52,2,1
"praise, adulation, exaltation",52,2,1
nail; fingernail; toenail,52,2,1
"used to form nouns relating to some action; -ure, -ing",52,2,1
cairo (the capital city of egypt),52,2,1
small child,52,2,1
"a fifth; an interval of six (kleine quinte, diminished fifth) or seven (große quinte, perfect fifth) semitones.",52,2,1
"after-, sub-, second (expressing that something comes after another thing)",52,2,1
"agent noun of hacken, particularly a worker who loosens the soil on a vineyard",52,2,1
"secretive, concealing, discreet, reticent",52,2,1
goods (should we delete(+) this sense?),52,2,1
maidservant,52,2,0
aam (measure of liquids),52,3,1
pame,52,2,0
"a city and municipality of the district of porto, portugal",52,2,1
"rope, string, cord (originally of palm bast)",52,2,1
"nouns, forms diminutives, sometimes with a further change in meaning)",52,3,1
freshly fallen white and dry snow,52,2,1
cola (plant),52,3,1
"reconciliation, settlement",52,2,1
warmth,52,2,1
a department of uruguay,52,2,1
the arabic tribe of shammar,52,2,1
a former municipality (until 1969) in finland.,52,2,1
owner and trainer of gladiators,52,2,1
suite in a hotel,52,2,1
continent,52,3,1
"unfortunate person, wretch",52,2,1
instructive plural of koo,52,2,1
kyiv (the capital city of ukraine and regional administrative centre of kyiv oblast),52,2,1
puppet,52,2,1
"bin, can (any clumsy and/or ugly container, with or without a lid)",52,3,1
a registered letter; abbreviation of rekommenderad (försändelse),52,3,1
vila (slavic mythology),52,2,0
"elegant, fancy, stylish, posh, swank",52,3,1
prepositional singular of дон (don),52,3,1
"to thrust, slash (with a weapon)",52,2,1
"band, stripe",52,3,1
"helper, aide",52,3,1
committee,52,2,1
"hun; a member of the huns, a nomadic tribe originating out of central asia that invaded the roman empire in the 5th century",52,3,1
antimony,52,3,0
minsk (the capital city of belarus),52,2,1
the heavy recoilless anti-tank gun 95 s 58-61,52,3,1
to collect (bees) into a swarm,52,3,1
samba (brazilian genre of music and dance),52,3,1
"vj, a video jockey",52,3,1
"storm, tempest",52,3,1
haem / heme,52,3,0
vomiting,52,2,1
"yak, yak's",52,3,0
"fen, a type of treeless swamp",52,2,1
ulster form of iníon ("daughter"),52,3,1
petticoat (thin piece of clothing wore under a skirt or dress),52,3,1
hayshed,52,3,0
confusion,52,2,1
caramel (confection),52,3,0
"a regional county municipality of chaudière-appalaches, quebec, canada",52,3,1
to promise,52,3,1
plural and definite singular attributive of rar,52,3,1
"a male given name, equivalent to english casimir",52,3,1
whig,52,3,0
air fryer (kitchen gadget),52,3,1
"prop, support",52,3,1
third-person singular past historic of pucer,52,4,1
strong/weak genitive masculine/feminine/neuter plural of -ud,52,3,1
"a surname, suvorov",52,3,0
"ally, confederate",52,4,1
"to become night, to darken",52,3,1
arc,52,3,1
fold (enclosure for domestic animals),52,3,1
barbel,52,3,0
bi- (two-),52,3,1
"roots, root system (the roots and associated organs of a plant as a whole)",52,4,1
code (body of law or set of regulations and rules),52,4,1
a hank (ring or shackle that secures a staysail to its stay).,52,3,1
"neighbouring, neighboring",52,3,1
bot (robot),52,4,1
alar (relating to wings),52,4,1
"a guild; a kind of commercial, and sometimes military, confederation of cities in the later middle ages; in particular the hanseatic league of northern germany",52,4,1
an animal pen.,52,4,1
a river in marche,52,4,1
"dough, paste, pastry, batter (soft, at least partially cohesive mixture of ingredients, often including flour, intended to be baked, fried or cooked)",52,4,1
forms pejorative nouns,52,4,1
"eternal, perpetual",52,4,1
bark (of trees),52,4,1
"saloon, bar, snack bar",52,5,1
noun pluralization suffix; sometimes with vocalic ablaut in the pluralized noun,52,4,1
a deck,52,4,0
hayfield,52,4,0
an ombrotrophic peatland,52,4,0
a type of mythological creature associated with the dangers of water,52,4,1
to praise,52,4,1
portuguese yellow broom (cytisus striatus),52,4,1
yarn; a twisted strand of fiber used for e.g. knitting,52,4,1
"a set string of words or syllables (often more or less ritualistic in nature); a rhyme, a formula, an incantation, etc.",52,4,1
otter; a mammal of the family mustelidae,52,4,1
sublative singular of hát,52,4,1
"i am, first-person of vera (meaning "to be")",52,5,1
"fab, awesome",52,5,0
full (of),52,5,1
masculine singular present transgressive of srát,52,5,1
abner (cousin of saul),51,1,1
"mine, miner",51,1,1
to make angular or cornered,51,1,1
said,51,1,1
ashram,51,1,0
"of, from or relating to the city of ávila, castile and león, spain",51,1,1
in-story storyteller or narrator in children's literature (a narrator of a children's fable within the fable itself),51,1,1
"pounding, hammering, banging",51,1,1
alley,51,1,1
pellitory of spain (anacyclus pyrethrum),51,1,1
blizzard,51,1,1
bumblebee (species of bee),51,1,1
tobacco pipe,51,1,1
to candy (to preserve fruit by boiling in syrup),51,1,1
"genipap, genipa americana",51,1,0
third-person singular simple future of caser,51,1,1
"catania (a port city and comune, the capital of the metropolitan city of catania, sicily, italy)",51,1,1
third-person singular past historic of celer,51,1,1
"charente (a department of nouvelle-aquitaine, france)",51,1,1
third-person singular past historic of chomer,51,1,1
"cistern, tank",51,1,1
"a surname, clemenceau",51,1,0
"a male given name, equivalent to english conrad",51,1,1
constable (high commander or officer of a medieval realm),51,1,1
leather (material produced by tanning animal skin),51,1,1
small cube (e.g. a stock cube),51,1,1
"to mutter, to murmur",51,1,1
"a surname, delisle, transferred from the common noun",51,1,1
exile,51,1,0
"syrup, molasses",51,1,1
"dongtan (an abandoned ecocity project in shanghai, china)",51,1,1
"a female given name, equivalent to english eulalie",51,1,1
angelic,51,1,0
"skinny, thin, slim",51,1,1
"fougères (a town in ille-et-vilaine department, brittany, france)",51,1,1
stealing,51,1,1
"barn, shed with or without walls",51,1,1
"a male given name, equivalent to english walter",51,1,1
gobi (desert),51,1,1
"guangdong (a populous province of china, located on the southern coast)",51,1,1
"harmony, concordance of sounds",51,1,1
ireland (an island and country in northwestern europe),51,1,1
hibiscus (flowering plant),51,1,1
hokkaido (an island and prefecture in northern japan),51,1,1
"man, (adult male human)",51,1,1
jap,51,1,0
gold cross (worn from the neck),51,1,1
"a lake through which a river flows, a lake in the middle of a river; river lake",51,1,1
"gap, breach, interstice, interspace, chink",51,1,1
"a former municipality of gelderland, netherlands",51,1,1
"to clap (make a soft clapping sound, particularly of something being closed)",51,1,1
tomcat (male cat),51,1,1
"pram, baby carriage",51,1,1
"a female given name, masculine equivalent laurent, equivalent to english lauren",51,1,1
eurasian siskin,51,1,0
"lunenburg; a port town in lunenburg county, nova scotia, canada",51,1,1
"a type of long club, sometimes studded with sharp pieces of rock, used by the natives of america",51,1,1
idiotic,51,1,0
sleeping place,51,1,1
horse-chestnut,51,1,1
a surname from cimbrian,51,1,1
"revenge, vengeance",51,1,1
bridegroom service,51,1,1
butcher (male or of unspecified gender),51,1,1
a surname of venus,51,1,1
"brine, salt liquor, pickling",51,1,1
"nida (a river in southern poland, a left tributary of the vistula)",51,1,1
"prefix added to verbs to mean surrounding, around",51,1,1
"a town, a municipality of toledo, castilla-la mancha, spain",51,1,1
"mail, post (sent and received letters etc.)",51,1,1
"a person who works with a spade, shovel, bat or paddle in various ways",51,1,1
"bread roll, roll, bun",51,1,1
"pablo picasso, spanish artist",51,1,1
beaked,51,1,1
third-person singular past historic of plaire,51,1,1
glaze (coating applied to food),51,1,1
"to test, assess, try",51,1,1
rachel (younger daughter of laban),51,1,1
"redeemer (one who redeems, saves from a state of sin)",51,1,1
"anything that rolls, roller",51,1,1
autumn foliage; fall foliage (us); autumn colours (uk) (brightly colored leaves of deciduous trees and other plants that appear in the autumn),51,1,1
hospital (large medical facility),51,1,1
first-person plural subjunctive ii of schwinden,51,1,1
strong/mixed nominative/accusative neuter singular of schwarz,51,1,1
straw (dried stalks),51,1,1
a trap for catching animals.,51,1,1
"donkey-keeper, donkey-driver, donkey-drover",51,1,1
forms causative verbs from verbs.,51,1,1
taiwan (a partly-recognized country in east asia consisting of a main island and 167 smaller islands; official name: republik china),51,1,1
talavera (pottery),51,1,1
butte; mound,51,1,1
textile,51,1,0
"prescribed spelling of tupi under the orthographic agreement of 1931, which was not implemented; now a common misspelling.",51,1,1
a type of fabric used for upholstering,51,1,1
"fake, false",51,1,1
"set of wheels, motor (uk), wheels (an automobile)",51,1,1
"a surname from vietnamese, equivalent of the french surname roy",51,1,1
"a male given name, equivalent to english wilmer",51,1,1
"prescribed spelling of zumbi under the orthographic agreement of 1931, which was not effectively implemented.",51,1,1
"suffixed to nouns, forms nouns describing objects, plants, and animals.",51,2,1
"beer (alcoholic beverage made from malted grain, especially flavoured with hops)",51,2,1
"to wander, to roam",51,2,1
black (absorbing all light and reflecting practically none),51,2,1
nacho (mexican dish of tortilla chips),51,2,1
eurasian oystercatcher (haematopus ostralegus),51,2,0
added to adjectives to form absolute superlatives,51,2,1
forms adjectives from nouns; -ic,51,2,1
"belize (an english-speaking country in central america, formerly called british honduras)",51,2,1
apocopic form of cavano,51,2,1
"short for canadiens de montréal, an ice hockey team based in montreal.",51,2,1
naʼvi (language),51,2,1
"wake, vigil",51,2,1
ficus thonningii,51,2,0
slightly,51,2,1
verbal noun of هَدَبَ (hadaba) (form i),51,2,1
"a river in hispania baetica, now odiel",51,2,1
not thirsty anymore,51,2,1
"close, narrow, short (having a small margin)",51,2,1
"lares, the classical roman gods of a place, particularly homes; household deity",51,2,1
an allium; a plant of the genus allium.,51,2,1
the stomach or guts of an organism; also when used as food.,51,2,1
soiree (formal evening reunion),51,2,1
twill,51,2,0
"a summertime settlement of shepherds, consisting of the shepherds' hut, the sheepfold, and the milking area (strungă)",51,2,1
vilnius (the capital city of lithuania),51,2,1
water mill with a vertical water wheel,51,2,1
"inner, innermost, heart, secrets of the mind",51,2,1
"to grind, to mill",51,2,1
dried fruit,51,2,1
"syllabic abbreviation of roolipeli ("rpg, role-playing game")",51,2,1
let be,51,2,1
the huangpu (river in shanghai),51,2,1
verbal noun of لَبِثَ (labiṯa) (form i),51,2,1
female virgin,51,2,1
a giant,51,2,1
feline,51,2,0
a soft layer of rock within a harder rock,51,2,1
an island of the gulf of argolis,51,2,1
logo (visual symbol or emblem that acts as a trademark or a means of identification of a company or organization.),51,3,1
"shocked, startled",51,2,1
"name of the cyrillic letter р, р, called эр (er) in modern russian",51,3,1
coke (solid residue from roasting coal in a coke oven),51,3,1
edge (thin cutting side of a blade),51,2,1
tag (graffiti),51,2,1
"dill (anethum graveolens, syn. peucedanum graveolens)",51,2,1
"disliking, having an aversion",51,3,1
"door, shutter",51,3,1
"compound of fate, the second-person plural imperative form of fare, with mi",51,2,1
to sweeten with honey,51,2,1
stupa,51,2,0
suffixed to nouns or numerals creating adjectives of relationship.,51,3,1
"acidic, sour-tasting",51,2,1
noni (morinda citrifolia),51,3,0
minute (unit of time),51,3,1
injury,51,3,1
verbal noun of كَسَبَ (kasaba) (form i),51,2,1
blameworthy,51,3,0
"stag, hart",51,2,0
shah (king of persia),51,3,1
"sound, strait (especially near islands of the baltic sea)",51,3,1
tegu (lizard),51,2,1
rein,51,3,1
"victory, triumph",51,3,1
"a booth, a stall, (at a stadium) a box",51,3,1
"harm, damage",51,2,1
rajah (hindu prince),51,2,1
hymn,51,3,1
"quoth, said",51,3,1
"young herring, usually pickled",51,2,1
"a municipality of témiscamingue regional county municipality, abitibi-témiscamingue, quebec, canada",51,3,1
"hanging loop (small loop sewn into a jacket, towel etc. for hanging)",51,3,1
"sambal, a relish made from chili peppers [from late 18th c.]",51,2,1
"comfortable, at ease, pleasant",51,2,1
"pus, matter",51,3,1
wad (manganese ore),51,3,1
"to queen (transform a pawn into a queen, by advancing it to the opponent's side of the board)",51,3,1
fermium (transuranic chemical element (symbol fm) with an atomic number of 100),51,3,1
consul,51,3,0
dane (person from denmark or of danish descent),51,3,1
"ego, the ego",51,3,1
"rotten, spoiled, decayed, putrid",51,3,1
