mark,heads,gloss
讹,6,"swindle"
趁,6,"take advantage of"
钳,6,"pincers"
铭,6,"inscribe"
铲,6,"spade"
阎,6,"village gate"
陨,6,"fall"
骤,6,"procedure"
且,6,"moreover"
並,6,"be side by side"
亢,6,"high"
侨,6,"sojourn"
俸,6,"wages"
側,6,"side"
僭,6,"assume"
僱,6,"employ"
價,6,"price"
剿,6,"destroy"
勸,6,"encourage"
匀,6,"equal"
叠,6,"pile"
吡,6,"blame"
吾,6,"i"
咪,6,"sound of cat"
哨,6,"whistle"
壯,6,"strong"
奎,6,"stride of man"
奮,6,"spread and flutter the wings"
妓,6,"prostitute"
姪,6,"brother's child"
寸,6,"inch"
州,6,"state"
帕,6,"turban"
庶,6,"numerous"
廟,6,"temple"
弦,6,"chord"
怕,6,"fear"
怯,6,"lacking in courage"
恨,6,"hate"
愁,6,"anxiety"
憨,6,"foolish"
戀,6,"love romantically"
戇,6,"stupid and honest"
拗,6,"pull"
拚,6,"risk"
择,6,"select"
拷,6,"torture and interrogate"
捲,6,"roll"
捶,6,"strike with stick"
搀,6,"give helping hand"
搖,6,"wag"
撐,6,"prop up"
撲,6,"beat"
擔,6,"carry on a shoulder pole"
擴,6,"expand"
攝,6,"take in"
啟,6,"open"
敖,6,"ramble"
敛,6,"draw back"
晦,6,"dark"
暝,6,"dark"
杳,6,"obscure"
枫,6,"maple tree"
柄,6,"authority"
柑,6,"tangerine"
栖,6,"perch"
株,6,"numerary adjunct for trees"
桅,6,"mast of ship"
桦,6,"type of birch"
槟,6,"betel-nut"
樟,6,"camphor tree"
檐,6,"eaves of house"
氢,6,"ammonia"
汝,6,"you"
泸,6,"river in Jiangxi province"
涅,6,"blacken"
涧,6,"brook"
淳,6,"honest"
渭,6,"name of a river in Shanxi"
滅,6,"obliterate"
漚,6,"soak for a prolonged period of time"
漿,6,"an ancient sour drink"
濃,6,"thick"
災,6,"calamity"
烙,6,"brand"
焙,6,"dry over slow fire"
爐,6,"fireplace"
犀,6,"rhinoceros"
猶,6,"a kind of monkey"
獎,6,"reward someone with something as encouragement"
獻,6,"offer"
琐,6,"trifling"
瓣,6,"petal"
疊,6,"fold"
疣,6,"tumor"
疮,6,"tumor"
痘,6,"smallpox"
瘸,6,"lameness"
碟,6,"small dish"
祁,6,"pray"
禿,6,"having little or no hair"
穆,6,"majestic"
競,6,"contend"
筒,6,"thick piece of bamboo"
粟,6,"unhusked millet"
粤,6,"Guangdong and Guangxi provinces"
粵,6,"Yue people"
糜,6,"rice gruel"
紀,6,"rule"
絲,6,"silk"
織,6,"weave"
繩,6,"rope"
纏,6,"wind"
纖,6,"finely-woven silk"
耶,6,"interrogative particle"
肋,6,"ribs"
肛,6,"anus"
肾,6,"kidney"
腮,6,"lower part of face"
腸,6,"intestine"
腻,6,"greasy"
膜,6,"film"
臆,6,"chest"
舀,6,"dip"
與,6,"and"
舉,6,"raise"
艦,6,"warship"
苟,6,"careless"
茈,6,"comfrey"
荔,6,"lichee"
荤,6,"meat diet"
萤,6,"glow-worm"
蓄,6,"store"
蔗,6,"sugar cane"
藍,6,"blue"
藐,6,"disregard"
虱,6,"louse"
蛙,6,"frog"
蛛,6,"spider"
蠟,6,"wax"
蠶,6,"silkworm"
袁,6,"robe"
裕,6,"abundant"
製,6,"make"
襄,6,"aid"
註,6,"annotate"
诏,6,"decree"
诤,6,"expostulate"
该,6,"should"
諸,6,"many"
谬,6,"error"
豚,6,"small pig"
貞,6,"virtuous"
賓,6,"visitor"
賦,6,"bestow upon"
赎,6,"buy"
趴,6,"lying prone"
蹄,6,"hoof"
辟,6,"law"
迴,6,"revolve"
週,6,"turn"
遣,6,"send"
邓,6,"a county in Henan"
邦,6,"nation"
邹,6,"a Zhou-dynasty state in modern Shandong"
酥,6,"butter"
锈,6,"rust"
錦,6,"brocade"
鎖,6,"lock"
鏡,6,"mirror"
閒,6,"not busy"
闖,6,"peek"
阜,6,"mound"
階,6,"stair"
靓,6,"make up face"
靜,6,"silent"
鞣,6,"tan"
韓,6,"fence surrounding a well"
頑,6,"play"
頸,6,"neck"
饵,6,"bait"
馆,6,"public building"
駐,6,"be stationed"
驶,6,"sail"
鲽,6,"flatfish"
鳳,6,"male fenghuang"
鴻,6,"swan"
麝,6,"musk deer"
鼬,6,"weasel"
妹,5,"younger sister"
孩,5,"baby"
也,5,"also"
努,5,"exert"
咖,5,"coffee"
态,5,"manner"
晴,5,"clear weather"
篮,5,"basket"
练,5,"practice"
似,5,"resemble"
咳,5,"cough"
狮,5,"lion"
胖,5,"fat"
袜,5,"socks"
距,5,"bird's spur"
阅,5,"examine"
竟,5,"finally"
与,5,"and"
匆,5,"hastily"
姥,5,"maternal grandmother"
幅,5,"piece"
敏,5,"fast"
狡,5,"cunning"
盼,5,"look"
酱,5,"any jam-like or paste-like food"
铃,5,"bell"
键,5,"door bolt"
侮,5,"insult"
偿,5,"repay"
刹,5,"temple"
勉,5,"endeavor"
却,5,"still"
喘,5,"pant"
堤,5,"dike"
宪,5,"constitution"
寓,5,"residence"
岗,5,"post"
岛,5,"island"
峰,5,"peak"
循,5,"obey"
怠,5,"idle"
惩,5,"punish"
慎,5,"act with care"
挫,5,"push down"
斯,5,"this"
昔,5,"formerly"
档,5,"shelf"
渠,5,"canal"
烹,5,"boil"
牲,5,"sacrificial animal"
猖,5,"mad"
瞻,5,"look"
稠,5,"dense"
级,5,"level"
聋,5,"deaf"
蔓,5,"creeping plants"
诬,5,"make false accusation"
赋,5,"tax"
辐,5,"spokes of wheel"
遏,5,"stop"
郑,5,"state in today's Henan"
障,5,"separate"
飙,5,"whirlwind"
饲,5,"raise animals"
份,5,"portion"
伦,5,"normal human relationships"
募,5,"levy"
厄,5,"adversity"
哗,5,"rushing sound"
唤,5,"call"
喂,5,"interjection to call attention"
够,5,"enough"
嬉,5,"enjoy"
抒,5,"express"
揣,5,"put things under clothes"
棘,5,"jujube tree"
棺,5,"coffin"
段,5,"section"
沧,5,"blue"
爵,5,"feudal title or rank"
祥,5,"good luck"
秉,5,"grasp"
窘,5,"embarrassed"
纬,5,"woof"
缆,5,"hawser"
耻,5,"shame"
萎,5,"wither"
谎,5,"lie"
豁,5,"open up"
贮,5,"store"
逊,5,"humble"
醇,5,"rich"
靴,5,"boots"
驰,5,"go quickly or swiftly"
鳄,5,"alligator"
丸,5,"small round object"
乏,5,"lack"
乜,5,"squint"
亦,5,"also"
亨,5,"smoothly"
亵,5,"slight"
仗,5,"rely upon"
佯,5,"pretend"
倩,5,"beautiful"
偵,5,"spy"
册,5,"book"
冕,5,"crown"
凊,5,"cool"
凋,5,"be withered"
