english,group,why,role,uses,head
kidney,world,named thing,noun,2,0
knight,world,named thing,noun,2,0
knit,world,named thing,verb,2,0
lateral,world,named thing,adjective,2,0
lemon,world,named thing,noun,2,0
lens,world,named thing,noun,2,0
luggage,world,named thing,noun,2,0
luxury,world,named thing,noun,2,0
minor,world,named thing,adjective,2,0
needle,world,named thing,noun,2,0
nipple,world,named thing,noun,2,0
notch,world,named thing,noun,2,0
pale,world,named thing,adjective,2,0
particular,world,named thing,adjective,2,0
passage,world,named thing,noun,2,0
population,world,named thing,noun,2,0
practical,world,named thing,adjective,2,0
predict,world,named thing,verb,2,0
prefer,world,named thing,verb,2,0
quit,world,named thing,verb,2,0
rapid,world,named thing,adjective,2,0
reproduce,world,named thing,verb,2,0
research,world,named thing,verb,2,0
review,world,named thing,verb,2,0
scrape,world,named thing,verb,2,0
sensitive,world,named thing,adjective,2,0
shoulder,world,named thing,noun,2,0
shy,world,named thing,adjective,2,0
skip,world,named thing,noun,2,0
sleeve,world,named thing,noun,2,0
snap,world,named thing,verb,2,0
spice,world,named thing,verb,2,0
spy,world,named thing,verb,2,0
stew,world,named thing,noun,2,0
strategy,world,named thing,noun,2,0
strut,world,named thing,noun,2,0
superior,world,named thing,adjective,2,0
swim,world,named thing,verb,2,0
switch,world,named thing,verb,2,0
tobacco,world,named thing,noun,2,0
tow,world,named thing,noun,2,0
toxic,world,named thing,adjective,2,0
trash,world,named thing,noun,2,0
unique,world,named thing,adjective,2,0
universal,world,named thing,adjective,2,0
unravel,world,named thing,verb,2,0
vertical,world,named thing,adjective,2,0
waist,world,named thing,noun,2,0
wiggle,world,named thing,noun,2,0
wrist,world,named thing,noun,2,0
yard,world,named thing,noun,2,0
absurd,world,named thing,adjective,1,0
adhesive,world,named thing,adjective,1,0
admit,world,named thing,verb,1,0
adventure,world,named thing,noun,1,0
aggressive,world,named thing,adjective,1,0
alien,world,named thing,noun,1,0
altitude,world,named thing,noun,1,0
ancestor,world,named thing,noun,1,0
angel,world,named thing,noun,1,0
apparent,world,named thing,adjective,1,0
appreciate,world,named thing,verb,1,0
arena,world,named thing,noun,1,0
arrogant,world,named thing,adjective,1,0
arson,world,named thing,noun,1,0
artificial,world,named thing,adjective,1,0
associate,world,named thing,verb,1,0
atmosphere,world,named thing,noun,1,0
attend,world,named thing,verb,1,0
aversion,world,named thing,noun,1,0
await,world,named thing,verb,1,0
awful,world,named thing,adjective,1,0
balloon,world,named thing,noun,1,0
banana,world,named thing,noun,1,0
barley,world,named thing,noun,1,0
beer,world,named thing,noun,1,0
beneath,world,named thing,adjective,1,0
bid,world,named thing,verb,1,0
bladder,world,named thing,noun,1,0
blot,world,named thing,noun,1,0
bonus,world,named thing,noun,1,0
borrow,world,named thing,verb,1,0
brag,world,named thing,noun,1,0
bruise,world,named thing,verb,1,0
burp,world,named thing,verb,1,0
burrow,world,named thing,noun,1,0
cabbage,world,named thing,noun,1,0
casual,world,named thing,adjective,1,0
caution,world,named thing,verb,1,0
celebrate,world,named thing,verb,1,0
certificate,world,named thing,noun,1,0
chaotic,world,named thing,adjective,1,0
char,world,named thing,noun,1,0
cheek,world,named thing,noun,1,0
chick,world,named thing,noun,1,0
choir,world,named thing,noun,1,0
choke,world,named thing,noun,1,0
chronic,world,named thing,adjective,1,0
citizen,world,named thing,noun,1,0
clamp,world,named thing,noun,1,0
clan,world,named thing,noun,1,0
clatter,world,named thing,noun,1,0
claw,world,named thing,verb,1,0
cliff,world,named thing,noun,1,0
clot,world,named thing,noun,1,0
cluster,world,named thing,noun,1,0
cob,world,named thing,noun,1,0
cock,world,named thing,noun,1,0
college,world,named thing,noun,1,0
colon,world,named thing,noun,1,0
combat,world,named thing,verb,1,0
compete,world,named thing,verb,1,0
compress,world,named thing,noun,1,0
condemn,world,named thing,verb,1,0
confess,world,named thing,verb,1,0
confine,world,named thing,noun,1,0
consent,world,named thing,verb,1,0
contaminate,world,named thing,verb,1,0
corpse,world,named thing,noun,1,0
council,world,named thing,noun,1,0
crimson,world,named thing,noun,1,0
crooked,world,named thing,verb,1,0
crow,world,named thing,noun,1,0
crucial,world,named thing,adjective,1,0
crude,world,named thing,adjective,1,0
cucumber,world,named thing,noun,1,0
cunning,world,named thing,adjective,1,0
damp,world,named thing,adjective,1,0
dandy,world,named thing,noun,1,0
dangle,world,named thing,noun,1,0
daze,world,named thing,verb,1,0
decline,world,named thing,verb,1,0
dedicate,world,named thing,verb,1,0
defend,world,named thing,verb,1,0
definite,world,named thing,adjective,1,0
delegate,world,named thing,verb,1,0
deliver,world,named thing,verb,1,0
demonstrate,world,named thing,verb,1,0
describe,world,named thing,verb,1,0
deserve,world,named thing,verb,1,0
dew,world,named thing,noun,1,0
diligent,world,named thing,adjective,1,0
diminish,world,named thing,verb,1,0
disguise,world,named thing,verb,1,0
dispatch,world,named thing,verb,1,0
disrupt,world,named thing,verb,1,0
distinct,world,named thing,adjective,1,0
district,world,named thing,noun,1,0
divorce,world,named thing,verb,1,0
dizzy,world,named thing,adjective,1,0
donate,world,named thing,verb,1,0
dose,world,named thing,noun,1,0
drill,world,named thing,verb,1,0
drool,world,named thing,noun,1,0
duck,world,named thing,noun,1,0
dumpling,world,named thing,verb,1,0
dusk,world,named thing,noun,1,0
elder,world,named thing,adjective,1,0
elegant,world,named thing,adjective,1,0
embrace,world,named thing,verb,1,0
enthusiastic,world,named thing,adjective,1,0
entice,world,named thing,verb,1,0
escort,world,named thing,noun,1,0
exceed,world,named thing,verb,1,0
exclusive,world,named thing,adjective,1,0
expel,world,named thing,verb,1,0
expose,world,named thing,verb,1,0
feces,world,named thing,noun,1,0
fern,world,named thing,noun,1,0
fever,world,named thing,noun,1,0
fizz,world,named thing,noun,1,0
flair,world,named thing,noun,1,0
flake,world,named thing,verb,1,0
flax,world,named thing,noun,1,0
fluff,world,named thing,noun,1,0
font,world,named thing,noun,1,0
fork,world,named thing,verb,1,0
fortunate,world,named thing,adjective,1,0
fragile,world,named thing,adjective,1,0
fragrance,world,named thing,noun,1,0
frog,world,named thing,noun,1,0
frown,world,named thing,verb,1,0
fumble,world,named thing,noun,1,0
funnel,world,named thing,noun,1,0
global,world,named thing,adjective,1,0
gloss,world,named thing,verb,1,0
gossip,world,named thing,verb,1,0
gourd,world,named thing,noun,1,0
grease,world,named thing,noun,1,0
greed,world,named thing,noun,1,0
groove,world,named thing,noun,1,0
grumpy,world,named thing,adjective,1,0
harbor,world,named thing,noun,1,0
harvest,world,named thing,verb,1,0
heir,world,named thing,noun,1,0
helm,world,named thing,noun,1,0
herb,world,named thing,noun,1,0
heritage,world,named thing,noun,1,0
hesitate,world,named thing,verb,1,0
hoof,world,named thing,noun,1,0
horizontal,world,named thing,adjective,1,0
hospital,world,named thing,noun,1,0
hostile,world,named thing,adjective,1,0
inflate,world,named thing,verb,1,0
initiate,world,named thing,verb,1,0
inquire,world,named thing,verb,1,0
inquisitive,world,named thing,adjective,1,0
instant,world,named thing,adjective,1,0
interfere,world,named thing,noun,1,0
intestine,world,named thing,noun,1,0
investigate,world,named thing,verb,1,0
invisible,world,named thing,adjective,1,0
jealous,world,named thing,adjective,1,0
jumbo,world,named thing,noun,1,0
kick,world,named thing,verb,1,0
ladder,world,named thing,noun,1,0
lamb,world,named thing,noun,1,0
lamp,world,named thing,noun,1,0
larva,world,named thing,noun,1,0
leap,world,named thing,verb,1,0
legend,world,named thing,noun,1,0
leisure,world,named thing,noun,1,0
lewd,world,named thing,adjective,1,0
library,world,named thing,noun,1,0
license,world,named thing,verb,1,0
limp,world,named thing,adjective,1,0
linger,world,named thing,verb,1,0
liquor,world,named thing,noun,1,0
lobe,world,named thing,noun,1,0
lodge,world,named thing,verb,1,0
lone,world,named thing,noun,1,0
maintain,world,named thing,verb,1,0
mammal,world,named thing,noun,1,0
marsh,world,named thing,noun,1,0
may,world,named thing,verb,1,0
mechanic,world,named thing,noun,1,0
mechanism,world,named thing,noun,1,0
meditate,world,named thing,verb,1,0
mild,world,named thing,adjective,1,0
mimic,world,named thing,verb,1,0
mint,world,named thing,noun,1,0
missile,world,named thing,noun,1,0
mobile,world,named thing,adjective,1,0
modern,world,named thing,adjective,1,0
mope,world,named thing,noun,1,0
mourn,world,named thing,verb,1,0
mucus,world,named thing,noun,1,0
naive,world,named thing,adjective,1,0
naughty,world,named thing,adjective,1,0
nausea,world,named thing,noun,1,0
nuisance,world,named thing,noun,1,0
nurse,world,named thing,verb,1,0
oak,world,named thing,noun,1,0
oat,world,named thing,noun,1,0
obsess,world,named thing,verb,1,0
offend,world,named thing,verb,1,0
omen,world,named thing,noun,1,0
orbit,world,named thing,verb,1,0
oval,world,named thing,adjective,1,0
owl,world,named thing,noun,1,0
pamper,world,named thing,verb,1,0
pant,world,named thing,noun,1,0
parasite,world,named thing,noun,1,0
park,world,named thing,verb,1,0
pastry,world,named thing,noun,1,0
pea,world,named thing,noun,1,0
permit,world,named thing,verb,1,0
pimple,world,named thing,noun,1,0
plait,world,named thing,noun,1,0
planet,world,named thing,noun,1,0
plump,world,named thing,verb,1,0
police,world,named thing,verb,1,0
poll,world,named thing,verb,1,0
precious,world,named thing,adjective,1,0
privilege,world,named thing,noun,1,0
prohibit,world,named thing,verb,1,0
prominent,world,named thing,adjective,1,0
prophet,world,named thing,noun,1,0
prostitute,world,named thing,noun,1,0
pupil,world,named thing,noun,1,0
pus,world,named thing,noun,1,0
quill,world,named thing,noun,1,0
racket,world,named thing,noun,1,0
raft,world,named thing,noun,1,0
raid,world,named thing,noun,1,0
refuge,world,named thing,noun,1,0
remote,world,named thing,adjective,1,0
renounce,world,named thing,verb,1,0
repent,world,named thing,verb,1,0
resource,world,named thing,noun,1,0
respond,world,named thing,verb,1,0
retaliate,world,named thing,verb,1,0
reveal,world,named thing,verb,1,0
revise,world,named thing,verb,1,0
ridge,world,named thing,noun,1,0
roam,world,named thing,verb,1,0
rodent,world,named thing,noun,1,0
rowdy,world,named thing,noun,1,0
sacrifice,world,named thing,verb,1,0
saliva,world,named thing,noun,1,0
sanitary,world,named thing,adjective,1,0
sap,world,named thing,noun,1,0
satire,world,named thing,noun,1,0
scandal,world,named thing,noun,1,0
schedule,world,named thing,verb,1,0
score,world,named thing,verb,1,0
scorn,world,named thing,noun,1,0
seductive,world,named thing,adjective,1,0
severe,world,named thing,adjective,1,0
sewage,world,named thing,noun,1,0
shack,world,named thing,verb,1,0
shaving,world,named thing,verb,1,0
shred,world,named thing,noun,1,0
shun,world,named thing,verb,1,0
signature,world,named thing,noun,1,0
sister,world,named thing,noun,1,0
slogan,world,named thing,noun,1,0
smear,world,named thing,noun,1,0
snail,world,named thing,noun,1,0
snob,world,named thing,noun,1,0
snoop,world,named thing,noun,1,0
snort,world,named thing,noun,1,0
snot,world,named thing,noun,1,0
snug,world,named thing,noun,1,0
solo,world,named thing,noun,1,0
soup,world,named thing,noun,1,0
spectrum,world,named thing,noun,1,0
sperm,world,named thing,noun,1,0
spite,world,named thing,verb,1,0
spleen,world,named thing,noun,1,0
spontaneous,world,named thing,adjective,1,0
squash,world,named thing,noun,1,0
squat,world,named thing,adjective,1,0
squeak,world,named thing,noun,1,0
squirm,world,named thing,noun,1,0
stamp,world,named thing,verb,1,0
steam,world,named thing,noun,1,0
stray,world,named thing,adjective,1,0
strive,world,named thing,verb,1,0
stumble,world,named thing,verb,1,0
subject,world,named thing,verb,1,0
substitute,world,named thing,verb,1,0
sue,world,named thing,noun,1,0
suppress,world,named thing,verb,1,0
suspend,world,named thing,verb,1,0
sympathy,world,named thing,noun,1,0
thigh,world,named thing,noun,1,0
ticket,world,named thing,noun,1,0
timber,world,named thing,noun,1,0
trail,world,named thing,noun,1,0
transparent,world,named thing,adjective,1,0
trench,world,named thing,noun,1,0
tribe,world,named thing,noun,1,0
trinket,world,named thing,noun,1,0
tumble,world,named thing,verb,1,0
tunnel,world,named thing,verb,1,0
twin,world,named thing,verb,1,0
twirl,world,named thing,noun,1,0
urban,world,named thing,adjective,1,0
vapor,world,named thing,noun,1,0
velocity,world,named thing,noun,1,0
vent,world,named thing,noun,1,0
vibrate,world,named thing,verb,1,0
video,world,named thing,noun,1,0
vintage,world,named thing,noun,1,0
vital,world,named thing,adjective,1,0
vivid,world,named thing,adjective,1,0
voltage,world,named thing,noun,1,0
wage,world,named thing,noun,1,0
whim,world,named thing,noun,1,0
whimsical,world,named thing,adjective,1,0
whine,world,named thing,noun,1,0
whirl,world,named thing,noun,1,0
wig,world,named thing,noun,1,0
witch,world,named thing,noun,1,0
wobble,world,named thing,noun,1,0
abort,world,named thing,verb,0,0
absent,world,named thing,adjective,0,0
abstract,world,named thing,adjective,0,0
abyss,world,named thing,noun,0,0
academy,world,named thing,noun,0,0
accommodate,world,named thing,verb,0,0
accompany,world,named thing,verb,0,0
accord,world,named thing,verb,0,0
accumulate,world,named thing,verb,0,0
accurate,world,named thing,adjective,0,0
ace,world,named thing,verb,0,0
acorn,world,named thing,noun,0,0
acoustic,world,named thing,adjective,0,0
acre,world,named thing,noun,0,0
acute,world,named thing,adjective,0,0
adapt,world,named thing,verb,0,0
address,world,named thing,verb,0,0
adhere,world,named thing,noun,0,0
adjacent,world,named thing,adjective,0,0
administer,world,named thing,verb,0,0
admire,world,named thing,noun,0,0
adopt,world,named thing,verb,0,0
advise,world,named thing,verb,0,0
affair,world,named thing,noun,0,0
afford,world,named thing,verb,0,0
afterward,world,named thing,noun,0,0
aggregate,world,named thing,verb,0,0
agitated,world,named thing,verb,0,0
alarm,world,named thing,verb,0,0
alias,world,named thing,noun,0,0
allegiance,world,named thing,noun,0,0
alley,world,named thing,noun,0,0
altar,world,named thing,noun,0,0
alternate,world,named thing,adjective,0,0
alto,world,named thing,noun,0,0
ambiguous,world,named thing,adjective,0,0
ambush,world,named thing,noun,0,0
ammonia,world,named thing,noun,0,0
analyze,world,named thing,verb,0,0
anchor,world,named thing,verb,0,0
anguish,world,named thing,noun,0,0
ankle,world,named thing,noun,0,0
anomaly,world,named thing,noun,0,0
antenna,world,named thing,noun,0,0
anticipate,world,named thing,verb,0,0
anyone,world,named thing,noun,0,0
anything,world,named thing,noun,0,0
apathy,world,named thing,noun,0,0
ape,world,named thing,noun,0,0
apology,world,named thing,noun,0,0
apparatus,world,named thing,noun,0,0
appendage,world,named thing,noun,0,0
appetite,world,named thing,noun,0,0
apple,world,named thing,noun,0,0
apply,world,named thing,verb,0,0
appoint,world,named thing,verb,0,0
appropriate,world,named thing,adjective,0,0
approximate,world,named thing,adjective,0,0
arbitrary,world,named thing,adjective,0,0
archive,world,named thing,verb,0,0
arithmetic,world,named thing,noun,0,0
arouse,world,named thing,verb,0,0
artifact,world,named thing,noun,0,0
ascend,world,named thing,verb,0,0
asleep,world,named thing,adjective,0,0
assemble,world,named thing,verb,0,0
assert,world,named thing,verb,0,0
assimilate,world,named thing,verb,0,0
audio,world,named thing,noun,0,0
audit,world,named thing,noun,0,0
aura,world,named thing,noun,0,0
autumn,world,named thing,noun,0,0
available,world,named thing,adjective,0,0
awe,world,named thing,noun,0,0
bacteria,world,named thing,noun,0,0
bait,world,named thing,noun,0,0
bang,world,named thing,verb,0,0
barb,world,named thing,noun,0,0
bargain,world,named thing,verb,0,0
basin,world,named thing,noun,0,0
bask,world,named thing,noun,0,0
bass,world,named thing,noun,0,0
batch,world,named thing,noun,0,0
bathe,world,named thing,verb,0,0
battery,world,named thing,noun,0,0
beach,world,named thing,noun,0,0
beak,world,named thing,noun,0,0
beard,world,named thing,noun,0,0
beep,world,named thing,noun,0,0
behave,world,named thing,verb,0,0
bile,world,named thing,noun,0,0
bill,world,named thing,noun,0,0
bland,world,named thing,adjective,0,0
blank,world,named thing,adjective,0,0
bliss,world,named thing,noun,0,0
bloat,world,named thing,verb,0,0
blob,world,named thing,noun,0,0
bluff,world,named thing,noun,0,0
blur,world,named thing,verb,0,0
boast,world,named thing,verb,0,0
bog,world,named thing,verb,0,0
bondage,world,named thing,noun,0,0
bound,world,named thing,adjective,0,0
bracken,world,named thing,verb,0,0
brake,world,named thing,verb,0,0
bran,world,named thing,noun,0,0
bridge,world,named thing,verb,0,0
brilliant,world,named thing,adjective,0,0
brim,world,named thing,noun,0,0
brittle,world,named thing,noun,0,0
broken,world,named thing,adjective,0,0
brood,world,named thing,noun,0,0
broth,world,named thing,noun,0,0
browse,world,named thing,noun,0,0
buckle,world,named thing,verb,0,0
bud,world,named thing,verb,0,0
buff,world,named thing,adjective,0,0
buffer,world,named thing,verb,0,0
bulb,world,named thing,noun,0,0
bulk,world,named thing,verb,0,0
bullet,world,named thing,noun,0,0
bust,world,named thing,verb,0,0
butcher,world,named thing,noun,0,0
butt,world,named thing,verb,0,0
butter,world,named thing,noun,0,0
cache,world,named thing,noun,0,0
cactus,world,named thing,noun,0,0
cage,world,named thing,verb,0,0
calcium,world,named thing,noun,0,0
calculus,world,named thing,noun,0,0
camouflage,world,named thing,noun,0,0
cancer,world,named thing,noun,0,0
candidate,world,named thing,noun,0,0
candor,world,named thing,noun,0,0
cannot,world,named thing,verb,0,0
canon,world,named thing,noun,0,0
canvas,world,named thing,noun,0,0
canyon,world,named thing,noun,0,0
capital,world,named thing,noun,0,0
carcass,world,named thing,noun,0,0
cardinal,world,named thing,adjective,0,0
carp,world,named thing,noun,0,0
cartilage,world,named thing,noun,0,0
cascade,world,named thing,noun,0,0
castle,world,named thing,noun,0,0
catalog,world,named thing,verb,0,0
cavity,world,named thing,noun,0,0
ceiling,world,named thing,noun,0,0
celsius,world,named thing,noun,0,0
cement,world,named thing,noun,0,0
century,world,named thing,noun,0,0
chalk,world,named thing,noun,0,0
chapter,world,named thing,noun,0,0
cheap,world,named thing,adjective,0,0
cheese,world,named thing,noun,0,0
chime,world,named thing,noun,0,0
chin,world,named thing,noun,0,0
chisel,world,named thing,noun,0,0
chlorine,world,named thing,noun,0,0
chocolate,world,named thing,noun,0,0
chord,world,named thing,noun,0,0
chorus,world,named thing,noun,0,0
chuck,world,named thing,noun,0,0
cigarette,world,named thing,noun,0,0
circuit,world,named thing,noun,0,0
circulate,world,named thing,verb,0,0
circumvent,world,named thing,verb,0,0
citrus,world,named thing,noun,0,0
civil,world,named thing,adjective,0,0
clam,world,named thing,noun,0,0
clang,world,named thing,noun,0,0
cleanse,world,named thing,verb,0,0
clerk,world,named thing,noun,0,0
cling,world,named thing,verb,0,0
clitoris,world,named thing,noun,0,0
clone,world,named thing,verb,0,0
closure,world,named thing,noun,0,0
clutch,world,named thing,noun,0,0
coarse,world,named thing,adjective,0,0
cobalt,world,named thing,noun,0,0
cod,world,named thing,noun,0,0
coincide,world,named thing,verb,0,0
collaborate,world,named thing,verb,0,0
collide,world,named thing,verb,0,0
colony,world,named thing,noun,0,0
column,world,named thing,noun,0,0
communicate,world,named thing,verb,0,0
compact,world,named thing,noun,0,0
compass,world,named thing,noun,0,0
compassion,world,named thing,noun,0,0
compatible,world,named thing,adjective,0,0
compel,world,named thing,verb,0,0
complaint,world,named thing,noun,0,0
complement,world,named thing,noun,0,0
component,world,named thing,noun,0,0
compose,world,named thing,verb,0,0
composite,world,named thing,noun,0,0
compulsion,world,named thing,noun,0,0
compute,world,named thing,verb,0,0
conceal,world,named thing,verb,0,0
conceive,world,named thing,verb,0,0
concentrate,world,named thing,verb,0,0
concert,world,named thing,noun,0,0
conclude,world,named thing,verb,0,0
concrete,world,named thing,adjective,0,0
cone,world,named thing,noun,0,0
confident,world,named thing,adjective,0,0
configuration,world,named thing,noun,0,0
conform,world,named thing,verb,0,0
confound,world,named thing,noun,0,0
confront,world,named thing,verb,0,0
congestion,world,named thing,noun,0,0
conjure,world,named thing,verb,0,0
conserve,world,named thing,verb,0,0
conspicuous,world,named thing,adjective,0,0
constellation,world,named thing,noun,0,0
constitute,world,named thing,verb,0,0
container,world,named thing,noun,0,0
contempt,world,named thing,noun,0,0
context,world,named thing,noun,0,0
contrast,world,named thing,verb,0,0
contribute,world,named thing,verb,0,0
convenient,world,named thing,adjective,0,0
converge,world,named thing,verb,0,0
conversation,world,named thing,noun,0,0
convey,world,named thing,verb,0,0
conviction,world,named thing,noun,0,0
cooperate,world,named thing,verb,0,0
coordinate,world,named thing,verb,0,0
cope,world,named thing,verb,0,0
coral,world,named thing,noun,0,0
corrupt,world,named thing,adjective,0,0
cotton,world,named thing,noun,0,0
cousin,world,named thing,noun,0,0
covenant,world,named thing,noun,0,0
covering,world,named thing,verb,0,0
coward,world,named thing,noun,0,0
cradle,world,named thing,noun,0,0
cramp,world,named thing,verb,0,0
crane,world,named thing,noun,0,0
cranium,world,named thing,noun,0,0
crank,world,named thing,noun,0,0
crater,world,named thing,noun,0,0
crawl,world,named thing,verb,0,0
creak,world,named thing,noun,0,0
creek,world,named thing,noun,0,0
crescent,world,named thing,noun,0,0
crest,world,named thing,noun,0,0
critic,world,named thing,noun,0,0
crotch,world,named thing,noun,0,0
crouch,world,named thing,noun,0,0
crumb,world,named thing,noun,0,0
crumble,world,named thing,verb,0,0
crunch,world,named thing,noun,0,0
cryptic,world,named thing,adjective,0,0
cuckoo,world,named thing,noun,0,0
cultivate,world,named thing,verb,0,0
curiosity,world,named thing,noun,0,0
currency,world,named thing,noun,0,0
curtain,world,named thing,noun,0,0
custom,world,named thing,noun,0,0
cylinder,world,named thing,noun,0,0
cynical,world,named thing,adjective,0,0
daylight,world,named thing,noun,0,0
dazzle,world,named thing,verb,0,0
deaf,world,named thing,adjective,0,0
decimal,world,named thing,noun,0,0
deck,world,named thing,noun,0,0
decode,world,named thing,verb,0,0
deduce,world,named thing,verb,0,0
default,world,named thing,noun,0,0
defect,world,named thing,verb,0,0
deficit,world,named thing,noun,0,0
degrade,world,named thing,verb,0,0
delete,world,named thing,verb,0,0
deliberate,world,named thing,adjective,0,0
delicious,world,named thing,adjective,0,0
demon,world,named thing,noun,0,0
depict,world,named thing,verb,0,0
depot,world,named thing,noun,0,0
depress,world,named thing,verb,0,0
depression,world,named thing,noun,0,0
deprive,world,named thing,noun,0,0
derive,world,named thing,verb,0,0
descend,world,named thing,verb,0,0
desert,world,named thing,verb,0,0
designate,world,named thing,verb,0,0
desk,world,named thing,noun,0,0
despair,world,named thing,noun,0,0
destination,world,named thing,noun,0,0
destiny,world,named thing,noun,0,0
detach,world,named thing,verb,0,0
determine,world,named thing,verb,0,0
deviate,world,named thing,verb,0,0
devil,world,named thing,noun,0,0
diagonal,world,named thing,adjective,0,0
diagram,world,named thing,noun,0,0
dialect,world,named thing,noun,0,0
diameter,world,named thing,noun,0,0
diaphragm,world,named thing,noun,0,0
dictate,world,named thing,verb,0,0
diffuse,world,named thing,adjective,0,0
dignity,world,named thing,noun,0,0
dim,world,named thing,adjective,0,0
discern,world,named thing,verb,0,0
discharge,world,named thing,verb,0,0
discipline,world,named thing,verb,0,0
dismiss,world,named thing,verb,0,0
disperse,world,named thing,verb,0,0
dispose,world,named thing,verb,0,0
distinguish,world,named thing,verb,0,0
distract,world,named thing,verb,0,0
disturb,world,named thing,verb,0,0
diverse,world,named thing,adjective,0,0
doctrine,world,named thing,noun,0,0
doll,world,named thing,noun,0,0
dollar,world,named thing,noun,0,0
domain,world,named thing,noun,0,0
domestic,world,named thing,adjective,0,0
dormant,world,named thing,adjective,0,0
dove,world,named thing,verb,0,0
draft,world,named thing,verb,0,0
dragon,world,named thing,noun,0,0
drought,world,named thing,noun,0,0
drown,world,named thing,verb,0,0
duct,world,named thing,noun,0,0
dumb,world,named thing,adjective,0,0
dump,world,named thing,verb,0,0
duplicate,world,named thing,verb,0,0
dwarf,world,named thing,noun,0,0
dynamic,world,named thing,adjective,0,0
eagle,world,named thing,noun,0,0
ecstasy,world,named thing,noun,0,0
edit,world,named thing,verb,0,0
eel,world,named thing,noun,0,0
efficient,world,named thing,adjective,0,0
elastic,world,named thing,adjective,0,0
elbow,world,named thing,noun,0,0
elect,world,named thing,verb,0,0
elephant,world,named thing,noun,0,0
elicit,world,named thing,adjective,0,0
ellipse,world,named thing,noun,0,0
eloquent,world,named thing,adjective,0,0
embed,world,named thing,verb,0,0
emerge,world,named thing,verb,0,0
emergency,world,named thing,noun,0,0
empathy,world,named thing,noun,0,0
emphasis,world,named thing,noun,0,0
empire,world,named thing,noun,0,0
enable,world,named thing,verb,0,0
enlighten,world,named thing,verb,0,0
enormous,world,named thing,adjective,0,0
ensure,world,named thing,verb,0,0
envelope,world,named thing,noun,0,0
envy,world,named thing,verb,0,0
enzyme,world,named thing,noun,0,0
epic,world,named thing,adjective,0,0
episode,world,named thing,noun,0,0
equilibrium,world,named thing,noun,0,0
equivalent,world,named thing,adjective,0,0
erect,world,named thing,adjective,0,0
erosion,world,named thing,noun,0,0
ether,world,named thing,noun,0,0
ethics,world,named thing,noun,0,0
evolution,world,named thing,noun,0,0
evolve,world,named thing,verb,0,0
excellent,world,named thing,adjective,0,0
exempt,world,named thing,adjective,0,0
exhaust,world,named thing,verb,0,0
expansion,world,named thing,noun,0,0
experiment,world,named thing,verb,0,0
expire,world,named thing,verb,0,0
explicit,world,named thing,adjective,0,0
exploit,world,named thing,verb,0,0
exponent,world,named thing,noun,0,0
export,world,named thing,verb,0,0
extent,world,named thing,noun,0,0
exterior,world,named thing,noun,0,0
extinct,world,named thing,noun,0,0
extinguish,world,named thing,verb,0,0
extravagant,world,named thing,adjective,0,0
eyelash,world,named thing,noun,0,0
facilitate,world,named thing,verb,0,0
fahrenheit,world,named thing,noun,0,0
fairy,world,named thing,noun,0,0
feat,world,named thing,noun,0,0
feeble,world,named thing,adjective,0,0
fellow,world,named thing,adjective,0,0
ferry,world,named thing,noun,0,0
fetch,world,named thing,verb,0,0
feud,world,named thing,noun,0,0
fiddle,world,named thing,noun,0,0
file,world,named thing,verb,0,0
fin,world,named thing,noun,0,0
fleet,world,named thing,noun,0,0
flop,world,named thing,verb,0,0
flour,world,named thing,noun,0,0
flush,world,named thing,noun,0,0
flute,world,named thing,noun,0,0
flutter,world,named thing,noun,0,0
foil,world,named thing,verb,0,0
folly,world,named thing,noun,0,0
fond,world,named thing,adjective,0,0
forge,world,named thing,verb,0,0
format,world,named thing,verb,0,0
formula,world,named thing,noun,0,0
fort,world,named thing,noun,0,0
found,world,named thing,verb,0,0
fountain,world,named thing,noun,0,0
fracture,world,named thing,verb,0,0
frail,world,named thing,adjective,0,0
frank,world,named thing,adjective,0,0
frenzy,world,named thing,noun,0,0
fret,world,named thing,noun,0,0
friction,world,named thing,noun,0,0
fulfill,world,named thing,verb,0,0
gag,world,named thing,verb,0,0
gall,world,named thing,noun,0,0
gallon,world,named thing,noun,0,0
gallop,world,named thing,noun,0,0
gamble,world,named thing,noun,0,0
garage,world,named thing,noun,0,0
gasoline,world,named thing,noun,0,0
gateway,world,named thing,noun,0,0
genesis,world,named thing,noun,0,0
genius,world,named thing,noun,0,0
genuine,world,named thing,adjective,0,0
geometry,world,named thing,noun,0,0
gill,world,named thing,noun,0,0
glad,world,named thing,adjective,0,0
glyph,world,named thing,noun,0,0
goat,world,named thing,noun,0,0
gong,world,named thing,noun,0,0
goods,world,named thing,noun,0,0
goose,world,named thing,noun,0,0
graft,world,named thing,noun,0,0
gratitude,world,named thing,noun,0,0
gravity,world,named thing,noun,0,0
graze,world,named thing,verb,0,0
grieve,world,named thing,verb,0,0
grit,world,named thing,noun,0,0
groin,world,named thing,noun,0,0
gross,world,named thing,adjective,0,0
grove,world,named thing,noun,0,0
habitat,world,named thing,noun,0,0
hail,world,named thing,noun,0,0
halo,world,named thing,noun,0,0
hamper,world,named thing,verb,0,0
harass,world,named thing,verb,0,0
hash,world,named thing,verb,0,0
hazard,world,named thing,noun,0,0
heave,world,named thing,noun,0,0
heed,world,named thing,noun,0,0
hen,world,named thing,noun,0,0
henry,world,named thing,noun,0,0
herring,world,named thing,verb,0,0
