matzat,,cracker,,matzah,מַצָּה,,
matzuk,,distress,,metzuka,מְצוּקָה,hebrew,
maklas,,refugee,,maḵlaṣ,مَخْلَص ,arabic,
masadj,,massage,,,,english,
masarg,,expensive,,,महार्घ,sanskrit,
masart,,massacre,,,,,
masmir,,nail (carpentry),,masmer,מַסְמֵר,hebrew,
mastim,,must (smell),,,,,
mastur,,muster,,,,english,
maskit,,musk,,,,,
mazlig,,fork (utensil),,mazleg,מַזְלֵג,hebrew,
mazlog,,muzzle,,,,,
maxtan,,diuretic,,mashten,מַשְׁתֵּן,hebrew,
maxkin,,pledge,,lemaxk(e)n,לְמַשְׁכֵּן,hebrew,
malosk,,mollusk,,,,english,
malzip,,hat,,mào zi,帽子,chinese,
malzal,,frizz,,máo zào,毛躁,chinese,
maredj,,marry (wed),,,,english,
marniq,,meaning,,,,english,
marnet,,marinate,,,,,
margad,,shore,,,मर्यादा,sanskrit,
margax,,health,,margash,מַרְגָּשׁ,hebrew,
marbal,,marble,,,,,
martir,,martyr,,,,,
martan,,mortal,,márta,मर्त,sanskrit,
martol,,mettle,,,,english,
markan,,mark,,,,,
marsup,,marsupial,,,,english,
marvad,,carpet,,marvad,מַרְבָד,hebrew,
marval,,marvel,,,,english,
marjal,,marginal,,,,,
marxol,,marshal,,,,,
momart,,momentum,,,,english,
momret,,commemorate,,,,english,
modarn,,modern,,,,english,
motant,,mutant,,,,english,
motvet,,motivate,,,,english,
motran,,moat,,,,,
mokxam,,fly (bug),,mákṣā,मक्षा,sanskrit,
moskit,,mosquito,,,,english,
moldos,,mold (bacteria),,,,,
mold,,mold (shape),,,,,
morniq,,morning,,,,,
mornaq,,mourn,,,,english,
morgaj,,mortgage,,,,,
mordur,,murder,,,,english,
morpak,,mope,,,,,
mortor,,mortar,,,,english,
sad,,mercy,,,חֶסֶד,hebrew,
morfaq,,parody,,mofang,模仿,chinese,
morvig,,mighty,,,,,
mundiq,,rivet,,muding,铆钉,chinese,
mundam,,bald,,,मुण्ड,sanskrit,
mutnin,,mutiny,,,,,
mutxan,,present,,mù qián,目前,chinese,
mutlet,,mutilate,,,,english,
mustax,,mustache,,,,english,
mustal,,mustelidae,,,,,
muskam,,convention,,muskama,מוּסְקָמָה,hebrew,
muzrig,,muse,,,,english,
log,,murmur,,,,,
nimnan,,depression,,,निम्न,sanskrit,
nimtul,,clay,,niantu,黏土,chinese,
nimlak,,consult,,nimlakh,נִמְלַךְ,hebrew,
ninant,,excess,,nitAnta,नितान्त,sanskrit,
nidjan,,torsion,,niuzhuan,扭转,chinese,
nipatx,,nip,,,,,
niputz,,smashing,,niputz,נִיפּוּץ,hebrew,
nipnap,,start end foreign word,,,,,
mix,,network,,,,english,
nitzul,,usage,,nitzul,נִיצּוּל,hebrew,
niknas,,enter a state,,nikhnás,נִכְנַס,hebrew,
niknum,,nickname,,,,english,
nisbet,,proportion,,nisbe,نسبة,arabic,
niscat,,anesthetize,,,,english,
nizkar,,remember suddenly after having forgotten,,nizkár,נִזְכַּר,hebrew,
nilaks,,lux (measurement),,,,english,
nilkam,,wage war,,nilkhám,נִלְחַם,hebrew,
nirvan,,extinguish,,nirvana,निर्वाण,sanskrit,
nekdot,,anecdote,,,,english,
nektar,,nectar,,,,english,
nefros,,kidney,,nephros,νεφρός,greek,
namraq,,humble,,namrá,नम्र,sanskrit,
nagret,,inaugurate,,,,,
nabliq,,knob,,,,,
natsik,,phocidae (seal animal),,natsiq,ᓇᑦᓯᖅ,inuktitut,
natz,,glory,,nétzakh,נֶצַח,hebrew,
natzal,,exploit,,lenatz(e)l,לְנַצֵּל,hebrew,
natxav,,notch,,,,,
natran,,sodium,,natran,נַתְרָן,hebrew,
natral,,natural,,,,english,
naktir,,exhaust,,nechir,נְחִיר,hebrew,
naksur,,knock out,,,,,
kok,,disagree,,nekhlák,נֶחְלַק,hebrew,
nastik,,skeptic,,nāstika,नास्तिक,sanskrit,
nafots,,widespread,,nafóts,נָפוֹץ,hebrew,
navget,,navigate,,,,english,
naxnal,,national,,,,english,
nadj,,knowledge,,,,english,
nartik,,vagina,,nartik,נַרְתִּיק,hebrew,
nobold,,noble,,,,english,
notfak,,notify,,,,,
nolkam,,nook,,,,,
nolrin,,area,,,,,
normal,,normal,,,,,
numret,,enumerate,,,,,
nunxet,,annunciate,,,,english,
nudjip,,nude,,,,,
nutlan,,newt,,,,english,
nuklit,,ursidae,,nukiliit,ᓄᑭᓖᑦ,inuktitut,
qizlan,,quiz,,,,english,
gimlan,,benefit,,gimla,גִּמְלָה,hebrew,
givadj,,give away,,,,,
glib,,give up,,,,,
genorp,,gain,,,,,
geqzal,,worse,,gèng zāo,更糟,chinese,
gedjiz,,gauge,,,,english,
geprot,,gape,,,,,
gambir,,serious,,,गम्भीर,sanskrit,
ganxiq,,inertia,,guàn xìng,惯性,chinese,
ganxum,,instill,,guanshu,灌输,chinese,
ganlik,,manage,,guǎnlǐ,管理,chinese,
ganran,,infect,,gǎnrǎn,感染,chinese,
gaqgan,,awkward,,ganga,尴尬,chinese,
gaqgal,,ad,,guǎng gào,广告,chinese,
gaqdem,,disk,,guāngdié,光碟,chinese,
gaqbol,,cursor,,guangbiao,光标,chinese,
gaqxul,,optics,,guangxue,光学,chinese,
gabrod,,gabbro,,,,,
gaston,,gust,,,,,
gaslin,,gasoline,,,,,
gavist,,eager,,gáviṣṭi,गविष्टि,sanskrit,
galxiq,,loud,,gaosheng,高声,chinese,
galric,,gallery,,,,,
garnix,,garnish,,,,,
garnur,,garner,,,,english,
garzin,,axe,,garzen,גַּרְזֶן,hebrew,
gonpiq,,fair (just),,gōngpíng,公平,chinese,
gonzik,,salary,,gōng zī,工资,chinese,
fuq,,function,,,,english,
goqsip,,firm,,gōng sī,公司,chinese,
goqluk,,highway,,gōng lù,公路,chinese,
godjam,,nation,,guójiā,国家,chinese,
gotxeq,,mechanism,,guòchéng,过程,chinese,
golpan,,gulp,,,,,
goljan,,gouge (indent),,gouge,,french,
gorgol,,gurgle,,,,,
gudjin,,assess,,gūjì,估计,chinese,
gudjan,,classic,,gǔdiǎn,古典,chinese,
golit,,congress,,guó huì,国会,chinese,
log,,glimmer,,,,,
gliniq,,glean,,,,,
gligal,,glee,,,,,
gledan,,glitter,,,,,
gleziC,,glaze,,,,,
glexar,,glacier,,,,english,
glabun,,glob,,,,,
glotor,,gloat,,,,,
glumas,,gloom,,,,english,
grimas,,grimace,,,,english,
grinaq,,grin,,,,,
gridig,,greed,,,,,
gribas,,grebe,,,,english,
grisap,,grease,,,,english,
gramar,,grammar,,,,,
granat,,granite,,,,,
grabic,,grab,,,,,
grapol,,grapple,,,,english,
gravol,,grovel,,,,,
groniq,,groan,,,,,
gropor,,grope,,,,,
grozik,,eat up,,,,,
grolig,,roll,,,,,
gruman,,groom,,,,,
grunal,,well (water),,,,,
gruqit,,rung,,,,,
gruvib,,groove,,,,,
dimalx,,demolish,,,,,
dimpoz,,decompose,,,,,
dinlim,,theorem,,dingli,定理,chinese,
diqniq,,exhort,,dingning,叮咛,chinese,
dignaf,,dignify,,,,,
didjan,,site,,dìdiǎn,地点,chinese,
dibaqk,,debunk,,,,,
dipart,,department,,,,english,
diport,,deport,,,,,
diplok,,deploy,,,,,
diplav,,deplore,,,,,
dipras,,depress,,,,,
diprav,,deprive,,,,,
ditatx,,detach,,,,,
ditast,,detest,,,,english,
ditxen,,overcast,,dichen,低沉,chinese,
ditxat,,ditch,,,,,
diktet,,dictate,,,,,
diklen,,decline,,,,,
diklar,,declare,,,,,
disand,,descend,,,,,
disant,,dissent,,,,english,
sark,,discern,,,,,
disnet,,disseminate,,,,english,
disden,,disdain,,,,english,
dispir,,disappear,,,,,
dispat,,despite,,,,,
dispaz,,despise,,,,english,
dispal,,dispel,,,,english,
dispar,,disability,,,,,
distal,,distill,,,,,
disfig,,disfigure,,,,english,
dislok,,dislocate,,,,,
disrig,,disregard,,,,,
disrap,,disrupt,,,,,
diflet,,deflate,,,,,
diflak,,deflect,,,,,
difram,,diaphragm,,,,english,
difrad,,defraud,,,,,
difras,,difference (subtraction),,,,,
divors,,divorce,,,,,
dizast,,disaster,,,,english,
zalv,,dissolve,,,,english,
dizurv,,deserve,,,,,
dixdak,,dish,,,,,
dixval,,dishevel,,,,,
dilmit,,delimit,,,,,
diltan,,delta (water),,,,english,
dirdar,,elm (tree),,ad-dirdār,الدِّرْدَار,arabic,
dempal,,extend,,,,,
demsit,,democracy,,,,,
dendeq,,etc,,děngděng,等等,chinese,
dentok,,dent,,,,,
dentxi,,stool,,dengzi,凳子,chinese,
deqgal,,dangle,,,,,
deqxal,,equivalent,,děng xiào,等效,chinese,
dedlak,,deadlock,,,,english,
depket,,deprecate,,,,english,
destut,,destitute,,,,english,
delget,,delegate,,,,,
delkas,,delicacy,,,,english,
damand,,diamond,,,,english,
dampat,,damp,,,,english,
dandaq,,pawn,,diǎn dàng,典当,chinese,
dandal,,drab,,dān diào,单调,chinese,
dansor,,dinosaur,,dinosaur,,english,
danxin,,worry,,dānxīn,担心,chinese,
danxap,,timid,,danxiao,胆小,chinese,
danlod,,download,,,,,
daqgan,,induct,,diangan,电感,chinese,
daqgal,,cake,,dàn gāo,蛋糕,chinese,
daqkip,,donkey,,,,english,
daqkot,,dunk,,,,,
dagdag,,tickle,,ledagd(e)g,לְדַגְדֵּג,hebrew,
dagram,,diagram,,,,,
dagras,,digress,,,,,
datnet,,detonate,,,,,
datsul,,sculpture,,diaosu,雕塑,chinese,
dakdak,,scrutinize,,ledakd(e)k,לְדַקְדֵּק,hebrew,
dakbil,,bill (bird),,bill,,english,
daktip,,duct,,,,,
dakxam,,competent,,dakṣa,दक्ष,sanskrit,
daspet,,dissipate,,,,,
davest,,divest,,,,,
davlal,,ruffle,,ledavl(e)l,לְדַבְלֵל,hebrew,
daldil,,deplete,,ledald(e)l,לְדַלְדֵּל,hebrew,
dalket,,delicate,,,,,
dalfin,,dolphin,,,,,
darm,,morality,,dhárma,धर्म,sanskrit,
dardar,,degrade,,ledaRd(e)R,לְדַרְדֵּר,hebrew,
dartik,,dart,,,,,
darsok,,douse,,,,english,
darfan,,dwarf,,,,english,
darxan,,philosophical system,,dárśana,दर्शन,sanskrit,
doqxet,,cavern,,dòng xué,洞穴,chinese,
doldoq,,jitter,,dǒu dòng,抖动,chinese,
dolpeq,,cloak,,dǒu peng,斗篷,chinese,
dunpat,,dune,,,,,
dupket,,duplicate,,,,english,
dutxil,,navel,,duqi,肚脐,chinese,
durmat,,silly,,,दुर्मति,sanskrit,
djimam,,oblique,,,जिह्म,sanskrit,
djimal,,lash,,jiemao,睫毛,chinese,
djinis,,gene,,,,english,
djiget,,several,,jǐ gè,几个,chinese,
djigol,,agency,,jī gòu,机构,chinese,
djiben,,main,,jīběn,基本,chinese,
djipol,,dissect,,jiepo,解剖,chinese,
djintal,,gentle,,,,,
djisad,,strive,,,,arabic,
djifaq,,debit,,jiefang,借方,chinese,
djivat,,revive,,,जीवति,sanskrit,
djizak,,jeez,,,,,
djixik,,diet,,jié shí,节食,chinese,
djixup,,technology,,jìshù,技术,chinese,
djixuk,,resume,,jìxù,继续,chinese,
biz,,intense,,,,,
djilup,,opportune,,jiyu,机遇,chinese,
djiluc,,deal with,,,,,
djirig,,jeer,,,,english,
djirol,,muscle,,jirou,肌肉,chinese,
djedun,,jade,,,,,
djexip,,reveal,,jiē shì,揭示,chinese,
djexal,,present (show),,jiè shào,介绍,chinese,
djelas,,jail,,,,,
djeruk,,intervene,,jièrù,介入,chinese,
djamin,,jam,,,,,
djanik,,propose,,jiànyì,建议,chinese,
djanam,,paradise,,janna,جَنَّة,arabic,
djaqiq,,stiff,,jiāng yìng,僵硬,chinese,
djagul,,juggle,,,,,
djadab,,entice,,jadhab,جَذْبٌ,arabic,
djabar,,math,,aljabr,الجبر,arabic,
djatat,,jut,,,,,
djatum,,rubber,,,जतु,sanskrit,
djakin,,jockey,,,,,
djakiz,,jack (take),,,,,
djakur,,jack (tire),,,,,
djasat,,renounce,,jáhāti,जहाति,sanskrit,
djasol,,jostle,,,,,
djasor,,thick,,jiahou,加厚,chinese,
djasum,,burn,,jaḥuma,جَحُمَ,arabic,
djavat,,jive,,,,,
djazik,,worth,,jiàzhí,价值,chinese,
djalem,,gel,,,,english,
djalam,,oppress,,ẓalama,ظَلَمَ,arabic,
djalaf,,guava,,jawāfa,جَوَافَة,arabic,
djalun,,exchange,,jiāoliú,交流,chinese,
djaluk,,educate,,jiàoyū,教育,chinese,
djaret,,gyrate,,gyrate,,english,
djaras,,run into,,,,,
djarul,,jowl,,,,,
djonik,,journey,,,,english,
djotoq,,traffic,,jiaotong,交通,chinese,
djorit,,jury,,,,,
djudap,,enormous,,jù dà,巨大,chinese,
djubat,,bar,,jiǔ bā,酒吧,chinese,
djufen,,entangle,,jiūfēn,纠纷,chinese,
djuvas,,swift,,júvas,जुवस्,sanskrit,
djulan,,joule,,,,english,
djulok,,dimple,,jiǔ wō,酒窝,chinese,
dribol,,dribble,,,,,
drixum,,proud,,,धृषु,sanskrit,
drilag,,drill,,,,,
drenak,,tuber (vegetable),,drëna,درنه,arabic,
drenor,,drain,,,,,
draman,,drama,,,,,
dragan,,dragon,,,,english,
draduc,,put up with,,,,,
drabon,,draw,,,,english,
dronam,,crow (bird),,,द्रोण,sanskrit,
drupat,,droop,,,,,
druvan,,stable,,,ध्रुव,sanskrit,
bintal,,morbid,,bingtai,病态,chinese,
biqgan,,cookie,,bǐng gān,饼干,chinese,
bigord,,go ahead,,,,,
bigvun,,go on,,,,,
bitxiq,,beach,,,,english,
bikxun,,beg,,bhikṣu,भिक्षु,sanskrit,
bisidj,,besiege,,,,,
bisold,,behold,,,,,
bisman,,horror,,bhīṣma,भीष्म,sanskrit,
bistol,,bestow,,,,,
bixmam,,horrible,,,भीष्म,sanskrit,
biClak,,plead,,,biðla,icelandic,
biletx,,bewitch,,,,english,
bilpan,,betray,,beipan,背叛,chinese,
bilkad,,hardly,,bilkād,بِالكَاد,arabic,
bentul,,continent,,běntǔ,本土,chinese,
beqkat,,bank (holding),,,,,
bedjup,,tragic,,bēi jù,悲剧,chinese,
besral,,panic,,behalah,בֶּהָלָה,hebrew,
baltan,,belt,,,,english,
barked,,barricade,,,,,
bambuz,,bamboozle,,,,,
bandiq,,band (mark),,,,,
band,,band (group),,,,,
banben,,variant,,bǎnběn,版本,chinese,
bantur,,banter,,,,english,
banfut,,bat (action),,biān fú,蝙蝠,chinese,
banzap,,bounce,,,,,
banxiq,,deform,,bianxing,变形,chinese,
banxol,,wrench (move with force),,banshou,扳手,chinese,
banlin,,transact,,banli,办理,chinese,
badkan,,prank,,badkhan,בַּדְחָן,hebrew,
badjur,,badger,,,,english,
baptaz,,baptize,,,,english,
batsak,,dough,,batsék,בָּצֵק,hebrew,
batxat,,batch,,,,,
batcam,,batcam,,baʿṯa,بَعْثَة,arabic,
batrik,,battery,,,,,
batras,,buttress,,,,english,
bakpid,,backpedal,,,,english,
bakpak,,backpack,,,,english,
baktim,,fond,,bhakti,भक्ति,sanskrit,
baktan,,portion,,bhaktá,भक्त,sanskrit,
bakfar,,backfire,,,,english,
baklax,,backwash,,,,,
basalt,,basalt,,,,,
bastik,,bust (action),,,,,
bastan,,bust,,,,,
baskin,,bask,,,,,
bafmik,,buff (strength),,,,,
baznis,,business,,,,english,
baCmol,,cotton,,,baðmull,icelandic,
baldiq,,building,,,,english,
baldik,,cousin,,biǎo dì,表弟,chinese,
baldar,,reciprocate,,baoda,报答,chinese,
balbut,,bulb,,,,english,
baltin,,title,,biaoti,标题,chinese,
balfal,,erupt,,bàofā,爆发,chinese,
balziq,,guarantee,,baozheng,保证,chinese,
balzeq,,assure,,bǎo zhèng,保证,chinese,
barman,,table,,,भार्मन्,sanskrit,
barnet,,barn,,,,,
barbar,,stutter,,barbara,बर्बर,sanskrit,
bartur,,barter,,,,english,
barkiz,,bark (dog),,,,english,
barkuk,,plum,,barqūq,بَرْقُوق,arabic,
barsim,,alfalfa (vegetable),,al-barsim,البرسيم,arabic,
barzak,,barrier,,barzakh,برزخ,arabic,
barlot,,ballot,,,,,
botark,,boat,,,,english,
botxiq,,fickle,,bó qíng,薄情,chinese,
boldoq,,fluctuate,,bodong,波动,chinese,
bolkat,,boycott,,,,,
bordan,,board,,,,english,
bunduk,,hazelnut,,bunduq,بُنْدُق,arabic,
budjuk,,remedy,,bujiu,补救,chinese,
butxoq,,augment,,bǔchōng,补充,chinese,
blimal,,bill (beak),,,,,
bligur,,beleaguer,,,,english,
blemix,,blemish,,,,english,
blanit,,blah,,,,,
blagiq,,blog,,,,,
blagan,,mess,,balagan,בָּלָגָן,hebrew,
blabaq,,blab,,,,english,
blatuz,,blot,,,,,
blasum,,blossom,,,,,
blotak,,bloat,,,,,
bloCiq,,bleed,,,,,
brikar,,break (short time),,,,english,
brisal,,bristle,,,,,
brivet,,abbreviate,,,,english,
briz,,simple,,,,,
briCan,,breath,,,,english,
brilon,,embryo,,embryo,,english,
bretik,,brat,,,,,
brekal,,breccia,,,,,
bresig,,brace,,,,,
bragod,,brag,,,,,
brabat,,bribe,,,,english,
brasal,,tend (I tend to),,,,,
braCur,,brother,,,,,
brumor,,remember,,,,,
brudig,,brood,,,,english,
brulik,,brew,,,,english,
pinast,,grind,,pinaṣṭi,पिनष्टि,sanskrit,
pinkas,,registry,,pinkas,פִּנְקָס,hebrew,
pinzoq,,breed,,pinzhong,品种,chinese,
pinlaz,,penalize,,,,english,
piqban,,flat,,pingban,平板,chinese,
piqtal,,platform,,pingtai,平台,chinese,
piqxim,,subside,,pingxi,平息,chinese,
pidjon,,pigeon,,,,english,
pidjuk,,beer,,pí jiǔ,啤酒,chinese,
piprel,,peep,,,,,
pitman,,nipple,,pitma,פִּטְמָה,hebrew,
pitmaz,,epitomize,,,,,
pitput,,chatter,,pitput,פִּטְפּוּט,hebrew,
pitzan,,injury,,petza,פֶּצַע,hebrew,
pitzul,,fragment,,pitzul,פִּיצּוּל,hebrew,
pitlet,,capitulate,,,,english,
pikxar,,picture,,,,english,
pizmon,,chorus,,pizmon,פִּזְמוֹן,hebrew,
piladj,,pillage,,,,,
pilpal,,pepper,,pilpel,פִּילְפֵּל,hebrew,
pilfar,,pilfer,,,,,
piratz,,gush,,peretz,פֶּרֶץ,hebrew,
pirten,,pertain,,,,english,
pirsum,,publication,,pirsum,פִּירְסוּם,hebrew,
peniqk,,ink,,,,,
pentas,,pant,,,,,
penrat,,pen,,,,,
peqkum,,pay back,,,,,
pegrac,,peg,,,,,
pedral,,pedal,,,,english,
petran,,patron,,,,,
petraf,,petrify,,,,english,
pestal,,pedestal,,,,english,
pestor,,pester,,,,,
pevram,,pave,,,,english,
pezant,,peasant,,,,english,
pelard,,steel,,peladah,פְּלָדָה,hebrew,
permit,,permit,,,,english,
pampem,,dim,,le'am'(e)m,לְעַמְעֵם,hebrew,
pampas,,pomp,,,,,
pandor,,pander,,,,english,
pantim,,pint,,,,,
pantit,,punt,,,,,
pansal,,preference,,piān hào,偏好,chinese,
pansul,,peninsula,,,,english,
panxan,,pan (move),,,,,
pancir,,panther,,,,english,
paqdak,,huge,,pángdà,庞大,chinese,
paqbal,,aside,,páng bái,旁白,chinese,
paqkor,,punk,,,,,
padman,,lotus,,padma,पद्म,sanskrit,
paplar,,poplar,,,,english,
patant,,patent,,,,english,
plat,,pattern,,,,english,
patxip,,repulsive,,pái chì,排斥,chinese,
patruz,,pat,,,,,
pakedj,,package,,,,,
paktor,,pact,,,,,
pakziv,,disappoint,,le'aHz(e)v,לְאַכְזֵב,hebrew,
paklis,,populate,,le'aHl(e)s,לְאַכְלֵס,hebrew,
pasbal,,possible,,,,english,
paskal,,pascal (measurement),,,,english,
paskon,,period (mark),,pasuq,פָּסוּק,hebrew,
pasfag,,pacify,,,,,
pafnin,,modulate,,le'afn(e)n,לְאַפְנֵן,hebrew,
pavtak,,secure,,le'avt(e)aH,לְאַבְטֵחַ,hebrew,
pavrir,,ventilate,,le'avR(e)R,לְאַווְרֵר,hebrew,
paztor,,repository,,,,english,
pazkir,,cite,,le'azk(e)R,לְאַזְכֵּר,hebrew,
palmor,,froth,,paomo,泡沫,chinese,
paltir,,improvise,,le'alt(e)R,לְאַלְתֵּר,hebrew,
paltop,,polytope,,,,english,
palset,,pulsate,,,,english,
palson,,pulse,,,,english,
parpil,,obscure,,le'aRp(e)l,לְעַרְפֵּל,hebrew,
partek,,partake,,,,,
parket,,park (place),,,,,
parsiq,,parse,,,,english,
parsis,,persist,,,,english,
parvan,,fur,,parva,פַּרְווָה,hebrew,
parvat,,rugged,,,पर्वत,sanskrit,
parxut,,parachute,,,,english,
parleq,,parley,,,,english,
parlaz,,paralyze,,,,,
ponent,,component,,,,english,
podjup,,rundown,,pò jiù,破旧,chinese,
podjut,,shabby,,pò jiù,破旧,chinese,
potxiv,,poach,,,,,
poklaq,,pretty,,piaoliang,漂亮,chinese,
postud,,post (in the ground),,,,,
pornag,,porn,,,,,
portal,,portal,,,,,
porkat,,pork,,,,,
porsin,,suidae,,,,,
puston,,thump,,putong,扑通,chinese,
puveks,,vex,,,,,
pulnev,,pull off,,,,,
purmet,,permeate,,,,english,
purpoz,,purpose,,,,,
pursard,,persuade,,,,,
sek,,percept,,,,,
purfet,,perforate,,,,,
pap,,perfect,,,,english,
purved,,pervade,,,,,
planim,,cheap,,pianyi,便宜,chinese,
pliqal,,plea,,,,,
plenix,,replenish,,,,,
pleket,,placate,,,,english,
plelut,,lute,,,,english,
plamet,,plummet,,,,english,
pladum,,ply,,,,english,
platik,,plight,,,,english,
platon,,plateau,,,,english,
plalat,,plow,,,,,
plumaj,,fluff,,,,,
priniq,,preen,,,,english,
prinak,,grant,,,पृणक्ति,sanskrit,
prinur,,entrepreneur,,,,english,
pridik,,predict,,,,english,
pritum,,broad,,,पृथु,sanskrit,
prikaC,,prick,,,,,
prikux,,percussion,,,,,
prisas,,precise,,,,english,
prival,,prevail,,,,english,
privul,,preview,,,,,
prizad,,preside,,,,,
prizon,,imprison,,,,english,
prizum,,presume,,,,english,
prixet,,appreciate,,,,english,
prixut,,asceticism,,prishut,פְּרִישׁוּת,hebrew,
prilam,,beloved,,priyá,प्रिय,sanskrit,
prilat,,busy,,,प्रियते,sanskrit,
pramis,,promise,,,,english,
pramet,,primate,,,,english,
bast,,prime,,,,,
prim,,prime (primative),,,,,
pramot,,promote,,,,,
pranin,,sentient,,,प्राणिन्,sanskrit,
pradaq,,prod,,,,,
pradok,,product (multiplication),,,,,
prabol,,parabola,,,,english,
prapon,,prop (setting),,,,,
prapoj,,propulsion,,,,,
prakan,,procyonidae,,,,,
prajak,,project (task),,,,english,
prodjuk,,projection,,,,english,
pralaq,,parallel,,,,english,
protak,,protect,,,,english,
protom,,proto,,proto,,english,
prokur,,procure,,,,,
proviz,,provision,,,,,
provas,,profess,,,,,
provax,,profession,,,,english,
prolaq,,prolong,,,,,
pruman,,pomegranate,,rummān,رُمَّان,arabic,
prunif,,prune,,,,,
timdat,,intimidate,,,,english,
tinedj,,teenager,,,,,
tinmat,,tin,,,,,
tintec,,tint,,,,,
tiqkal,,twinkle,,,,english,
tigris,,tiger,,,,latin,
tiptol,,tiptoe,,,,english,
tiprat,,tip,,,,,
titxum,,pose (question),,tíchū,提出,chinese,
titxun,,quit,,,,english,
tiktak,,tick (sound),,,,,
txiqk,,tick (step),,,,,
tkslit,,rodentia,,tisiliit,ᑎᓯᓖᑦ,inuktitut,
tiftuf,,trickle,,tiftuf,טִיפְטוּף,hebrew,
tirdan,,bother,,tirda,טִרְדָּה,hebrew,
tempon,,tempo,,,,english,
tempur,,temper,,,,,
tenant,,tenant,,,,english,
tendas,,tend (to tend to),,,,english,
tentor,,taint,,,,,
tenxal,,potential,,,,,
teqgol,,tangle,,,,,
teqtoq,,ache,,téng tòng,疼痛,chinese,
teqket,,tank (do bad),,,,,
tedjat,,sharp,,téjate,तेजते,sanskrit,
tetxiq,,livid,,tiě qīng,铁青,chinese,
tetxal,,spade,,tiě qiāo,铁锹,chinese,
teknik,,technique,,,,,
teknev,,take off,,,,,
tekriq,,take care of,,,,,
teslan,,tesla (measurement),,,,english,
telorn,,tailor,,,,english,
telfon,,phone,,,,english,
tergat,,interrogate,,,,english,
tamnet,,contaminate,,,,english,
tampan,,tampon,,,,english,
tampor,,tamper,,,,,
tamlil,,lyrics,,tamlil,תַּמְלִיל,hebrew,
tamlal,,transcribe,,letaml(e)l,לְתַמְלֵל,hebrew,
tanmin,,sweet (emotion),,tianmi,甜蜜,chinese,
tanbig,,transduction,,tanbîgh,تَنْبِيْغ,arabic,
tantiq,,snoop,,tàn tīng,探听,chinese,
tantij,,taunt,,,,,
tantum,,wire,,tantu,तन्तु,sanskrit,
tanzik,,blanket,,tanzi,毯子,chinese,
tanzen,,naive,,tiān zhēn,天真,chinese,
tanxiq,,elastic,,tanxing,弹性,chinese,
tanlum,,turbulent,,tuān liú,湍流,chinese,
taqgop,,adopt,,tōngguò,通过,chinese,
tagmul,,compensation,,tagmul,תַּגְמוּל,hebrew,
tagnaz,,antagonize,,,,english,
taglor,,tug,,,,english,
tadjir,,rich,,tajiri,,swahili,
tablet,,tabulate,,,,english,
taprak,,apple,,tappuach,תַּפּוּחַ,hebrew,
takziv,,budget,,taktziv,תַּקְצִיב,hebrew,
takxat,,chisel,,,तक्षति,sanskrit,
takrim,,respect (object),,takrîm,تَكْرِيم,arabic,
takrit,,incident,,takrit,תַּקְרִית,hebrew,
tasmin,,symptom,,tasmin,תַּסְמִין,hebrew,
taskil,,frustrate,,letask(e)l,לְתַסְכֵּל,hebrew,
tafkid,,duty,,tafkid,תַּפְקִיד,hebrew,
tavrup,,sanitation,,tavru'a,תַּבְרוּאָה,hebrew,
talbim,,dodge,,táobì,逃避,chinese,
talxin,,defiant,,tiǎo xìn,挑衅,chinese,
targil,,exercise,,targil,תַּרְגִּיל,hebrew,
targum,,translation,,targum,תַּרְגּוּם,hebrew,
tardim,,hibernation,,tardema,תַּרְדֵּמָה,hebrew,
tardig,,tardigrada,,,,,
tardus,,thrush (bird),,,,latin,
tarpen,,tarp,,,,,
tarpan,,satisfy,,,तर्पण,sanskrit,
tartir,,rumble,,letaRt(e)R,לְטַרְטֵר,hebrew,
tartuq,,tart,,,,,
tarsk,,logic,,tārkika,तार्किक,sanskrit,
tarkiz,,concentrate,,tarkiz,תַּרְכִּיז,hebrew,
tarkam,,speculation,,tarká,तर्क,sanskrit,
tarsak,,intersect,,,,english,
tarxim,,sketch,,tarshim,תַּרְשִׁים,hebrew,
tarlig,,twirl,,,,,
toqkut,,anguish,,tòng kǔ,痛苦,chinese,
toqxin,,correspond,,tongxin,通信,chinese,
toqlaq,,flux,,tongliang,通量,chinese,
topral,,vote,,tóupiào,投票,chinese,
tostod,,toast (action),,,,,
tolpal,,bid,,tóupiào,投票,chinese,
zil,,perspective,,,,,
tornev,,turn off,,,,,
torpid,,torpedo,,,,english,
tortug,,turtle,,,,spanish,
tudjem,,schematic,,tujie,图解,chinese,
tuktuk,,caribou,,,ᑐᒃᑐ,inuktitut,
tuksul,,flinch,,tuisuo,退缩,chinese,
tukvak,,moose,,tuktuvak,ᑐᒃᑐᕙᒃ,inuktitut,
tucnev,,set off,,,,,
tucrik,,set up,,,,,
turmon,,term (language),,,,english,
turnir,,competition,,turnir,טוּרְנִיר,hebrew,
turfir,,interfere,,,,,
tur,,turf,,,,english,
txiqek,,mild,,qīng wēi,轻微,chinese,
txiqal,,jiggle,,qingyao,轻摇,chinese,
txigam,,strange,,qiguai,奇怪,chinese,
txigar,,odd,,qí guài,奇怪,chinese,
txidal,,equator,,chì dào,赤道,chinese,
txibit,,pungent,,cì bí,刺鼻,chinese,
