english,role,uses,head,source
cock,noun,1,0,base
college,noun,1,0,base
colon,noun,1,0,base
combat,verb,1,0,base
compete,verb,1,0,base
compress,noun,1,0,base
condemn,verb,1,0,base
confess,verb,1,0,base
confine,noun,1,0,base
consent,verb,1,0,base
contact,verb,1,0,base
contaminate,verb,1,0,base
convert,verb,1,0,base
copper,noun,1,0,base
corpse,noun,1,0,base
council,noun,1,0,base
crimson,noun,1,0,base
crooked,verb,1,0,base
crow,noun,1,0,base
crucial,adjective,1,0,base
crude,adjective,1,0,base
cucumber,noun,1,0,base
cunning,adjective,1,0,base
damp,adjective,1,0,base
dandy,noun,1,0,base
dangle,noun,1,0,base
daze,verb,1,0,base
decline,verb,1,0,base
dedicate,verb,1,0,base
defend,verb,1,0,base
definite,adjective,1,0,base
degree,noun,1,0,base
delegate,verb,1,0,base
deliver,verb,1,0,base
demonstrate,verb,1,0,base
density,noun,1,0,base
describe,verb,1,0,base
deserve,verb,1,0,base
detect,verb,1,0,base
dew,noun,1,0,base
digit,noun,1,0,base
diligent,adjective,1,0,base
diminish,verb,1,0,base
disguise,verb,1,0,base
dispatch,verb,1,0,base
disrupt,verb,1,0,base
distinct,adjective,1,0,base
district,noun,1,0,base
divorce,verb,1,0,base
dizzy,adjective,1,0,base
donate,verb,1,0,base
dose,noun,1,0,base
drill,verb,1,0,base
drool,noun,1,0,base
duck,noun,1,0,base
dumpling,verb,1,0,base
dusk,noun,1,0,base
each,determiner,1,0,base
elder,adjective,1,0,base
elegant,adjective,1,0,base
else,determiner,1,0,base
embrace,verb,1,0,base
enthusiastic,adjective,1,0,base
entice,verb,1,0,base
era,noun,1,0,base
escort,noun,1,0,base
exceed,verb,1,0,base
exclusive,adjective,1,0,base
expel,verb,1,0,base
explore,verb,1,0,base
expose,verb,1,0,base
feces,noun,1,0,base
fern,noun,1,0,base
fever,noun,1,0,base
fizz,noun,1,0,base
flair,noun,1,0,base
flake,verb,1,0,base
flax,noun,1,0,base
fluff,noun,1,0,base
font,noun,1,0,base
fork,verb,1,0,base
fortunate,adjective,1,0,base
fragile,adjective,1,0,base
fragrance,noun,1,0,base
frog,noun,1,0,base
frown,verb,1,0,base
fumble,noun,1,0,base
funnel,noun,1,0,base
global,adjective,1,0,base
gloss,verb,1,0,base
gossip,verb,1,0,base
gourd,noun,1,0,base
gray,adjective,1,0,base
grease,noun,1,0,base
greed,noun,1,0,base
groove,noun,1,0,base
grumpy,adjective,1,0,base
harbor,noun,1,0,base
harvest,verb,1,0,base
heir,noun,1,0,base
helm,noun,1,0,base
herb,noun,1,0,base
heritage,noun,1,0,base
hesitate,verb,1,0,base
hoof,noun,1,0,base
horizontal,adjective,1,0,base
hospital,noun,1,0,base
hostile,adjective,1,0,base
i,noun,1,0,base
inflate,verb,1,0,base
influence,verb,1,0,base
initiate,verb,1,0,base
inquire,verb,1,0,base
inquisitive,adjective,1,0,base
instant,adjective,1,0,base
intend,verb,1,0,base
interfere,noun,1,0,base
intestine,noun,1,0,base
investigate,verb,1,0,base
invisible,adjective,1,0,base
jealous,adjective,1,0,base
jewel,noun,1,0,base
jumbo,noun,1,0,base
kick,verb,1,0,base
ladder,noun,1,0,base
lamb,noun,1,0,base
lamp,noun,1,0,base
larva,noun,1,0,base
leap,verb,1,0,base
least,determiner,1,0,base
legend,noun,1,0,base
leisure,noun,1,0,base
lewd,adjective,1,0,base
library,noun,1,0,base
license,verb,1,0,base
limp,adjective,1,0,base
linger,verb,1,0,base
liquor,noun,1,0,base
lobe,noun,1,0,base
lodge,verb,1,0,base
lone,noun,1,0,base
maintain,verb,1,0,base
mammal,noun,1,0,base
marsh,noun,1,0,base
may,verb,1,0,base
mechanic,noun,1,0,base
mechanism,noun,1,0,base
meditate,verb,1,0,base
mild,adjective,1,0,base
mimic,verb,1,0,base
minimum,adjective,1,0,base
mint,noun,1,0,base
mirror,verb,1,0,base
missile,noun,1,0,base
mobile,adjective,1,0,base
modern,adjective,1,0,base
mope,noun,1,0,base
mourn,verb,1,0,base
mucus,noun,1,0,base
naive,adjective,1,0,base
naughty,adjective,1,0,base
nausea,noun,1,0,base
north,adjective,1,0,base
nuisance,noun,1,0,base
nurse,verb,1,0,base
oak,noun,1,0,base
oat,noun,1,0,base
obsess,verb,1,0,base
obstacle,noun,1,0,base
offend,verb,1,0,base
omen,noun,1,0,base
or,conjunction,1,0,base
orange,adjective,1,0,base
orbit,verb,1,0,base
oval,adjective,1,0,base
owl,noun,1,0,base
pamper,verb,1,0,base
pant,noun,1,0,base
parallel,verb,1,0,base
parasite,noun,1,0,base
park,verb,1,0,base
pastry,noun,1,0,base
pea,noun,1,0,base
permanent,adjective,1,0,base
permit,verb,1,0,base
pimple,noun,1,0,base
plait,noun,1,0,base
planet,noun,1,0,base
plump,verb,1,0,base
police,verb,1,0,base
poll,verb,1,0,base
precious,adjective,1,0,base
privilege,noun,1,0,base
prohibit,verb,1,0,base
prominent,adjective,1,0,base
prophet,noun,1,0,base
proportion,noun,1,0,base
prostitute,noun,1,0,base
pupil,noun,1,0,base
purple,adjective,1,0,base
pus,noun,1,0,base
quill,noun,1,0,base
racket,noun,1,0,base
raft,noun,1,0,base
raid,noun,1,0,base
rare,adjective,1,0,base
reflect,verb,1,0,base
refuge,noun,1,0,base
remote,adjective,1,0,base
renounce,verb,1,0,base
repent,verb,1,0,base
resource,noun,1,0,base
respond,verb,1,0,base
retaliate,verb,1,0,base
reveal,verb,1,0,base
revise,verb,1,0,base
ridge,noun,1,0,base
roam,verb,1,0,base
rodent,noun,1,0,base
rowdy,noun,1,0,base
sacrifice,verb,1,0,base
saliva,noun,1,0,base
sanitary,adjective,1,0,base
sap,noun,1,0,base
satire,noun,1,0,base
scandal,noun,1,0,base
schedule,verb,1,0,base
score,verb,1,0,base
scorn,noun,1,0,base
seductive,adjective,1,0,base
severe,adjective,1,0,base
sewage,noun,1,0,base
shack,verb,1,0,base
shaving,verb,1,0,base
shred,noun,1,0,base
shun,verb,1,0,base
signature,noun,1,0,base
sister,noun,1,0,base
slogan,noun,1,0,base
smear,noun,1,0,base
snail,noun,1,0,base
snob,noun,1,0,base
snoop,noun,1,0,base
snort,noun,1,0,base
snot,noun,1,0,base
snug,noun,1,0,base
solo,noun,1,0,base
some,determiner,1,0,base
soon,adjective,1,0,base
soup,noun,1,0,base
spectrum,noun,1,0,base
sperm,noun,1,0,base
spite,verb,1,0,base
spleen,noun,1,0,base
spontaneous,adjective,1,0,base
squash,noun,1,0,base
squat,adjective,1,0,base
squeak,noun,1,0,base
squirm,noun,1,0,base
stamp,verb,1,0,base
steam,noun,1,0,base
stray,adjective,1,0,base
strive,verb,1,0,base
stumble,verb,1,0,base
subject,verb,1,0,base
substitute,verb,1,0,base
sue,noun,1,0,base
suppress,verb,1,0,base
suspend,verb,1,0,base
sympathy,noun,1,0,base
these,determiner,1,0,base
thigh,noun,1,0,base
threshold,noun,1,0,base
ticket,noun,1,0,base
timber,noun,1,0,base
tomorrow,adverb,1,0,base
trail,noun,1,0,base
transparent,adjective,1,0,base
trench,noun,1,0,base
tribe,noun,1,0,base
trinket,noun,1,0,base
tumble,verb,1,0,base
tunnel,verb,1,0,base
twin,verb,1,0,base
twirl,noun,1,0,base
urban,adjective,1,0,base
vague,adjective,1,0,base
vapor,noun,1,0,base
velocity,noun,1,0,base
vent,noun,1,0,base
vibe,verb,1,0,base
vibrate,verb,1,0,base
video,noun,1,0,base
vintage,noun,1,0,base
vital,adjective,1,0,base
vivid,adjective,1,0,base
void,verb,1,0,base
voltage,noun,1,0,base
wage,noun,1,0,base
what,determiner,1,0,base
while,conjunction,1,0,base
whim,noun,1,0,base
whimsical,adjective,1,0,base
whine,noun,1,0,base
whirl,noun,1,0,base
wig,noun,1,0,base
witch,noun,1,0,base
wobble,noun,1,0,base
yet,conjunction,1,0,base
you,noun,1,0,base
10^15,,0,0,lost
10^18,,0,0,lost
10^21,,0,0,lost
10^24,,0,0,pin
10^27,,0,0,pin
10^30,,0,0,lost
10^33,,0,0,pin
10^36,,0,0,lost
10^39,,0,0,lost
10^42,,0,0,pin
10^45,,0,0,pin
10^48,,0,0,lost
10^9,,0,0,pin
abort,verb,0,0,base
abroad,adverb,0,0,base
absense,,0,0,pin
absent,adjective,0,0,base
abstract,adjective,0,0,base
abyss,noun,0,0,base
academy,noun,0,0,base
accommodate,verb,0,0,base
accompany,verb,0,0,base
accord,verb,0,0,base
accumulate,verb,0,0,base
accurate,adjective,0,0,base
ace,verb,0,0,base
acorn,noun,0,0,base
acoustic,adjective,0,0,base
acre,noun,0,0,base
action,,0,0,core
action instance,,0,0,pin
action type,,0,0,pin
active,,0,0,pin
actual,adjective,0,0,base
acute,adjective,0,0,base
adapt,verb,0,0,base
address,verb,0,0,base
adhere,noun,0,0,base
adjacent,adjective,0,0,base
administer,verb,0,0,base
admire,noun,0,0,base
adopt,verb,0,0,base
advise,verb,0,0,base
affair,noun,0,0,base
afford,verb,0,0,base
afterward,noun,0,0,base
aggregate,verb,0,0,base
agitated,verb,0,0,base
ago,adverb,0,0,base
ah,interjection,0,0,base
aha,interjection,0,0,base
alarm,verb,0,0,base
alas,interjection,0,0,base
algorithm,noun,0,0,base
alias,noun,0,0,base
allegiance,noun,0,0,base
alley,noun,0,0,base
already,adverb,0,0,base
also,adverb,0,0,base
altar,noun,0,0,base
alternate,adjective,0,0,base
although,conjunction,0,0,base
alto,noun,0,0,base
ambiguous,adjective,0,0,base
ambush,noun,0,0,base
ammonia,noun,0,0,base
analyze,verb,0,0,base
anchor,verb,0,0,base
anguish,noun,0,0,base
ankle,noun,0,0,base
anomaly,noun,0,0,base
another,determiner,0,0,base
antenna,noun,0,0,base
anticipate,verb,0,0,base
anyone,noun,0,0,base
anything,noun,0,0,base
apathy,noun,0,0,base
ape,noun,0,0,base
apology,noun,0,0,base
apparatus,noun,0,0,base
appendage,noun,0,0,base
appetite,noun,0,0,base
apple,noun,0,0,base
apply,verb,0,0,base
appoint,verb,0,0,base
appropriate,adjective,0,0,base
approximate,adjective,0,0,base
arbitrary,adjective,0,0,base
archive,verb,0,0,base
arithmetic,noun,0,0,base
arouse,verb,0,0,base
artifact,noun,0,0,base
ascend,verb,0,0,base
asleep,adjective,0,0,base
assemble,verb,0,0,base
assert,verb,0,0,base
assimilate,verb,0,0,base
attribute,verb,0,0,base
audio,noun,0,0,base
audit,noun,0,0,base
aura,noun,0,0,base
autumn,noun,0,0,base
available,adjective,0,0,base
awe,noun,0,0,base
backward,,0,0,core
bacteria,noun,0,0,base
bait,noun,0,0,base
bang,verb,0,0,base
barb,noun,0,0,base
bargain,verb,0,0,base
basin,noun,0,0,base
bask,noun,0,0,base
bass,noun,0,0,base
batch,noun,0,0,base
bathe,verb,0,0,base
battery,noun,0,0,base
beach,noun,0,0,base
beak,noun,0,0,base
beard,noun,0,0,base
because,conjunction,0,0,base
beep,noun,0,0,base
behave,verb,0,0,base
beige,adjective,0,0,said
being,,0,0,pin
belief,,0,0,pin
bile,noun,0,0,base
bill,noun,0,0,base
bland,adjective,0,0,base
blank,adjective,0,0,base
bliss,noun,0,0,base
bloat,verb,0,0,base
blob,noun,0,0,base
bluff,noun,0,0,base
blur,verb,0,0,base
boast,verb,0,0,base
bog,verb,0,0,base
bondage,noun,0,0,base
boom,verb,0,0,base
border,,0,0,pin
born,verb,0,0,base
bound,adjective,0,0,base
boundary,,0,0,pin
bracken,verb,0,0,base
brake,verb,0,0,base
bran,noun,0,0,base
bravo,interjection,0,0,base
bridge,verb,0,0,base
brilliant,adjective,0,0,base
brim,noun,0,0,base
brittle,noun,0,0,base
broken,adjective,0,0,base
brood,noun,0,0,base
broth,noun,0,0,base
brow,noun,0,0,base
browse,noun,0,0,base
buckle,verb,0,0,base
bud,verb,0,0,base
buff,adjective,0,0,base
buffer,verb,0,0,base
bulb,noun,0,0,base
bulk,verb,0,0,base
bullet,noun,0,0,base
bust,verb,0,0,base
but,conjunction,0,0,base
butcher,noun,0,0,base
butt,verb,0,0,base
butter,noun,0,0,base
byte,noun,0,0,base
cache,noun,0,0,base
cactus,noun,0,0,base
cage,verb,0,0,base
calcium,noun,0,0,base
calculus,noun,0,0,base
camouflage,noun,0,0,base
cancer,noun,0,0,base
candidate,noun,0,0,base
candor,noun,0,0,base
cannot,verb,0,0,base
canon,noun,0,0,base
canvas,noun,0,0,base
canyon,noun,0,0,base
capability,,0,0,pin
capacity,noun,0,0,base
capital,noun,0,0,base
carcass,noun,0,0,base
cardinal,adjective,0,0,base
carp,noun,0,0,base
cartilage,noun,0,0,base
cascade,noun,0,0,base
castle,noun,0,0,base
catalog,verb,0,0,base
cavity,noun,0,0,base
ceiling,noun,0,0,base
celsius,noun,0,0,base
cement,noun,0,0,base
century,noun,0,0,base
chalk,noun,0,0,base
chapter,noun,0,0,base
cheap,adjective,0,0,base
cheese,noun,0,0,base
chime,noun,0,0,base
chin,noun,0,0,base
chisel,noun,0,0,base
chlorine,noun,0,0,base
chocolate,noun,0,0,base
choice,,0,0,pin
chord,noun,0,0,base
chorus,noun,0,0,base
chuck,noun,0,0,base
cigarette,noun,0,0,base
circuit,noun,0,0,base
circulate,verb,0,0,base
circumvent,verb,0,0,base
citrus,noun,0,0,base
civil,adjective,0,0,base
clam,noun,0,0,base
clang,noun,0,0,base
clarify,,0,0,pin
cleanse,verb,0,0,base
clerk,noun,0,0,base
cling,verb,0,0,base
clitoris,noun,0,0,base
clone,verb,0,0,base
closure,noun,0,0,base
clutch,noun,0,0,base
coarse,adjective,0,0,base
cobalt,noun,0,0,base
cod,noun,0,0,base
coincide,verb,0,0,base
collaborate,verb,0,0,base
collection,,0,0,pin
collide,verb,0,0,base
colony,noun,0,0,base
column,noun,0,0,base
communicate,verb,0,0,base
compact,noun,0,0,base
compass,noun,0,0,base
compassion,noun,0,0,base
compatible,adjective,0,0,base
compel,verb,0,0,base
complaint,noun,0,0,base
complement,noun,0,0,base
component,noun,0,0,base
compose,verb,0,0,base
composite,noun,0,0,base
compulsion,noun,0,0,base
computation,,0,0,pin
compute,verb,0,0,base
conceal,verb,0,0,base
conceive,verb,0,0,base
concentrate,verb,0,0,base
concert,noun,0,0,base
conclude,verb,0,0,base
concrete,adjective,0,0,base
cone,noun,0,0,base
confidence,,0,0,pin
confident,adjective,0,0,base
configuration,noun,0,0,base
conform,verb,0,0,base
confound,noun,0,0,base
confront,verb,0,0,base
congestion,noun,0,0,base
conjure,verb,0,0,base
conserve,verb,0,0,base
conspicuous,adjective,0,0,base
constellation,noun,0,0,base
constitute,verb,0,0,base
constraint,,0,0,pin
container,noun,0,0,base
contempt,noun,0,0,base
context,noun,0,0,base
continuous,,0,0,pin
contradict,verb,0,0,base
contrast,verb,0,0,base
contribute,verb,0,0,base
convenient,adjective,0,0,base
converge,verb,0,0,base
conversation,noun,0,0,base
convey,verb,0,0,base
conviction,noun,0,0,base
cooperate,verb,0,0,base
coordinate,verb,0,0,base
cope,verb,0,0,base
coral,noun,0,0,base
correspond,verb,0,0,base
corrupt,adjective,0,0,base
cosine,,0,0,pin
cotton,noun,0,0,base
cousin,noun,0,0,base
covenant,noun,0,0,base
covering,verb,0,0,base
coward,noun,0,0,base
cradle,noun,0,0,base
cramp,verb,0,0,base
crane,noun,0,0,base
cranium,noun,0,0,base
crank,noun,0,0,base
crater,noun,0,0,base
crawl,verb,0,0,base
creak,noun,0,0,base
creek,noun,0,0,base
crescent,noun,0,0,base
crest,noun,0,0,base
critic,noun,0,0,base
crotch,noun,0,0,base
crouch,noun,0,0,base
crumb,noun,0,0,base
crumble,verb,0,0,base
crunch,noun,0,0,base
cryptic,adjective,0,0,base
cuckoo,noun,0,0,base
cultivate,verb,0,0,base
curiosity,noun,0,0,base
currency,noun,0,0,base
curtain,noun,0,0,base
custom,noun,0,0,base
cyan,adjective,0,0,said
cylinder,noun,0,0,base
cynical,adjective,0,0,base
daughter,noun,0,0,base
daylight,noun,0,0,base
dazzle,verb,0,0,base
deaf,adjective,0,0,base
decimal,noun,0,0,base
deck,noun,0,0,base
decode,verb,0,0,base
deduce,verb,0,0,base
default,noun,0,0,base
defect,verb,0,0,base
deficit,noun,0,0,base
degrade,verb,0,0,base
delete,verb,0,0,base
deliberate,adjective,0,0,base
delicious,adjective,0,0,base
demon,noun,0,0,base
depart,verb,0,0,base
depict,verb,0,0,base
depot,noun,0,0,base
depress,verb,0,0,base
depression,noun,0,0,base
deprive,noun,0,0,base
derive,verb,0,0,base
descend,verb,0,0,base
desert,verb,0,0,base
designate,verb,0,0,base
desk,noun,0,0,base
despair,noun,0,0,base
destination,noun,0,0,base
destiny,noun,0,0,base
detach,verb,0,0,base
determine,verb,0,0,base
deviate,verb,0,0,base
devil,noun,0,0,base
diagonal,adjective,0,0,base
diagram,noun,0,0,base
dialect,noun,0,0,base
diameter,noun,0,0,base
diaphragm,noun,0,0,base
dictate,verb,0,0,base
differ,verb,0,0,base
different,,0,0,pin
diffuse,adjective,0,0,base
dignity,noun,0,0,base
dim,adjective,0,0,base
dimension,noun,0,0,base
discern,verb,0,0,base
discharge,verb,0,0,base
discipline,verb,0,0,base
disconnect,,0,0,pin
discrete,,0,0,pin
dismiss,verb,0,0,base
disperse,verb,0,0,base
dispose,verb,0,0,base
distinguish,verb,0,0,base
distract,verb,0,0,base
disturb,verb,0,0,base
diverse,adjective,0,0,base
diversity,,0,0,pin
doctrine,noun,0,0,base
doing,,0,0,pin
doll,noun,0,0,base
dollar,noun,0,0,base
domain,noun,0,0,base
domestic,adjective,0,0,base
dormant,adjective,0,0,base
dove,verb,0,0,base
draft,verb,0,0,base
dragon,noun,0,0,base
drought,noun,0,0,base
drown,verb,0,0,base
duct,noun,0,0,base
dumb,adjective,0,0,base
dump,verb,0,0,base
duplicate,verb,0,0,base
during,preposition,0,0,base
dwarf,noun,0,0,base
dynamic,adjective,0,0,base
eagle,noun,0,0,base
ecstasy,noun,0,0,base
edit,verb,0,0,base
eel,noun,0,0,base
efficient,adjective,0,0,base
either,conjunction,0,0,base
elastic,adjective,0,0,base
elbow,noun,0,0,base
elect,verb,0,0,base
elephant,noun,0,0,base
eleven,,0,0,pin
elicit,adjective,0,0,base
ellipse,noun,0,0,base
eloquent,adjective,0,0,base
embed,verb,0,0,base
emerge,verb,0,0,base
emergency,noun,0,0,base
empathy,noun,0,0,base
emphasis,noun,0,0,base
empire,noun,0,0,base
enable,verb,0,0,base
enlighten,verb,0,0,base
enormous,adjective,0,0,base
ensure,verb,0,0,base
entity,,0,0,core
envelope,noun,0,0,base
envy,verb,0,0,base
enzyme,noun,0,0,base
epic,adjective,0,0,base
episode,noun,0,0,base
equilibrium,noun,0,0,base
equivalent,adjective,0,0,base
erect,adjective,0,0,base
erosion,noun,0,0,base
eternal,adjective,0,0,base
ether,noun,0,0,base
ethics,noun,0,0,base
ever,adverb,0,0,base
evidence,noun,0,0,base
evolution,noun,0,0,base
evolve,verb,0,0,base
excellent,adjective,0,0,base
except,preposition,0,0,base
exclude,verb,0,0,base
exempt,adjective,0,0,base
exhale,,0,0,pin
exhaust,verb,0,0,base
expansion,noun,0,0,base
experiment,verb,0,0,base
expire,verb,0,0,base
explicit,adjective,0,0,base
exploit,verb,0,0,base
exponent,noun,0,0,base
export,verb,0,0,base
extent,noun,0,0,base
exterior,noun,0,0,base
extinct,noun,0,0,base
extinguish,verb,0,0,base
extravagant,adjective,0,0,base
eyelash,noun,0,0,base
facilitate,verb,0,0,base
fahrenheit,noun,0,0,base
fairy,noun,0,0,base
feat,noun,0,0,base
feature instance,,0,0,pin
feature type,,0,0,pin
feeble,adjective,0,0,base
fellow,adjective,0,0,base
ferry,noun,0,0,base
fetch,verb,0,0,base
feud,noun,0,0,base
fiddle,noun,0,0,base
fifteen,,0,0,pin
file,verb,0,0,base
fin,noun,0,0,base
finite,adjective,0,0,base
fleet,noun,0,0,base
flop,verb,0,0,base
flour,noun,0,0,base
flush,noun,0,0,base
flute,noun,0,0,base
flutter,noun,0,0,base
foil,verb,0,0,base
follower,,0,0,pin
folly,noun,0,0,base
fond,adjective,0,0,base
forge,verb,0,0,base
format,verb,0,0,base
formula,noun,0,0,base
fort,noun,0,0,base
forward,,0,0,core
found,verb,0,0,base
fountain,noun,0,0,base
fourteen,,0,0,pin
fracture,verb,0,0,base
frail,adjective,0,0,base
frank,adjective,0,0,base
frenzy,noun,0,0,base
fret,noun,0,0,base
friction,noun,0,0,base
fulfill,verb,0,0,base
gag,verb,0,0,base
gall,noun,0,0,base
gallon,noun,0,0,base
gallop,noun,0,0,base
gamble,noun,0,0,base
garage,noun,0,0,base
gasoline,noun,0,0,base
gateway,noun,0,0,base
genesis,noun,0,0,base
genius,noun,0,0,base
genuine,adjective,0,0,base
geometry,noun,0,0,base
gill,noun,0,0,base
glad,adjective,0,0,base
glyph,noun,0,0,base
goat,noun,0,0,base
gong,noun,0,0,base
goods,noun,0,0,base
goose,noun,0,0,base
graft,noun,0,0,base
grandfather,,0,0,pin
grandmother,,0,0,pin
gratitude,noun,0,0,base
gravity,noun,0,0,base
graze,verb,0,0,base
grieve,verb,0,0,base
grit,noun,0,0,base
groin,noun,0,0,base
gross,adjective,0,0,base
grove,noun,0,0,base
habitat,noun,0,0,base
hail,noun,0,0,base
halo,noun,0,0,base
hamper,verb,0,0,base
harass,verb,0,0,base
hash,verb,0,0,base
hazard,noun,0,0,base
he,noun,0,0,base
heave,noun,0,0,base
heed,noun,0,0,base
hell,interjection,0,0,base
hen,noun,0,0,base
henry,noun,0,0,base
herring,verb,0,0,base
hertz,noun,0,0,base
hey,interjection,0,0,base
hidden,verb,0,0,base
hierarchy,noun,0,0,base
hinge,noun,0,0,base
hiss,noun,0,0,base
hitch,noun,0,0,base
hive,noun,0,0,base
hmm,interjection,0,0,base
holder,noun,0,0,base
holiday,noun,0,0,base
hooray,interjection,0,0,base
horizon,noun,0,0,base
hormone,noun,0,0,base
hover,noun,0,0,base
howl,verb,0,0,base
huh,interjection,0,0,base
humiliate,verb,0,0,base
humility,noun,0,0,base
hump,noun,0,0,base
hut,noun,0,0,base
hybrid,adjective,0,0,base
hydrogen,noun,0,0,base
hypocrite,noun,0,0,base
hypothesis,noun,0,0,base
I,,0,0,pin
identical,adjective,0,0,base
idle,adjective,0,0,base
ignite,verb,0,0,base
ignorant,,0,0,pin
illusion,noun,0,0,base
immediate,adjective,0,0,base
impermanent,,0,0,pin
imply,verb,0,0,base
import,verb,0,0,base
impulse,noun,0,0,base
inch,noun,0,0,base
incorporate,verb,0,0,base
independent,adjective,0,0,base
index,verb,0,0,base
indicate,verb,0,0,base
induce,verb,0,0,base
indulge,verb,0,0,base
inertia,noun,0,0,base
inevitable,adjective,0,0,base
infer,verb,0,0,base
infinite,adjective,0,0,base
inflammation,noun,0,0,base
ingredient,noun,0,0,base
inject,verb,0,0,base
innocent,adjective,0,0,base
input,noun,0,0,base
insensitive,adjective,0,0,base
insight,noun,0,0,base
inspect,verb,0,0,base
institution,noun,0,0,base
insure,verb,0,0,base
integrate,verb,0,0,base
intellect,noun,0,0,base
intensity,,0,0,pin
interior,noun,0,0,base
intermittent,adjective,0,0,base
interpret,verb,0,0,base
intersection,,0,0,pin
interval,noun,0,0,base
intervene,noun,0,0,base
intimidate,verb,0,0,base
introduce,verb,0,0,base
intrude,verb,0,0,base
intuition,noun,0,0,base
invade,verb,0,0,base
invent,verb,0,0,base
inverse,noun,0,0,base
invest,verb,0,0,base
invoke,verb,0,0,base
iodine,noun,0,0,base
iris,noun,0,0,base
irrigate,verb,0,0,base
it,noun,0,0,base
itch,noun,0,0,base
its,,0,0,pin
jab,noun,0,0,base
jack,noun,0,0,base
jagged,adjective,0,0,base
junction,noun,0,0,base
jungle,noun,0,0,base
junk,noun,0,0,base
justice,adjective,0,0,base
kaleidoscope,,0,0,lost
kangaroo,noun,0,0,base
keel,verb,0,0,base
kelvin,noun,0,0,base
keyboard,noun,0,0,base
kneel,verb,0,0,base
known,adjective,0,0,base
lag,verb,0,0,base
lame,adjective,0,0,base
lap,verb,0,0,base
larynx,noun,0,0,base
lava,noun,0,0,base
layer,noun,0,0,base
leader,,0,0,pin
leech,verb,0,0,base
left,adjective,0,0,base
legitimate,adjective,0,0,base
length,noun,0,0,base
lenient,adjective,0,0,base
lesion,noun,0,0,base
liberty,noun,0,0,base
lightning,noun,0,0,base
likely,adjective,0,0,base
lily,noun,0,0,base
lime,noun,0,0,base
linen,noun,0,0,base
loaf,noun,0,0,base
lobster,noun,0,0,base
locate,verb,0,0,base
lonely,adjective,0,0,base
loot,verb,0,0,base
lore,noun,0,0,base
lost,adjective,0,0,base
lot,noun,0,0,base
lust,verb,0,0,base
magenta,adjective,0,0,said
magnesium,noun,0,0,base
magnificent,adjective,0,0,base
magnitude,noun,0,0,base
major,adjective,0,0,base
mandate,verb,0,0,base
mane,noun,0,0,base
manifest,verb,0,0,base
manual,adjective,0,0,base
manufacture,verb,0,0,base
marker,noun,0,0,base
marrow,noun,0,0,base
marvel,noun,0,0,base
math,,0,0,pin
matrix,noun,0,0,base
maximum,adjective,0,0,base
maybe,adverb,0,0,base
maze,noun,0,0,base
me,,0,0,pin
meadow,noun,0,0,base
media,noun,0,0,base
melancholy,noun,0,0,base
melon,noun,0,0,base
membrane,noun,0,0,base
mend,verb,0,0,base
merge,verb,0,0,base
merit,verb,0,0,base
merry,adjective,0,0,base
metabolism,noun,0,0,base
metaphor,noun,0,0,base
midnight,noun,0,0,base
mile,noun,0,0,base
minute,noun,0,0,base
miracle,noun,0,0,base
mixture,noun,0,0,base
mmm,interjection,0,0,base
module,noun,0,0,base
mom,,0,0,pin
momentum,noun,0,0,base
monitor,verb,0,0,base
monkey,verb,0,0,base
monument,noun,0,0,base
mosquito,noun,0,0,base
moss,noun,0,0,base
moth,noun,0,0,base
motor,noun,0,0,base
multiply,verb,0,0,base
mumble,verb,0,0,base
murky,adjective,0,0,base
museum,noun,0,0,base
mutant,noun,0,0,base
muzzle,noun,0,0,base
my,noun,0,0,base
myth,noun,0,0,base
nasty,adjective,0,0,base
natural,adjective,0,0,base
navel,noun,0,0,base
navigate,verb,0,0,base
necessary,adjective,0,0,base
nectar,noun,0,0,base
negative,,0,0,pin
neglect,verb,0,0,base
neither,determiner,0,0,base
network,verb,0,0,base
newton,noun,0,0,base
niche,noun,0,0,base
nickel,noun,0,0,base
nitrogen,noun,0,0,base
nobody,noun,0,0,base
node,noun,0,0,base
none,noun,0,0,base
nor,conjunction,0,0,base
norm,noun,0,0,base
nostalgia,noun,0,0,base
nostril,noun,0,0,base
not touching,,0,0,core
nude,adjective,0,0,base
nurture,verb,0,0,base
nylon,noun,0,0,base
object instance,,0,0,pin
object type,,0,0,pin
obligation,noun,0,0,base
oblige,noun,0,0,base
obscure,adjective,0,0,base
obstruct,verb,0,0,base
obtain,verb,0,0,base
octopus,noun,0,0,base
offense,noun,0,0,base
offset,verb,0,0,base
offspring,noun,0,0,base
oh,interjection,0,0,base
oneself,noun,0,0,base
only,adverb,0,0,base
oops,interjection,0,0,base
opaque,adjective,0,0,base
opening,verb,0,0,base
operate,verb,0,0,base
opponent,noun,0,0,base
opportunity,noun,0,0,base
oracle,noun,0,0,base
orb,noun,0,0,base
ordinary,adjective,0,0,base
orient,verb,0,0,base
orientation,,0,0,pin
ouch,interjection,0,0,base
our,noun,0,0,base
outcome,noun,0,0,base
output,noun,0,0,base
overlap,verb,0,0,base
ow,interjection,0,0,base
packet,noun,0,0,base
palate,verb,0,0,base
palsy,noun,0,0,base
par,noun,0,0,base
paradise,,0,0,pin
paradox,noun,0,0,base
paramount,noun,0,0,base
parcel,noun,0,0,base
parliament,noun,0,0,base
partial,adjective,0,0,base
participate,verb,0,0,base
pascal,noun,0,0,base
passenger,noun,0,0,base
