concept,form,sounds,why,uses,head
foresee,badj,4,by load,3,1
forget,bask,4,by load,3,1
formal,drum,4,by load,5,1
fowl,proc,4,by load,1,1
fox,druq,4,by load,5,1
fraction,prun,4,by load,1,1
fragment,broz,4,by load,2,1
fright,prud,4,by load,1,1
frost,prup,4,by load,1,1
fry,brof,4,by load,2,1
fur,brox,4,by load,2,1
furnace,pruk,4,by load,1,1
furniture,pruf,4,by load,1,1
fuse,pruC,4,by load,1,1
fuss,broj,4,by load,2,1
fuzz,plin,4,by load,1,1
gang,plid,4,by load,1,1
gel,broC,4,by load,2,1
gem,plip,4,by load,1,1
generous,bazb,4,by load,3,1
giant,brum,4,by load,2,1
giggle,plik,4,by load,1,1
glaze,pliv,4,by load,1,1
glory,bruq,4,by load,2,1
govern,brug,4,by load,2,1
gradual,plic,4,by load,1,1
grape,brub,4,by load,2,1
graph,brut,4,by load,2,1
grate,plen,4,by load,1,1
greet,pled,4,by load,1,1
grin,plep,4,by load,1,1
grudge,plek,4,by load,1,1
gull,plev,4,by load,1,1
harmony,plec,4,by load,1,1
harp,plam,4,by load,1,1
harsh,driq,4,by load,12,1
hatch,brus,4,by load,2,1
haze,plad,4,by load,1,1
heel,plap,4,by load,1,1
herd,bift,4,by load,4,1
hire,plak,4,by load,1,1
honest,bruz,4,by load,2,1
hot,drig,4,by load,12,1
hotel,plav,4,by load,1,1
hug,brux,4,by load,2,1
hull,plac,4,by load,1,1
hum,plon,4,by load,1,1
humid,plod,4,by load,1,1
humor,plop,4,by load,1,1
icon,plok,4,by load,1,1
ignore,bruj,4,by load,2,1
imitate,plov,4,by load,1,1
impress,ploc,4,by load,1,1
industry,plum,4,by load,1,1
inn,plud,4,by load,1,1
insert,baft,4,by load,3,1
install,plup,4,by load,1,1
instinct,pluk,4,by load,1,1
instruct,bruc,4,by load,2,1
insult,pluv,4,by load,1,1
jail,pluc,4,by load,1,1
jam,brul,4,by load,2,1
jelly,blim,4,by load,2,1
jerk,tint,4,by load,1,1
jewelry,tidj,4,by load,1,1
jolt,tikt,4,by load,1,1
journal,tisp,4,by load,1,1
jug,tizg,4,by load,1,1
keen,barm,4,by load,3,1
kin,tifk,4,by load,1,1
kiss,tent,4,by load,1,1
kit,tetx,4,by load,1,1
knee,bemp,4,by load,4,1
knuckle,tekt,4,by load,1,1
lake,tesp,4,by load,1,1
lash,tezg,4,by load,1,1
latch,tefk,4,by load,1,1
launch,barb,4,by load,3,1
leak,bend,4,by load,4,1
leather,taim,4,by load,1,1
legal,drib,4,by load,12,1
lend,tain,4,by load,1,1
lever,bliq,4,by load,2,1
lice,taiq,4,by load,1,1
lion,taig,4,by load,1,1
loan,balk,4,by load,3,1
local,dreb,4,by load,8,1
loft,taib,4,by load,1,1
loyalty,beqk,4,by load,4,1
lung,begd,4,by load,4,1
lure,tait,4,by load,1,1
mail,balv,4,by load,3,1
mania,tais,4,by load,1,1
market,drug,4,by load,5,1
masculine,taiz,4,by load,1,1
mast,taif,4,by load,1,1
mature,blig,4,by load,2,1
melody,taix,4,by load,1,1
military,balc,4,by load,3,1
mine,blib,4,by load,2,1
minister,taij,4,by load,1,1
mob,blit,4,by load,2,1
mode,taiC,4,by load,1,1
modest,blis,4,by load,2,1
moist,dral,4,by load,6,1
monopoly,taum,4,by load,1,1
motive,taun,4,by load,1,1
mount,tauq,4,by load,1,1
mouse,blif,4,by load,2,1
mud,dret,4,by load,8,1
mug,taug,4,by load,1,1
murmur,blix,4,by load,2,1
mush,taub,4,by load,1,1
mystery,besk,4,by load,4,1
nap,blij,4,by load,2,1
narrow,djus,4,by load,15,1
negotiate,taut,4,by load,1,1
nervous,draz,4,by load,7,1
nucleus,bliC,4,by load,2,1
oar,taus,4,by load,1,1
oath,tauz,4,by load,1,1
observe,tauf,4,by load,1,1
obvious,boid,4,by load,3,1
occasion,taux,4,by load,1,1
odd,dris,4,by load,10,1
ointment,tauj,4,by load,1,1
okay,tauC,4,by load,1,1
ore,taul,4,by load,1,1
ovary,tant,4,by load,1,1
oven,tatx,4,by load,1,1
owe,blem,4,by load,2,1
package,takt,4,by load,1,1
paddle,bleq,4,by load,2,1
pal,tasp,4,by load,1,1
palm,bleg,4,by load,2,1
parade,tazg,4,by load,1,1
patch,tafk,4,by load,1,1
peach,tarn,4,by load,1,1
pee,boip,4,by load,3,1
pellet,targ,4,by load,1,1
penalty,boik,4,by load,3,1
penis,talp,4,by load,1,1
personal,dres,4,by load,8,1
pest,bezb,4,by load,4,1
pet,beft,4,by load,4,1
pig,droq,4,by load,6,1
pill,talf,4,by load,1,1
pilot,bleb,4,by load,2,1
pinch,toid,4,by load,1,1
pink,toip,4,by load,1,1
pity,toik,4,by load,1,1
plenty,boiv,4,by load,3,1
plume,toiv,4,by load,1,1
pocket,toic,4,by load,1,1
pod,tont,4,by load,1,1
poop,totx,4,by load,1,1
pop,blet,4,by load,2,1
popular,bles,4,by load,2,1
porch,tokt,4,by load,1,1
pose,tosp,4,by load,1,1
pray,tozg,4,by load,1,1
preach,tofk,4,by load,1,1
pregnant,torn,4,by load,1,1
preserve,boic,4,by load,3,1
pretend,blez,4,by load,2,1
prick,torg,4,by load,1,1
profile,tolp,4,by load,1,1
project,tolf,4,by load,1,1
promote,blef,4,by load,2,1
prompt,blex,4,by load,2,1
pronounce,tunt,4,by load,1,1
propaganda,tutx,4,by load,1,1
propose,blej,4,by load,2,1
protest,tukt,4,by load,1,1
puff,tusp,4,by load,1,1
punch,tuzg,4,by load,1,1
puncture,tufk,4,by load,1,1
purchase,bleC,4,by load,2,1
quake,baim,4,by load,4,1
quote,blaq,4,by load,2,1
rack,txim,4,by load,1,1
recognize,blag,4,by load,2,1
refer,bomp,4,by load,3,1
regard,blab,4,by load,2,1
register,txid,4,by load,1,1
reign,txip,4,by load,1,1
rein,txik,4,by load,1,1
rely,blat,4,by load,2,1
remedy,txiv,4,by load,1,1
reputation,txic,4,by load,1,1
resent,txen,4,by load,1,1
residue,txed,4,by load,1,1
resist,blas,4,by load,2,1
revenge,blaz,4,by load,2,1
rim,blaf,4,by load,2,1
rite,txep,4,by load,1,1
rival,drog,4,by load,6,1
roast,txek,4,by load,1,1
rob,drub,4,by load,5,1
rocket,txev,4,by load,1,1
rot,bain,4,by load,4,1
rough,djuq,4,by load,18,1
routine,txec,4,by load,1,1
ruin,bond,4,by load,3,1
rumor,blax,4,by load,2,1
salad,txan,4,by load,1,1
sandwich,txad,4,by load,1,1
sane,txap,4,by load,1,1
sausage,txak,4,by load,1,1
scalp,txav,4,by load,1,1
scheme,txac,4,by load,1,1
scold,boqk,4,by load,3,1
scoop,blaj,4,by load,2,1
sect,txar,4,by load,1,1
seem,blaC,4,by load,2,1
seize,baiq,4,by load,4,1
seminar,txon,4,by load,1,1
sensation,txog,4,by load,1,1
serious,drez,4,by load,8,1
serum,txod,4,by load,1,1
shard,txop,4,by load,1,1
shark,txov,4,by load,1,1
sheath,txoc,4,by load,1,1
sheep,drut,4,by load,5,1
shelf,bogd,4,by load,3,1
shoe,bodj,4,by load,3,1
shore,blar,4,by load,2,1
shrine,txor,4,by load,1,1
shut,bosk,4,by load,3,1
sibling,blom,4,by load,2,1
silk,bozb,4,by load,3,1
sin,txun,4,by load,1,1
sip,bloq,4,by load,2,1
skull,blog,4,by load,2,1
slave,boft,4,by load,3,1
sled,borm,4,by load,3,1
snatch,txud,4,by load,1,1
sniff,txup,4,by load,1,1
snout,txuk,4,by load,1,1
sober,blob,4,by load,2,1
sole,txuv,4,by load,1,1
sorry,baig,4,by load,4,1
spade,txuc,4,by load,1,1
spare,trin,4,by load,1,1
spasm,trid,4,by load,1,1
spawn,trip,4,by load,1,1
speck,trik,4,by load,1,1
spin,djug,4,by load,17,1
spiral,blot,4,by load,2,1
splendor,triv,4,by load,1,1
sponsor,tric,4,by load,1,1
spool,blos,4,by load,2,1
square,tren,4,by load,1,1
stare,borb,4,by load,3,1
stash,tred,4,by load,1,1
statue,trep,4,by load,1,1
steer,baib,4,by load,4,1
sterile,trek,4,by load,1,1
steward,trev,4,by load,1,1
sting,bloz,4,by load,2,1
stir,driz,4,by load,10,1
stock,blof,4,by load,2,1
stool,trec,4,by load,1,1
strain,bait,4,by load,4,1
straw,blox,4,by load,2,1
strict,tran,4,by load,1,1
stroll,bloj,4,by load,2,1
stupid,trag,4,by load,1,1
subscribe,trab,4,by load,1,1
succeed,trat,4,by load,1,1
suggest,drus,4,by load,5,1
summer,bolk,4,by load,3,1
surrender,trav,4,by load,1,1
swallow,blor,4,by load,2,1
sync,trac,4,by load,1,1
tablet,tron,4,by load,1,1
tail,druz,4,by load,5,1
tall,djuf,4,by load,14,1
tax,bolv,4,by load,3,1
tea,djuz,4,by load,15,1
temper,trod,4,by load,1,1
temporary,bluq,4,by load,2,1
tempt,druf,4,by load,5,1
tendency,bolc,4,by load,3,1
terror,trop,4,by load,1,1
thaw,blug,4,by load,2,1
thick,djuC,4,by load,14,1
thirst,trok,4,by load,1,1
threat,draf,4,by load,7,1
thrust,trov,4,by load,1,1
tile,blub,4,by load,2,1
tin,blut,4,by load,2,1
toast,blus,4,by load,2,1
token,troc,4,by load,1,1
ton,trun,4,by load,1,1
toss,bump,4,by load,3,1
transfer,trud,4,by load,1,1
translate,trup,4,by load,1,1
traverse,truk,4,by load,1,1
tread,bund,4,by load,3,1
treasure,bluz,4,by load,2,1
tremor,truv,4,by load,1,1
trend,truc,4,by load,1,1
trim,drux,4,by load,5,1
troop,buqk,4,by load,3,1
tumor,twim,4,by load,1,1
tutor,twiq,4,by load,1,1
typical,twig,4,by load,1,1
umbrella,twib,4,by load,1,1
uniform,bluf,4,by load,2,1
unite,twit,4,by load,1,1
uterus,blux,4,by load,2,1
van,twis,4,by load,1,1
vault,twiz,4,by load,1,1
verify,twif,4,by load,1,1
victory,bais,4,by load,4,1
violate,twix,4,by load,1,1
vomit,twij,4,by load,1,1
ware,twiC,4,by load,1,1
weave,drax,4,by load,7,1
wed,drob,4,by load,6,1
window,druj,4,by load,5,1
wine,bluj,4,by load,2,1
witness,twem,4,by load,1,1
wizard,tweq,4,by load,1,1
womb,bluC,4,by load,2,1
wool,bugd,4,by load,3,1
worm,drot,4,by load,6,1
yell,tweg,4,by load,1,1
yield,pint,4,by load,2,1
zip,tweb,4,by load,1,1
10^12,bedj,4,pinned,0,0
10^2,yemp,4,pinned,0,0
10^24,seft,4,pinned,0,0
10^27,zotx,4,pinned,0,0
10^3,mont,4,pinned,0,0
10^33,fosk,4,pinned,0,0
10^42,resp,4,pinned,0,0
10^45,lorf,4,pinned,0,0
10^6,neqk,4,pinned,0,0
10^9,dolc,4,pinned,0,0
abel,kwis,4,by load,0,0
abijah,kwiz,4,by load,0,0
abkhasian,kwif,4,by load,0,0
abounded,kwix,4,by load,0,0
abraham,kwij,4,by load,0,0
absalom,kwiC,4,by load,0,0
abscissa,kwem,4,by load,0,0
absence,kweq,4,by load,0,0
absolute,kitx,4,by load,2,0
abundance,kweg,4,by load,0,0
abyssinian,kweb,4,by load,0,0
accomplished,kwet,4,by load,0,0
acidophilic,kwes,4,by load,0,0
acne,kwez,4,by load,0,0
acorn,kwef,4,by load,0,0
acoustic,kwex,4,by load,0,0
acrobat,kwej,4,by load,0,0
acrostic,kweC,4,by load,0,0
adad,kwam,4,by load,0,0
adam,kwaq,4,by load,0,0
adapt,kwag,4,by load,0,0
addax,kwab,4,by load,0,0
adjacent,kwat,4,by load,0,0
adjoining,kwas,4,by load,0,0
admirable,kwaz,4,by load,0,0
admit,kauf,4,by load,1,0
admonished,kwaf,4,by load,0,0
adonis,kwax,4,by load,0,0
advertised,kwaj,4,by load,0,0
aegean,kwaC,4,by load,0,0
aegina,kwal,4,by load,0,0
aeginetan,kwom,4,by load,0,0
aeneas,kwoq,4,by load,0,0
aeolic,kwog,4,by load,0,0
aeolis,kwob,4,by load,0,0
aerope,kwot,4,by load,0,0
aesop,kwos,4,by load,0,0
affixed,kwoz,4,by load,0,0
afflicted,kwof,4,by load,0,0
agitated,kwox,4,by load,0,0
agora,kwoj,4,by load,0,0
agrarian,kwoC,4,by load,0,0
agriculture,kwol,4,by load,0,0
agrippina,kwum,4,by load,0,0
ahala,kwuq,4,by load,0,0
ajax,kwug,4,by load,0,0
albanian,kwub,4,by load,0,0
alcestis,kwut,4,by load,0,0
alchemist,kwus,4,by load,0,0
alcyone,kwuz,4,by load,0,0
alexandra,kwuf,4,by load,0,0
algebra,kwux,4,by load,0,0
alluvial,kwuj,4,by load,0,0
almond,kwuC,4,by load,0,0
alphesiboea,kwul,4,by load,0,0
alps,hiqk,4,by load,0,0
altar,higd,4,by load,0,0
alternate,hidj,4,by load,0,0
amaranth,hisk,4,by load,0,0
amaryllis,hizb,4,by load,0,0
amber,hift,4,by load,0,0
ambrosial,hemp,4,by load,0,0
ambush,hend,4,by load,0,0
amoeba,heqk,4,by load,0,0
amon,hegd,4,by load,0,0
amoy,hedj,4,by load,0,0
amphitrite,hesk,4,by load,0,0
amulet,hezb,4,by load,0,0
amun,heft,4,by load,0,0
amygdala,haim,4,by load,0,0
anaea,hain,4,by load,0,0
anal,haiq,4,by load,0,0
ananias,haig,4,by load,0,0
anatomist,haib,4,by load,0,0
ancestor,kaux,4,by load,1,0
anchor,hait,4,by load,0,0
andromache,hais,4,by load,0,0
andromeda,haiz,4,by load,0,0
angel,kauj,4,by load,1,0
anglican,haif,4,by load,0,0
angrily,haix,4,by load,0,0
anise,haij,4,by load,0,0
ankle,haiC,4,by load,0,0
annam,haum,4,by load,0,0
annexed,haun,4,by load,0,0
anointed,hauq,4,by load,0,0
anointing,haug,4,by load,0,0
ant,kikt,4,by load,2,0
antecedent,haub,4,by load,0,0
anticipate,haut,4,by load,0,0
antimony,haus,4,by load,0,0
antistrophe,hauz,4,by load,0,0
antithet,hauf,4,by load,0,0
anvil,haux,4,by load,0,0
anxiety,hauj,4,by load,0,0
aorist,hauC,4,by load,0,0
ape,haul,4,by load,0,0
aphrodisiac,haqk,4,by load,0,0
aphrodite,hagd,4,by load,0,0
apollo,hadj,4,by load,0,0
apoplectic,hask,4,by load,0,0
apostate,hazb,4,by load,0,0
apparent,kauC,4,by load,1,0
appellant,haft,4,by load,0,0
appendage,harm,4,by load,0,0
appian,harb,4,by load,0,0
apple,halk,4,by load,0,0
appropriate,halv,4,by load,0,0
aqueduct,halc,4,by load,0,0
aquila,hoid,4,by load,0,0
aquitaine,hoip,4,by load,0,0
arable,hoik,4,by load,0,0
arachne,hoiv,4,by load,0,0
aramean,hoic,4,by load,0,0
ararat,homp,4,by load,0,0
arcadian,hond,4,by load,0,0
ares,hoqk,4,by load,0,0
arethusa,hogd,4,by load,0,0
argentinian,hodj,4,by load,0,0
argive,hosk,4,by load,0,0
argonaut,hozb,4,by load,0,0
aristocrat,hoft,4,by load,0,0
arithmetic,horm,4,by load,0,0
armenian,horb,4,by load,0,0
arpi,holk,4,by load,0,0
artemis,holv,4,by load,0,0
articular,holc,4,by load,0,0
artificial,kaul,4,by load,1,0
arum,hump,4,by load,0,0
arvern,hund,4,by load,0,0
ascend,huqk,4,by load,0,0
ascent,hugd,4,by load,0,0
ashamed,hudj,4,by load,0,0
asia,husk,4,by load,0,0
asiatic,huzb,4,by load,0,0
asphodel,huft,4,by load,0,0
assemble,simp,4,by load,0,0
assert,sind,4,by load,0,0
associate,kant,4,by load,1,0
astarte,siqk,4,by load,0,0
astonished,sigd,4,by load,0,0
astringent,sidj,4,by load,0,0
astrolabe,sisk,4,by load,0,0
astrologer,sizb,4,by load,0,0
atalanta,sift,4,by load,0,0
athaliah,semp,4,by load,0,0
athamas,send,4,by load,0,0
athena,seqk,4,by load,0,0
atlas,segd,4,by load,0,0
atonement,sedj,4,by load,0,0
attach,twot,4,by load,4,0
attica,sesk,4,by load,0,0
atys,sezb,4,by load,0,0
augmented,saim,4,by load,0,0
august,sain,4,by load,0,0
aunt,saiq,4,by load,0,0
autumn,saig,4,by load,0,0
avicenna,saib,4,by load,0,0
awl,sait,4,by load,0,0
awn,sais,4,by load,0,0
awoke,saiz,4,by load,0,0
azalea,saif,4,by load,0,0
aztecs,saix,4,by load,0,0
baal,saij,4,by load,0,0
babbler,saiC,4,by load,0,0
bachelor,saum,4,by load,0,0
backward,saun,4,by load,0,0
bactrian,sauq,4,by load,0,0
bakis,saug,4,by load,0,0
bald,saub,4,by load,0,0
baleful,saut,4,by load,0,0
ballista,saus,4,by load,0,0
baltimore,sauz,4,by load,0,0
banana,katx,4,by load,1,0
baneberry,sauf,4,by load,0,0
baptism,saux,4,by load,0,0
barak,sauj,4,by load,0,0
barbel,sauC,4,by load,0,0
barley,kakt,4,by load,1,0
bartholomew,saul,4,by load,0,0
basilica,samp,4,by load,0,0
basin,sand,4,by load,0,0
basket,saqk,4,by load,0,0
bastardy,sagd,4,by load,0,0
bath,sadj,4,by load,0,0
beak,sask,4,by load,0,0
bean,kisp,4,by load,2,0
beard,sazb,4,by load,0,0
beaver,saft,4,by load,0,0
beggar,sarm,4,by load,0,0
begun,sarb,4,by load,0,0
belgic,salv,4,by load,0,0
belisama,salc,4,by load,0,0
bellows,soid,4,by load,0,0
belly,soip,4,by load,0,0
beloved,soik,4,by load,0,0
bench,soiv,4,by load,0,0
beneficent,soic,4,by load,0,0
bent,somp,4,by load,0,0
bereaved,sond,4,by load,0,0
beribboned,soqk,4,by load,0,0
beryl,sogd,4,by load,0,0
beside,twos,4,by load,4,0
besmeared,sodj,4,by load,0,0
bethany,sosk,4,by load,0,0
biblical,sozb,4,by load,0,0
bidentate,soft,4,by load,0,0
bile,sorm,4,by load,0,0
bipinnate,sorb,4,by load,0,0
bladder,kasp,4,by load,1,0
blanching,solk,4,by load,0,0
blister,solv,4,by load,0,0
blistered,solc,4,by load,0,0
blond,sump,4,by load,0,0
blood,bloC,4,pinned,0,0
bore,twuq,4,by load,3,0
born,sund,4,by load,0,0
bound,suqk,4,by load,0,0
braid,bred,4,pinned,0,0
bran,sugd,4,by load,0,0
brass,sudj,4,by load,0,0
breast,twef,4,by load,10,0
bring,briq,4,pinned,0,0
briseis,susk,4,by load,0,0
bristle,suzb,4,by load,0,0
british,suft,4,by load,0,0
broad,twoz,4,by load,4,0
broken,smim,4,by load,0,0
broom,smiq,4,by load,0,0
brow,brol,4,pinned,0,0
brutalized,smig,4,by load,0,0
buckthorn,smid,4,by load,0,0
bud,smis,4,by load,0,0
bugle,smif,4,by load,0,0
bugloss,smix,4,by load,0,0
burdock,smij,4,by load,0,0
burgundian,smiC,4,by load,0,0
buried,smem,4,by load,0,0
burnet,smeq,4,by load,0,0
burnt,smeg,4,by load,0,0
busiris,smeb,4,by load,0,0
butcher,smet,4,by load,0,0
butterfly,smes,4,by load,0,0
buttock,smez,4,by load,0,0
cabbage,kazg,4,by load,1,0
caesar,smef,4,by load,0,0
cage,smex,4,by load,0,0
cain,smej,4,by load,0,0
caligula,smeC,4,by load,0,0
caliph,smam,4,by load,0,0
callisto,smaq,4,by load,0,0
calydonian,smag,4,by load,0,0
calypso,smab,4,by load,0,0
camel,smat,4,by load,0,0
camilla,smas,4,by load,0,0
cana,smaz,4,by load,0,0
canoe,smaf,4,by load,0,0
capitoline,smax,4,by load,0,0
cargo,smaj,4,by load,0,0
carotid,smaC,4,by load,0,0
carp,smal,4,by load,0,0
carried,smom,4,by load,0,0
carrot,smoq,4,by load,0,0
cartilage,smog,4,by load,0,0
caspian,smob,4,by load,0,0
castanet,smot,4,by load,0,0
castigated,smos,4,by load,0,0
castrated,smoz,4,by load,0,0
catarrh,smof,4,by load,0,0
caterpillar,smox,4,by load,0,0
catiline,smoj,4,by load,0,0
catkin,smoC,4,by load,0,0
catnip,smol,4,by load,0,0
cato,smum,4,by load,0,0
cattle,kizg,4,by load,2,0
caught,smuq,4,by load,0,0
cavern,smug,4,by load,0,0
cecrops,smub,4,by load,0,0
cedar,smut,4,by load,0,0
ceiling,smus,4,by load,0,0
celery,smuz,4,by load,0,0
celestial,smuf,4,by load,0,0
cement,smux,4,by load,0,0
censor,smuj,4,by load,0,0
censorial,smuC,4,by load,0,0
chaff,smul,4,by load,0,0
chalcis,snin,4,by load,0,0
chalk,snib,4,by load,0,0
chamois,snit,4,by load,0,0
chaplet,snik,4,by load,0,0
characteristic,sniv,4,by load,0,0
charcoal,snic,4,by load,0,0
chariot,snen,4,by load,0,0
charioteer,sned,4,by load,0,0
charybdis,snep,4,by load,0,0
cheek,kafk,4,by load,1,0
cheese,snek,4,by load,0,0
cheops,snev,4,by load,0,0
cherry,snec,4,by load,0,0
cherub,snan,4,by load,0,0
chervil,snad,4,by load,0,0
chestnut,snap,4,by load,0,0
chick,karn,4,by load,1,0
chickpea,snak,4,by load,0,0
chile,snav,4,by load,0,0
chimera,snac,4,by load,0,0
chosen,snar,4,by load,0,0
chough,snon,4,by load,0,0
chrysalis,snod,4,by load,0,0
chryseis,snop,4,by load,0,0
chrysis,snok,4,by load,0,0
chrysothemis,snov,4,by load,0,0
church,snoc,4,by load,0,0
cicada,snor,4,by load,0,0
cicero,snun,4,by load,0,0
cimbric,snud,4,by load,0,0
cinnabar,snup,4,by load,0,0
circean,snuk,4,by load,0,0
circular,snuv,4,by load,0,0
circulate,snuc,4,by load,0,0
circumcised,spin,4,by load,0,0
citizen,karg,4,by load,1,0
clansman,spid,4,by load,0,0
clarity,spip,4,by load,0,0
clavellate,spik,4,by load,0,0
clean,glin,4,pinned,0,0
cleopatra,spiv,4,by load,0,0
clergy,spic,4,by load,0,0
click,glik,4,pinned,0,0
cliff,kalp,4,by load,1,0
climax,spen,4,by load,0,0
cling,sped,4,by load,0,0
clio,spep,4,by load,0,0
clitoris,spek,4,by load,0,0
cobbler,spev,4,by load,0,0
coccyx,spec,4,by load,0,0
coconut,span,4,by load,0,0
collapse,kifk,4,by load,2,0
colocynth,spad,4,by load,0,0
colony,spap,4,by load,0,0
color,glor,4,pinned,0,0
coloured,spak,4,by load,0,0
coltsfoot,spav,4,by load,0,0
columnar,spac,4,by load,0,0
comitial,spar,4,by load,0,0
comma,spon,4,by load,0,0
commended,spod,4,by load,0,0
communicate,spop,4,by load,0,0
companionship,spok,4,by load,0,0
comparative,spov,4,by load,0,0
conceal,spoc,4,by load,0,0
concubine,spor,4,by load,0,0
cone,spun,4,by load,0,0
conjectural,spud,4,by load,0,0
constantine,spup,4,by load,0,0
contorted,spuk,4,by load,0,0
contribute,spuv,4,by load,0,0
controversial,spuc,4,by load,0,0
convivial,skim,4,by load,0,0
coordinate,skiq,4,by load,0,0
copenhagen,skig,4,by load,0,0
copied,skib,4,by load,0,0
coppersmith,skit,4,by load,0,0
coriander,skis,4,by load,0,0
corpse,kalf,4,by load,1,0
corroded,skiz,4,by load,0,0
corsica,skif,4,by load,0,0
corsican,skij,4,by load,0,0
cortona,skiC,4,by load,0,0
couch,skem,4,by load,0,0
cough,skeq,4,by load,0,0
coward,skeg,4,by load,0,0
cradle,skeb,4,by load,0,0
crataeis,sket,4,by load,0,0
creep,kent,4,by load,2,0
crenulate,skes,4,by load,0,0
crescent,skez,4,by load,0,0
cress,skef,4,by load,0,0
cretan,skex,4,by load,0,0
creusa,skej,4,by load,0,0
criminal,skeC,4,by load,0,0
crisis,skam,4,by load,0,0
crito,skaq,4,by load,0,0
crooked,koid,4,by load,1,0
crow,koip,4,by load,1,0
crucified,skag,4,by load,0,0
cucumber,koik,4,by load,1,0
cumin,skab,4,by load,0,0
currant,skat,4,by load,0,0
curtailed,skas,4,by load,0,0
curtain,skaz,4,by load,0,0
custom,skaf,4,by load,0,0
cuttlefish,skax,4,by load,0,0
cybele,skaj,4,by load,0,0
cylinder,skaC,4,by load,0,0
cylindrical,skal,4,by load,0,0
cymbal,skom,4,by load,0,0
cynic,skoq,4,by load,0,0
dacian,skog,4,by load,0,0
dactylic,skob,4,by load,0,0
damp,koiv,4,by load,1,0
dan,skot,4,by load,0,0
daphne,skos,4,by load,0,0
dardanian,skoz,4,by load,0,0
darling,skof,4,by load,0,0
dash,kegd,4,by load,2,0
david,skox,4,by load,0,0
daylight,skoj,4,by load,0,0
deadnettle,skoC,4,by load,0,0
deaf,skol,4,by load,0,0
deceit,twof,4,by load,4,0
deceive,ketx,4,by load,2,0
deceptive,skum,4,by load,0,0
decussated,skuq,4,by load,0,0
defecated,skug,4,by load,0,0
defect,skub,4,by load,0,0
deficiency,skut,4,by load,0,0
deformed,skus,4,by load,0,0
deianira,skuz,4,by load,0,0
delilah,skuf,4,by load,0,0
demeter,skux,4,by load,0,0
dense,kesp,4,by load,2,0
departure,skuj,4,by load,0,0
depilated,skuC,4,by load,0,0
depository,skul,4,by load,0,0
deprive,slim,4,by load,0,0
depth,sliq,4,by load,0,0
derivative,slig,4,by load,0,0
dermatitis,slib,4,by load,0,0
descend,slit,4,by load,0,0
descent,slis,4,by load,0,0
desert,sliz,4,by load,0,0
desirable,slif,4,by load,0,0
desisted,slix,4,by load,0,0
desisting,slij,4,by load,0,0
desperate,sliC,4,by load,0,0
destined,slem,4,by load,0,0
destitute,sleq,4,by load,0,0
destructive,sleg,4,by load,0,0
desultory,sleb,4,by load,0,0
devil,slet,4,by load,0,0
dew,koic,4,by load,1,0
diabolic,sles,4,by load,0,0
diagonal,slez,4,by load,0,0
dialectics,slef,4,by load,0,0
diarrhea,slex,4,by load,0,0
dicebox,slej,4,by load,0,0
dictatorial,sleC,4,by load,0,0
difficult,twas,4,by load,6,0
dike,slam,4,by load,0,0
dildo,slaq,4,by load,0,0
dill,slag,4,by load,0,0
dim,slab,4,by load,0,0
diminish,kont,4,by load,1,0
dinah,slat,4,by load,0,0
dione,slas,4,by load,0,0
dioscuri,slaz,4,by load,0,0
dirce,slaf,4,by load,0,0
dirge,slax,4,by load,0,0
disagreeing,slaj,4,by load,0,0
disapproved,slaC,4,by load,0,0
discordant,slar,4,by load,0,0
disgraceful,slom,4,by load,0,0
dishonoured,sloq,4,by load,0,0
dislocated,slog,4,by load,0,0
disorder,slob,4,by load,0,0
disperse,slot,4,by load,0,0
dissected,slos,4,by load,0,0
distaff,sloz,4,by load,0,0
distinct,kogd,4,by load,1,0
distorted,slof,4,by load,0,0
distract,slox,4,by load,0,0
distress,sloj,4,by load,0,0
distributed,sloC,4,by load,0,0
distributing,slor,4,by load,0,0
distrusted,slum,4,by load,0,0
distrusting,sluq,4,by load,0,0
disturb,slug,4,by load,0,0
diuretic,slub,4,by load,0,0
diverging,slut,4,by load,0,0
diverted,slus,4,by load,0,0
divisible,sluz,4,by load,0,0
domestic,sluf,4,by load,0,0
domineering,slux,4,by load,0,0
dominican,sluj,4,by load,0,0
donkey,sluC,4,by load,0,0
doric,swim,4,by load,0,0
dormouse,swiq,4,by load,0,0
dose,kotx,4,by load,1,0
double,swig,4,by load,0,0
downwards,swib,4,by load,0,0
dowry,swit,4,by load,0,0
drachma,swis,4,by load,0,0
draco,swiz,4,by load,0,0
dragoness,swif,4,by load,0,0
dragonfly,swix,4,by load,0,0
dream,drim,4,pinned,0,0
drill,kosp,4,by load,1,0
dromedary,swij,4,by load,0,0
dropsy,swiC,4,by load,0,0
drum,drom,4,pinned,0,0
drunkenness,swem,4,by load,0,0
drupe,sweq,4,by load,0,0
duck,kozg,4,by load,1,0
ductile,sweg,4,by load,0,0
dusk,kofk,4,by load,1,0
duumvir,sweb,4,by load,0,0
dwarf,swet,4,by load,0,0
eagle,swes,4,by load,0,0
earliest,swez,4,by load,0,0
easily,swef,4,by load,0,0
ebony,swex,4,by load,0,0
ecbatana,swej,4,by load,0,0
ecclesiastical,sweC,4,by load,0,0
eclipse,swam,4,by load,0,0
economy,swaq,4,by load,0,0
eczema,swag,4,by load,0,0
edible,swab,4,by load,0,0
eel,swat,4,by load,0,0
efficient,swas,4,by load,0,0
